A. RESULTS FRAMEWORK PDO Indicators	11924,4512,1526
CRI Result Month	4653,11379
CSI Results	12978
Cabinet No Result View All Result	5774
Cabo Verde RBCSP Result Based Country	11863
Cabo Verde Results Report	11873
Caledonia. Result Available	16631
Caribbean and Sub-Saharan Africa. Results	10846
Carvalho Dionísio Manuel Título Resultados Definitivos	11421
Cash Transfer Beneficiaries D. Results Chain	10768
Census FINAL RESULTS	16921
Census Results	15085
Census Results4	15085
Central African CAR Accelerating Results	15661
Central African Republic Accelerating Results	16436
Central African Republic and The Gambia Results	10857
Certified Results-Based Monitoring and Evaluation	17407
Changed Results Framework	16896
Changes Implementation Status and Results Report	17849
Changes Operation Information Proposed Changes Results	15969,218,2172
Changes Results Yes Disbursements Estimates	16032
Closing Date Extension Components Results Legal	11924
Closing Period Result Date Result Date	4653,11379
Closing Period Result Month	4653,11316,63,155
Closing PeriodIndicator Name Result Month	18359
Cofre Resultado Reunião	10750
Communities Intermediate Results Indicators	17962
Community System Strengthening Outcome Results	12939
Compact Targets and Action Plan THE RESULTS	15977
Completion Result	16436
Completion Result Month	11924,4512,1526
Completion and Results Report M&E Monitoring and Evaluation	13836
Component Result	13999
Components PBC Baseline End Target RESULT FRAME TBL	13331
Components RESULT FRAM E TBL IO Indicator Name PBC	15518
Components RESULT FRAME T BL IO DLI Baseline	11855
Components RESULT FRAME TBL IO Indicator Name PBC	1284,9545,2503,2221,1343,26
Components RESULT FRAME TBL IO Indicator Name PBC Baseline	1228
Components RESULT FRAME TBL IO PBC Baseline Intermediate	10964
Components Results Disbursement Estimates Loan Closing	15731
Components Results Loan Cancellations Reallocations	11924
Components Results Safeguard Policies Triggered Disbursement	11924
Comunicação IV. RESUMO EXECUTIVO	18794
Contenido RESUMEN	16875
Contents Public Disclosure Authorized Results Framework	11469
Contents Results	10793
Contingent Emergency Response Component Intermediate Results	16436,1526
Control Results	15478
Coordinated Implementation Drives Results The Presidential	13510
Coordination Structure B. Results Monitoring and Evaluation	15553
Corporate Results Indicator	13111,6134
Corporate Results Indicator CSO Civil Society	15138
Corporate Results Indicator Designated Account Disbursement	15658
Corporate Results Indicators	11417,3136,4731
Cost Benefit Analysis- Summary Results Effect	11924
Country Partnership Framework Corporate Results Indicator	16436
Country Programme Results	14058
Country Programme Results and Resources Framework	13095
Country Results and Methodological Note	15244
D'IVOIRE FOR A RESULTS ACCELERATION PROGRAM	3604
D. Parent Project Status and Results	18809
D. Results	11549
D. Results Chain	969,295,603,8901,61,135,416,180,295,1476,1,1578,27,554,24,3,35,68,37,1,2,1288,1155,189,8,476,462,45
D. Results Chain E. Rationale for World	15518
D. Results Chain Figure	13331
D. Results Chain Note	10829
D. Results Framework and M&E Capacity	11905
D. Updated Results Framework	18359
DE RESULTAT APPROBATION DE RAPPORT SPECIAL	16274,182
DECRET DE PUBLICATION DES RESULTATS	16704
DEFINITIONS AND CONCEPTS FINAL RESULTS	16921
DEMONSTRAÇÃO DE RESULTADOS DA EMPRESA	10757
DES DROITS SUR LES RESULTATS DES	19241
DES RESULTATS DES ENQUETES ET ETUDES	15595
DES RESULTATS DU PREMIER PASSAGE	18014
DES RESULTATS TANGIBLES ET DES PERSPECTIVES	2695
DES RESULTATS TECHNIQUES PARTICULIEREMENT ENCOURAGEANTS	9277
DETERMINATION DU RESULTAT	18032
DG RESULTATS ATTENDUS	10712
DGI RESULTATS ATTENDUS	10712
DGI SPECIFIQUES RESULTATS ATTENDUS	10712
DISCUSSION OF RESULTS	18443
DLRs Restructuring Matrix7 DLR Original Result	16032
DRC-Tanzania Power Link Talks Resume	5407,676
DU CONTENTIEUX DES RESULTATS DES ELECTIONS	15727
Data Management And Results Monitoring	18160,89
Data Minimisation and Security Breach. Results	962
Data Source Baseline Result Data Collection	13095
Date Result Month	16032
Dec-2025 Closing Period Result	16032
Dec-2025 Closing Period Result Yes Month	16032
Declaration of Helsinki. Results Characteristics of SORMAS	12003
Delivering Results	14627
Delivery Program for Results	10870
Demographicand Health Survey Results	16833
Demostração de Resultado Previsional	15476
Deputy President. Resultantly	10122
Despesas Primárias. XXVI. Resultado Nominal Global	18798
Development Objective Components Results Loan Closing	15731
Development Objective The Program for Results Development	16032
Development Objective and Results Framework	2291
Development RA Results Area RF Results	17458
Development Results E&S Category Rationale	16776
Development Team Presentation of Results Representatives	236
Digital Stages of Readiness Results	12214
Digitalization of TLM Results Area	11905
Disbursement Linked Indicator Disbursement Linked Result	16032
Disbursement Linked Result	17470
Disbursement Linked Results	16032,1438
Disbursement-Linked Result	17458
Discussion des Resultats	15907
Discussion des Resultats L'analyse	15907
Dispute of Tax Audit Results	12389
District Tables FINAL RESULTS	16921
Documentation of Project Results	16614
Does Political Instability Result	11310
Driving License Exam Results	12333
Dé- RESURRECTION DU CHRIST	15901
Délinquance Juvénile RESUME EXECUTIF	15848
EBA-lite Model Results	13868
ECV Resultados	15476
EEDCV RESUMO EXECUTIVO Nos	15689
ELECTION RESULTS VALIDATION OF RESULTS	12201
ENGAGEMENTS SUR TITRES COMPTE DE RESULTAT	17841
ENREGISTREZ LE RESULTAT DU TDR POSITIF	13300
EQUATORIAL GUINEA IN FIGURES KEY RESULTS	17101
ESERA Power Quality Monitoring Results	12969
ET DES RESULTATS ATTENDUS	15639
ET DES RESULTATS ATTENDUS I.1. Objectif	15639
ET RESULTATS ATTENDUS III. PROCESSUS D'ELABORATION	15381
ETAT D'AFFECTATION DE RESULTAT DIMF	18032
EU Results Framework	643
EXECUTIVE SUMMARY FINAL RESULTS	16921
EXPECTED RESULTS	15590
EXPECTED RESULTS Overall	962
Early Results	11866,7
Eastern Africa Regional Statistics Program for Results	8527,9119
Economic Status Results	13313
EconomicSurvey Results	16833
Economy Approach ICR Implementation Completion and Results	17849
Election Results	7266,4935
Election Results Announcement Platform NOSi	11939
Election Results Management and Transparency Portal	16574
Election Results PODEMOS	12201
Empresa GUICHÉ ONLINE PRODUZ RESULTADOS SATISFATÓRIOS	10753
Enfants LIRE Learning Improvment for Results	18171
Engine Results Page	13462
English Resume Business Mauritius	14765
English Resume Minister Ranjiv Woochit	14796
Enterprise Design Quality Assurance and Results Division	10550
Errors Cross-Check Result Name Yes Alpha	3861
Estado MHEP Resultado	16898
Estado. APRESENTAÇÃO DOS PRINCIPAIS RESULTADOS	10757
Estado. Resulta	17112
Estados Unidos Resumo Executivo O Governo	18779
Ethics Committee of INSP. RESULTS	17968
Ethiopia. Result	13999
Ethiopia. Results	12188
Europe. Intermediate Results Indicators	15424
Eva Clemente Miranda F. Results Framework	18754
Evaluation Results	10776
Evaluation and Results for Anglophone Africa CP Country	12962
Evaluation des Hôpitaux Result CCDSES Agence Nationale	17845
Evidence-Based Results	16253
Examination Results	13477
Expected Outcomes and Results	2958
Expected Results	789,11440,1771,1713,2580
Expected Results Indicator Baseline and Targets Means	970
Expected Results Indicators Baseline	789,181
Expected Results Indicators Target	789
Expected Results Overall	13999
Expected Results and Analytical Underpinnings	15924,2927
Extension of Resuscitation Units	14773
Extensive Results	11955
F. Results Framework Analysis Project Development	16614
FAILURE TO DO SO MAY RESULT	11240
FCFA. RESULTATS DEFINITIFS DU RGE	10875
FINAL RESULT FINAL RESULTS	16921
FINAL RESULTS	16921
FINGER VERIFICATION RESULT	17537
FINGER VERIFICATION RESULT Causes Solution	17537
FISCAL GOVERNANCE PROGRAM FOR RESULTS	12176
FSDS Results Indicators Units Baseline Annual	14997
Facilitate Results-Based Financing	16966
Feb-2019 Portal Components Results	11924
FinTech Hub FSDS Results Indicators Units	14997
Final Result	16921
Final Results	16921,1543
Final Survey Results Report	969
Finances RESULTATS DEFINITIFS DU RGE	10875
Financial Literacy Survey Results Report	10775
Financial Results	14707
First Results. Frontiers	16463
Focusing South Africa Search Results	13462
Foreword National Context Key Results	13865
Forum News ADVERTISEMENT No Result View	4619
Foundations of Learning Program for Results	13058
Framework CRI Corporate Results Indicator CVE	15983
GCE and JSSLE Results Members	13477
GDP FSDS Results Indicators Units Baseline	14997
GEMs Results	17958
GEOSPATIAL PRIORITIZATION SURVEY RESULTS OVERVIEW	18476
Gambia. Resulting	16144
Gender Results Chain Specific Gender Gap	13332
General Results	16266
Ghana. Result	789
Giga Annual Results	953
Google Search Allegedly Boosts YouTube Results	13461
Google Search Results	13461
Governo. Resultou	8179
Grace Period for Publishing Research Results Without	12389
Grau de Digitalização. Resultados	11451
Group. Results	10793
Guinea Project for Results	16638
HEALTH RESULTS PROJECT	16867
HEPRR Program Results Framework Original Revised	11417
HEPRR Program’s Results Chain	11417
HIGHLIGHT OF THE FINAL RESULT	16921
HIGHLIGHT OF THE FINAL RESULT Figure	16921
HIGHLIGHT OF THE FINAL RESULT Montserrado	16921
HIGHLIGHTS OF THE FINAL RESULT	16921
Hierarchy of Results	14935
HouseholdExpenditure Survey Results	16833
HousingSurvey Results	16833
IBP Open Budget Survey Results	18305
ICR00002962 IMPLEMENTATION COMPLETION AND RESULTS REPORT	16614
ICR00003141 IMPLEMENTATION COMPLETION AND RESULTS REPORT	18754
ICR00005036 IMPLEMENTATION COMPLETION AND RESULTS REPORT	18765
ICR00005249 IMPLEMENTATION COMPLETION AND RESULTS REPORT	17849
ICR00006152 IMPLEMENTATION COMPLETION AND RESULTS REPORT	15601
ICR00006333 IMPLEMENTATION COMPLETION AND RESULTS REPORT	15663
ICR00023 IMPLEMENTATION COMPLETION AND RESULTS REPORT	15702
ICR00028 IMPLEMENTATION COMPLETION AND RESULTS REPORT	15704
ICR00098 IMPLEMENTATION COMPLETION AND RESULTS REPORT	15990
ICR00178 IMPLEMENTATION COMPLETION AND RESULTS REPORT	13861
ICR00338 IMPLEMENTATION COMPLETION AND RESULTS REPORT	15731
ICR00460 IMPLEMENTATION COMPLETION AND RESULTS REPORT	12560
ICR00525 IMPLEMENTATION COMPLETION AND RESULTS REPORT	15959
ICR00659 IMPLEMENTATION COMPLETION AND RESULTS REPORT	13742
ICR00764 IMPLEMENTATION COMPLETION AND RESULTS REPORT	18825
ICT Survey Results of Urban High School	18931
II. RAPPEL DES OBJECTIFS ET RESULTATS	2966
II.4 Resultado	16898
III RESUME	15475
III. EXPECTED RESULTS	15939
IMPACT AND KEY RESULTS IN GUINEA-BISSAU	11586
IMPLEMENTATION COMPLETION AND RESULTS REPORT	13722,1163,63,563
IMPLEMENTATION COMPLETION AND RESULTS REPORT D4740-GM	16952
IMPLEMENTATION COMPLETION AND RESULTS REPORT IDA	13836
IMPLEMENTATION PLAN Task Results Responsible Dates	13938
IMPLEMENTATION PROGRESS AND RESULTS	14132
INDICATEURS DE PERFORMANCE CHAINE DES RESULTATS	18291
INDICATEURS DE RESULTATS SNAE	18103
INEC Result Viewing Portal	8987
INEGE INEGE Resultado	16898
INEGE Resultado	16898
INEGE- Resultado	16898
INTERIM RESULTS TELECONFERENCE MTN	10793
INTERMEDIATE RESULTS Intermediate Result	15372,2069
INTERPRETATION OF RESUL TS	8604
INTERPRETAÇÃO DOS RESULTADOS	8941
IR Intermediate Results Indictor ISR Implementation	15663
IRI Intermediate Results Indicator ISR Implementation	19284
IRM Results Report	11873,5164
IRM Transitional Results Report	11873
ISR Implementation Status and Results Report	16922
ISR Implementation Status and Results Report ITU	15511
ISR Implementation Status and Results Report LEG	18765
ISR Implementation Status and Results Report MCNHRP	16952
ISR Implementation Status and Results Report MPTNTC	15372
IV. PROGRÈS ET RESULTATS PAR COMPOSANTE	16012
IV. RESULTATS SUR LA QUALITE DES	15711
IV. RESUMO EXECUTIVO	18794
IV. SYNTHESE DES RESULTATS DE L'EVALUATION	14442
IX. RESULTATS DES EVALUATIONS ET DES	18171
IX. RESULTATS DU CERTIFICAT D'ETUDES PRIMAIRES	10847
IX. RESULTS FRAMEWORK AND MONITORING	10768
Immediate Resuscitation	12606
Implementation Completion and Result Report	18887
Implementation Completion and Results	15511,2451
Implementation Completion and Results Report	10964,2367,1554,487,52,87,90,62,39,29,228,31,446,178,1235,13,100,236,258,298,71
Implementation Progress and Results Report	14132
Implementation Status Results	14888
Implementation Status Results Report	15411
Implementation Status and Result Reporting Ratings	13054
Implementation Status and Results IXP Internet Exchange	18754
Implementation Status and Results Report	2889,8528,1641,1973,522,48,136,45,1114,26,1372,80,99,344,467
Implementation Status and Results Report ITU International	17862
Implementation Status and Results Report M&E Monitoring	16896
Implementation Status and Results Reports	3604,8320,4512
Implementation Unit RF Results Framework SETIC	1284
Implementation Unit Results-Based Financing Special Drawing	4653
Improving Education Quality and Results for All MNO	17870
Improving Results	16963
Index ICR Implementation Completion and Results Report	13861
Indicator Name Baseline Result Date Result	16032
Indicator Name Baseline Result Month	16032
Indicator Name Intermediate Results Indicators	19284
Indicators RESULT FRAME TBL PD O Indicator Name	10829
Industrial Production Census Results ANNEX	16833
Infections Results	12151
Infrastructure Results	10852
Initial Results. Dodoma	11133
Inquérito de Cobertura. Os Resultados Definitivos	11421,25,131
Integrated Results Based Management	13504
Integrated Results and Resources Framework PRODOC	17101
Integrated Results-Based Management Framework	13487
Interim Financial Report IRI Intermediate Results	18765
Intermediate Result	15372,2069,1446
Intermediate Result Central	17441
Intermediate Result ICT	17441
Intermediate Result IRI Intermediate Results Indicator	16952
Intermediate Result Indicators Number	1867
Intermediate Result MITEF	17441
Intermediate Result Number	17441
Intermediate Result Single MdJL-	17441
Intermediate Result Statistical	17441
Intermediate Results	16436
Intermediate Results Indicator	1284,10640,3677
Intermediate Results Indicators	1284,583,845,892,1049,35,1891,349,949,2891,102,525,22,438,50,19,41,6,17,240,39,173,284,303,31,273,639,1010,37,14,107,21,265,94,35,66,39,1,2,2,72,2,276,19,47,65,43,249,202,67,191,26,27,3,42,6,79,17,374,35,399,54,4,171,217,4,1,4,175,258,25,165,101,159,3,4,35
Intermediate Results Indicators Component	15411,1511,1903
Intermediate Results Indicators Definition	15553
Intermediate Results Indicators FY Indicator Name	11525
Intermediate Results Indicators Indicator Name Definition	10829,135,891,1476,2187
Intermediate Results Indicators Mapped Methodology for Data	1284,15638
Intermediate Results Indicators Percentage	11924
Intermediate-level Results Indicators Classroom	13392
Internal Processes and Governance and Result-driven People	12951
International Monetary Fund IRI Intermediate Results	11924
Ivoire RESULTS ACCELERATION PROGRAM FOR INCLUSIVE	3604
Ivoire. Iii. ReSULTATS DISPONIBILITE ET CAPACITE	15711
JUSTICE FISCALE RESULTAT ATTENDU Une	17901
Journal of Research Results and Literature Review	2093
Judicial Strategic Plan Results Framework	16943
Jun-2025 Closing Period Result Month	4653
Juros. XXV. Resultado Primário Ajustado	18798
KEY RESULT AREAS Based	1131
KEY RESULTS OF THE POLICY	14004
KEY STRATEGIC RESULTS High-Level Policy Endorsement	13095
KEY STRATEGIC RESULTS Large-Scale	13095
KEY STRATEGIC RESULTS Next-Generation Identity Tools	13095
KRA Key Result Area MCR Mass	13005
Kenya Population and Housing Census Results	10822
Key Indicators and Results	17143
Key Result Area	12321,684,994,782
Key Result Area Strategic Objectives Key	14781
Key Result Areas	958,12047
Key Result Areas and Project Components	13998
Key Results	2291,2956,5529,187,2902,711,937,1,1140,21,614,1167,27,450
Key Results Areas Achieve	13005
Key Results Key	13523
Key Results Table	1704
Key Results and Achievements Key	18679
L90 RESULTAT DE L’EXERCICE	17833
LED. Results	14935
LES RESULTATS	19216
LIABILITY RESULTING FROM INSIDER TRADING	3714
LITERATURE SEARCH AND RESUL TS	8605
Lab Results and Security and Tracks	2477
LaborForceSurvey Results	16833
Laboratory Results Repository	21
Les Resultats Definitifs de L’enquete Permanente Agricole	15715
Let Results	4942,664,283,454,183
LiYEPA Results-Based Grants Facility	17370
Liberia Results-Report 2020-2022.pdf	17037
Liberia. FINAL RESULTS	16921
Liberia. Results	17043
Library Services Results	13532
Lily Urban Hospital Resuscitation	12937
Limited Results	10793
Live Results	7266
Localness of Search Engine Results	226
MAIN RESULTS ACHIEVED BY COMPONENT Component	15601
MALI D0089 COMPTE DE RESULTAT Etablissement	17841
MALI D0090 COMPTE DE RESULTAT Etablissement	17841
MASIG MASIG INEGE Resultado	16898
MCPPME Resultado	16898
MEANS OF VERIF. RESULTS CHAIN	11863
MEEUD INEGE MEEUD Resultado	16898
MENER PERIODE DE SPECIFIQUES REALISATION RESULTATS	10712
MICL Resultado	16898
MINISTRY OF EDUCATION Improving Results	16963
MTEF Intermediate Result Standard	17441
MTN Zakhele Futhi. Results	10793
MTN. Results	14707
Main Results	15473
Main Results Najjar	15473
Maintenance Levy Fund RRI Rapid Results	2775
Malawi Fiscal Governance Program for Results	13060
Malawi. Key Results	13111
Male Female FINAL RESULTS	16921
Mali Improving Education Quality and Results for All	17870,88
ManpowerSurvey Results	16833
Mar-2017 Portal Results	11924
Maroc Telecom PR-FY2024 Results.pdf	1065,376
Maternal and Child Nutrition and Health Results	16952
Maternal and Child Nutrition and Health Results Project	16867
Matric Results	14357
Measurement and Results Monitoring	15130
Melhores Resultados Educacionais	11557
Metas Resultado	16898
Methodology Results and Demographics	12214
Ministries Program Results	11905
Ministry of Finance Result	18458
MoU No Result View All Result	5799
Moderate LEGAL COVENANTS2 RESULT FRAME TBL PD	16896
Modest. The Results Framework	17962
Monetary Fund IRI Intermediate Results Indicator	16949
Monitoring and Evaluation Intermediate Result Number	17441
NEGE Resultado	16898
NOSSOS MAIORES RESULTADOS EM	15966
NOSSOS RESULTADOS EM NÚMEROS	15966
NSDS III Results Framework SG1	17116
NSDS III Results-based	16927
NSS. Resulting Portfolio	17116
Name Baseline Result	4653
Namibia. Resultantly	13033
National Digital Transformation Strategy Results Measurement	13347
National Examination Results	18447
National ID Crisis Resurfaces	17376
National ID Program. The Results Framework	1290
National Key Result Areas	14965
National Population and Housing Census Provisional Results	17011
National PovertyMonitoringSurvey Results	16833
Nations Population Fund ACRONYMS FINAL RESULTS	16921
Nationwide D. Results Chain	15661
Niger Result Result Result Result Result	18125
Nigeria Key Results	3456
Nigeria Results Report	11866,442
Nigeria Results-Report 2019-2022.pdf	11866
Nov-2025 Result	16032
Nutrition Results	11469
Nutrition and Health Results Project	16867
Nutrition and Health Results Project M&E Monitoring	16867
O Resultado	16898
O Resultado Esperado	16898
OBJECTIFS RESULTATS ATTENDUS	10712
OBJECTIFS RESULTATS ATTENDUS Modernisation	10712
OBJECTIFS SPECIFIQUES RESULTATS ATTENDUS	10712
OBJETIVOS OPERACIONAIS E RESULTADOS ESPERADOS	15535
ODH. Results Overall	14666
OFFICIAL USE ONLY Intermediate Results Indicators	15905
OGP Results Report	8013
OVERVIEW OF SURVEY RESULTS	18487
Objectives and Results Indicators	11855
Official Use Only I. Results Framework	11469
Official Use Only RESULTS COUNTRY	18359
Online Resultado	16898
Online Results Confirmation System	13477
Online Results Confirmation System Combatting Academic	13477
Operational Results	14137
Os Resultados	11577
Os Resultados Definitivos	11421,25,131
Others FINAL RESULTS	16921
Outcomes RESULT FRAME TBL PD O Indicator Name	1284,15638
Outcomes RESULT FRAME TBL PDO Indicator Name PBC Baseline	1228
Outcomes and Results	11905
Outcomes and Results Chapter CHAPTER	17289
Outputs and Intermediate Results	16960
Outputs and Intermediate Results Whereas	16960
Overall Benchmark Assessment Results and Rank	18910
Overall Implementation Progress and Results	13392
Overall Substantial Moderate Moderate Results PDO	18473
Overall Substantial Substantial Substantial Results PDO	16638
Overview of Cooperation Framework Results	13989,970
Ownership of Results and Intellectual Economy	15901
Ownership of Results and Intellectual Property Rights	15901
P1 Resultados	15966
PAGE RESUME EXECUTIF En	16195
PBC Name Baseline Result Date	15969
PCE No Procurement No Results	2473
PCU Collection Results Area Bringing	19284
PDO Level Results Baseli	17441
PDO Level Results Indicators	11905,3467,2086,1429
PDO Level Results International Communications	15372
PDO Table SPACE Intermediate Results Indicators	1228,9601,135,2368
PDO and Intermediate Results Indicators	16949
PDO and Results Framework	15663
PDO-level Results Indicator	16922
PDOÂ LevelÂ ResultsÂ InternationalÂ CommunicationsÂ	18887
PGAs. Result	16631
PGES DATA CENTER PRINCIPAL RESUME EXECUTIF	14489
PGES DATA CENTER SECONDAIRE RESUME EXECUTIF	14488
PIM. D. Results Chain	10964
PIU Yearly Intermediate Results Indicators Component	15411
PIUs Sanitation and Environment B. Results Monitoring	18198
POLICY FOR ICT Result ICTs	958
POPULATION AND HOUSING CENSUS FINAL RESULTS	16921
PORTANT PUBLICATION DES RESULTATS PRELIMINAIRES	2625
POSAF RESULTATS ATTENDUS	10712
POSAF RESULTATS ATTENDUS INDICATEURS DE RESULTAT	10712
PRELIMINARY NATIONAL FINAL RESULTS167 Preliminary	12201
PRINCIPAIS QUADROS DE RESULTADOS	11421
PRINCIPAUX RESULTATS	18204
PRISM Users' Kit. RESULTS	10878
PROGRAMMATION TRIENNALE DES ACTIONS ET RESULTATS	15673
PROGRAMMES OBJECTIFS RESULTATS ATTENDUS ACTIONS	10712
PUBLICATIONS-CHIFFRES- RESULTATS-INDICATEURS	18077
PVR Provisional Voter Register RMS Results	18531
Page RESUME NON TECHNIQUE	18118
Parent Project Status and Results	15138
Parent-Teacher Association RF Results Framework RPC	15661
Partnership Framework CPF Corporate Results Indicator	11417
Partnership Framework CRI Corporate Results Indicator	15661
Partnership Strategy DFIL Corporate Result Indicator	11855
Past Results	14058
Peer Review Results	18578
Percentage of Cases With Laboratory Results	11912
Performance and Results	13860
Performance for Results and Training PPD Public Private	14897
Planning Framework LMIC Implementation and Status Results	10964
Planning for Stronger Results	16872
Policy and Result Framework	18851
Populationand Housing Census Results	16833
Posts Opening Results	11251
Posts Sewage Results	11251
Posts Water Results	11251
Potential for Results	17037
Preliminary Result	16921
Prime Minister’s Year-End Address No Result	4535
Principais Resultados Os	11416
Principal Results and Comparison With Prior Work	10919
Priority Area and Expected Results Outcomes Strategic	14935
Process and Result Verification for Transparency	9986
Process and Results Verification Statement	10054
Process and Results Verification for Transparency	10054
Processes Outputs Intermediate Results Outcomes Impact	15411
Professional Development Programme Result	17101
Program Results Chain	3604
Program Results Chain. This Project	11417
Program Results Framework	11905
Program for Managing for Development Results	43
Program for Results	3456,7414,6,1275,25,2426,1,1070,359,3213
Program for Results Financing	18370
Program-for Results	19245
Program. B. Results Monitoring and Evaluation	11905
Programme Performance Monitoring and Results Framework	14000
Programme Results and Resource Framework	13095
Programme for Results	10876
Progress ISR Implementation Status and Results Report	18825
Project Area Intermediate Result Strategic	17441
Project Development Objective Indicators RESULT FRAME T BL	11855
Project Development Objective Indicators RESULT FRAME TBL PD	10964,4589
Project Development Objective and Results Framework	18554
Project Financing ISR Implementation Status and Results	15731
Project Management Intermediate Results Indicators Key	17962
Project Management and Results Delivery Office	11857
Project Results Chain	10964
Project Results Framework	10963
Project Results Indicator Baseline Original Revised	11924,3739
Project Steering Committee RF Results Framework	18825
Project's Results Framework	15802
Project. B. Results Monitoring and Evaluation	17441
Project. D. Results Chain	11855
Project’s Results Framework	13392,3044,1413
Projet-Learning Improvment for Results	18171
Provisional Results After the CNE	12201
Príncipe ICR Implementation Completion and Results Report	18754
Public Sector Reform for Results Project	8367,2
Public Service Regulations RBM Results Based	13310
Publicação de Resultados	17103
Pulse Survey Results Achieving	11131
Purchasing Power Parity RF Results Framework	17849
Quadro Nacional de Resultados	11426
