A. Project Development Objective	969,295,603,1737,2935
Bioko Island Malaria Elimination Project	1018
Biometric Projects	9399
Borrower’s Project Implementation Unit	3456
Brenda Maniraguha Project Manager	5064
Bridge Project	9993
Bright Chisadza Project Location	1554
Broadband Infrastructure Project. Discussions	6788
Broadband Network Densification Project	858
Broadband Project. The French	58
Broadcasting Network Development Project	2217
Broadcasting Project	6946
Broadcasting Project the Digital Economy	6946
Buffalo Project	3759
Building Project	119,8646,3,179
Building Resilient Digital Infrastructure for Growth Project	10157
Building Resilient Digital Project	3456
Burkina Faso Digital Acceleration Project	1584,2020,775
Burkina Faso Digital Acceleration Project World	1584
Burkina Faso Financial Inclusion Support Project	416
Burkina Faso’s National Bureau of Major Projects	4662
Burundi Cash for Jobs Project	787
Burundi Cash for Jobs Project. Supports	787
Burundi Digital Foundations Project	993,291,294,1262
Burundi Digital Foundations Project World Bank	993
Burundi Seeks IFC Support for Digital Projects	2383
C. Project Beneficiaries	969,295,603,1737,2935
CAR Public Sector Digital Governance Project	969,1920,2250
CAR- Public Sector Digital Governance Project	981
CCTV Installation Project	18
CEIBA-2 Submarine Cable System Project	57
CHARGE DE L'INDUSTRIE Projet de Décret	4402
CPCC Continental Project Coordination Committee CPF	1264
CSIRT. Projecto	3838
Cable Project	124
Cable Project Export-Import Bank of China	124
Cameroon Backbone Expansion Project	55
Cameroon Fiber Optic Transmission Backbone Project	55
Cameroon Intelligent City Project	7589
Cameroon Intelligent City Project. The French	339,7250
Canadian Anti-Monopoly Project	6445,1026
Capacity Development Project	697,73
Capacity Development Project Korea International Cooperation	697
Capacity Project ID Project Name Additional	1284
Cape Verde Digital Project	3564
Capital Mobilization PCU Project Coordination Unit	3604
Capital Project	7751
Case Management System PSC Project Steering	1867
Ce Projet	3836
Cellular Mobile Network Infrastructure and Services Project	6946
Center Project Under	6551
Central Africa Fibre-Optic Backbone Project	174,1541
Chad Digital Transformation Project	1865,34
Chad Digital Transformation Project World Bank	1899
Chad Statistical Development Project World Bank	224
Chad's Microfinance Development Support Project for Women	792
Chains Project Bill	8399
Chef de Projet E-TAX Eudes Christel Boussa	7011
Chef de Projet. Elle	6675
Chepkitale Indigenous People Development Project Data	7167
Chief Project Officer	2555
Chief of Digital Innovation and Projects for RSwitch	2537
China Media Project	9263
China-Aid Project of ECOWAS Headquarters Building	5991
China-Aided Educational Technical Cooperation Proje Subject	459
Cidade Segura Project Phase	8638
Classification Investment Project Substantial Financing	3604
Climate Resilience Project KYDP Kenya Youth	2775
Coding Academy’s Project-Based Learning	8839
Cohesion Project	3604
Comment Zambia Refugee and Host Community Project	1988
Commercialisation Project	1554
Commission Digital Malawi Acceleration Project	3678
Communication Service Project	35,9531
Communication Towers Project	193
Communication Towers Project Export-Import Bank of China	193
Communications Infrastructure Project WURI West Africa	1264
Communications Towers Project Phase II	193
Communities Project	1778,89,121
Community Workers Projects	1988
Composante Niger du Projet	3989
Computational Center for IOT Project Expansion	1787,1417,3881
Computitional Center for IOT Project Expansion	7085
Congo Digital Acceleration Project	853,872,1404,656
Congo Digital Acceleration Project World Bank	987
Congo's Digital Transformation Acceleration Project	1725,2059
Congo's Project for Accelerating Digital Transformation	853,233
Construction Project	1988
Construction Project Economic Development Cooperation Fund	354
Construction Project Phase	355,281
Construction of Reserve National Data Center Project	1795,1413,3881
Context and Motivation Before the Project	3840
Continental Project Coordination Committee	1175,89
Coordinateur du Projet	3989
Coordination and Project Management	1284
Coordonnateur du Projet WURI	5221
Corporate Project	6946
Corporate Real Estate Consolidation Project of R88m	10218
Country Director of Project Sprint	8264
Courts Mission Mode Project	8978
Current Project Status. Project	2473
Customs Modernisation Project	9154
Customs Modernization Project	184
Cyber SOC Project	4848
Cybersecurity Project	1374
Cybersécurité. Projet	4402
D The Network Access Support Project	182
D. Project Description	1704,1752
DARE Regional Submarine Cable Project Islamic	382
DATASHEET BASIC INFORMATION Project Operation Name	1867,1737
DATASHEET The Project Development	969
DBSA Sustainable Infrastructure Project	927
DES BIENS WAKFS Projet	4402
DES SOLIDARITÉS Projet	4402
DESCRIPTION OF THE PROJECT	1988
DEVELOPMENT PROJECT	8669
DH Projet	1536
DIGITAL FOUNDATIONS PROJECT	1284
DIGITAL GOVERNANCE PROJECT	2889
DIGITAL MALAWI ACCELERATION PROJECT PROJECT NUMBER	3678
DIGITAL ZAMBIA ACCELERATION PROJECT	2254,1308,6041,1
DOIS NOVOS PROJECTOS VÃO GARANTIR	1215
DRC Digital Transformation Project	2251,2134
DRC Digital Transformation Project Agence Française	2126
DRC Digital Transformation Project World Bank	1771
DRC's Digital Transformation Project	2251
DSHP Digital Superhighway Project DSL Digital	6946
DTT Broadcasting Network Development Project	2217,1251
DU PROJET D’OPERATIONALISATION DU REGISTRE ELECTRONIQUE	7977
DZAP Project Components and Funds Allocation Component	2291
Dartmouth Summer Research Project	2816
Das Projekt	2219
Dashboard and Project Assets Not Handed Over	9650
Data Analytics and Smart Solutions Centre Project	2256
Data Centre Project	340,7090
Data Centre Project China Construction Bank	340
Data Project	1704,587
Datagrid Project	7145
Datagrid Project.2e16d0ba.fill-280x185.png	7145
Delayed Projects and Undelivered Digital Lending Platform	9650
Delayed Trans-Saharan Fiber Optic Project	2533
Democratic Project If DPI	4424
Description Appraisal-Stage Project Information Document	1572
Description Project Appraisal Document	538,196,1520
Description Project for Digital Solutions for Health	723
Description Projektet	19
Description Projet	5540
Description Projet DigiBoost	357
Description Projets Informatiques	1293,765,2313
Description The Madagascar Financial Inclusion Project	304
Description The Project	1075
Develop Renewable Energy and Digital Infrastructure Projects	6529
Development Investment Project	3456
Development Objective Project Implementing Entity Special	1228
Development Project	59,135,3410
Digital Acceleration Program World Bank Projects	3604
Digital Acceleration Project	1228,413,1602,447,90,873,765,178,733
Digital Acceleration Project World Bank Group	784
Digital Access and Infrastructure Research Projects	3678
Digital Cabo Verde Project	1924,170,1,685,2055
Digital Cabo Verde Project Additional Financing.md	583
Digital Cabo Verde Project Additional Financing.pdf	2780
Digital Cabo Verde Project World Bank	583
Digital Economy Acceleration Project	5056
Digital Economy Development Project	1795,1413,3881
Digital Economy Foundations Project	2383
Digital Economy Foundations Support Project	5566,405
Digital Economy and E-Government Project	6346
Digital Economy and Electronic Government Project	6334
Digital Economy and Governance Project	2989
Digital Ecosystem Model Project	3593
Digital Education Project	244,1,71,1
Digital Empowerment for Women Project	7990
Digital Eswatini Project	4535,2004,914,152
Digital Eswatini Project Implementation Unit	6821
Digital Eswatini Project Manager Zandile Mthembu	7605
Digital Eswatini Project World Bank Group	6665
Digital Foundations Project	1284,1758,1513
Digital Foundations Project for Burundi	2408
Digital Gabon Project	1575,199,281,230
Digital Gabon Project World Bank Group	764
Digital Governance and Economy Project	1228,1245,1
Digital Governance and Economy Project Grant Number	2474
Digital Governance and Economy Project World Bank	772
Digital Hospital Project	5011
Digital ID for Inclusion and Services Project	1260,2569
Digital Innovations Project For Agro-Pastoralists Niger	625
Digital Malawi Acceleration Project	1572,132,1387,552,35,931,703,222,1536,161,212,43,3042
Digital Malawi Foundations Project	1704
Digital Malawi Foundations Project SOP-	1704
Digital Malawi Project	1389,243
Digital Malawi Project SOP-1	1704
Digital Media City Project	10667
Digital Parliaments Project Africa	9191
Digital Rural Transformation Project World Bank	425
Digital Skilling Project	10397
Digital Superhighway Project	6946
Digital Superhighway Project. The Authority	6946
Digital Tanzania Project	3366,2527,3256
Digital Tanzania Project World Bank Group	754
Digital Technology Park Project	44
Digital Technology Park Project African Development	44
Digital Transformation Acceleration Project	1641,84,1507,81,610,1068,1100
Digital Transformation Accelerator Project	3763,14
Digital Transformation Project	1910,341,3822,140
Digital Transformation of Cameroon Project World Bank	773
Digital Uplift Project	412,345
Digital Village Project	2285
Digital Zambia Acceleration Project	2254,35,2,1271,803,173,709,236,17,1,1040,3062,1
Digital Zambia Acceleration Project. Officials	5501
Digital and Infrastructure Projects By Editorial Team	6523
Digitisation Project	9894
Distribution and Access Project	1538
Distribution and Access Project. Budget	1538
Djibouti Economic and Financial Governance Project World	2249
Djibouti's Digital Foundation Project	2435
Document de Projet	10492
Doolow Resilience Project	5947
Drinking Water Project	2667
Drone-Based Disaster Management Project	10219
Dumisha Amani Project	2857,3026,94
E-Gabon SIS Project	766
E-Governance Project	181,1,8
E-Governance Project. Phase	181
E-Government Expansion Project	126
E-Government Infrastructure Project Phase V	1283
E-Government Project	58
E-Government Project. Phase	58
E-Government Strengthening Support Project	1044,2560
E-National Higher Education Network Project	125
E-National Higher Education Network Project Export-Import	125
E-Waste Management Plan. Project	1284
E-nable Project	2853
EARDIP Le Projet	7956
EARDIP Project	3238
ECOWAS Project Preparation and Development Unit	10509
ECOWAS’ Amilcar Cabral Submarine Cable Project	1264
EDGE Digital Governance and Economy Project	4214
EDGE Project	1228,6451
EDGE Project Mozambique	5609
ENERCA. The SENI-Plus Project	988
ERERA Headquarters Special Project Financial Reporting	6422
ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT	1660,1,1,1,1,1,1,1,1,1,1,1,3,1,962,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,728,2250,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1
ET DE LA RECHERCHE Projet	4402
EU-EAC DEEP Project	8546
EU-funded E-nable Project	2853
EXIM Greenlights Digital Transformation Project	3441
East Africa Regional Digital Integration Project	7192
East Africa. Submarine Cable Project Set	6554
East-to-West Connectivity Project	5293
Eastern Africa Regional Digital Integration Project	1216,64,1958,2858,746,86,300,280
Ecologically Friendly Leather Tanning Project	1554
Economic Governance and Extractive Sector Support Project	7160
Editorial Team The Project for Accelerating Digital	5495
Education Project	791
Education Project. The French	244
Educational Technical Cooperation Project	122,337
Educational Technical Cooperation Project. China’s Ministry	122,337
Electricity Distribution Project	87
Electricity Sector Strengthening and Access Project	988
Electronics Expansion Project	1795,1413,3881
Electronics Infrastructure Expansion Project	1795,1413,3881
EmpowerHer Project	7990
Enable Service Delivery Project	6754
Environmental Project Brief	1988
Eswatini Digital Transformation Project	3122,3091
Eswatini Digitization Project	6821
Eswatini IFMIS and PFM Capacity Building Project	536
Eswatini Youth Employment Opportunities Project	2832
Ethiopia Digital Foundations Project World Bank	750
Ethiopia Digital ID for Inclusion and Services Project	1290,1165
Ethiopia Public Financial Management Project World	156
Ethiopia's Digital ID for Inclusion and Services Project	6276
Ethiopian Digital Foundation Project	750,1044,1,1412,1,3880,1
European Union-funded Liberia Media Empowerment Project	3008
Extensible Project Management Sparx Enterprise	9124
F CFA. Du Projet	3836
F. Projet EPSS	8556
FINANCIAL PROJECTIONS	1818
FM Manual for World Bank Investment Project	1867
FOTA and Project Giga	10742
FY2018. Project	291
Farmer Visibility Project	8374
Favilli Raffaele. Project	427
Feb-2027 Projected Date for Full Disbursement	2473
Federal Project Financial Management Department	4834
Feedback Response of Project Follow-up Timetable	1988
Finance and Zambia Refugee and Host Community Project	1988
Financement de Projets	1649,4334,3356,405
Financial Inclusion Support Project	416
Financial Management Manual. Draft Project Implementation	1778
Financial Management Specialist and Project Accountant	1867
Financial Projections	9198
Financial Sector Development Support Project	2421,1071,3
Financiamento de Projectos Piloto	2816
Financing Financing Total Project Cost	1284
Financing Instrument Investment Project Financing	4653
Financing and Project Agreements	1867
Finanzierungsreife von Projekten	9062
Finanças Project	8166
Flagship Projects	958
Flagship Projects And Coordinated Implementation	958
Follow-on Digital Malawi Acceleration Project	3072
Food Systems Resilience Project	2872
Fortune N. Jomane Project Location	1554
Frequency Biannual Data Source Project	1867
Fund Project	10477
Funded Project	1988
G Project	54
G42. Project	3617
GAC's Project Browser	9203
GDP. Projections	236
GEF Project Grant	3431
GEF Project ID	3430
GESD Project	6754,1645
GET ATTRIBUTION The Project	1818
GIGA Project School Connectivity Dashboard	899
GMEO2027 Related Project AI	6948
GPE Debt Project	1125
GPT Education Project	4759
GREAT Project	6166
GRIEVANCE RECORDING FORM Project Reference Name	1778
Gabon Advances Tier III Datacenter Project	8542
Gabon Statistical Development Project World Bank	223
Garneton North Solar Project	5247
Generation Partnership Project	5675
Genomes Project	10188
Gestion de Projet	235
Gestion des Projets	2342
Gestão de Projectos	8000
Gestão de Projectos de IA	2816
Ghana Digital Acceleration Project	3250,3027,2490
Ghana Digital Acceleration Project World Bank	979
Ghana Rural Telephony and Digital Inclusion Project	478,1,7546
Ghana Trade Fair Redevelopment Project	1041
Ghana Vocational Education and Training Upgrade Project	258
Giga Project School Connectivity. Retrieved	899
Goat Productivity Project	1554
Goat Productivity Project Lupane District	1554
Goat Project	1554
Golden Shield Project	5242,474
Good Projects	1264
Gouvernement. Ce Projet	7263
GovTech and Citizen Engagement Project World Bank	157
Governance Reform and Accountability Transformation Project	5494
Governance Team Leader Julius Coredo and Project	8094
Governance and Accountability Project European Commission	1460
Governance and Economy Project	2473
Government Infrastructure Project	106,203,24
Government Infrastructure Project Phase V	1283
Government Infrastructure Project. The Government of Uganda	106
Government Last Mile Broadband Connectivity Project	2256
Government Projects	970
Government Strengthening Support Project	3604
Greater Abidjan Port-City Integration Project	7430
Guidelines for ICT Projects	6946
Guinea Launches Nine Digital Projects	6228
Guinée. F. Projet EPSS	8556
Gwanda Solar Project	6492
H SIM TC Tmcel WBG Project	1228
HEC Paris. Projects	2544
HEPRR Project	1867
HIPSSA Project Assistant	26,1,1
HIPSSA Senior Project Coordinator	26,1,1
HISWACA Project	8459
HOST COMMUNITIES PROJECT Public Disclosure	1988
Hamad Bin Khalifa Department of Projects	3583
Head of Project Management and Governance	8477
Health Projects Worth	5910,491
Health Service Delivery and System Strengthening Project	988
Health Units Digitalization Project	3284
Heritage-Based Call. Project Design	1154
High-Performance Computing Center Project	51,134
Horizon Europe Moonshot Projects	9816
Horizon Project	4555
Host Communities Project	1988
Huawei. The Digital Transformation Acceleration Project	2306
Hydropower Project. Being	3760
Hz Size Projection System	34
I. PROJECT STATUS AND RATIONALE	1228,1245,2180
ICE IV Project Propels Intra Asia	2677
ICT Enabled Distance Learning Project	581
ICT Innovation Ecosystem Strengthening Project	207,691
ICT Modernization Project	343,18
ICT Project	3678
ICT Projects	1670
ICT-Based Distance Learning Project	580
IDA Audrey Anne Alexandra Ariss Project	1284
IDA Investment Project Financing	2840
IDA Project Paper	2780
IDEA Project Steering Committee	7945
IDRC Project	1554
IFC-supported Somali Unlocking Sector Investment Project	6788
II. Overall Project Performance Key	2989
II. PROJECT DESCRIPTION	969,295,603,1737,2935
II. PROJECT DESCRIPTION A. Project Development	1264,603,1737,2935
III. Overall Project Implementation Status Key	2989
INFRASTRUCTURE PROJECTS	5533
INTEREST FOR THE PROJECT REFERENCE	962
IPPIS Data Harmonization Project	7973
ITU-EC Project	26,1,1
ITU-EC-ACP Project Assistant	26,1,1
ITU-EC-ACP Project Manager	26,1,1
IV. PROJECT APPRAISAL SUMMARY	969,295,603,1737,2935
IV. PROJECT APPRAISAL SUMMARY A. Technical	1264,2340,2935
IV. PROJECT APPRAISAL SUMMARY Page	1867
Ilha de Santiago. Projeto de Abastecimento	1265
Implementation Manual PIU Project Implementation Unit	1264
Implementation Unit Post-Disaster Needs Assessment Project	1228
Improved Rural Connectivity Project World Bank	227
Improvement Project Economic Development Cooperation Fund	850
Inclusion Project	2427,1177,920,2902
Inclusive Digital Transformation for Malawi Project	3643
Incubation Center Building Project	1787,1417,3881
Independent Transmission Project	5912
Industrial Projects Approved	2775
Influential Projects	6603
Infrastructure BoFiNet Completes P43m Fibre Project	9912
Infrastructure Project	175,134,10358
Infrastructure Project Phase V	1089
Institutional Coordination and Project Management	1284
Integrated Project Management	6946
Integration Project	6928
Integration and Inclusion Project Official Use Only	3604
Internet Governance Project	6562
Internet Governance Project Skip	6562
Introduced Project Guardian	9103
Introducing Project Loon	3782
Investment Project	1704
Investment Project Financing	761,1013,517,421,850,1126,1891,175,79,95,949,74,215,1437,1
Investment Project Financing Current Closing	1228
Investment Project Financing IRR Internal Rate	6539
Investment Project Financing Official Use Only	3604
Investment Project Financing. Environmental	5620
Investment Wall. Project	10592
Ivoire E-Agriculture Project World Bank Group	310
Ivoire Youth Employment and Skills Development Project	959,2645
JEUNESSE ET DE LA CULTURE Projet	4402
Jan-2024 Financing Projected Date of Full Bank	1284
Judiciary Automation Project	6946
Jul-2022 Projected Date for Full Disbursement	4653
Julius Nyerere Hydropower Project	9492,287
K. Project CHF	285
KCR Project	4768
KeHMIS Project Documentation Website. All Rights	10641
Kenya Cyber Resilience Project	4470
Kenya Digital Acceleration Project	3604
Kenya Digital Economy Acceleration Project	3604,3876,153,1576
Kenya Digital Economy Acceleration Project World	1201
Kenya Digital Economy Acceleration Project and Sh3.1	6587
Kenya and Nigeria. The Saving Voices Project	5682
Kenya. Amazon's Project Kuiper	6745
Key Projects	3485
Kobong Project	8801
Korhogo le Projet	10096
L'Unité de Gestion du Projet	5983
L'objectif du Projet	3370
LARGEST NAMED DIGITAL PROJECT OUTSIDE	1783
LIFT Project MSME	3518
La Socio-Economic Rights and Accountability Project	8984
Lagos Identity Project	3101
Lancement du Projet	2960
Last Mile Connectivity Project	10313
Le Coordonnateur du Projet	6827
Le Projet	1281,2035,1025,1494,992,813,336,1,16,2211
Le Projet Djibouti Fondement du Numérique	3795
Le Projet TRANSFORME	10204
Le Projet WURI	7993
Le Projet de Loi de Finances	4162
Legal Agreement. Project	6539
Legal Basis Project	7409
Legal Operational Policies No No Projects	3604
Legal Operational Policies No Projects	3456
Legislature. Construction Projects Behind Schedule	9650
Level One Project	138,2720
Liberia Electoral Support Project	8860,352,1133
Library Freedom Project	8022
Libya’s Libya-Africa Transit Corridors Project	5317
Light Up Project	10742
Local Access Network Project	5444
Local Access Projects	9912,138
Lower Casamance. Project	5056
M Distribution and Access Project	1538
M Foya Project By Leroy M	4998
M High-Speed Internet Project Across the Country	5292
M PROJECT TO BOOST TAX ADMINISTRATIONS	10581
M Transmission Backbone Project	1539
M. Fodé YOULA Coordonnateur du Projet WARDIP	7977
MDAP Mozambique Digital Acceleration Project MEF	4214
MFD-Enabling Project	1264,440,163,424,182,983,106,42,1049
MIGA Issued Projects.csv	88
MOZAMBIQUE DIGITAL ACCELERATION PROJECT	989
MS Project Management S S MS	1284
MTN Digital Infrastructure Project E2 W	4069
MW Kabwe Solar Project	5247
Macro and Micro Correlates of World Bank Project	1264
Madagascar Financial Inclusion Project	304,473
Madagascar Project World Bank Group	1199
Madagascar Safety Nets and Resilience Project	1023
Madagascar Safety Nets and Resilience Project. Supports	1023
Malawi Acceleration Project	10411
Malawi Digital Foundations Project	3072,19,11
Malawi Digital Foundations Project World Bank	230
Malawi Education Sector Improvement Project	978
Malawi National Fibre Backbone Project	127
Mali Elephant Project	9552
Management Unit PMC Project Management Consultants	1988
Management Unit Satellite Project Management Unit	1867
Manufacturing Projects Approved	2775
Manufacturing Projects1 Regis-	2775
Mauritania Public Sector Governance Project	2889
Mauritius Telecom Safe City Proje Crosswalk	259
Medium-Sized Project	3431
Melhor Projeto de Inclusão Digital	2281
Meta’s Project Waterworth	6773
Microfinance Development Support Project for Women and Youth	792
Microsoft Project Online	6432
Mid Project Reflections 2018.pdf	226
Mid-Term Review Project Development Objective Project	4653
Million Digital Transformation Projects Madagascar	6824
Million Startup Hub Project	3054
Million World Bank Backed Project	10157
Mineral Processing and Battery Technology Research Project	1554
Mineral Processing and Battery Technology Research Projects	1554
Ministro da Coordenação de Projetos Especiais	8200
Ministry of Finance ICT Modernization Project	477
Mln for Digital Projects	4400
Moderate Technical Design of Project	6928
Moderately Unsatisfactory A. Summary of Project	2989
Modernization and Revamping of Postal Offices Project	6946
Monitoring and Evaluation of Ongoing Research Projects	1554
Monitoring and Evaluation of Research Projects The Research	1554
Morabeza Innovation Project	3709,1620
Morabeza Innovation Project African Development Bank	1409
Mozambique Digital Acceleration Project	1228,1761,1664,2180,2726
Mozambique Digital Acceleration Project World Bank	996
Mozambique Digital Governance and Economy Project	772,456,3317
Mozambique Mozambique Digital Acceleration Project	4653
Mozambique Mozambique Digital Acceleration Project Project	1228
Mozambique Mozambique Digital Acceleration Project TABLE	4653
Mozambique Northern Urban Development Project	1228
Mozambique's Rural Connectivity Project Seeks Bids	3489
Mozambique. Project	1129
Myanmar Internet Project	9082
N Licensee Project	718
NCC Project BRIDGE	8207
NILALEG Project	9353
NISR’S Data Governance Project Lead	6088
NRGP Natural Resource Governance Project PDO	2889
NTIC Project	343,18
Nairobi's Mukuru Affordable Housing Project	6864
Name of Project	9603,1
National AI Projects	1204
National Backbone Fiber Network Project	5293
National Backbone Project	4840
National Broadband Infrastructure Upgrading Project	1088,61
National Broadband Network Densification Project Phase	715
National Broadband Network Phase II Project	56
National Broadband Network Project	54
National Data Centre Construction Project	1715
National Data Centre Project Priority	2256
National Data Centre Project Priority Document	2256
National Digital Addressing Project	3751
National Digital Superhighway Project	6946
National E-Government Transformation Project	3907
National Fayda Digital ID Registration Project	7129
National Fibre Backbone Project	127,213,143
National Fibre Backbone Project. The GCL	483
National Fibre Optic Backbone Infrastructure Project	360
National Fibre Optic Backbone Project	10157
National ID System Expansion Project	5855
National Identification Project	5855
National Instant Payment System Project	5864
National Meteorological Service Modernization Project	2305
National Project Collect	1988
National Project Policy Stakeholder Group	1867
National Project Steering Committee	9650
National Registration Card PDO Project Development	1867
National Registration and Identification System Project	2264
National Roads Administration Project Development Objective	1228
National Single Window Project	9361
National Social Protection System Project	973
National Social Safety Nets Project	10093
National Telecommunication Coverage Project	228,1
National Telecommunication Coverage Project. The PBC	228,1
National Telecommunications Backbone Project	337
Natural Resource Governance Project	2889
NetOne Expansion Project	60,302
NetOne-Huawei Network Expansion Project. The Chine	362
Network Access Support Project	182
Network Modernization Project	257
Network Reinforcement and Access Project Eswatini	2391
News Trident’s Ghana JV Projects US	9977
Next Leap Ctech Testimonials Projects	10068
Niger Adaptive Safety Net Project	409
Nigeria Components Resilient Digital Infrastructure Project	3456
Nigeria Digital Identification for Development Project	541,1529,4429
Nigeria Digital Identification for Development Project World	543
Nigeria Project BRIDGE	4452
Nigeria Project Bridge	9633
Nigeria Sovereign Fibre Project	4466
Nigeria Universal Communication Access Project	2359,4126,3901
Nigeria's Project BRIDGE	9261
Nigeria's Project Bridge	5804,1208
Nigeria. Project Implementation	7877
Non Seeded Projects. Copyright	1380
Nothing Delta Wants Public Projects Feedback	10034,231
Noun Project	1009
O Projecto	6595
O Projecto Conecta Angola	7240
O Projecto de Aceleração Digital de Angola	8594
O Projecto de Aceleração Digital de Moçambique	9558
O Projeto Ngola Digital	10614
O Projeto PReSE	4711
O Projeto de Reforma	3530
ONA Project	8753
OPERATION STATUS Project Development Objective	2473,2180
Objectif de Développement du Projet	2966
Objective PIM Project Implementation Manual PIU	6539
Objective PIM Project Implementation Manual PMU	1867
Ongoing World Bank Projects	3604
Online Marketplace Project Snapshot. Lead Organization	4257
Open Education Resources Project	6946
Open Education Resources Project Counties	6946
Open Web Application Security Project	8439,798
Open Worldwide Application Security Project	7283
OpenAI’s Project Stargate	5161
Opportunities Project	4535
Orange Telecom Project	1543
P176396 Investment Project IDD04	1284
PA Project Account PAGDS Enhancing Government	3604
PAD5527 INTERNATIONAL DEVELOPMENT ASSOCIATION PROJECT PAPER	1284
PAFEN Digital Foundations Project	1284
PARAE E-Government Strengthening Support Project	3604
PARSE Project	988
PDO Project Development Objective PIM Project	1264
PDO Project Development Objective The World	2473
PDO. A Project Procurement Strategy for Development	1867
PFM Public Financial Management PIU Project	969
PHASE II PROJECT	2466
PIDIA00549 BASIC INFORMATION A. Basic Project	1704
PIDIA00880 BASIC INFORMATION A. Basic Project	2291
PIM Project Implementation Manual PMU Project	1988
PIM Public Investment Management PIU Project	1284
PIT Project Implementation Team Figure	582
PIU. The Project Steering Committee and Technical	1284
PIUs and Project Steering Committees	1264
PMT Project Monitoring Team Figure	582
PPA Project Preparation Advance PPP Public	1264
PPP Public-Private Partnership PPSD Project Procurement	3604
PPSD Project Procurement Strategy for Development PrDO	6539
PRESENTATION DU PROJET DE LOI Ministère	1247
PROJECT	962,7,898,2001
PROJECT ALTERNATIVES	1988
PROJECT AS PHASE III UNDER	6539
PROJECT DEVELOPMENT OBJECTIVE Current PDO	1284
PROJECT FINANCING DATA	1264,20,420,163,424,1165,106,42
PROJECT HANNIBAL	1818
PROJECT IMPLEMENTATION	1818
PROJECT PANGOLIN National AI	4528
PROJECT RESTRUCTURING OF Digital Governance and Economy	2473
PROJECT RESTRUCTURING OF Mozambique Digital Acceleration	4653
PROJECT TEAM Bank Staff Name Role	1284
PROJECTED PROFITABILITY FOR THE BANK	1818
PROJECTION	2021
PROJECTS IN NORTH IMENTI Hon. Dorothy	10313
PROJECTS STORY	1991
PROJET	3868
PROJET D'ACCÉLÉRATION DIGITALE EN CÔTE D'IVOIRE	4895
PROJET DE CONSTRUCTION D'UN DATA CENTER	1005
PROJET DE CONSTRUCTION DE LA LIGNE	2342
PROJET DE LOI N	1801
PROJET DE TRANSFORMATION NUMERIQUE POUR L’AFRIQUE	7977
