A. QUALITY OF MONITORING AND EVALUATION	15424,87,90,62,68,1221,897,13
Food Price Monitoring and Analysis	15620
Food Security Monitoring	15552
Food Security Monitoring Survey	17849
Food Security Monitoring System-FSMS	17885
Foodcrops Monitoring and Preparedness	14818
Foodcrops Monitoring and Preparedness Fragmented	14818
Foreign Exchange Monitoring and Orchestration Unified System	14124
Foreign Flows Monitoring Director	6938
Foreign Researchers Monitoring Visits The Research	1554
Formulation Domestication Monitoring	961
Foundation for Real-Time School Monitoring Prior	11970
Founder and Group CEO of Moniepoint	2310
Framework The Monitoring and Evaluation	4528,7984
Framework de Monitorização	11442
Frequency Monitoring and Spectrum Regulations	16884
Fuel Quality Monitoring	12256
Functions of Cyber Security and Monitoring of Interceptions	972
G&D SSP MONITORING AND EVALUATION FRAMEWORK	14935
G. Risks and Monitoring	10997
GCM Implementation and Monitoring Plan	9838
GEMS Global Education Monitoring System	14971
GIEWS Earth Observation for Crop Monitoring	16464,708
GIEWS Food Price Monitoring and Analysis	16464,708
GIGA Monitoring Dashboard App	11220
GIS Monitoring System LPG Overview Licensees	12515
GOVERNMENT COMMITMENT TO MONITORING COMPACT	15977
Garrido Martin Monitoring and Evaluation AFTDE Specialist	15372
Gauteng Growth and Development Agency MDTT Monitoring	11986
Gender Monitoring Office	14935
Gender Monitoring and Evaluation Officer	12977
General OSH Monitoring Committee	14738
Geo-Enabled Monitoring and Supervision	10829
Geo-Enabled Monitoring and Supervision GFF Global Financing	10829
Geo-Enabling Initiative for Monitoring and Supervision	3604,11949,105,1680,568,56
Geo-Enabling for Monitoring and Supervision	16436
Ghana Agricultural Information and Monitoring System	9561
Global Action Plan Monitoring Framework	10776
Global Agriculture Monitoring	17157
Global Digital Health Monitor	15720
Global Digital Health Monitor GMAO	15720
Global Education Monitoring Report	13477,461,1226,1745
Global Education Monitoring Report. Paris	6832
Global Entrepreneurship Monitor	10969,915,11,264,46,146,4,21,111,2410,583
Global Entrepreneurship Monitor JICA Japanese International	14897
Global Entrepreneurship Monitor. Available	12376
Global Entrepreneurship Monitor. Supporting Africa	12376
Global Monitoring Database. Page	15663
Global Monitoring Report	6938
Global Monitoring of School Closures Caused	15604
Governamentais Programa Conjunto de Monitorização OMS	10777
Government Monitoring Systems	17139
Government-wide Monitoring and Evaluation Systems	11224
Groups Monitor Seasonal and Geographic Variations Strengthen	17285
Growth Monitoring and Promotion	15247
Grupo de Monitorização	15966
Guide for Monitoring the Safety of Medicines	10776
Hazardous Waste Management and Monitoring Plan	1988
Head of Monitoring and Evaluation	10763
Head of Monitoring and Evaluation Unit	2678
Headmistress of St. Monica’s Girls’ School	5802
Health Monitor	18237
Health Resources and Services Availability Monitoring	15206
Hon. Senator Monica Mutsvangwa	7436
Honourable Senator Monica Mutsvangwa. The Global	13673
Human Resource Capacity Monitoring and Evaluation	21
IBM Iterative Beneficiary Monitoring IDP Internally	16384
IC Prior Monitoring and Evaluation	15372
ICRC Interagency Triage Tool. Monitored	15206
ICT Monitor AI	6832
IDMC Internal Displacement Monitoring Centre	11887,266,1,9,178
IFMIS. Land Administration Use Directorate Monitoring	14002
IGAD Seeks Consultant for Crop Monitoring and Forecasting	13925
III. Monitoring Meetings and Reporting	17011
IMF Fiscal Monitor	17364
IMF Staff Monitored Programme Technical Committee	11131,3
IMPACTS Monitoring	16843
IMPLEMENTATION AND MONITORING AND EVALUATION	16033
IMPLEMENTATION AND MONITORING Development	16883
IMPLEMENTATION AND MONITORING OF KEY ACTIONS	14773
IMPLEMENTATION PLAN AND MONITORING AND EVALUATION	12675
INFORMATION AND MONITORING	15149
IO Table SPACE Monitoring	16922
ITC International Trade Centre M&E Monitoring	12962
IV. Monitoring	15039
IV.2 Monitoreo	16898
IV.2.1 Monitoreo	16898
IX. MONITORIZAÇÃO E AVALIAÇÃO	10772
IX. RESULTS FRAMEWORK AND MONITORING	10768
Identify Indicators Planning Evaluation Monitoring	13991
Identifying and Monitoring Good Practice	15473
Impact Monitoring Framework	16853
Impact Monitoring Working Group	16853
Implement Monitoring Framework Key Performance Indicators	12508
Implementation Monitoring Committee	14747
Implementation Monitoring Report	14844
Implementation Plan and Monitoring and Evaluation Framework	12675,1795
Implementation Status and Results Report M&E Monitoring	16896
Implementation and Monitoring	1988
Implementation and Monitoring Committee	14835
Implementation and Monitoring of Gender Activities	13420
Implementation and Monitoring of Gender Activities Finding	13420
Import Monitoring and Domestic Monitoring Department	1988
Improve Climate Risk Monitoring	11103
Inadequate Monitoring and Evaluation	14546
Incidents Reported By Pbo Field Monitors	16970
Independent Monitoring Mechanism	14743
Independent Monitoring Mechanism PART II	14743
Independent Monitoring and Evaluation Framework	11857
Indicator Monitoring	1818
Indicator Name Monitoring	15601
Indicator Performance Monitoring and Management	17116
Indicator Type of Monitoring Monitoring Voltage SAIDI	14867
Indicator for Monitoring Budget Air Pollution	1988
Indice MONIA	8891
Indices for Outages Performance Monitoring	14867
Industry Performance Monitoring	408
Ineffective Monitoring and Evaluation Systems Under Rwanda	13418
Information Sharing and Monitoring Platform	15704
Information Technology M&E Monitoring and Evaluation MDTF	16922
Information Technology M&E Monitoring and Evaluation MoTS	13345
Infrastructure CDMU Compact Delivery and Monitoring Unit	12717
Infrastructure Monitoring Center	4682
Initiative TMB Treaty Monitoring Body TSP	970
Installation of Monitoring Agents	9123
Institutional Responsibilities Monitoring	7548
Institutionalize Monitoring of User Satisfaction Adopt	17149
Instituto Universitario Egas Moniz	14839
Integrated Pharmaceutical Market Monitoring System	11939
Intermediate Level GIAC Continuous Monitoring Certification	15662
International Gateway Monitoring System	5244,9110
International Gateway Monitoring System IIC	5244
International Gateway Monitoring System. The Authority	14354
Introduction The Monitoring and Evaluation	17116
Investment Monitor	6490
Investment Monitor. USD	6633
Investment Project Financing M&E Monitoring and Evaluation	10829
Ipsos AI Monitor	15713
Issue Monitoring Operating Model Metadata	15034
Joint Monitoring Committee	11193
Joint Monitoring Framework	15604
Joint Monitoring Programme	13325,2249
Joint Monitoring Programme WHO-UNICEF	13325
Joint Monitoring Reports	16398
Joint Monitoring Visits and Field Inspections	15845
Joint Review and Monitoring of Metrics	4217
José Carlos Moniz Varela	8200
Kenya National Monitoring and Evaluation Policy	7548
Kenya. Moniepoint	11119
Kepple Africa Ventures and Endeavor Catalyst. Moniepoint	711
Key Performance Indicators and Monitoring Framework AI	4528,7984
Kleeme Director of Monitoring and Evaluation	17260
LACK OF PROPER MONITORING	6211
LEG Local Education Group M&E Monitoring	15661
LEO Low Earth Orbit M&E Monitoring	3604
LMP Labor Management Procedure M&E Monitoring	15491
LMP Labor Management Procedures M&E Monitoring	13331,4962,8
LRP Livelihood Restoration Plan M&E Monitoring	16384
LTSS Long-Term Savings Scheme M&E Monitoring	15138
LV Low Voltage M&E Monitoring and Evaluation	12399
Lake Kivu Monitoring Program	12358
Lake Kivu Monitoring Program LV	12358
Land Administration Use Directorate Monitoring	14002
Land Degradation Monitoring and Sand Dune Mapping	15015
Land Reform DPME Department of Planning Monitoring	11224
Land Research and Monitoring Unit	14742,9
Last Mile Access Monitoring	12399
Laws Governing Electronic Monitoring Despite	14190
Leverage Monitoring	14985
Liability No Monitoring	26
Liberia National Police. Monibah	16890
Liberia Revenue Authority MND MFDP Monitoring	16144
Liberia. Activity Revenue and Enforcement Delay Monitoring	13042
Libya Activates LY GOVREP Platform for Government Monitoring	5775
Libya Economic Monitor Spring	16902
Limited Performance Monitoring	17139
Local Authorities. Monitoring	14738
Logical Monitoring and Detection	15054
Logistics Management Information System M&E Monitoring	15556
Low Monitoring and Early Warning Systems	14443
M&E Monitoring and Evaluation M2M Machine	6946
M&E Monitoring and Evaluation MACS Ministries	17139
M&E Monitoring and Evaluation MDA Ministries	14897
M&E Monitoring and Evaluation MDAs Ministries	17099
M&E Monitoring and Evaluation MEN Ministry of Education	11560
M&E Monitoring and Evaluation MICSTI Ministry of Information	12674
M&E Monitoring and Evaluation MOE Ministry of Education	1988
M&E Monitoring and Evaluation Mbps	17862
M&E Monitoring and Evaluation NCB National Competitive	15411
M&E Monitoring and Evaluation NGO Non-governmental	17906
M&E Monitoring and Evaluation Plan	12911
M'bwezera Monitoring Tool	12980
MCTIC Monitoring and Evaluation Megabit	15424
MDTT Multi-Disciplinary Task Team M&E Monitoring	5533
ME PDO Table SPACE Monitoring	1284,12047,1,3590
MEA Monitoring Unit	9353
MEDIA MONITORING FINDINGS	12201
MEDIA MONITORING FINDINGS Methodological	12201
MIS Management Information System M&E Monitoring	11924
MIS Monitoring PIU	10964
ML-Enabled Systems Model Deployment and Monitoring	11156
MONIARUCK Masoud System Analyst	14770
MONIKA N DAVID	12478
MONIMPEBOUGOU	17828
MONINGA MALAMU MINISTRY	15465,991
MONITOR AND IMPLEMENT POLICIES	16970
MONITOR AND IMPLEMENT POLICIES ON LOCAL	16970
MONITOR Spring	11271
MONITOREO Y EVALUACIÓN DE LA ENDE	16898
MONITOREO Y EVALUACIÓN DE LA ESTRATEGIA	1701
MONITORING	1131,133,5168,1116,3645,1251,315,180,1813,1,169,227,407,1415,143,2,144,613
MONITORING AND COMPLIANCE ARCHITECTURE	3861
MONITORING AND EVALUATION	396,544,4304,1,6615,714,127,2221,13,7,23,591,1327,2,30,36,74
MONITORING AND EVALUATION ARRANGEMENTS	15845
MONITORING AND EVALUATION ARRANGEMENTS FRAMEWORK	15796
MONITORING AND EVALUATION CHAPTER	13982
MONITORING AND EVALUATION CONCLUSION ANNEXES	16872
MONITORING AND EVALUATION Definition of Indicators	962
MONITORING AND EVALUATION FRAMEWORK	16041,843,255
MONITORING AND EVALUATION FRAMEWORK Accountability	17139
MONITORING AND EVALUATION Failure	16872
MONITORING AND EVALUATION MATRIX	7548
MONITORING AND EVALUATION MATRIX Theme	7548
MONITORING AND EVALUATION OF BROADBAND PLAN	16884
MONITORING AND EVALUATION UNIT	12962
MONITORING AND EVALUATION UNIT The Poverty	12962
MONITORING AND EVALUATION Within	5244
MONITORING AND REASSESSMENT Approval	11156
MONITORING AND REPORTING	16926
MONITORING AND REPORTING ON SEP	17099
MONITORING Availability	16892
MONITORING DE LA QUALITE DE L’ELECTRICITE	15670
MONITORING IMPLEMENTATION OF THE VPA	16843
MONITORING Monitoring	12970
MONITORING OF DECENTRALIZED SERVICE DELIVERY	14935
MONITORING POLICY P12 Policy	11857
MONITORING PROGRESS	11940
MONITORING Population	15518
MONITORING SUCCESS	1818
MONITORING SUCCESS Transition Impact Monitoring Indicators	1818
MONITORING SYSTEM FOR THE IMPLEMENTATION	18305
MONITORING SYSTEMS Planning	17157
MONITORING THE DOMESTIC TIMBER MARKET	16843
MONITORING THE IMPACT OF THE VPA	16843
MONITORING THE IMPLEMENTATION OF NAP	18305
MONITORING THE IMPLEMENTATION OF NAP2	18305
MONITORING and EVALUATION PLAN	15743
MONITORIZAÇÃO	11390,23
MONITORIZAÇÃO DE SUBPROJECTOS	11390
MONITORIZAÇÃO DO PSE	11523
MONITORIZAÇÃO E AVALIAÇÃO	17093
MONITORIZAÇÃO E REVISÃO DA ESTRATÉGIA NACIONAL	4146
MPG Modalities Procedures and Gridlines MRV Monitoring	17140
MPSAM Monitoring and Evaluation Plan	3604
MS S S S S Monitoring	16922
MSMEs. Moniepoint	2243
Maagwero Social Media Monitoring System	12241
Machine Learning for Environmental Monitoring	18318
Madame Monique Bassenewindé YARGA	16287
Magwero Social Media Monitoring System	13080,15
Malawi Economic Monitor	12181,783,1710
Malawi. Monitoring	13005
Management Procedure M&E Monitoring and Evaluation MAPS	15518
Management System M&E Monitoring and Evaluation MEAL	15604
Manzini. G. Monitoring and Evaluation The Deputy	12977
Market Monitoring	3641,2035
Master Plan and Monitoring and Evaluation Plan	12529
Means of Responsibilit Monitoring	12253
Measurement and Monitoring	15034
Measurement and Results Monitoring	15130
Media Monitoring	17139
Media Monitoring Africa	9967,762,2732
Media Rights Monitor	11095,7116
Members Framework B Design of Monitoring for High-level	961
Middle East and North Africa Economic Monitor	16902
Ministry of Finance Monitor	15845
Ministry of Finance's Program and Project Monitoring Unit	15990
Ministry of ICT and Monitor	6227
Mitigation Monitoring	1988,10265
Mobile Money Monitoring System Mobile	718
Model M&E Monitoring and Evaluation MCAZ Medicines	12512
Monia FICHI Secrétaire	18003
Monia Santini	10963,1
Monibah	16890
Monica	11007,7311
Monica Amuha	15960
Monica Amuha Grace	13016
Monica Amukugo	12478
Monica Céleste	16100
Monica Inyang	9115
Monica Musenero Masanza	5249,164
Monica Mutsvangwa	13447
Monica Nchama MBA Jefa de Departamento	16898
Monica Nehemia	11771
Monica Obongo	14567
Monica Obongo The NSDM	14567
MoniePoint	2610
MonieWorld	11119
Moniebook	4725,3276
Moniebook and Orda	4725,1040
Moniepoint	608,103,311,417,151,633,20,4,63,516,795,106,237,486,104,75,96,247,152,76,172,102,216,53,22,104,659,940,163,58,239,11,62,106,620,618,407,129,129,147,8,119,221,294,2,318,2137,3289,229
Moniepoint Digital Payments Equity Investment Swedfund	2243
Moniepoint GB	11119
Moniepoint Ganiu Oloruntade	2310
Moniepoint Group	1439,784,8896
Moniepoint Group Nigeria Series C	2223
Moniepoint Group's Series C	2223
Moniepoint Happily Authenticated	2310
Moniepoint Inc	608,103,1532,4,2478,3276,1880,1238
Moniepoint Nigeria	1439
Moniepoint Nigeria Visa Inc	2247
Moniepoint Publishes Inaugural Impact Report	8001
Moniepoint Series B	711
Moniepoint Series C	2223
Moniepoint and LemFi. Indeed	4883
Moniepoint and OPay	10161
Moniepoint and OPay N1	8107
Moniepoint's	2247
Moniepoint's POS	8001
Moniepoint's Series C	2247
Moniepoint's USSD	8001
Moniepoint. Crosswalk	608
Moniepoint. Eniolorunda	10010
Moniepoint’s UK	11119
Moniepoint’s US	12339
Monies	16850,2
Monina Tran	10840
Moninet Limited	3386
Monique Barrere Christopher Gramer Joan Wardell	13300
Monique Mogue Kamga Ioana Alexandra Botea	15601
Monique Ndome Didiba	16012
Monique Yarga	6889
Monitor	34,924,42,988,489,1036,613,402,1137,11,756,400,585,121,10,1415,1194,564,296,171,42,45,10,116,460,134,190,16,13,26,13,33,16,54,3,153,163,287,9,214,196,804,256,377,47,9,23,50,50,30,7,32,659,120,132,210,680,5,43,11,21,4,60,88,15,13,30,34,173,990
Monitor AI-related	7548
Monitor API	15161
Monitor Campaign Reach and Effectiveness	12675
Monitor Impact	12675
Monitor Intumwa	14997
Monitor Quality of Service	5676
Monitor SDG	17149
Monitor Trends	12675
Monitor and Adapt	12675
Monitor and Audit Systems	12675
Monitor and Evaluate	11216
Monitor and Evaluate Deployments AI	12675
Monitor and Evaluate Impact	12675
Monitor and Evaluate Programs	12675
Monitor and Evaluate Progress Monitoring and Evaluation	1000
Monitor and Evaluate Projects	12675
Monitor and Oversee	14889
Monitor and Promote Evidence-Based Policy Making	11940
Monitor and Promote Evidence-Based Policy-Making	8817
Monitor and Update Regulations	12675
Monitor the SPMU	1988
Monitor. Ms Nyakikongoro	1210
Monitor1i4n.gM	10157
Monitorable	17983
Monitoramento	167,372,10896,21,442
Monitoramento de Acordos	10325
Monitoramento de Riscos	3519
Monitoramento de Tratados	10325
Monitorand	16833
Monitorar	2816,1458,7107,1481
Monitorear	1701
Monitored	5168,6062,1739,2237,1765
Monitored Community Development Projects	12970
Monitored SA Connect	11230
Monitored SAPO Business Rescue Plan	11230
Monitoredprogressofauditassignmentsand	1554
Monitoreo	1701,15174
Monitores	15532,1332
Monitoria	2138,678,7961,664,8,98
Monitoria da Política	11362
Monitoria da Política. Revoga	11362
