A. Economic and Financial Analysis	2889,8636,3847,39
Action Plans for Next Financial Year	12971
Activités Financières	15797
Activités Responsable Période Coût Financement	16618
Activités Sources de Responsables Financemen	17845
Actual Financing Achieved	15663
Actualités Finance Stratégie GRO	13568
Actuarial and Financial Mathematics	13078
Adaptable Program Loan Project Financing Data	15372
Additional Financing	166,417,701,294,517,378,4050,4440,1,505,422,74,43,772,52,148,352,60,434,5,2,7,57,19,630,7,335,131,171,187,34,100,20,19,51,62,119,201,30,174,211,216,282,26,27,11,40,470,379,55,2,130
Additional Financing AFD Agence Française de Développement	16952
Additional Financing AFD French Development Agency	11924
Additional Financing AICD Africa Infrastructure Country	17862
Additional Financing AM Accountability Mechanism ANC	15138
Additional Financing AM Accountability Mechanism ARCEP	2889
Additional Financing ATM Automated Teller Machine	15663
Additional Financing African Development Bank	808
Additional Financing CAB4 World Bank Group	162
Additional Financing Credit Grant SML Guarantee	2889,12249,845
Additional Financing NewFinEnh1 World Bank Group	1284,15638
Additional Financing No	11965,3225,592,616
Additional Financing PDO	15663
Additional Financing Package Seq	15731,259
Additional Financing Pilot FORSA	15663
Additional Financing Project Paper	14983
Additional Financing Request	12780,52,1721
Additional Financing Sequence	14885
Additional Financing Sequence.02 Not Applicable	15731
Additional Financing Type	11965
Additional Financing World Bank Group	307,450
Additional Financing of IDA Credit US	13831
Additional Financing of US	14966
Additional Financing. D. Project Description	12832
Additional Financing. IDA	757
Additional Financing. Likewise	15411
Additional Financing. Report	15663
Additional Financings	11924,1408,501
Address Financial Challenges	11250
Addressing Africa's Trade Finance Gap DFIs	10718
Addressing Africa's Trade Finance Gap...........29	10718
Adjoint des Finances	17982
Adjoint du Trésor Contrôleur des Finances	17982
Administration Financière	15738
Administration MINISTRY OF FINANCE	13399
Administration and Finance	16970
Administration and Finance Sub-Division	12927
Administration and Finance. Should	12927
Administration des Finances	15412,2487
Administration des Finances DCSFR	10874
Administrations Financières	15418
Administrative Requirements and Financial Rules	12364
Administrative and Finance	14434
Administrative and Financial Management	11941
Administrative and Financial Unit	11401
Adopting Digital Trade Finance Solutions Regulatory	10718
Adoption of Digital Financial Services	1264
Advance Financial Inclusion	12297
Advance Women’s Financial Inclusion Bill	1479
Advancing Financial Inclusion	4848
Advise the Minister of Finance	16968
Advisory Counsel Sindi Manyatsi Financial Accounting	11131,3
AfDB Financing for Cameroon Totals CFA833.8B	5407,676
AfDB Trade Finance Middle and Back Office	10718
AfDB Trade Finance Program	10718
AfDB Trade Finance Survey	10718
AfDB's Trade Finance Division	4143
AfDB's Trade Finance Program	10718
Affaires Financières SPT	10975
Affairs Senior Crown Counsel Financial	12972
Affirmative Finance Action for Women	9702,4236
Affordability of Financial Services	940
Affordable Housing Finance Project	14546
Afreximbank Trade Finance and Trade Facilitation Program--to	10718
Afreximbank and Africa Finance Corporation	11608
AfricInvest Financial Inclusion Vehicle	177,324
AfricInvest Financial Sector Holding	177
AfricInvest's Financial Inclusion Vehicle	501
Africa Continental Financial	11994
Africa Digital Finance	4459
Africa Digital Financial Inclusion Facility	4920,1001,8017
Africa Facility for Digital Financial Inclusion	17235
Africa FinTech Financial Technology GDPR General	14729
Africa Finance Corporation	240,209,2228,329,776,668,797,2739,478,8,140,105,1079,424,914,474,49,2730,17,1,279
Africa Finance Corporation and Saudi Arabia's Vision	14404
Africa Finance Corporation and Vision Invest	14684
Africa Finance E ENS	6998
Africa Finance E ENS ArticleNot E-money	6998
Africa Finance E ENS ArticleRCR Season	6998
Africa Finance E ENS ArticleThe Protection	6998
Africa Financial Community	17870
Africa NFIS National Financial Inclusion Strategy	14897
Africa Trade Finance Gap	10718
Africa's Trade Finance Landscape	10718
Africa. African Financial Stability Committee	6938
Africa. Trade Finance Supply	10718
Africa50 Fund for Project Development and Finance	13387
African Countries Total Financial Institutions Reachable	11002
African Development Bank's Affirmative Finance	16778
African Development Bank's Affirmative Finance Action	15204,1574
African Development Bank's Africa Digital Financial	12269
African Development Fund Africa Digital Financial	13938
African Digital Financial Inclusion	266,1
African Digital Financial Services	5124
African Finance Ministers	13387
African Finance Summit Amid Calls	17069
African Financial Architecture	5202
African Financial Architecture for Development	6338,10446
African Financial Community	4127
African Financial Community CMT Contract Management	15661
African Financial Currency Unit	15661
African Financial Inclusion Policy Initiative	7166
African Financial Institution Assets of GDP	6938
African Financial Stability Committee	4103,2835,1801
African Financial Stability Framework Index	6938
African Financial Stability Report	4103,2835,1801
African Financial Stability Report Working Group	6938,1801
African Financial Technology	15641
African Financing Stability Mechanism	6338
African Ministers of Finance	8472
African Mobile Phone Financial Services Policy	7166
African Monetary Integration and Financial Sovereignty	4103
African Reference Financial Stability Framework	6938
African Startup and Young Innovators Financing Fund	2131,1682
African Union Financial	4103
African Union’s Conference for Finance and Economy Ministers	16863
African-Led Financing Mechanisms	7921
Afrique Participation Financière Publique	2342
Agence Nationale de Financement des Collectivités Locales	16663,56
Agence Nationale de Financement des Collectivités Locales-	16646
Agence Nationale de Renseignements Financiers	4420
Agence de Transfert des Technologies Financières	10237
Agences Finance SA	10965
Agencia Nacional de Investigación Financiera	4209
Agencies MFB Ministry of Finance and Budget MFD	3604
Agencies MFBPE Ministère des Finances	13331
Agencies MFD Maximizing Finance for Development MPA	6539
Agencies MFDP Ministry of Finance and Development Planning	17114
Agencies PFM Public Financial Management SCD	11545
Agency IFC International Finance Corporation IRENA	11572
Agency Ministry of Finance STAKEHOLDERS Civil	1161
Aggregated Financials	1944
Agree Financial	11857
Agreement. Type Financing	15621
Agri-MSMEs Increase Usage of Digital Financial Services	15130
Agricultural Finance Corporation	6996,7550
Agriculture Fertilizer Financing	11469
Agriculture Transportation Energy Financial Services Lands	4126
Agriculture and Finance	16843
Agriculture and Financial Services	10220
Ahmed ADLI MINISTERE DES FINANCES ArrÍtÈ	15394
Ahmed Shide Minister of Finance	14014,11
Ainsi le Ministère des Finances	10965
Air Conditioning International Financial Reporting Standards	11134
Alexander Forbes Financial Services Page	6539
Aligning Financial Inclusion Policy Goals	2193
Alios Finance Cameroun	10965
All Bank Financial	17030
All Financial Institutions	6814
All Rights Reserved Arab Finance	11739
Alliance for Digital and Financial Services Activity USAID	298
Alliance for Financial	12444
Alliance for Financial Inclusion	275,665,557,154,9480,3,4,1306,512,434,3748,97
Alliance for Financial Inclusion Africa Regional Office	4173
Alliance for Financial Inclusion Central Bank of Lesotho	12701
Alliance for Financial Inclusion Page	940
Alliance for Financial Inclusion's Sochi Accord	12444
Alliance for Financial Inclusion. Monnaie de Paris Chairman	11134
Alliance for Financial Inclusion’s Gender Inclusive Finance	11131,3
Alliance for Financial Technical	12444
Alliance of African Multilateral Financial Institutions	8472
Allocation and Source of Financing Components Commercial	13331
Allocation and Source of Financing IDA IDA Commercial	1284
Almasi Financial Services Limited Data Controller	7167
Alternative Finance Lab	9170
Amended Finance Law	16994
America. Financial	17780
Amortissement Dette Structurée RESSOURCES DE FINANCEMENTS	15999
An- Contrat de Financement	15901
Analytics PBF Performance-Based Financing PDO Project	10829
Anglo American’s Impact Finance Network	14708
Angola Financing	1088,61
Angola Ministry of Finance	2242
Angola Public Finance Review	10768
Angola's Finance Minister	2242
Animal Resources and Fishery MoFEP Ministry of Finance	15118
Annual Financial Inclusion Report	7763,372
Annual Financial Literacy Week	14040
Annual Financial Report and Policy Statement	17138
Annual Financial Sector Development Report. Non-Bank	17138
Annual Financial Statement	11197
Annual Financial Statements	1554,316,1540,194,110,3490,3927,3,90,26,1302,417,164
Annual Financial Statements Received and Reviewed	11250
Annual Report and Consolidated Financial Statements	15148
Annual Report and Financial Statements	12951,1785
Annual Report for The Financial	6946
Annual Reports and Financial Statements	11230
Annual SG6 SO1 Financing Domestic	17116
Annual SG6 SO3 Financial Governance Audit	17116
Anti Corruption Commission Director Financial Services	12972
Anti Financial Crimes	4531
Anti- Money Laundering and Counter Terrorist Financing	3583
Anti-Illicit Financial Flows	9162
Anti-Money Laundering and Combating Financing of Terrorism	13961
Anti-Money Laundering and Combating Terrorism Financing	4633
Anti-Money Laundering and Combatting Financing of Terrorism	15023
Anti-Money Laundering and Counter Financing of Terrorism	5131,9749,143
Anti-Money Laundering and Counter-Terrorism Financing	15023
Anti-Money Laundering and Terrorist Financing Unit	11153
Ao Serviço de Operações Financeiras	15526
Apoyo Gestión Finanzas Publicas	4209
Appendix B Project Phases and Financing Components	15064
Appraisal Additional Actual Financing Achieved Project	15663
Appraisal Additional Financing Baseline Original	15663
Approval Date Investment Project Financing IBRD	16896
Arab Finance	11739
Arab Republic of Investment Project Financing Original	15663
Arrangements A. Financial Envelope and Knowledge	11469
Arrangements Additional Financing Loan Closing Date	11924
Artificial Intelligence GFIN Global Financial Innovation	12444
Artificial Intelligence and Financial Inclusion	3007
Arts and Recreation and Finance and Economic Development	13310
Asia Banking and Finance	11994
Aspen Institute Financial Security Program	11138
Assainissement de Djibouti PFR Public Finance Review	11271
Assegurar Inclusão Financeira Digital Sustentável	15689
Assessment European Union Forecast-based Financing	11156
Asset-Based and PAYGO Finance	12297
Assets NFA National Financial Inclusion and Education	17235
Assistance IFC International Finance UNHCR United	12297
Assistant Finance Minister for Tax Policies Rami	10448
Assistant Finance Minister for Tax Policy and Revenue	16999
Assistant Financial Operations Officer	14835
Assistante du Ministre des Finances	13476
Association Electronic Clearing House Eswatini Financial	11130
Association IFC International Finance Corporation IFR	15518
Association LTA International Finance Corporation LRA	16144
Association Type Financing	11549
Association of Banks and Financial Institutions	1343
Association of Zambia RUFEP Rural Finance Expansion	13347
Association. Conditions Financing	13331
Association. Sections and Description Financing Agreement	10964
Association. Type Financing	969,9860
Atlantic Financial Group	17640
Atlantique Finance	6883
Ato Forson Finance Minister Dr Cassiel	7740
Atom Finance	16942
Attachment I. Memorandum of Economic and Financial Policies	17209,700,81
Audio By Carbonatix Economist and Professor of Finance	7697
Audit Financial Management	13938
Audited Annual Financial Statements	11197
Audited Financial Statements	3410,1486,6959,545,2336,2514,78
Audited Financial Statements for Econet	4896
Audited Project Financial Statements	11855
Auditor General of State Finances	13418
Auditor General of State Finances. Annual Audit	14935
Auditor-General and Financial Statements	10313
AuditorGeneral'sOffice.The Financial Report	1154
Aug-2025 Financing	3456
Aug-2025 Moderate Financing	16922
Aug-2027 Moderate Financing	1284
Authority CEO Financial Intelligence Authority Zambia	6938
Authority Eswatini Standards Authority Financial Year	12969
Authority FRA Financial Regulatory Authority GAFI	15473
Authority IFC International Finance Corporation ILD	15473
Authority PFMS Public Financial Management System	13420
Authority. USAC Finance Committee	6946
Automatic Exchange of Financial Account Information	11233
Autres Intermédiaires Financiers	15527
Availability of Digital Financial	14897
Availability of Digital Financial Services	14897
Availability of Financial Sector Infrastructure	6938
Availability of Financing Proceeds	13756
Available Financial Audits	11863
Average Share of Trade Finance Portfolio for Small	10718
Average Size of Bank-Intermediated Trade Finance	10718
Average Value of Funded and Unfunded Trade Finance	10718
Avr. Loi de Finances	8673
Axes COUT ANNUEL FINANCEMENT ACQUIS FINANCEMENT	17946
B ETABLISSEMENTS FINANCIERS DE CREDIT	17356
B-TEXTES PARTICULIERS MINISTERE DES FINANCES ET	15426
B. Development Finance	17257
B. Fiduciary Financial Management	11417,4136
B. Finances	13290
B. Finances L’absence	13290
B. Financial Management	1284,15638
B. Financial Sector	17209,117
B. INDUSTRY FINANCIAL REPORT	3862
B. Project Cost and Financing	11525
B. Project Financing	15372,39
B. Sectoral and Institutional Context Public Financial	969
B.1 Financial	10977
BACKGROUND TO THE GLOBAL FINANCIAL CRISIS	10
BALANCING INNOVATION WITH FINANCIAL STABILITY Policy	4848
BAMBA FINANCIAL SERVICES ASSOCIATION C.B.O Data	7167
BANK FINANCIAL INSTITUTIONS	14647
BAOA. VI. STRENGTHENING OF FINANCIAL SECTOR	12598
BASIC INFORMATION Financing Instrument Adaptable Program	15424
BCC Finance	11906
BCEAO Financial Inclusion Index	17870
BEAC Financière	10965
BERCS Annual Financial Report	12977
BERCS Annual Financial Report Project Details	12977
BESOIN DE FINAN	15999
BESOINS DE FINANCEMENT ET DE TRESORERIE	15999
BMI-CI FINANCES	15577
BNR BNR Financial and SACCOs MFI	14997
BNR Financial	14997
BNR's Sustainable Finance Governance	14997
BOM and Financial Services Commission	14777
BONDOUKOU MANGANESE POSTE ET FINANCE CMB	2342
BOT Financial Complaints Quality	7763
BOTSWANA FINANCIAL MARKETS DIAGNOSTIC	12540
BREACH FINANCIAL COST	1938
BRICS Finance Ministers and Central Bank Governors	12069
BTS Agree Financial Incentives	11857
BURKINA FASO FINANCES V T	14469
Background Ministry of Finance and Development Planning	14185
Baison Banda Financial Management Specialist	13392
Balance Financiero	1701
Balance Sheets Financial	12445
Banda MINISTER OF FINANCE AND ECONOMIC	13053
Bangladesh Forecast-Based Financing	11156
Bangladesh’s Forecast-Based Financing	11156
Bank Administered Financing TF-B5223 Total Original	16436
Bank Al-Maghrib Ministry of Finance Minister of Finance	6938
Bank Financed Operations and Other Operational Matters	13332
Bank Financial Institution Act	17138
Bank Financial Institutions Holding Act	17257
Bank Financial Institutions Supervision Department	13532
Bank Financial Institutions. Participants	12000
Bank Financing	3562,42,7813,108,3847,39,1703,327
Bank Governor Champions Financial	3016
Bank Investment Project Financing	13185
Bank Windhoek Chief Financial Officer	13194
Bank Windhoek Chief Financial Officer Zenaune	13192
Bank of Botswana Cabo Verde National Financial	6938
Bank of Ghana's Financial Stability Review	14216
Bank of Ghana's Summary of Economic and Financial Data	4873
Bank of Sierra Leone's National Financial Inclusion	3895
Bank of Zambia’s Financial Inclusion Strategy	13532
Bank's Director for Financial Sector Development	9462
Bank's. Finance	11310
Bank-Intermediated Trade Finance	10718
Bank. C. Financial Management	13938
Bank. D. Financial Management	2989
Bank. Director of Financial Stability	6938
Bank. Financial	15659,1782
Banking Activities and Financing of Economies Department	10967
Banking Commission WAMU Financial Markets Authority	6938
Banking Supervision and Financial Stability	8377
Banking and Finance	2775,1490,553,1257,137,41,909,179
Banking and Finance Overview	2775
Banking and Financial Institutions	7763
Banking and Financial Institutions Act	6921,842
Banking and Financial Services	14829
Banking and Financial Services Act	22,2705,10572,5,1,192,35,34
Banking and Financial Services Bill	13532
Banking and Financial Supervision Commission	6938
Banks and Other Financial Institutions Act	11861,132
Bank’s Anti-Money Laundering and Counter-Terrorism Financing	11134
Banque Mondiale DGFCE Direction Générale des Financements	18015
Banque de Financement	13390
Basel and Financial Stability Institute	6938
Basic Formal Financing Instruments	12445
Basic Regulatory Enablers for Digital Financial Services	16942
Bayport Financial	8884
Bayport Financial Services Tanzania	8884
Bayport Financial Services Tanzania Chief Credit	8884
Benefits of Financial Inclusion	10822
Benin Finance Law	10856
Benin Minister of Finance Komi Koutche	15402
Benin Social Safety Nets Program. Finances	1197
Benzakour Financial Management Financial Management MNAFM	17441
Besoin de Financement	15542
Bestway Finance Limited	15558
Bid. J. Evaluation of Combined Technical and Financial	13185
Bidders. I. Evaluation of Financial Parts of Bids	13185
Bill and Financial Co	13060
Billion FCFA Financing for Cameroon Mobile Network	4712
Biodiversity Finance Initiative	17369
Biodiversity Financing Initiative	11586
Blended Finance Facility	3470
Blended Finance Scheme	11197,48
Blended Finance. Available	17870
BlueSalt Financial Services	3213
BlueSalt Financial Services. Mark	3213
BoG Bank of Ghana DFS Digital Financial	4126
BoG's Summary of Economic and Financial Data	4873
BoSS Deputy Governor for Administration and Finance	9585
Board Approved Financing Envelope	11417
Board Approved Financing Envelope US	6539
Board Approved MPA Financing Envelope	3562,7855
Board Financing Envelope	3604
Board Members. FINANCE	1154
Board of Registrars. PART VI FINANCIAL MATTERS	16841
Board. Chief Executive Officer.Chief Financial Officer	585
Board. Financial Provisions Funds	587
Body Ministry of Finance and Economic Planning National	14903
Bonafide and Atom Finance	16942
Bonne Gouvernance Financière	6260
Boost Digital Financial Inclusion	3495,13480
Boost Financial Inclusion	6355,1609
Boost Financial Inclusion and Digitalization The Ministry	5089
Boosting Financial Inclusion	16145
Border Post PFMA Public Finance Management	11218
Border Posts Finance Minister Emphasises	13108
Borrower’s Ministry of Finance	16219
Botswana Financial Sector Development Strategy	12588
Botswanan Financial Sector Diagnostic. Botswana	12540
Bovine Pleurae Pneumonia CFA Communauté Financière	17105
Brand Finance	10969,926,264,1,45,146,4
Brand Finance About the Global Innovation Index	12487
Brazzaville Financial Management	15659
Brazzaville. Le Ministère des Finances	15493
Bridging Financial Literacy Gaps The NBR	15023
Budget Deficit and Financing	17105
Budget Documents and Financial Records	17139
Budget Financing	13060
Budget and Finance	13130,1006
Budget and Finance Affairs Standing Committee	7091
Budget and Financial Resources	15484
Budget and Financing	16858
Budgetary Central Government Finance	17503
Budgets and Finance Arrangements	11193
Building Blocks for Digital Financial Inclusion and Taxation	5244
Building Financial Literacy Skills	13938
Building Financial Sector Resilience	12701
Building Policy and Financing Pathways for West African	16144,955,15
Built Financial Technologies	14233
Bujumbura. The Ministry of Finance	5919
Burkina Faso Financial Inclusion Support Project	416
Burkina Faso's Ministry of Economy and Finance	2598
Burkina Faso's National Financial Inclusion Strategy	2985
Burundi Financial and Private Sector Development Project	13331
Burundi RESULT NO PDO Additional Financing	1284
Burundi's Minister of Finance	6799,100
Burundi's Ministry of Finance	6855
Burundi. IV.3.4.2 MÉCANISMES DE FINANCEMENT	13306
Business Case for Providing Financial Services	12297
Business DFI Development Finance Institutions EDA	12376
Business Enterprise Use of Financial Instruments	12445
Business Financial Services	12214
Businesses Digital Public Physical Financial Infrastructure	12241
Businesses Financial	13080
Bénin Micro Finance S.A Bénin Micro	10821
Bénin Micro Finance S.A Constitution	10821
C. Climate Finance	17257
C. Development Finance Received	17257
C. FINANCIAL MANAGEMENT	11863,2075
C. FINANCIAL PROPOSAL	962
C. Financial InfrastructureReal Time Gross Credit	14897
C. Financial Management	2889,8636,338,102,3407,39,2030
C. Financial Policy	17503
C. Financial Sector Policies	17257
C. Mobile Financial Services	16975
C. Monetary and Financial Sector Policies	13868
C. Open Finance Lab	4848
C. Project Cost and Financing	15411
C. Project Financing and Beneficiaries	14937
C10 IMMOBILISATIONS FINANCIERES D1A CREDIT-BAIL ET	17833
C4. Market Financing	13868
CADRE DE FINANCEMENT	17843
CAGR. Financial	3859
CAHF Centre for Affordable Housing Finance	10835,3,130,902,16,1,266,1,9,178,11,1,135
CAMPAIGN FINANCE	12201
CAPEX Subsidy Agreement. Type Financing	15621
CAPÍTULO II OPERAÇÕES ECONÓMICAS E FINANCEIRASCOM	15433
CAPÍTULO III REGIME FINANCEIRO E PATRIMONIAL	15912
CAPÍTULO IV FINANCIAMENTO	11430
CAPÍTULO IV FONTES E APLICAÇÕES FINANCEIRAS	13
CAPÍTULO IV Financiamento	11430
CAR Certificate of Deposit CBL Combating the Financing	17235
CASH FLOWS USED IN FINANCING ACTIVITIES	10793
CBE Abridged Financial Statements	11131,3
CBE Centre for Financial Inclusion MoF Ministry	12444
CBE Financial Framework. Inclusion Framework	11134
CBE Financial Inclusion	11134
CBE Financial Inclusion Framework	11131,3
CBE Financial Performance The Bank	11134
CBE SERVED BY OTHER FORMAL FINANCIAL	418
CBE's Financial Inclusion Datahub	9624
CBE’s Financial Inclusion Datahub	16145
CBL Accounting and Finances	17235
CBL FINANCES	17138
CBL. Enabling Environment for Digital Financial Services	16876
CBL’s National Financial Educa	16876
CBN Financial Technology Guidelines	11952
CECABU MICROFINANCE URUNANI CODEM FINANCE S.A	13390
CEDEAO. Financé	3687
CEMAC Economic and Financial Reform Program	10985
CEMAC FAS Financial Access Survey	11944
CEMAC Public Finance Management	15518
CEMAC's Regional Financial Inclusion Strategy	4240
CENTRALE DES AFFAIRES FINANCIERES	16099
CEO of Sanlam Financial Markets	9367
CEO of Trace Finance	7578
CFA Chartered Financial Analyst CIA Certified	14997
CFAF African Financial Community Franc	16996
CFI Centre for Financial Inclusion COSPE Cooperazione	12970
CFT Anti-Money NFIS National Financial Laundering	12297
CFT Compliance Financial Institutions	11861
CFT Financing of Terrorism ICT Information and Communication	12444
CFT Regulations for Financial Institutions	16878
CGAP’s Financial Sector Specialist Majorie Chalwe-Mulenga	15042
CGAP’s Senior Financial Sector Specialist. Eric	15042
CHAPITRE V ORGANISATION FINANCIERE DE L'INSTITUT	15347
