A. D	1243,3433,3928
Componente D	11416
Composante D	5370
Coordinador Grupo D	4209
Coordinador Grupo D Servicio	4209
Coordinador Regional Grupo D	4209
Coordinador Regional Grupo D Servicio	4209
Corina D. Ker Kula	9861
Côte D	10114
D AAR WORD BEPAAL	11189,10,2,62
D AND A HAULIERS LIMITED Data	7167
D Animation	6832
D BEESLEY	11272
D Budgetary	961
D CNPC NIGER	998
D Change Management XUA Cross-Enterprise User	1009
D Clustering Figure8	8606
D Coordinador Regional Grupo D Delegado	4209
D D F- Pay	582
D D OLAS	11573
D D P	8436
D D.1 Categoria D.1	12018
D DNA	11301
D Data	961
D Data PrOcessOr	1593
D Data PrOcessOrs	1593
D Data PrOcessOrs OF MaJOr IMPOrtance	1593
D Defesa	6970
D Deployment	11007
D Deployment C Development Digitalization	11006,1
D Diplomacy	3803
D Diplomacy'. Benin's DPI	3803
D Duplex I Simplex	736
D During the Deployment	11006,1
D E C R E T	1231
D E C-	582
D E N T REPRESENTATIVE	11586
D E- Desktop	582
D E- Facetime F- Twitter E-	582
D E- Professional	582
D Engage International AUC	961
D Explanation	5533
D F- Satellite	582
D Gqibela	11285
D H Cadastro	11527
D Handheld D Vehicle Mounted Others	736
D I G I T	11586
D IE PARLEMENT van Suid-Afrika	11190
D IFOMU	11573
D IO N S S	11522
D IO N S S Article	11522
D IO N S S Vu	11522
D IT Electronic Eleventh Design Research	182
D Imininingwane	11573
D Information Modeling	8604
D Jurisdiction	972
D Line	11405
D Lupungela Acting Deputy Director-General	11261
D MEDICAL CENTRE LIMITED Data Controller	7167
D Mdoda	11289
D Minimal Focus	11867
D N D-	582
D O IT F	582
D Participate	961
D Printing	958
D Private Company D Government Institution	736
D Private Institution D Farming D	736
D Programa	4209
D Programa de Apoyo	4209
D Programa de Fomento	4209
D Programa de Fomento de Centros Culturales	4209
D Programa de Fortalecimiento de Capacitades	4209
D Programa de Reforzamiento	4209
D Programas de Reforzamiento	4209
D Recaudador de Contribuciones Secretario Grupo D	4209
D S T R E N	11586
D S Through the GEF Small Grants	11586
D SM	582
D SVA E Broadcasting Reference	5679
D Secretaría General	4209
D Secure	5795,2682,1941
D Spam Any	972
D THE GOVERNMENT	4049,252,1051
D Term	11177
D The GTMI	10785
D The Network Access Support Project	182
D Transparence	10975
D UHLU LOKUHLOLA Ikhophi	11573
D Unlawful	972
D Unsatisfactory E Very	5679
D While the African	961
D Wireless Plus Limited Digital Address	3386
D Woodington	11289
D Yes N	10714
D and Karvonen	2096
D and McMurren	2096
D and Trappmann	2096
D da Lei	11532
D of Section	11233
D van Tonder	11289
D- Browse	582
D- Definitional	7548
D- Deploy Strategic Deployment of Community Access	11857
D- Documentation	7548
D- Establish	11857
D- F Transparence	10975
D- Learning D- IMO E- Snapchat	582
D- Mobile	582
D- No T C- Terrestrial	582
D- Notebook	582
D- Parent	582
D- Privacy	582
D- Religious	582
D- Sur	582
D- Transparence	10975
D- Value-added	5864
D. A	4676,3625,370
D. AU TITRE DU MINISTERE	7670
D. AU TITRE DU MINISTERE DES	8321
D. Amaglobeli	1828,9312
D. Avison	5349
D. B	8603,68
D. B. and Ermon	12006
D. BANKING DETAILS Name of Bank	4896
D. Bills	2626
D. Business Planning Process	11469
D. C	7886,3699
D. Capacity Building	11905
D. Chong	5700
D. Coady	1828
D. Conflict	7886
D. DATA REPORTING	11860
D. DEVELOPMENT PARTNERS COORDINATION	11863
D. Deuff	5349
D. Development Partners Coordination D.1	11863
D. Disbursement Linked Indicators and Verification Protocols	11905
D. Documentation	7977
D. Duty	7845
D. EMPLOYMENT DISAGGREGATED IN THE INDUSTRY-	3862
D. Eaves	5700
D. Elle	2603
D. En	1701,902
D. Environmental and Social	969,295,603,1737,2935,4229,196,416,37,143
D. Esta	9176
D. Estimating The Size of Fuel Subsidies	1828
D. Estimating the Size of Fuel Subsidies	1828
D. Estrutura Global	11441,1
D. Evas and L. Lombdaro	5700
D. Every	7832
D. Exposure	7886
D. F	2816,1860,3929
D. Fahland	9237
D. Fintech Trust and Safety Charter	4848
D. Fostering	11140
D. G	8301
D. G DE EDUCA. ESPECIAL	4209
D. G DE ENSEÑANZA SECUNDARIA	4209
D. G DE ENSEÑANZA UNIVER	4209
D. G DE ENSEÑANZA UNIVERSITARIA	4209
D. G DE FORM. DOCENTE	4209
D. G DE PLANIFICACION Y PROGRAMACION	4209
D. G. APROVC. FARM. LABO. BIOM	4209
D. G. COORD. HOSP Y ENFERM	4209
D. G. DE ADUANAS	4209
D. G. DE AGRICULT	4209
D. G. DE CONTROL FINANCIERO	4209
D. G. DE IMPUESTOS Y CONTRIBUCIONES	4209
D. G. DE PATRIMONIO DEL ESTADO	4209
D. G. DE PRESUPUESTOS Y CLASES	4209
D. G. GESTION ADMINISTRATIVA Y RECURSOS	4209
D. G. PALACIOS Y RESID. MALABO	4209
D. GOVTECH MATURITY INDEX	10785
D. Garcia-Macia	11140
D. Gasevi	9128
D. Goldberg	5700
D. Government	4214
D. Grant	5692
D. Group	11867
D. H	8604
D. Harper	2093
D. Howarth	11028
D. Human	3583
D. Human Capital Human	11140
D. Humanitarian	3583
D. INFORMATIONS GÉNÉRALES	2342
D. Indicateurs	822
D. Industrial	7845
D. JUSTIFICATION OF OVERALL OUTCOME RATING	11924
D. K	8605
D. Kaufmann	1264
D. Kiron	4432
D. L	8301
D. Lack	3583
D. Lawless	5700
D. Legal Operational Policies	1284
D. Leviers	1218
D. L’installation	8895
D. M	2816,8338
D. M. F	8605
D. MINISTERE DE LA SANTELe Conseil	7670
D. MONITORING AND EVALUATION	11863
D. Mavridis	11140
D. Monitoring and Evaluation	11863
D. Multiphase Programmatic Approach	3604,2935,4878
D. Mumby	5349
D. N	7886
D. National Cancer Clinical Trials Programme	7845
D. Nishball	11140
D. No Country of Concern	5773
D. No Obligation	5773
D. Non-payment	7845
D. Notification	7845
D. Notification Proposers	5773
D. Notwithstanding	11233
D. Ossouna	1828
D. P. Gaonkar	11050
D. P. I	5700
D. PROJECT COST AND FINANCING ARRANGEMENTS	11863
D. Pajank	1828
D. Pandey	6948
D. Partenariat	8556
D. Payment	7845
D. Policy Advice	1828
D. Policy Development	5676
D. Policy Development Consumer	5676
D. Prady	1828
D. Prihardini	11140
D. Procurement	11525,440
D. Project Cost and Financing Arrangements Financing	11863
D. Project Description	1704,1752,7507
D. R	4676
D. RISK TO DEVELOPMENT OUTCOME	11924
D. Rapid Growth	11140
D. Rationale	1264
D. Rationale for Bank Involvement	11417
D. Rationale for Bank Involvement and Role of Partners	6539
D. Rationale for World Bank Involvement and Role	3604
D. Recent Successes	11140
D. Recommendations	1828
D. Redeker	11028
D. Rees	11140
D. Rehabilitation	7845
D. Religion	7886
D. Results	11549
D. Results Chain	969,295,603,8901,61,135,416,180,295
D. Results Chain Note	10829
D. Results Framework and M&E Capacity	11905
D. Rights	3583
D. Role of Ministries	11525
D. S	1828,2848
D. S. V	8605
D. Section VI Due Diligence	11233
D. Soares	2093
D. South Africa	11233
D. Submission of Applications	1638
D. Sustainability	10829
D. Sustentabilidade	11451
D. Tax Expenditures	10997
D. The Last Mile	11857
D. W	8301
D. Whitenack	11140
D. You’re	7886
D. and Akello	6436
D. and Banda	11994
D. and Bester	6445
D. and Jackson	12090
D. and Rao	2123,5099
DECRET D	233,1
DIGITALIZATION LIFE CYCLE Deployment D	11007
DSRP D	2966
DU D H	11527
Dd D Q A Mm S	163
Department DDiplomatic Mission D Public Company	736
Disability D- Glo I A-	582
Display Início Orgânica D G	6530
Dr. C. G. D. N. Chiwenga	1554
Dr. D. Mboweni	4263
Dr. ERNEST NSABIMANA D G	718
Dr. Emmerson D. Mnangagwa	958
Décret D	142,22,69,1,512
E I T D	11522
E N T I D ITEM	582
E S P O N D	582
E X P A N D	11586
E- Surfline B- Yes Desktop D-	582
EU CSP D C S	9123
EU CSP D S	9123
EU D C S	9123
EU D S	9123
Economies D C B	10785
Eddie D. Jarwolo	3092
Edwards D	8460
Electricité Où C d	10975
Emerging Challenges. In D. O. Eke	2816
Encargado Grupo D	4209
Energy Lerato D. Mataboge and ITU SG	7326
Environmental and Social Specialists Part D	1988
Equatorial Guinea D	11867
Especialista Grupo D	4209
Excellency Dr. Emmerson D. Mnangagwa	958
F- Busy D C- Yes Tablet	582
F. D	5349,2781,541,2092,1164
F. D. Davis	5349
Figure D	12062
Friend D- Glo D	582
G A B C D	236
G D P Public	11248
G D P R	8436
G D P R Article	8436
G E N D E R	11586
G- Digital I Terrestrial TV D	582
GDPHQWH D UHVLGrQFLD VXSHULRU D YLQWH	11530
GHz D PETROLEUM S.A ARCEP	998
GOVERNMENT OF THE D STA	4302
Gabon D	11867
Gambia D	11867
Gathara D	10780
Geral de Política de Justiça D G	6530
Gestão D G P J Direção	6530
Global Standards and Frameworks Annexure D	11952
Google Scholar Bello D	9739
Google Scholar Boyd D	8460
GovTech Maturity D Low GovTech Maturity	10785
Grade D	5134
Group A and Group D	10785
Group D	10785,1082
Grupo D	4209
Grupo D Director Grupo D Encargado	4209
Grupo D Especialista Grupo D Inspector	4209
Grupo D Interventor Grupo D Jefe	4209
Guinea D	11867
Guinea-Bissau D	11867
H.E. Commissioner Lerato D. Mataboge	8192
H.E. Ms. Lerato D. Mataboge	7255
HR D	1067
HV TXH JDUDQWDP D VXVWHQWDELOL	11530
Hon. Dr. D. Masondo	11289
Househelp D	582
Hozumi D. PRISM	766,10115,715
I C- Laptop D- Another	582
I C- Viber D- I-message	582
I D D	582
I E D R IT T	582
I I D- Buy	582
I O N A N D	11586
I O O I D CE	582
I T D	11522
I T I T D	11522
I Technical Contact Agent D Government	736
I. D	11140
ID4 D C	10812
IFOMU D UKUSHINTSHWA KWEMIBANDELA Esimeni	11573
INFPP D	2966
ISIQEPHU D	11573
ITU- D	6671
IVOIRE Plan d Actions National pour l	3604
Identificação D G P O G	6530
Impacts Part D	1988
Individual D	736
Inspector Grupo D	4209
Iphasiphothi Ikhodi ISIQEPHU D	11573
Israelski D. Community	1219
J. D	11927
JHS D- Cognitive	582
JUXSRV FRP D WHUUD	11527
Jee Servicio Grupo D	4209
Jee de Servicio Grupo D	4209
Jefe Sección D	4209
Jefe Sección Grupo D	4209
Jefe Servicio Grupo D	4209
Jefe ServicioGrupo D	4209
Jefe de Servicio Grupo D	4209
Kaseje D	1219
Kemilson D	2315,129
Kouyaté Mohamed D	5816
Kwaro D	771
Lee D	9739
Lerato D. Mataboge	7136,190
Liberia D	11867
Liliana D. Sousa	10763
Lorenzo. A. D	2816
M. D	5349
M. D. Alhassan	5349
M. D. Myers	5349
M. D. Whinston	5700
MAI-NDOMBE D E M O C	11900
MESR D	2966
MM Usuku D D	11573
MMS B- Spouse D	582
Maheba D Primary School	1867
Maheba D RHC	1867
Malabo. Par le Décret D	234
Marc Jaffe Ian D. Schuman Josh	7198
Marc Weinstock CHARGE D' AFFAIRES	4247
Marie D. Improving National Health Management	1261
Mauritania D	11867
Mbata D	3791
Mbps APPENDIX D Table	3862
Member Attendance Prof. I. D. T	1554
Menu Display Início Orgânica D G	6530
Mexico. D. Role of Ministries	11525
Michael D. Francois and Chris George	2677
ModDate D	1685
Morris D Wonder Boy	7182
Movsowitz Davidow D	8460
Ms D R Ntuli	11289
N D K	11586
N D- News H- Have	582
Neighbour D	582
Niger D	11867
None G- None D- No F-	582
O D I V E R	11586
O E D	582
O R D O N N	548
OPPORTUNITY The D Deployment	11006
OUEDRAOGO. D. MINISTERE DE LA CONSTRUCTION	8321
Oficial Grupo D Policía Judicial Grupo	4209
Oicial Grupo D	4209
Okunbor D	9739
Oluniyi D. Ajao	10037
Oluniyi D. Ajao Oluniyi D. Ajao	10244
PART D	4896,637,5664,1,20,6,16,10,11,725
PIM. D. Results Chain	10964
PRESIDENGE D PROS ERRCY	10974
Par Salif D. Cheickna	9028,1897
Part C and Part D	11240
Part D	3583,131,1182,6344,10
Part D Authority	11181
Part D Collection	11181
Part D Compromise	11181
Part D Deferral	11181
Part D Procedure	11181
Part D Search	11181
Part D Tax	11181
Ph. D	10
Policía Judicial Grupo D	4209
Policía Judicial Grupo D Servicio	4209
Practice D. Artificial Intelligence	11138
Praveen D	1219
President E. D. Mnangagwa	958
Processo Eleitoral C N D H	6530
Production Airtel A B C D	236
Prof. I. D. T. Mpofu	1554
Project. D. Alignment	11417
Project. D. Results Chain	11855
QHP D UHSDUWLomR GH GLUHLWRV	11527
QLWLYDPHQWH D LQWHJUDomR	11530
R. D	5349,2537,719
R. D. S	11265
RFP Part D	11240
RQVLGHUDQGR D SURSRVWD GR PLQLVWUR GD	11530
Raymond Mugandani4 Menas Wuta2 Munyaradzi D	520
References Bawden D	9653
Registrar of Political Parties. D. Right	1630
Report PART D CONDITIONS OF TENDERING	11240
Reportable Accounts. D. Review Procedures for Identifying	11233
Reporting Period. D. Reporting Financial Institutions	11233
Republic of D	11867
Roos D	1219
S. D. Support	11585
SECTION D	582,2193
SOCIAL PROTECTION D	11156
SSIN S NOR D PLATE AU	10847
SSS BUTHELEZI D	1009
Salif D. Cheickna	2630,489,219,2,36,67,255,485,366,167,1129,22,1037,218
Schedule D	11995
Schillinger D	1219
Schumacher D	10780
Secretario Grupo D	4209
Secretario Grupo D Servicio	4209
Section D	582,636,2386,4241
Section IV. D. VII. RESULTS FRAMEWORK	1264
Sella-Villa D	8776
Series D	895
Servicio Grupo D	4209
Serviço D Serviço C C Serviço	11379
Serwadda D	1219
Shauer D	10784
Sierra Leone. Group D	11867
Signature By Destiny D. Jabula	6968
Soti D	10881
Specification Annexure D	11952
Spennemann D	9739
Stephen D. Spector and Steven B. Kennedy	11572
Sub-Part D	7845
Sèna D. B. de Sodji	2257,13,33,3,63,5,9,2,13,8,15,9,5,75,12,20,15,10,1,5,44,117,26,4,18,9,60,18,5,756,1447,94,263,332,125,1206,2483,1402,366
T Y A N D	11586
T. D	3782
TE D	3604
Table D	7,11289
Teboho D. Lefela	9237
Teboho D. Lefela1	9237
U S D	4610
U.S. Government CHARGE D' AFFAIR	4247
UHF D PETROLEUM S.A ARCEP	998
UNITED STATES OF AMERICA D	4202
Uganda Protection D. PRELIMINARY MATTERS	5113
User I D C	9123
VARIAÇÃO ANULA D CRESCIMENTO DE ACESSO	11531
VHF D RAPPORT ANNUEL	998
VHF D SONIDEP	998
VHJXLQWHVHWDSDV D	11530
Victorien D. Kougblénou	2354
Volet D	12043
Vu le Décret D	234
WLQDGRV D VHU UHSRYRDGRV SDUD	11527
Writer D. Kenya Olkaria	6935
Y Y Y Y MM D	11573
Y Y Y YM M D	11573
YYYY MM D D	11573
YYYYMMD D Usuku YYYY MM DD	11573
Zhdanov D. Health	10780
