A. PDO	11525,3847,39,2030
PDO Indicators	1264,603,845,892,1049,35,1891,349,949,2891,102,525,22,488,19,41,6,17,240,39,145,28,587,31,862,1060,37,14,107,21,499,1,2,74,2,276,19,47,65,43,249,269,244,45,6,79,17,362,12,35,399,54,4,171,217,4,1,4,175,258,25,8
PDO Indicators Beneficiaries of SSN	11924
PDO Indicators Definition	15553
PDO Indicators Direct	13917
PDO Indicators Enhanced	1867
PDO Indicators Improved	1867
PDO Indicators Increase	13910
PDO Indicators Indicator	6539
PDO Indicators Indicator Name Definition	10829,135,891,1476,2187
PDO Indicators Key Outputs	11924
PDO Indicators Mapped Methodology for Data Responsibility	1284,15638
PDO Indicators Methodology for Data Responsibility for Data	13332
PDO Indicators Number	11924
PDO Indicators Percentage	11924
PDO Indicators and Targets PDO Indicator Baseline	16922
PDO Intermediate	15424
PDO Level Indicators	10964,2367,2160,27,140,1291,1155,189
PDO Level Indicators Key	15661
PDO Level Indicators The PDO	1867
PDO Level Indicators. The PDO	6539
PDO Level Results Baseli	17441
PDO Level Results Indicators	11905,3467,2086
PDO Level Results International Communications	15372
PDO Moderate Moderate Overall Implementation Progress	12440
PDO Moderately Satisfactory Moderately Satisfactory Overall	15619,116,903,1835
PDO Moderately Unsatisfactory	14971
PDO Outcome	11924,4512,1526
PDO Outcomes	4653,35,3189,4351,39,791,1922,531,633,805,51,470,663,684
PDO Outcomes Assist Djibouti	13920
PDO Outcomes Baseline Actual	16705
PDO Outcomes Baseline Closing Period Strengthen	11417
PDO Outcomes Baseline Period	1264,603,1737,7164,4890,3,483,805
PDO Outcomes Beneficiaries	15658
PDO Outcomes Efficient	16994
PDO Outcomes Enhanced	17079
PDO Outcomes Enrollment and Empanelment	16079
PDO Outcomes Establishment	18534
PDO Outcomes Expand	11988,6362,9
PDO Outcomes For Official Use Only	17096,1696
PDO Outcomes Higher Level Outcomes Provision	15663
PDO Outcomes INCREASE THE INCLUSIVE	3604
PDO Outcomes Improve	15661,76,450,1318
PDO Outcomes Improving	11905
PDO Outcomes Increase	2712,3867,4189,2259,2132,2799,397
PDO Outcomes Increased	10870,1101,4061,1872
PDO Outcomes Increasing	6928
PDO Outcomes Legal Robustness Baseline Actual	15735
PDO Outcomes Monitoring	1867
PDO Outcomes Objective	18354
PDO Outcomes Outcome	11395
PDO Outcomes Page	15138,521
PDO Outcomes Provide	16013
PDO Outcomes Strengthen	11417
PDO Outcomes Strengthened	15031
PDO Outcomes Strengthening of Social Safety Net	12440
PDO Outcomes System Average Interruption Duration	15659
PDO Outcomes and Corresponding PDO Indicators PDO	17849
PDO Overall Implementation Progress	2989,8406,7397
PDO PDO Intermediate Intermediate Intermediate Intermediate	16436
PDO PFM PIM PISU PIU PMT	15658
PDO PIU Ministry of Finance and Development Planning	16144
PDO PIU RBF SDR SEA	4653
PDO PMT PIM PIU PPE PWP	15601
PDO Program	11905
PDO Project Development Objective	11965,3225
PDO Project Development Objective PCU Project	15731
PDO Project Development Objective PER Public	17441
PDO Project Development Objective PHF Public	15663
PDO Project Development Objective PI Productive	16187
PDO Project Development Objective PIM Project	1264,17029
PDO Project Development Objective PIU Project	17849,452
PDO Project Development Objective The World	2473
PDO Project Development Outcome	14038
PDO S S Disbursement	14010
PDO S S MS Overall Implementation	1284
PDO S S Overall Implementation Progress	16896
PDO Satisfactory Satisfactory Satisfactory	17962
PDO Statement	6539,5316,1476,2187,143,2632
PDO Statement. The Project Development Objective	15659
PDO Substantial Substantial Overall Implementation Progress	12228,39
PDO Table SPACE	11855,3663,35,1343
PDO Table SPACE Intermediate Results Indicators	1228,9601,135,2368
PDO Table SPACE Page	1284,12047,3591
PDO and DLIs	11905
PDO and IP	14966,1648
PDO and IRI	16436
PDO and Implementation Progress	1290,765,834,11567,3903
PDO and Intermediate Indicators	18825
PDO and Intermediate Results Indicators	16949
PDO and Key	18754
PDO and Overall Implementation Progress	1284,490,699,10905,14,3006
PDO and Results Framework	15663
PDO of GEHSSP	16922
PDO- Page	15601
PDO- and Intermediate	1228
PDO-1	15702
PDO-2	15702
PDO-Level Indicators	10768
PDO-Level Indicators Baseline End Target	11417
PDO-level	761,467,476,1185,1764,2180,3996,135,941,1473,14,1627,119,373,90,835,460,26,27,521,1295,60
PDO-level Indicator	1228,11883,3076
PDO-level Indicators	18765
PDO-level Indicators Students	13392
PDO-level Outcome Indicators	15743
PDO-level Results Indicator	16922
PDO-level and Intermediate Indicators	1228
PDO. A Project Procurement Strategy for Development	1867
PDO. B. ACHIEVEMENT OF PDOs	17962,863
PDO. Details	18825
PDO. In the RF	15663
PDO. MoHAIS	1867
PDO. Project	15511
PDO. Revised	11965
PDO. The COVID-19 Project	16922
PDO. The DLIs	15663
PDO. The PAD	15663
PDO. The ZEEP's Project Development Objective	13378
PDO1. RI7	10779
PDO1. Relevance for RI3	10779
PDO1and PDO2	10779
PDO2 and PDO3	10779
PDO3. Overall Efficacy Rating Moderately Unsatisfactory	10779
PDOIS	10070
PDOlevel	10779
PDOs and Outcome Targets	16436
PDOs and Outcome Targets The PDO	15511
PDOs and Rating Relevance	17962
PDOs for WARCIP	15424
PDOs for WARCIP Benin	15424
PDP Act	4951
PDP-ANA	10428
PDPA Key	12232
PDPC DG Dr. Emmanuel Mkilia. Launch	7258
PDPC Director General	7258
PDPC Director General Dr Emmanuel Mkilia	12134
PDPC MCIT	16212
PDPC-registered DPO	4982
PDPC. Amesema	3086
PDPL Law	3976
PDPO National Director Baker Birikujja	11173
PDPO Section	3307
PDPO's Notice	5113
PDPO-202601-9760	5603
PDPO-Decision-18th-July-2024.pdf	3307
PDPO. C. EVIDENCE	5113
PDPO. Registration	5113
PDPO. Regulation	3307
PDPPA	5244
PDPRM	11555
PDPTEE	13433
PDQDJHPHQW	15604
PDQDJHU	15604
PDR-K. L’objectif	16621
PDRCL	4996,25,11551
PDRE ET SOLV. P	15930
PDRE. ET SOLV. P	15930
PDRE. INHAL. DISKUS. Dispensé	15930
PDRE. INHAL. GLES. COMP. PELL. COMP	15930
PDRE. LYOPH	15930
PDRE. ORALE. EFFER	15930
PDRE. P	15930
PDRE. P. SUSP. BUV	15930
PDRE. P. SUSP. BUV PDRE. P	15930
PDRE. PDRE	15930
PDRE. SOL. BUV	15930
PDRE. SOL. BUV. PDRE. SOL. BUV	15930
PDRE. SOL. BUV. PDRE. SOL. INJ	15930
PDRE. SOL. INJ	15930
PDRE. SOL. INJ. FOLLITROPINE BETA	15930
PDRE. SOL. INJ. PDRE. SOL. BUV	15930
PDRE. SOL. INJ.IV. COMP. DISP. COMP	15930
PDRE. SOLV. P	15930
PDRE. SUSP. BUV	15930
PDRE. SUSP. BUV. COMP. COMP. DISP	15930
PDRE. SUSP. BUV. PDRE. SOL. INJ	15930
PDRE. SUSP. BUV. SOL. INJ. COMP	15930
PDRTE-ER	17504,14
PDS ITP	15080
PDS Maurice Konaté	10860
PDS Parti Démocratique Sénégalais PIDCP Pacte	18310
PDS the Purchaser	15080
PDS. Any	1638,13442
PDS. BAFO	15080
PDS. Copies	15080
PDS. H. NOTIFICATION OF EVALUATION	15080
PDS. Late Applications	1638
PDS. SECTION II	15080
PDS. Should the Procuring Entity	1638
PDS. Should the Purchaser	15080
PDS. Supporting	15080
PDS. The Borrower	15080
PDS. The Procuring Entity	1638
PDS. The Purchaser	15080
PDS1.1	1638
PDSEC	17946
PDSEC Activité	17946
PDSEN	15542
PDSI R	17157
PDSI Severe	17157
PDSI and SPEI	17157
PDSI for Libya	17157
PDSM Minister of Education and Human Resource Dr	14753,88
PDSS Health Sector Project	11924
PDSS PBF	11924
PDSS. The Education Services	11924
PDU Delivery Manager for Technology and Innovation	13569
PDU Ground	9123
PDU Power Distribution Unit PDU Power	13185
PDU and ASTS	9123
PDUL Está	12778
PDUL. Consultor	574
PDUULDJH	15604
PDUs Rectifiers DC-UPS	9123
PDUs. Access	14921
PDWDJDO GHXPDVXSHU	11527
PDWG Chair	14433
PDWG Co-Chair	14671
PDWG Co-Chairs	14433,238
PDWG Participant	14240
PDWG's Co-Chairs	14433
PDWKĕV	15604
PDi2T	15424
PDr2T	15399
PENICILLINES AMOXICILLINE PDRE. SOL. INJ	15930
PFM Public Finance Management PDO Project	15518
PIU ME PDO Table SPACE	15518
PIU PDNA PDO PIE SDR SEA	1228
PM PDT	9144
PMG-hosted PDF	5533
PMT. PDO	15663
PNDIS II RDC - 2020-2024 valid pdf	14666
PNG and PDF	12090
PRASED and PDSS PIUs	11924
PREGABALINE PREGABALINE PREGABALINE PREGABALINE PDRE. SOL	15930
PRODESS Le PDDSS	17845
PROJECT DEVELOPMENT OBJECTIVE Current PDO	1284,15638
PURA Public Utilities Regulatory Authority PDO	16926
PYRANTEL PDE. OPHT. GEL. OPHT. Collyre	15930
Paper PDF	1006
Participation PDC Membre	18092
Partido Democrático de Guinea PDGE	16942
Partners The PDU	13473
PdRT Ill FUNCTIONS	16836
PdV Point	15474
Pdaie	6977
Pde. Derm. Gel Moussant	15930
Pdeevrfeolormpminegnbtelow	12205
Pderodma	15694
PdfRelease	15725
Pdg de Grant Thornton Technologies	2441,1
Pdodrereeosl-macphzoareovçgerãr	15694
Pdéputé	15603
Personal Data Protection Center PDPC-	16212
Personal Data Protection Regulations. The PDPA	2806
Plan Cadre de Lutte Contre la Pauvreté. PDES	18100
Plan NPS National Payment System PDO	13836
Policies PDO Project Development Objective PEP	18809
Policy Framework Source PDF	14434
Poly Chimio Thérapie PDRH	15475
Post PDO Project Development Objective PEFA	13861
Private Capital Mobilization PDO Project Development	6539,10560
Program. Revised PDO	15663
Programmation des PDVC	17864
Programme NGO Non-Governmental Organizations PDSR Product	12975
Progress Towards Achievement of PDO	13054
Project Appraisal Document PDO Project Development	18754
Project Development Objective Indicators RESULT FRAME TBL PD	10964,4589
Project Implementation Manual and PDO	15424
Project Unit ME PDO Table SPACE	10829
Project’s PDO	16436
Project’s PDO and CAR’s Education Sector Plan	16436
Proposed New PDO	1284
Proposed PDO	12980
RECOMBINANTE PDRE. SOL. INJ	15930
RESULT FRAM E TBL PD O Indicator Name PBC	15518
RESULT FRAME T BL PD O Indicator Name	11855
RESULT FRAME TBL PD O Indicator Name PBC	10829,135,4589,1343,26
RESULT NO PDO Second	16922
RESULTS INDICATORS A.1 PDO Indicators Objective	15424,177,62
REVISED PDO INDICATORS	15601
REVISED PDO INDICATORS Original PDO Indicator	15601
RF PDO	13331
RFC3778 PDF	1009
RFC5646 HL7 CDA R2 ISO2260 PDF	1009
RGSSI btnqMo7.pdf Scanned PDF	10906
RW. PDF	1519
RYHUQRHRVHXSOH QR HQJDMDPHQWR HP PDWpULD GH	11530
Rack Mountable PDUs	12681
Rack PDU	10956
Rack PDU Fully	9446
Rashad Cassim PDF	6672
Redundant PDUs	13185
Registration Form PDF File	15207
Registration Renewal Form PDF File	15207
Regulations. RESOLUTION OF ISSUES BY PDPO	3307
Relevance of PDO and Design	13378
Report PDF	1985
Research Square Cite Share Download PDF	12379
Responsibility PDO Level Results Indicators	15372
Results Framework. At the PDO	4653
Results Framework. The PDO and PDO-level	16896
Revenue PDO Project Development Objective PDMD	18577
Review PDO3	10779
Revised PDO	13826,1905,883,2140,71
Revised PDO Indicators	11924,3500,1012,1413,113,803
Revised PDO Indicators PDO	15511
Revised PDO Indicators and Targets	15601,62
Revised PDO The Project Developement Objectives	17849
Revised PDOs	11924,3677
Revised PDOs and Outcome Targets	15424,2425,916,60
Revised PDOs and Results Framework	17862
Revision of PDO	17849
Revision of PDO Indicators No. PDO Indicator	17849
Role of Mobile Source PDF	14674
S S S S S PDO	16922
SC PDRE. ET SOLV. P	15930
SECTOR PLAN SUPPORT PROJECT PDO	16436
SOL. BUV. PDRE. ORALE EFFER	15930
SOL. DERM. PDE. SOL. DERM. SOL	15930
SOL. INJ. PDRE. SOL. INJ	15930
SOL. INJ. PDRE. SOL. INJ. COMP	15930
SOL. INJ. PDRE. SOL. INJ. PDRE	15930
SOL. INJ. SOL. INJ. COMP. PDRE	15930
SUPPO. PDRE. SOL. INJ. PDRE. EFFER	15930
SUSP. BUV PDRE. P. SUSP. BUV	15930
SUSP. BUV. PDRE. SUSP. BUV. SUSP	15930
Satisfactory Satisfactory PDO Overall	18809
Scanned PDF	10895,1,1,1,5,1,1
Secretary's Desk Q1-2026 A PDF	13503
Sector Institutional Development Project PDMP Power	11380
Segmentation du PDI	18297
Selecting the Right Technology Partner Laos PDR	3907
Selon le PDS	16458
Service PDO Project Development Objective PIU	15621
Several PDO-level	16436
Siglo XXI PDNES Plan Nacional de Desarrollo	16898
Singapore's PDPC	12210
Social PDESOC Projet de Développement	18286
Social Registry. ME PDO Table SPACE	11855
Social Transfer Program. The PDO	17849
