AFS FY	1944
FY2024 AND FY2025	2083
FY2024 Annexe-6	1294,1
FY2024 Boletim Oficial	2085,1,1,1
FY2024 COMFIB	3116
FY2024 CVE	1431
FY2024 Congolese	1830
FY2024 FASUCE	1690
FY2024 and FY2025	1251,1,1,1,1,1,35,1,765,4,28,2,1446,287,546,4,36,1,4,1,1,1,1,411,1361
FY2024 and FY2025 CPV	1256
FY2024 and FY2025 Vote	5198
FY2024 and FY2027	4930
FY2024 and Q1-2025	3326
FY2024 the DGB	4397
FY2024-2028	6539,5887
FY2024-25	12962
FY2024-25Q2	12962
FY2024-25Q2 Sector Fund Name and Project Number	12962
FY2024-and-earlier	7885
FY2024. State	2341
FY2024. The DGB	7885
FY2024. The FY2026	1256
FY2025	1285,1,5,3,1,6,11,22,97,1,123,5,24,29,57,2,1,1,1,120,71,47,17,1,1,1,1,1,1,1,59,14,1,25,12,1,1,1,1,1,4,1,1,1,1,1,1,8,9,1,1,1,2,1,1,1,1,1,1,3,51,1,1,78,1,247,102,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,10,3,1,1,6,44,108,1,39,1,1,1,1,1,1,1,1,1,17,19,56,33,63,22,96,59,77,24,1,76,54,55,22,1,21,153,1,1,122,168,8,1,1,19,28,2,1,1,6,4,1,1,6,7,7,1,1,1,2,2,6,36,1,7,181,1,1,2,1,181,40,60,2,57,23,137,48,2,60,69,241,63,5,5,4,1,1,1,11,1,152,206,1,1,407,1,1,158,308,193,796,32,50,1331,1053,1614,302,684,11,82,64,152,201
FY2025 Benin	6896
FY2025 CPV	3667,1345
FY2025 Code	1913,177,3169
FY2025 PLF	4646
FY2025 RAPEX	6896
FY2025 Soberania	2083
FY2025 and FY2026	1581,97,93,159,1,1,1,1,1,1,1,65,1,1,1,1,1,1,1,1,1,1,1,35,1,9,9,15,3,1,1,1,1,1905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,386,3,1,1,1,1,45,185
FY2025 and FY2026 Congolese	3676
FY2025's Annexe	2062
FY2025's The FY2025	3537
FY2025-26	5780,7090
FY2025-26. Acquired	5655
FY2025. ARTCI	2046
FY2025. MIGA	2226
FY2026	1251,1,1,1,1,1,29,1,6,9,11,10,1,1,18,172,70,78,109,24,1,70,70,6,10,57,2,1,1,23,12,1,1,1,1,1,4,7,1,1,15,8,56,63,3,262,164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,469,1,46,38,1,151,22,155,140,79,68,22,1,40,54,61,19,1,1,1,55,1,20,29,16,19,1,65,19,64,8,49,2,1,2,9,1,1,7,3,3,7,1,3,1,2,1,5,44,1,17,1,8,1,14,1,3,1,31,43,1,1,1,57,1,1,2,1,80,101,40,4,56,82,154,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,88,121,183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,159,1,12,193,1,1,91,40,73,157,46,1,1,1,140,15,1,18,116,51,171,66,76,4,214,135,1040,261,1030,909,1287,1143
FY2026 Algerian	4585
FY2026 Assembly	4419
FY2026 Code	3756,785
FY2026 and CVE	4411
FY2026 the Administration	4830
FY2026. Kennedy	7009
FY2027	2473,174,1517,1002,2665,205
FY2027 FY2028 FY2029 Original Estimation	4653
FY2027-FY2031	4896
FY2028	4164
FY2029	4164,1
FY2030	4164,1
FY21-25	12176
FY21-26. For LTF	11469
FY21-FY25 Country Partnership Framework	969
FY21. Washington	10964
FY22 FY23 FY24 FY25 FY26 FY27	13331
FY22-FY24	13431
FY23-27	12804
FY24 FCS World Bank	11549
FY25 FY26 YTD FY21-FY26 Finance	11469
FY25 and FY26	13054
FY25-26	12968
FY25-29 CPF	12968
FY25-FY26	13523
FY25. Phase	1704
FY26 Total Cost	4260
FY26-EpiC Lesotho-2026-002 Proposal Due Date	12754
FY26. PDO and Implementation Progress	10886
FY26. Shareholding	7204
FY27 Guidance Safaricom	6100
FY27 Safaricom	7204
FY28 Select Milestones	13331
Faecal Sludge Management FY Financial Year	718
Fibre-To-The-Home FTTO Fibre-To-The-Office FY Financial Year	6671
Final FY	7707
First Nine Months of FY	6588
Fixed Voice Subscriptions FY	6946
Frequency Band Freq. Band FY	6946
Frequency Spectrum Authorizations Authorization FY FY	6946
Future. FY26 AT A GLANCE	7204
Fy 03Aorpq8	5235
Fyada ID	12228
Fylings	9961
Gambia for FY22-FY26	1264
Ghana FY2024	1512,1
Ghana FY2026	4480,1,1,1,1,1,1,1,1,1
Ghana's FY2026	2208
Group FY26	3898
Guinea FY18-FY23	1264
Guinea-Bissau FY18-FY23	1264
H1 FY2023	957
H1 FY23	957
H1 FY26	3898
HAS A DATED FIGURE FOR FY2024	1251
Half the FY2024	2647
Head FY2024-25Q2	12962
Head FY2024-25Q2 Annex	12962
ICR FY14	11924
ICT Sector Budget Allocation for FY24	1746
IMPLEMENTATION PROGRESS OF REG IMIHIGO FY2023	12358
Indicator FY	6946
Intermediate Results Indicators FY Indicator Name	11525
Ivoire FY2024	1301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ivoire FY2025	2027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ivoire FY2026	4304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jessica Charles Wade FY25-29 COUNTRY PARTNERSHIP	12968
Jobs Discussion Paper Series Titles FY	10985
Jul-2028 Year FY2023 FY2024 FY2025 FY2026	4653
Kenya FY	4153
Kenya Launches FY2027	7831
Key FY2023	1384
License Category FY	6946
Load-bearing for AGO FY2026	5102
Long Term FY21 FY22 FY23 FY24	11469
Looking Ahead In FY27	6100
Lucky Box and Fyucha	6160
M'. DFC Annual Report FY2021	462
MACHINERY-OF-GOVERNMENT CHANGE IN FY2026 MOVES	1285,1,1837,1,1260,1
MFBEN FY2024	1776
MIDCSP FY2025	3171
MLGCRA's FY2026	4490
MLGRD's FY2024	1514
MND's FY2024	1270
MOCDTI's FY2026	4491
MTN Ghana FY	10793
MTN Ghana FY22	924
MTN Ghana's FY2026	7491
MTN-GHANA FY-2022 CALL-TRANSCRIPT-1.pdf	924
Maroc Telecom FY2024	1065,376
Materu of Helensvale FY2026	4896
Maturity Index No Activity FY	1204
Mauritania FY18-FY23	1264
Minister Jerry William Silaa's FY2025	6020
Mobile Money Subscriptions FY	6946
Mobile Traffic Trends FY	6946
Monetary Policy Development In FY2024	12962
Monitoring Report for FY	3307
Mozambique FY2026	4505,1,1,1,1,1
NG-BIRR FY2024	1732,2
NIGERIA FOR THE PERIOD FY26-FY32	11468
NIGERIA FY26	11469
National Assembly. The FY2025	1957
Nigeria FY2024	1273,1,1,270,1
Nigeria FY2025	2466,1,1,1,1,1
Nigeria FY2026	4569,1,1,1,1,1
Nigeria for FY26	11475
Nine Months The National Assembly's FY	6588
Non-Individual Registry Begins FY2026	11759
OAG Summary FY2024	1734,100
OPIC FY2018	292
Office FY Financial Year GB General	2775
Online FNB First National Bank FY	12663
Operator Operator FY	6946
Outlook FY	12395
PBB FY2024	1730,1,1,1,1
PBB FY2025	2963,1,1
PBB FY2026	6428,1,1,1
PERIOD FY25-FY29	12968
PIU Social Specialist Financial Finalized FY25	2989
Period FY	6946
Period FY17	10964
Period FY19-FY23	13331
Period FY23-FY27	3604
Phase Approval FY Indicative	1264
Postal and Courier Licensees License Category FY	6946
Postal and Courier Network Indicators Indicator FY	6946
Preparation FY13	11924
Private Courier Traffic FY	6946
Project FY2024-25Q2	12962
Project FY2024-25Q2 Annex	12962
Proposed FY2025	1913
Proposed FY2026	3756,344
Q1 FY2024	8753
Q1 FY2026	5644,1021,2120
Q1 FY27	8037,690
Q1 FY27 By Service Segment Service	8727
Q2 FY25	12195
Q2 FY25. No PFI	12195
Q3 FY25. Annexes	12195
Q3 FY26	4438,426
Q4 FY2026	8785
R850-million for FY2027	10673
REG Imihigo FY2023	12358
RELF for FY2024	3706,63
REPUBLIC OF NIGERIA FY26	11468
RWF No Activity FY	1204
Reconciliation FY2024	7885
Reinstated Broadcast Licences License Category FY	6946
Related MFBEN FY2025	3167
Report for FY2025	8872
Republic of Malawi for FY21	13111
Resilient H1 FY26 Performance	3898
Resource Type Capacity FY	6946
Return FY Fiscal Year GDP Gross	11863
Revenue and Expenditure Trends FY	6946
Revised Data Signal Distributors Category FY	6946
Revised FY2025	4540
Rwanda FY2024	1756,1,1,1,1,1,1,1,1,1
Rwanda FY2025	3140,1,1,1,1,1,1,1,1
Rwanda FY2026	6912,1,1,1,1,1,1,1,1
Rwanda No Activity FY	1204
Rwanda's FY2020	563
SAIDI and SAIFI During the FY	12358
SETIC's FY2025	3172
Select Financial Period FY	8727
Signal Distributor In the FY	6946
Sonatel FY2023	1143
Sound Broadcasting Frequencies During the FY	6946
Staged for FY2024	2071
Starting FY	4217
State Dept FY2025	1560
Station Types Frequency Station Type FY	6946
Supersedes the FY2025	6019
Supp I PBB FY2025	5660,1
TV Subscriptions Technology FY	6946
Tech. FY	6946
Technology Subscriptions FY	6946
Third Quarter Sector Statistics Report for FY2025	8872
Through FY2025	6431
Tony Fylla	12036
Top Ten Contracts Awarded During the FY	6946
Transfer Restriction. Approval FY2025	2225
Turnaround Gains Strengthen FY26 Performance South	10733
Type of Equipment FY	6946
USTDA for FY2026	10351
USTDA's FY2027	10351
Unlike FY2024	2085,1,1,1
Unlike FY2025	4646
Unlike the FY2024 Boletim Oficial	2089
Vodacom Q1 FY2027	8036
Wireless Access FY Financial Year GDP	12395
World Bank Group Gender Strategy FY16	10964
Year Kenya FY	4153
ZAF FY2024	1613
Zambia FY25	13431
Zambia’s FY19-23 Country Partnership Framework	13332
Zimbabwe FY2026	4101,288,1,1,1
