AB United Kingdom	6593,4411,13,947,30
Body The United Republic of Tanzania Tanzania	19519
Body UNITED NATIONS CONFERENCE ON TRADE	12544,838
Botswana's Vice President Calls for United African	3729
Britain's Superfast Broadband Future United States	11529
Burkina Faso and United Arab Emirates-based Presight	3624
Buyer Unite de Gestion du Projet Filets Sociaux	16194
CAMTEL AND MINTOUL UNITED	15821
CDC United States Centers for Disease Control	13300
CEFACT United Nations Centre for Trade Facilitation	13042
CENTRE REGIONAL AGRHYMET UNITES DU CENTRE	17941
CEO of United SA	6238
CST UNITEL	18791
CST UNITEL Indicadores Estatísticos	18791
CST UNITEL STP GRÁFICO	18791
CST Unitel Indicadores Estatísticos	18791
CST and Unitel STP	18969
Cameroun SSA Sub-Saharan Africa UNCTAD United	10841
Can the United Nations Bring the World Together	5044,322,52,1069,392,233,35
Capital Development Fund UNDESA United Nations	13388
Capital Development Fund UNDP United Nations	13347
Capital Development Fund United Nations Sustainable	16973
Chad Digital Economy Diagnostic UNICEF United	18931
Chief of Mission Cabinet Secretary United Nations	4153
Chief of Mission Priorities The United States	17883
Child UNICEF United Nations Children’s Fund	16860
Children's Fund UNIDO United Nations Industrial	17105
Children's Fund UNISFA United Nations Interim	18668
Children's Fund UNU-WIDER United Nations University	11889
Children's Fund UNWOMEN United Nations Entity	13312,2
Children’s Fund UNU-WIDER United Nations University	10759,78,1503
Children’s Fund United States Agency for International	14622
China. The United States	10068
Chippa United	5733
Civil Aviation The United Arab Emirates	11185
Climate Change UNESCO United Nations Educational	15604
Climate Change UNFCCC United Nations Forum	15129
Climate Change USAID United States Agency	16949
Climate Change USD United States Dollar	18578
Combat Desertification UNCCD United Nations Framework	15129
Combat Desertification UNDP United Nation Development	17157
Commission BS Bertelsmann Stiftung UN-Habitat United	10835,3,130,902,16,466,1,135
Commission for Africa UNESCO United Nation Educational	16885
Commission for Africa UNESCO United Nations Educational	1814,17117
Commission for Africa UNHCR United Nations High	10841
Commissioner for Refugees UNICEF United Nations Children	14896,708,121
Commissioner for Refugees USD United States Dollar	15118
Compendium of United Nations Security Council Sanctions	17068
Comunicação UNU-EGOV United Nations University Operating	18774
Congo Mauritius United Arab Emirates Singapore	16942
Connectivity and Access The United Nations	12325
Conselho de Administração da UNITEL	8260
Conselho de Administração da Unitel	8493
Controller and Auditor General The United Republic	19541
Convention Against Corruption UNDP United Nations	970
Coordinated Funding By United Nations Economic	8472
Coordination of Humanitarian Affairs UNPD United Nations	14896
Could the United Nations Global Digital	11028
Council Resolution UN Women United Nations	18624
Coverage UNDB United Nations Development Business	10829
Coverage United States Government Wild Poliovirus	4153
Cultural Organization WASH United Nations High	11905
DA CST E UNITEL	18791
DC. World Bank and United Nations Development	11133
DES INVESTIS- SEMENTS D’UNE UNITE	17817
DESCRiPTiON SUB-TYPES PURPOSE INTERNATIONAL United Nations	961
DFS the United Nations High Commissioner for Refugees	11994
DISclAIMERS United Nations Department of Economic and Social	10840
Data Governance International Telecommunication Union United	11439
Data Quality Assurance Framework UNFPA United	13359
Data Sharing Policy UN-GGIM United Nations	18904
Data Strategy UNCTAD United Nations Conference	14790
Database. United Nations Department of Economic and Social	15604
Defendant United States Department of State	5692
Department of Economic and Social Affairs USD United	13388
Department of Safety and Security UNICEF United Nations	18668
Development Association UNESCO United Nations Educational	18851
Development Cooperation Framework USAID United States	16943
Development Cooperation Framework United Nations Volunteers	16973
Development Fund UNDAF United Nations Development	17105
Development Fund UNDP United Nations Development	12241,839,15
Development Programme UNECA United Nations Economic	16885
Development Programme UNESCO National Commission for United	12975
Development Programme UNESCO United Nations Educational	12512
Development Programme UNFPA United Nations Population	16927
Development Programme UNHCR United Nations High	1867
Development Programme United Nations High Commissioner	16902
Development Programme United Nations Population Fund	10763
Development UNDESA United Nations Department for Economic	13312,2
Diffusion United Bank for Africa Mali Hamane	17856
Digital Economy United Nations SMEs	14932
Digital Economy. The United States	4340,5
Digital Services Act. The United States	8046
Disabled. The United Nations Development Programme	16950
Disaster Disaster Management Management United Nations	19520
Dodoma. United Republic of Tanzania	19542
Drugs and Crime UNSDCF United Nations Sustainable	15725
Drugs and Crimes UNSDCF United Nations Sustainable	16943
Développement Durable SNEDD United Nations’ Integrated	17983
D’UNE UNITE	17817
E UNITED BANK OF AFRICA GUINEE-SA	16623
E UNITED NATIONS HUMAN SETTLEMENTS PROGRAMME	16916
E United Nations Human Settlements Programme	16916
E. Costs The United States Government	5773
EDUCATION FUND TO THE UNITED NATIONS	14936,1
ES United States Embassy Eswatini	4247
ESWATINI PREAMBLE The United States	4247
EU and United States	11149
East Africa. United Nations	12138
Economic and Social Affairs UNDP United Nations	16885
Economic and Social Affairs UNESCO United Nations	10759,78,1052,451
Education and Training UK United Kingdom UN	17105
Education and Training UN United Nations UNDP	15661
Egyptian Personal Status Law United Nations	15627
Electronic Business UNDP United Nations Development	13042
Empowerment of Women US United States USD	13312,2
Enhance Economic Cooperation Between the United States	14890
Equivalent Unit UN United Nations UNCTAD	16631
Ericsson and UNITEL	2528
Ericsson and UNITEL S.A	2528
Ericsson and Unitel	2543
Eswatini United States of America Value Added	11131
Ethics and Protection. United Nations Development Group	1243
Ethiopia UAE China France United States	13868
Ethiopia. The United States	4349
Europe UNEP United Nations Environment Programme	13042
European Union-funded UNITE	16580
Event Data Project UNCTAD United Nations	10835,3,130,902,16,466,1,135
Executive Chairman of Unitel	7108
F. DELCROS the United Nations	11154
FAIR AND LEGITIMATE PROCESSING The United	1243
FCDO United Kingdom Foreign	10768
FIVE HUNDRED NINETY-THREE THOUSAND UNITED STATES	19214
Fifteen Thousand United States Dollars	17334
Fifth United Nations Conference	17241
Filho Terapia de Reidratação Oral United Nations	10777
Five Hundred Thousand United States Dollars	17114
Five Thousand United States Dollars	17334
Food and Agriculture Organization of United Nations	12667
Food and Nutrition. United Nations Children’s Fund	17127
Force Survey UNFPA United Nations Population	18951
Forces United Nations Integrated Transition Assistance	15342
Forests UNFF United Nations Global Geospatial	15129
Foster United States of America-Kenya	4153
Fourth United Nations Conference	13988
Framework UNV United Nations Volunteer VPD	17289
Free and Secure Digital Future for All. United	11028
Fund Social Safety Nets United Nations	16902
Fund UNICEF United Nation Children’s Fund	16927
Fund UNOCHA United Nations Office	14896
Fund UNODC United Nations Office	15725
Fund USAID United States Agency for International	15604
Fundamental Principles of Official Statistics UNICEF United	13359
G. Watson Richards The United	17256
GAP THAT REMAINS The United	9106
GBV. United Nations Resident Coordinator Ms	12626
GOOD GOVERNANCE AND SECURITY The United	19519
GOVERNMENT OF THE UNITED	4153,14,50,30,102,14565
GOVERNMENT OF THE UNITED ARAB EMIRATES	13326
GOVERNMENT OF THE UNITED STATES	4049,1303
GOVERNMENT OF UNITED STATES	3972,230,1150
GOVERNMENT UNITED STATES OF AMERICA	10713
GSMA and United Nations Population	19245
Gambia. United Nations Development Programme	16973
Gates Foundation. The United Nations Population	13454
Gavi. United Nations	11417
General STD Standard URT United Republic	19542
Global Context United Nations Convention	12460
Goals SOE State-Owned Enterprise UNDP United	17260
Government Agencies United Kingdom Investisseurs	4972
Government Capability Maturity Framework THE UNITED	19576
Government of Egypt. Within the United Nations	15725
Government of United Republic of Tanzania	19519
Government of United Republic of Tanzania GPS Global	19519
Great Britain and Northern Ireland United Nations	11765
Greek Convent Press. United Nations Economic	16916
Group UN United Nations UNDP United	13359
Group UNESCO United Nations Educational	18911
Group US United States US	1243
Groups UN United Nations UNDP United	19519
Guideline THE UNITED REPUBLIC OF TANZANIA	19575
HAVING REGARD TO the United Nations Convention	14447
HUITIEME LEGISLATURE UNITE-PROGRES-JUSTICE	785,10040
Head of United Nations Integrated Transition Assistance	15342
Healthier Population UNCT United Nations Country	17289
High Commissioner for Refugees UNICEF United Nations	10759,78,1052,451,6571
High Commissioner for Refugees USA United State	17157
High Commissioner for Refugees United Nations Children	16436
Honoris United Universities. Il	11784
Human Development Report Briefing. United Nations	13332
Human Rights UNESCO United Nations Educational	18624
Human Settlements Programme UNHCR United Nations	10759,78,1052,451
Human Settlements Programme United States Geological	16916
Human and People's Rights AMUSI United Movement	12201
Humanity United	15342
Hundred and Fifty United States Dollars	17334
I. COOPERATION WITH THE UNITED STATES	12962
ID United Arab	10714
ID for All The United Nations Children	6807
IFRC. The United Arab Emirates	18663
IGME United Nations Inter-agency Group for Child	10759,76,2,1,130,902,16,3,451,12,1,135
IMF International Monetary Fund MCU United	4127
INST-5429241D0B5 NAIROBI United Arab Emirates	7167
ITU International Telecommunication Union RCO United	13544
Identification Number UNCDF United Nations Capital	12241,839,15
Identifier USD United States	16996
Inclusive Growth UNDESA United Nations Department	12962
Incubators United States	4972
Incubators United States All	4972
India UN United Nations UNFPA United	15415
India and United Kingdom	14773
Infrastructure Index UNDESA United Nations Department	16885
Insurance UN United Nations UNDP United	15725
Insurance-Sector-Coverage-Kenya-vF.pdf. United Nations	6938
International Children Emergency Fund USA United	12970
International Coordinating Agencies The United Nations	19555
International The United Nations Statistical Commission	16863
International Trade Law United Nations Conference	15480
Internet Banking USA United States of America	15023
Internet Protocol UNDP United Nations Development	18578
Internet Unite	226
Internet. The United States International Trade	6156
JB CHARLESTON SOUTH CAROLINA UNITED STATES	4434
JD United Kingdom T	16628
JICA and United Nations Children’s Fund	18559
JOINT STATEMENT BETWEEN THE UNITED ARAB	18550
Joining the United Nations Health4Life Fund	14773
Joint United Nations Programme	10759,76,2,1,130,902,16,3,451,12,1,135,435,16,1368,2644
Jordan and United Arab Emirates	14897
Jordan. For the United Kingdom	11135
Justice Committees UN United Nations UNAIDS	12939
K UNITED STATES SECURITIES AND EXCHANGE	8939
KENYA THE UNITED STATES OF AMERICA	4154
KEY DEVELOPMENT PARTNERS The United Nations	14959
KONGO KWILU UNITED	11900
Kenya and United Bank for Africa	10223
Kenyan and United States	4165
Kingdom United	17743
Kosovo United Republic of Tanzania United States	11765
Kuwait United Kingdom Republic of Belgium Korea	16973
LESOTHO AT THE UNITED NATIONS GLOBAL	12760
Law Enforcement and Shiprider Agreement Between the UNITED	18913,1
Law Enforcement and Shiprider Agreement Between the United	18913
Lead United Nations Volunteer	15179
Liberia UNODC United Nations Office	16943
Liberia. The United Nations	16921
Liberian Dollar. The United States Dollars	16978
Libya The United Nations Support Mission	17403
Libyan United International Company	2837
Limited Data Controller INST-183324F8C19 NAIROBI United	7167
Logotipo da UNITEL Divulgação Luanda	8675
MARCO RUBIO SECRETARY OF STATE UNITED	4153
Malawi. The United Nations Development Programme	12241,839,15
Malaysia United Arab Emirates Oman Equatorial	16996
Management Plan UNFCCC United Nations Framework	17114
Management Unit for Special Projects UN United	11863
Manchester United	3391
Mathematics UNDP United Nations Development Programme	12376
Mauritius-based United Investment LMT	12035
Mediterranean-Equatorial Digital United SEALINK for Africa	854
Medium Enterprises Technical Working Group United	12453
Meintjies United States. Street	13462
Mercado de Bolsa de Acções da Unitel	8122
Method of Value Access UN United Nations	13312,2
Michael Gwarisa The United States	8862
Million United States Dollars	18572
Mines UNITE D’INTERVENTIONS INCENDIES Chef	17899
Minister. Maritime Transport The United Arab	11185
Ministry of Digital Economy and Entrepreneurship United Arab	2958
Ministry of Local Government UNHCR United Nations	12328
Mogadishu HOL Man United	2719
Monetaire Ouest Africaine UNDP United Nations	19239
Monitoring UNESCO United Nations Educational	15621
Mortality Estimation UN MMEIG United Nations	10759,76,2,1,130,902,16,3,451,12,1,135
Mulenga. The United Nations Development Programme	8039
My AI'. In the United States	12210
NAIROBI United Arab Emirates	7167
NATIONS UNIES POUR L’ENFANCE UNFPA UNITED	18105
NBS Unite	8818
NDC Partnership Action Fund and United Nations	11134
NGO Non-Government Organization OCHA United Nations	15731
NSS. The Government of United Republic of Tanzania	19519
NUA-English.pdf United Republic of Tanzania	19520
Namibia Economic Policy Research Unit. United	12325
National Accounts for United Republic of Tanzania	19519
National Integrated Identity Management System United	12138
National Strategic Plans and United Nation’s Sustainable	12917
Nations Children’s Fund UNODC United Nation	11586
Nations Children’s Fund USAID United States	19455
Nations Children’s Fund USD United States	18931
Nations Development Program UNICEF United Nations	11525
Nations Development Programme UNDQAF United Nations	13359
Nations Development Programme UNESCO United Nations	13544,5975
Nations Development Programme UNFPA United Nations	15725
Nations Disaster Management Team United Nations	10763
Nations Economic Commission for Africa UNFPA United	16921
Nations Economic Commission for Africa UNICEF United	13005
Nations Facility UNDP United Nations Development	14897
Nations Fund for Population Activities United Nations	14622
Nations High Commissioner for Refugees UNICEF United	11924,3737,2188
Nations Institute for Training and Research United Nations	16973
Nations International Children’s Emergency Fund United	16973
Nations International Children’s Fund UNOPS United	18478
Nations Office for Project Services USAID United	18478
Nations Office for Project Services United States	15658
Nations Population Fund UNFPOS United Nations	13359
Nations Population Fund UNICEF The United	11560
Nations Resident Coordinator Office UNDP United	13544
Nations UNECA United Nations Economic Commission	12413,2643
Nations UNHCR United Nations High Commissioner	10765,10
Nations UNICEF United Nations Children's Fund	15731
Nations USAID United States Agency for International	16970
Nations USD United States of America	11863
Nations United Nations Development Programme United	4528
Nations United Nations High Commission for Refugees	13938
Net TOC Theory of Change UNHCR United	11924
Networks Malawi UNDP United Nations Development	14674
Nigeria Unites Digital Connectivity and Clean Energy	7747
Nigeria and United Arab Emirate	12026
Ninety-One United States	16978
Number USD United State Dollar VAT	14985
O PCA da UNITEL	8260
OCHA United Nations Office	16941
OCHA and United Nations Department of Safety and Security	15039
OHCHR. United Nations	12367
Office of United Nations High Commissioner for Refugees	18437
Offices Wordwide United Arab Emirates	14621
Official Use Only UNDP United Nations	3604
Official Use Only UNITE DE GESTION	16104
Oman Qatar Saudi Arabia United Arab	10764
Ongoing United Nations	15039
Online Edition. United Nations	10714
Opportunities and Threats Technical Working Group United	4528
Opportunities and Threats UNDP United Nations Development	16943
Opportunities and United Nations Development Programme	12214
Over Bakau United	17208
Overview The United Nations Development Programme	16312
PART THE UNITED	15506
PCA da UNITEL	4248
PRIME MINISTER THE UNITED REPUBLIC	19520
PROGRAM GRANT AGREEMENT BETWEEN THE UNITED	19214
Partners Task Team Leader United Nations	16436
Partners United Nations High Commissioner for Refugees	13669
Peace Piak Kanu The United Nations	18139
Penguin Press. United Nations	11154
Peru Costa Rica Dominican Republic United	11135
Plan II UN United Nations	19555
Plan UNHCR United Nations High Commissioner	11218
Population Fund UNHCR United Nations High	14896,708,121
Population Fund UNSCR United Nations Security	18624
Postconflict Reconstruction. United Nations and World Bank	16942
Poverty Survey UNDP United Nations Development	15244
Preparation of United Nations E-Government Survey	10840
President United Arab Emirate Mohamed	12026
Procedure UNESCO United Nations Educational	19042
Procurement STEP Terms of Reference TOR United	11417
Procurement TA Technical Assistance UNDP United	11525
Program TF Trust Fund UNHCR United	17849
Program UNEP United Nations Environment Program	17157
Program UNESCO United Nations Educational	13312,2
Program UNFPA United Nations Population Fund	12241,839,15
Program UNICEF United Nations Children’s Fund	16942
Programme Evaluation and Auditing UN Women United	11193
Programme UNECA United Nations Economic Commission	14674,2431
Programme UNECE United Nations Economic Commission	13042
Programme UNESCO United Nations Educational	6946,602
Programme UNFCCC United Nations Convention	18578
Programme UNMIL United Nations Mission	16943
Programme United Nations Population Fund United	16973
Projecto UNESCO United Nations Educational	11390
Proposal Security of Sixty-Five Thousand United States	15080
Protocol Between the UNITED STATES OF AMERICA	1234
Public Private Infrastructure Advisory UN United	14897
QUATRIEME LEGISLATURE UNITE	15350
REAIM and United Nations	7548
RECALLING the United Nations Agreement	18914
REGIONAL LEADERSHIP Her Excellency the United	14566
REPARTITION PAR UNITE	10975
REPUBLIC AND THE UNITED STATES	16519
REPUBLIC OF Nigeria PREAMBLE The United	4302
REPUBLIQUE DU TCHAD UNITE-TRAVAIL-PROGRES	18901
REPUBLIQUE DU TCHAD UNITE-TRAVAIL-PROGRES MINISTERE	18942
RTAs. The United States	1243
Refugee and Host Communities United Nations Convention	1988
Refugee-Returnees and IDPs UN United Nations GLOSSARY	14874
Refugees UNICEF United Nations Children's Fund	10765
Refugees UNICEF United Nations Children’s Fund	10775
Refugees United Nations Children’s Fund United	15658,1244
Religious Freedom United Nations	15092
Remember. Unite. Renew. South-South Cooperation Convention	8674
Report. United Nations Educational	5036
Republic of South Africa and United Nations High	5533
Republic of United States of America Mozambique	10713
Resolutions of United Nations Security Council	11279
Responsive Planning UN United Nations and Budgeting	11193
Results United Nations Support Mission	17403
RfP Request for Proposal UNHCR United Nations	11986
Rica Dominican Republic Western Europe United	11135
Road Transport Electronic Pre-Declaration UNCTAD United	13042
Royal United Services Institute for Defence and Security	4127
SDR Special Drawing Rights UN United	15731
SEMENTS D’UNE UNITE DE PRODUCTION	17817
SEMENTS D’UNE UNITE DE PRODUCTION D’HUILE	17817
SEVEN THOUSAND UNITED STATES DOLLARS	19214
SMS Short Message Service UN United	10765,10
SSA Sub-Saharan Africa USAID United States	12006
SUDAN United Nations	14853
Salaam UNESCO United Nations Educational	19565
Salaam UNICEF United Nations International Children	19541
Salaam United Republic of Tanzania	19520
Salaam. United Republic of Tanzania	19520
Saudi Arabia and United Arab Emirates	5700
Scientific and Cultural Organisation UNFPA United Nations	14896
Scientific and Cultural Organisation UNICEF United Nations	13990
Scientific and Cultural Organisation US United States	14747
Scientific and Cultural Organisation USD United States	14674
Scientific and Cultural Organization UNFPA United Nations	15604,3020
Scientific and Cultural Organization UNHCR United Nations	17157,1754
Scientific and Cultural Organization UNICEF United	12970
Scientific and Cultural Organization UNICEF United Nations	13312,2,3791,765,895
Scientific and Cultural Organization UNWTO United Nations	2775
Scientific and Cultural Organization USA United States	12512
Scientific and Cultural Organization United Nations Children	11156
Second United Nations World Data Forum	12138
Secretary-General. United Nations. Google Scholar UN	11028
Security Force for Abyei USAID United States	18668
Seraphine Wakana United Nations Resident Coordinator	18529
Serial Bus USD United States Dollar	2775
Series. The United Nations	12369
Serikali Tanzania Zanzibar. United Republic of Tanzania	19542
Service Fund UN United Nations UNDP	6539
Service UN United Nations UNISA University	11188
Service UNDP United Nations Development Programme	12395
Service UNSD United Nations Statistics Division	12663
Seychelles United Movement	19102
Shilling UN United Nations USD US	19531
Six Francophone West African Countries Unite	7170
Smart Zambia Institute UNCDF United Nations	13347
Social Affairs UNDP United Nations Development	13312,2
Social Affairs USD United States	11960
Social Protection Stress Test Tool United	10763
Solar United Madagascar	14588
South Sudan UNMIT United Nations Intergrated	19590
South Sudan. The United States	3583
Spain Sweden Tanzania Thailand Türkiye United	10764
Stakeholders Unite for Inclusive Digital Economy	10290
Stand da UNITEL Nelson Malamba	11031
Standards and Technical Guidelines THE UNITED REPUBLIC	19513
State United States ofAmerica	4260
State-owned Unitel	2543
States of America USAID United States International	12970
Statistics Division UNCTAD United Nations Conference	16942
Statistics South Africa UNCTAD United Nations	11196
Statistics UNESCO United Nations Educational	13310
Strength Weaknesses Opportunities Threats UN United	14965
Sudan UNOCHA United Nations Office	15342
Supplementing the United Nations Convention	16874
Sustainable Development Goals. Lisa Singh United	14566
Sustainable Development Goals. United Nations Sustainable	10834
T1 Role-modelling Brazil United States Tier	10764
TA Technical Assistance USD United States	18754
TAKING DUTY SERIOUSLY’ United Democratic Front	12378
TBC To Be Confirmed USD United	16188
TF Trust Fund UN United Nations	16384
TFR Total Fertility Rate UN United	12413,2643
TG United Kingdom	15342
THIRTY FIVE MILLION UNITED STATES DOLLARS	19214
TISSEMENTS D’UNE UNITE DE TRANSFORMA-	17817
TOR Terms of Reference UNDP United Nations	1867
TR Trade Repository USD United States	14997
TRC Truth and Reconciliation Commission UN United	16970
TT Civil Registration Department and United Nations	12138
TV Television UAE United Arab Emirates	19590
TWG Technical Working Group UN United	6947
TWG Technical Working Group UNDP United	18531
Tanzania Health Sector THE UNITED REPUBLIC	19521
Tanzania The United Republic of Tanzania Ministry	6168
Tanzania. United Republic of Tanzania	19542
Targeting Saudi’s Wedyan Tanker The United	18759
Team Leader UN United Nations UNDP	16952
Team UNRC United Nations Resident Coordinator	17289
Technical Appendix UNITED NATIONS E-GOVERNMENT SURVEY	14006
Technical Unit United Nations High Commissioner	15658
Technical Working Group UN United Nations	7548
Technical and Vocational Education and Training UNDP United	17139
Techniques Déconcentrés Unité de Gestion du Projet United	14425
Telecom UNDP United Nations Development Program	1818
Telecommunication Infrastructure Index United Arab Emirates	15634
Telephone Network UNESCO United Nation Educational	14723
Ten Thousand United States Dollars	17334
Terms of Reference UNDP United Nation Development	17862
Theory of Change UNESCO United Nations Educational	13990
ToC Theory of Change UNDP United Nations	18477
Tourism Development Authority USAID United States	15473
Toxoid UNICEF United Nations Children’s Fund	16971
Track gauge in the United States	4259
Trade and Development UNDESA United Nations Department	10759,78,1052,451
Trade and Development UNDG United Nations Development	1243
Trade and Development UNDP United Nations Development	1264,5682,602,6313,3081
Trade and Development UNECA United Nations Economic	10841,8090
Trade and Development UNESCO United Nations Educational	2775,15095
Training UNESCO United Nations Educational	14896
Training of Trainers UNICEF United Nations International	19544
Transfer TND Tunisia Dinar UNICEF United	19455
Transition Support Facility Unit of Account United	13938
Transitional Stabilisation Programme UNCAC United Nations	970
Transmission and System Operator UNDP United Nations	15659
Técnica da UNITEL	4250
Télécommunications du Mali United Nations	17824
Türkiye United Kingdom	10764
U.S. Government Chief of Mission United	4202
UAE United Arab Emirates	15220
UAE United Arab Emirates UN United	15342
UAE United Arab Emirates University of Madrid	16942
UAS Universal Access and Services UNECA United	16861
UBR Universal Birth Registration UNCRC United	16860
UDL Universal Design for Learners UNESCO United	13991
UGPE United Nations The United Nations	11855
UHC Universal Health Coverage UNICEF United	15556,2922
UHI Universal Health Insurance UNICEF United	11133
UI User Interface UNSD United Nations	16942
UIN Unique Identification Number UNICEF United	13681
UJ University of Johannesburg UNDP United Nations	12975
UK United Kingdom UN United Nations	2775
UK. UK Government. United Nations Conference	11879
UML United Nations Convention	15129
UN Assembly President. United Nations Urbain	17773
UN Country Team Members The United	13989
UN DESA United Nations Department of Economic	11960
UN IGME United Nations Inter-agency Group	11887,266,1,9,178
UN MMEIG United Nations Maternal Mortality	11887,266,1,9,178
UN PRINCIPLES AND GUIDELINES The United	1243
UN United Nations	12367,2853
UN United Nations UNCC United Nations	15604
UN United Nations UNCDF United Nations	13388
UN United Nations UNDESA United Nations	13731
UN United Nations UNDP United Nations	12512,4415
UN United Nations UNDRR United Nations	19520
UN United Nations UNDSS United Nations	18668
UN United Nations UNEP United Nations	11553
UN United Nations UNICEF United Nations	17906
UN United Nations UR University of Rwanda	14922
UN United Nations USD United States	12964
UN United Nations WWW World Wide	13345
UN Women United Nations	15036
UN-Habitat United Nations Human Settlements Programme	11887,266,1,9,178
UNAIDS Joint United Nations Programme	11887,266,1,9,178
UNCDF United Nations Capital Development Fund	11960
UNCTAD United Nation Conference	2775
UNCTAD United Nations Conference	1264,6284,4339,266,1,9,178,333,1187,4009,1061
UNCTAD United Nations Conference for Trade	13312,2
UNCTAD United Nations Trade and Development	12786
UNDB United Nations Development Business UNICEF	15518
UNDESA United Nations Department of Economic and Social	11887,266,1,9,178
UNDP Liberia The United Nations Development	17078
UNDP Mauritius Team United Nations	11332
UNDP United Nations Cooperation Programme	12675
UNDP United Nations Development Budgeting	11193
UNDP United Nations Development Program PUMA	13729
UNDP United Nations Development Program USAID	16971
UNDP United Nations Development Programme Acronyms	18487
UNDP United Nations Development Programme UNDHR	18624
UNDP United Nations Development Programme UNFPA	11586
UNDP United Nations Development Programme UNHCR	19590
UNDP United Nations Development Programme UNICEF	10964
UNDP United Nations Development Programme URA	14745
UNECA United Nations Economic Commission for Africa	13295
UNEP UN Environment Programme UNESCO United	1204
UNEP United Nations Environment Programme UNESCO	16996
UNESCO United Nation Educational Scientific and Cultural	16883,1
UNESCO United Nation Environment	12970
UNESCO United Nations Educational	11887,266,1,9,178,2325,81,169,248,1993
UNFCCC United Nations Framework Convention	14947
UNFPA United Nations Family and Population Agency	10829
UNFPA United Nations Population Fund UNICEF	12962,13
UNGEI Network and United States Peace Corps	16852
UNGEI United Nations Girls' Education Initiative	16852
UNHCR CEMAC USSD United Nations Capital	11944
UNHCR United Nations High Commissioner for Refugees	10835,3,130,902,16,1,107,159,1,9,178,11,1,135
UNICEF United Nations Children Fund UNSDCF	16941
UNICEF United Nations Children's Fund	11390,497,266,1,9,178,6738
UNICEF United Nations Children's Fund UNIMA	12241
UNICEF United Nations Children's Fund USPC	16852
UNICEF United Nations Children’s Fund	10829
UNICEF United Nations Children’s Fund UNFPA	12939
UNICEF United Nations Children’s Fund UNIMA	13080,15
UNICEF United Nations Children’s Fund USAID	10768
UNICEF United Nations Children’s Fund VSLA	16384
UNICEF United Nations Children’s Funds TABLE	18301
UNICEF United Nations International Children's Emergency	13420
UNION AFRICAINE UNDAF UNITED NATIONS DEVELOPMENT	18105
UNITE	19252,21
