row_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
XAF-gov.protect-au-data-policy-framework,gov.protect,1,3,0,0,0,0,,held,4
XAF-gov.protect-nadpa,gov.protect,1,3,1,1,0,0,,staged,4
XAF-gov.regional-afcfta-state-parties,gov.regional,1,3,1,1,0,0,,staged,22
XAF-gov.regional-afigf,gov.regional,1,3,3,1,1,1,url-dead,staged,22
XAF-gov.regional-african-financial-stability-report,gov.regional,1,3,1,1,0,0,,staged,22
XAF-gov.regional-afsc,gov.regional,1,2,2,1,1,0,,staged,22
XAF-gov.regional-aricea,gov.regional,1,3,2,1,1,1,fetch-blocked,staged,22
XAF-gov.regional-atu-work-programme,gov.regional,1,3,2,0,1,1,off-topic,nil,22
XAF-gov.regional-au-archives-repository,gov.regional,1,3,1,0,0,1,out-of-window,nil,22
XAF-gov.standards-continental-ict-standardisation-alignment,gov.standards,1,3,3,1,2,0,,staged,10
XAF-include.divides-women-digital-inclusion-accelerator,include.divides,1,4,1,0,1,3,off-topic;already-seen;off-topic,nil,2
XAF-infra.connect-5g-commercial-deployment,infra.connect,1,3,2,1,1,1,duplicate-in-run,staged,8
XAF-infra.connect-airtel-africa-network-investment,infra.connect,1,3,2,1,1,1,duplicate-in-run,staged,8
XAF-infra.connect-digital-connectivity-infrastructure-report,infra.connect,1,3,0,0,0,3,off-topic;off-topic;off-topic,nil,8
XAF-infra.connect-ipv6-capability,infra.connect,1,3,1,1,0,2,duplicate-in-run;out-of-window,staged,8
XAF-infra.connect-mobile-internet-users,infra.connect,1,3,1,1,0,2,no-development;duplicate-in-run,staged,8
XAF-infra.cybersec-cybersecurity-index-standing,infra.cybersec,1,2,0,0,0,1,already-seen,held,4
XAF-infra.store-afcfta-datacentre-need,infra.store,1,3,0,0,0,2,duplicate-in-run;off-topic,held,6
XAF-infra.store-african-share-global-datacentre-capacity,infra.store,1,3,1,1,0,2,off-topic;off-topic,staged,6
XAF-infra.store-aws-african-infrastructure-investment,infra.store,1,3,0,0,0,2,duplicate-in-run;duplicate-in-run,held,6
XAF-infra.store-data-centre-occupancy,infra.store,1,3,1,0,1,2,already-seen;off-topic,nil,6
XAF-infra.store-dependence-on-foreign-public-cloud,infra.store,1,3,0,0,0,2,already-seen;off-topic,held,6
XAF-tech.ai-african-language-training-data,tech.ai,1,3,2,1,1,0,,staged,14
XAF-tech.ai-ai-startup-census,tech.ai,1,3,5,1,2,2,already-seen;headline-only-stub,staged,14
XAF-tech.ai-common-african-position-ai,tech.ai,1,3,2,1,1,0,,staged,14
XAF-tech.ai-continental-ai-strategy-financing,tech.ai,1,3,0,0,0,0,,held,14
XAF-tech.innovate-innovation-support-mapping,tech.innovate,1,3,2,1,1,0,,staged,2
