indicator_id,url,title,publisher,published,brief,why_not,slice
capacity.training--graduates-entering-dt-ecosystem,https://fr.linkedin.com/posts/kit-digital-innovation-hub_pafen-setic-fsu-activity-7477222642052329473-dQEs,Découvrez les gagnants de JUNETECH 2026,KIT- Digital Innovation HUB,2026-06-29,progress,"dropped inadmissible-origin: a LinkedIn post. Three teams selected for accompaniment and funding after training in AI, blockchain, cybersecurity and robotics. A sibling slice staged the SETIC page for the JUNETECH 2026 festival opening, which covers the same programme from a government source.",capacity-data
capacity.training--graduates-entering-dt-ecosystem,https://www.insbu.bi/documents/Annuaires/Annuaire_Statistique_Burundi_Edition_2023.pdf,"ANNUAIRE STATISTIQUE DU BURUNDI, EDITION 2023",Institut National de la Statistique du Burundi (INSBU),2024-12-01,baseline,"not selected here: staged under data.statistics instead. Its higher-education tables 7.09-7.12 give establishments and gross enrolment with no breakdown by ICT field, so it does not answer this indicator.",capacity-data
data.statistics--national-strategy-for-development-of-statistics,https://afristat.org/wp-content/uploads/2022/04/3_Burundi_Document-Principal-2-2016-2020.pdf,Deuxième Stratégie nationale de Développement de la Statistique au Burundi (SNDSB-II) 2016-2020,Ministère à la Présidence chargé de la Bonne Gouvernance et du Plan / ISTEEBU,2016,baseline,"not fetched, below cap: an actual SNDS document and it does serve real bytes, but it is the second generation and superseded by SNDS-III. Section 4a prefers the operative instrument, so the 2022 decree carrying the standing SNDS mandate was taken instead.",capacity-data
data.statistics--national-strategy-for-development-of-statistics,https://www.paris21.org/sites/default/files/media/document/2026-02/nsds_summary_table_2026.pdf,NSDS STATUS OF COUNTRIES,PARIS21,2026-01,baseline,"not fetched, below cap: records Burundi's NSDS 2022-2026 as Implementing with an evaluation due in 2026. A partner's status table rather than the national instrument, but the only located document that dates the current generation.",capacity-data
data.statistics--national-strategy-for-development-of-statistics,https://www.esoko.bi/akazi/job/avis-de-demande-de-cotations-accord-s-cadre-s/,INSBU: Avis de demande de cotations Accord(s)-Cadre(s),esoko,,progress,"not fetched, below cap: a job-board reproduction of an INSBU framework-agreement tender naming support to evaluate and revise SNDS-III and to draft the fourth SNDS for 2027-2031. The only trace found anywhere of an SNDS-IV, so the highest-value lead in this register if the cap widens; needs re-sourcing to INSBU itself.",capacity-data
data.statistics--statistics-from-administrative-data,https://obr.bi/index.php/e-kori,e-KORI,Office Burundais des Recettes (OBR),2026-08-04,progress,"fetched, dropped off-topic for this indicator: from 4 August 2026 all new taxpayer registrations are online only, with biometric capture and ADB Easy Business routing. It creates a digital administrative register but publishes no statistics from one. Already staged by a sibling slice under a digital-government indicator.",capacity-data
data.statistics--statistics-from-administrative-data,https://minisante.gov.bi/wp-content/uploads/annuaires_statistiques/annuaire%20statistique%202017.pdf,ANNUAIRE DES STATISTIQUES SANITAIRES DE L'ANNEE 2017,"Ministère de la Santé Publique et de la Lutte contre le SIDA, DSNIS",2017,baseline,"not fetched, below cap: the health yearbook built from monthly facility returns entered in DHIS2, the second working administrative-statistics chain in the country. The most recent edition located is 2017, which is itself a finding about the series.",capacity-data
data.open--use-of-open-data,https://www.uneca.org/eca-events/burundi-validates-its-first-national-data-governance-strategy,Burundi validates its first National Data Governance strategy,UN Economic Commission for Africa,2025-11-07,progress,"dropped already-seen: the National Data Governance Strategy validated in November 2025 is already held. It was the only in-window movement the progress brief could evidence for this indicator, which is why the indicator stages a baseline and no progress.",capacity-data
data.open--use-of-open-data,https://burundi.opendataforafrica.org/,Burundi Data Portal,Institut National de la Statistique du Burundi (INSBU),,baseline,"not fetched, below cap: the INSBU data portal itself, the platform the staged Accord de Licence Ouverte governs. Undated; the licence was preferred as the instrument over the platform.",capacity-data
data.satellite--agricultural-use-of-satellite-data,https://bi.chm-cbd.net/sites/bi/files/2025-12/rapport%20final%20livrables%20a-b-c-afat%20par%20le%20projet%20cbit.inventaire%20atmost%202025.pdf,RAPPORT FINAL - LIVRABLE A - LIVRABLE B - LIVRABLE C - PERIODE 1990-2022,"Consortium ATMOST-CIDEX for the Office Burundais pour la Protection de l'Environnement (OBPE), under MINEAGRIE",2024-12,baseline,"not fetched, below cap: a national land-cover classification derived from Landsat imagery for 1990, 2000, 2010 and 2022, identifying agricultural systems. The strongest unfetched lead in this slice - it is the actual satellite-derived product for Burundian agricultural land, where the staged IGEBU page only evidences the capability.",capacity-data
data.satellite--agricultural-use-of-satellite-data,https://sp-bcg.gov.bi/images/2_CONVENTION_ORTHOS_BCG.pdf,Convention d'échange de données géographiques,Secrétariat Exécutif Permanent du Bureau de Centralisation Géomatique (SEP-BCG),,baseline,"not fetched, below cap: establishes the national geographic data centralisation and exchange instrument, with ISO 19115 metadata, a 10 m DEM and 0.5 m orthophotography. SEP-BCG is a national geospatial body that does not appear anywhere in the held base and is worth acquiring in its own right.",capacity-data
data.satellite--agricultural-use-of-satellite-data,https://doi.org/10.54067/acpf.142/fr,AAgWa Crop Production Forecasts Brief Series - Issue N. 142/FR,AKADEMIYA2063,2024-06-03,baseline,"not fetched, below cap: the Africa Crop Production model uses remote-sensing geo-biophysical data and machine learning to forecast 2024 sorghum production for Burundi at pixel and commune level. The most direct satellite crop forecasting for Burundi found, but produced by a continental service, not a Burundian institution.",capacity-data
digital.localgov--ict-infrastructure-for-local-government,https://setic.gov.bi/pafen-onatel-couverture-reseau-et-connectivite-en-milieu-rural/,PAFEN – ONATEL : COUVERTURE RESEAU ET CONNECTIVITE EN MILIEU RURAL,SETIC,2026-04-30,progress,"over cap; third rural-connectivity contract of the same PAFEN programme, ranked below the Lumitel contract and the direct equipment grant to communal administrations",digital-tech
digital.localgov--ict-infrastructure-for-local-government,https://documents1.worldbank.org/curated/en/207441655916156350/pdf/Burundi-Digital-Foundations-Project.pdf,Burundi Digital Foundations Project,World Bank Group,2022-05-31,baseline,over cap; DE4A kept as the baseline because it states the commune-level position directly,digital-tech
digital.localgov--ict-infrastructure-for-local-government,https://documents1.worldbank.org/curated/en/099051325173027359/pdf/P176396-1693ec36-a849-41ac-b581-2c8bbf74a9e7.pdf,"Aide-mémoire de la mission de mise en œuvre du PAFEN, 10-14 février 2025",World Bank Group / Gouvernement du Burundi,2025-01-01,baseline,over cap,digital-tech
digital.localgov--ict-infrastructure-for-local-government,https://mintic.gov.bi/wp-content/uploads/2019/02/PNDTIC-BURUNDI_2010-14Mars_20111-1-A-1.pdf,Politique Nationale de Développement des TIC du Burundi (2010-2025),Gouvernement du Burundi,2010-01-01,baseline,"over cap; aspirational policy framework, superseded as evidence of the standing state",digital-tech
digital.localgov--ict-infrastructure-for-local-government,https://www.undp.org/fr/burundi/actualites/le-pnud-appuie-la-digitalisation-de-la-fiscalite-communale-travers-e-taxe,Le PNUD appuie la digitalisation de la fiscalité communale à travers E-Taxe,PNUD Burundi,2024-08-23,baseline,over cap for baseline; out of window for progress,digital-tech
digital.localgov--digitalisation-of-local-government-records,https://mininterinfos.gov.bi/recrutement-dun-consultant-charge-du-diagnostic-du-systeme-didentification-evaluation-detaillee-du-systeme-pilote-de-digitalisation-de-letat-civil-developpement-des-exigen/,Recrutement d'un consultant chargé du diagnostic du système d'identification et de l'évaluation du système pilote de digitalisation de l'état civil,"MININTER, Burundi",2023-08-29,baseline,"over cap; procurement notice, weaker than the SFC manual as the governing instrument",digital-tech
digital.localgov--digitalisation-of-local-government-records,https://primature.gov.bi/plan-directeur-de-digitalisation-des-services-publics-du-burundi-pddsp-2023-2033/,Plan Directeur de Digitalisation des Services Publics du Burundi (PDDSP 2023-2033),Primature du Burundi,2023-01-01,baseline,over cap; roadmap rather than evidence of a system operating in communes,digital-tech
digital.localgov--digitalisation-of-local-government-records,https://www.ica.org/app/uploads/2024/01/guide_pratique_darchivage_des_communes._fr_0.pdf,"GUIDE PRATIQUE D'ORGANISATION, DE GESTION ET DE CONSERVATION DES ARCHIVES DES COMMUNES DU BURUNDI",ABADB / International Council on Archives,2018-06-01,baseline,"over cap; describes physical archiving, useful as a negative baseline only",digital-tech
digital.rural--digitalisation-of-rural-health-clinics,https://documents1.worldbank.org/curated/en/099050923073520082/pdf/P17512808c1cbf01009a830d30eb4cb8732.pdf,Rapport de l'étude sur l'utilisation des TIC et la digitalisation dans le secteur de la santé au Burundi,World Bank Group,2023-03-01,baseline,"over cap; carries the best coverage figures (41 of 71 hospitals computerised, 6 centres de santé) and is the first item to add if the cap widens",digital-tech
digital.rural--digitalisation-of-rural-health-clinics,https://www.agenceecofin.com/actualites-numerique/1304-137484-sante-le-burundi-veut-mettre-en-place-un-systeme-d-information-interoperable,Santé : le Burundi veut mettre en place un système d'information interopérable,Agence Ecofin,2026-04-13,progress,"over cap; a workshop rather than a deployment, and a secondary publisher - already staged by a sibling slice as 2026-04-13-ecofin-sante-systeme-information-interoperable.md",digital-tech
digital.rural--digitalisation-of-rural-health-clinics,https://afro.who.int/sites/default/files/2026-03/Rapport%20Annuel%202025%20OMS%20Burundi.pdf,RAPPORT ANNUEL 2025 - OMS Burundi,WHO/OMS Burundi,2026-03-01,progress,over cap; no distinct dated event on this indicator,digital-tech
digital.rural--digitalisation-of-rural-health-clinics,https://minisante.gov.bi/wp-content/uploads/document_valide/POLITIQUE%20ET%20STRATEGIE%20SECTORIELLE%20DE%20SANTE%20(PSS%202023-2027).pdf,POLITIQUE ET STRATEGIE SECTORIELLE DE SANTE (PSS 2023-2027),Ministère de la Santé Publique et de la Lutte contre le Sida,2024-07-01,baseline,over cap; strategic direction rather than verified facility coverage,digital-tech
digital.rural--digitalisation-of-rural-primary-schools,https://www.ungm.org/Public/Notice/310460,"RFP NATIONAL - ACQUISITION ET INSTALLATION DES EQUIPEMENTS INFORMATIQUES DANS 39 ECOLES CENTRALES DES ANCIENNES PROVINCES DE KIRUNDO, MUYINGA, ET GITEGA",UNICEF,2026-08-11,progress,over cap; the strongest remaining candidate on this indicator and already staged by a sibling slice as 2026-08-11-unicef-rfp-equipements-informatiques-39-ecoles-centrales.md,digital-tech
digital.rural--digitalisation-of-rural-primary-schools,https://www.globalpartnership.org/fr/node/document/download?file=document%2Ffile%2F2023-08-plan-sectoriel-education-burundi-2022-2030.pdf,Plan Sectoriel de l'Education 2022-2030,"MENRS, Burundi / IIPE-UNESCO",2023-03-15,baseline,over cap; carries the 94 per cent of schools without electricity in 2019 figure and is the first item to add if the cap widens,digital-tech
digital.rural--digitalisation-of-rural-primary-schools,https://africabbmaps.itu.int/africa-bb-maps-national-event-in-burundi-outcome-report/,Africa-BB-Maps: National Event in Burundi - Outcome Report,International Telecommunication Union (ITU),2025-12-04,progress,"over cap; broadband mapping framing, no school-level inventory",digital-tech
digital.rural--digitalisation-of-rural-registry-offices,https://apai-crvs.uneca.org/sites/default/files/resourceuploads/burundi-birth-registration-2023.pdf,Improving Birth Registration in Burundi: An investment opportunity for the private and public sectors,UNICEF,2023-01-01,baseline,over cap; registration-coverage baseline rather than evidence of electronic capture at registry offices,digital-tech
digital.rural--digitalisation-of-rural-registry-offices,https://www.amade.org/fr/missions/protection/un-etat-civil-pour-tous/promotion-de-loeenregistrement-des-naissances-a-travers-la-digitalisation-des-services-doeetat-civil-en-commune-de-rumonge.html,Promotion de l'enregistrement des naissances à travers la digitalisation des services d'état civil en commune de Rumonge,"AMADE, with FVS Amie des Enfants and MININTER",2024-01-01,baseline,over cap; the most concrete single-commune implementation case and the first item to add if the cap widens,digital-tech
digital.rural--digitalisation-of-rural-registry-offices,https://www.wearetech.africa/fr/fils/actualites/tech/burundi-l-etat-civil-se-numerise-pour-renforcer-l-identite-des-citoyens,Burundi : l'état civil se numérise pour renforcer l'identité des citoyens,We are Tech Africa,2026-08-11,progress,"duplicate-in-run; the same 10 August 2026 occasion as the RTNB report kept, from a secondary publisher",digital-tech
digital.rural--digitalisation-of-rural-registry-offices,https://extranet.who.int/cpcd/sites/default/files/public_file_repository/BDI_Burundi_Code-civil-du-Burundi_2006.pdf,Burundi - Code civil mis a jour 2006,République du Burundi,2006-01-01,baseline,"over cap; prescribes physical registers, no electronic capture",digital-tech
digital.rural--digitalisation-of-rural-police-stations,https://fr.readkong.com/page/lettre-de-politique-generale-du-ministere-de-la-securite-4465042,Lettre de politique générale du Ministère de la Sécurité Publique (2011-2015),"Ministère de la Sécurité Publique, Burundi, via readkong.com",2011-08-03,baseline,"inadmissible-origin; readkong.com is a document-sharing content farm re-hosting a third-party PDF with no publisher control, and no official copy was found",digital-tech
digital.rural--digitalisation-of-rural-police-stations,http://www.presidence.gov.bi/wp-content/uploads/2017/04/strategie-nationale-de-securite.pdf,STRATEGIE NATIONALE DE SECURITE,"Conseil National de Sécurité, République du Burundi",2013-06-01,baseline,over cap; names no police information system and does not reach the indicator,digital-tech
digital.rural--digitalisation-of-rural-police-stations,https://www.coordinationsud.org/wp-content/uploads/2026_06_02-TDRs-_-End-line-PASJU-_Composante-numerisation_BSF.pdf,Appel d'offres - consultance pour l'évaluation de fin du projet composante numérisation du PASJU,Bibliothèques Sans Frontières / PASJU,2026-06-11,progress,"off-topic for this indicator; the sites are courts and prosecutors, not police stations - already staged by a sibling slice",digital-tech
tech.ai--use-of-ai-in-government-administration,https://koboldmetals.com/2026/03/12/kobold-metals-signs-agreement-with-burundi-to-digitize-geological-data/,KoBold Metals Signs Agreement with Burundi to Digitize Geological Data,KoBold Metals,2026-03-12,progress,"no-development for this indicator; the signed MoU text mentions neither artificial intelligence nor machine learning and commits to digitising and publishing geoscientific data, so it is not evidence of AI in administrative use",digital-tech
tech.ai--use-of-ai-in-government-administration,https://obr.bi/index.php/actualites/2425-sous-le-patronage-de-s-e-le-ministre-des-finances-du-budget-et-de-l-economie-numerique-lancement-officiel-d-un-projet-de-mise-en-place-du-systeme-de-digitalisation-des-processus-de-collecte-des-taxes-internes-et-recettes-non-fiscales-e-kori,Lancement officiel du projet e-KORI,Office Burundais des Recettes (OBR),2026-01-19,progress,"off-topic; e-KORI is described as tax-process digitisation with no AI, machine learning or automated decision component - already staged by a sibling slice",digital-tech
tech.ai--use-of-ai-in-sectoral-management-information-systems,https://www.auderenow.org/where-we-work/malariya-pi,Malariya Pi: Enhancing Malaria Care with AI in Burundi,Audere,2025-06-20,progress,duplicate-in-run; the vendor's account of the same HealthPulse deployment kept as the Enabel baseline,digital-tech
tech.ai--use-of-ai-in-sectoral-management-information-systems,https://preparecenter.org/wp-content/uploads/2024/03/IFRC_Burundi-EWEA_Case-study_FR_incl_add-on.pdf,BURUNDI - Early Warning Early Action case study,IFRC / PrepareCenter,2024-03-01,baseline,"over cap; a useful negative - no AI or ML embedded in the national early-warning arrangements, which are fragmented across IGEBU, the Red Cross and WFP",digital-tech
tech.industry--national-capacity-in-dt-related-production,https://arct.gov.bi/wp-content/uploads/2024/04/RAPPORT-DES-INDICATEURS-TIC-AU-BURUNDI-EDITION-2021-PUBLIE4.pdf,"RAPPORT SUR L'EVOLUTION DES INDICATEURS TIC AU BURUNDI, EDITION 2021","ARCT, Burundi",2021-01-01,baseline,"over cap; carries the 2.93 per cent of GDP digital value-added figure for 2019 and 1,232 direct sector jobs in 2021, but the 2024 edition is the most recent publication of the series",digital-tech
tech.industry--national-capacity-in-dt-related-production,https://arct.gov.bi/wp-content/uploads/2024/10/RAPPORT-DES-INDICATEURS-TIC-EDITION-2023-VALIDE-PAR-LE-CTIS-DU-28-EME-SESSION-20241.pdf,"RAPPORT DES INDICATEURS TIC AU BURUNDI, EDITION 2023","ARCT, Burundi",2024-09-01,baseline,over cap; superseded by the 2024 edition,digital-tech
tech.industry--national-capacity-in-dt-related-production,https://www.uneca.org/stories/burundi-validates-national-data-governance-strategy,Burundi Validates National Data Governance Strategy,UNECA,2025-11-07,progress,"already-seen; the National Data Governance Strategy is already held - the run brief names it as context, not a target - and a sibling slice staged this report",digital-tech
tech.industry--national-capacity-in-dt-related-production,https://presidence.gov.bi/2026/02/28/le-president-ndayishimiye-recoit-lyca-mobile-pour-renforcer-la-technologie-de-linformation-et-de-la-communication-au-burundi/,Le Président Ndayishimiye reçoit Lyca Mobile pour renforcer la Technologie de l'Information et de la Communication au Burundi,Présidence de la République du Burundi,2026-02-28,progress,"off-topic; entry of an international mobile operator is market and infrastructure, not national capacity in digital-technology production",digital-tech
tech.innovate--technology-hubs,https://www.undp.org/fr/burundi/actualites/pnud-programme-moonshot-appuyer-40000-initiatives-innovantes-de-jeunes-et-femmes-entrepreneurs,PNUD - Programme Moonshot : appuyer 40.000 initiatives innovantes de jeunes et femmes entrepreneurs,PNUD Burundi,2024-02-28,progress,"out-of-window; the Moonshot launch was 20 February 2024, verified from the page itself against the search agent's later date",digital-tech
tech.innovate--technology-hubs,https://fr.linkedin.com/posts/kit-digital-innovation-hub_junetech2026-innovation-burundi-activity-7472895826294390784-g-Q6,ANNONCE OFFICIELLE | JUNETECH 2026,KIT- Digital Innovation HUB (LinkedIn),2026-06-17,progress,"over cap; the SETIC account of the same JuneTech 2026 festival was preferred as a primary, dated, non-social-media source",digital-tech
tech.innovate--technology-hubs,https://www.linkedin.com/posts/itn-burundi_itn-universityofburundi-innovation-activity-7458498486674681856-PVLC,ITN Incubator - Foundational Design Workshop,Institut de Technologies Numériques (LinkedIn),2026-05-08,progress,over cap; a LinkedIn post is the only located account of the University of Burundi ITN incubator design workshop,digital-tech
tech.innovate--technology-hubs,https://technopole.paeej.bi/,PAEEJ-TECHNOPOLE,"Programme d'Autonomisation Economique et d'Emploi des Jeunes (PAEEJ), Burundi",,baseline,over cap; the clearest state-run incubation structure but the site is undated,digital-tech
tech.innovate--technology-hubs,https://www.itu.int/net4/wsis/stocktaking/Prizes/2026/Details/15428778953878785,Burundi Innovation Hub (BiHUB) - WSIS Prizes,International Telecommunication Union (ITU),2023-01-01,baseline,"over cap; external institutional record of BiHUB, status Ongoing",digital-tech
tech.innovate--tech-startup-ecosystem,https://www.startupblink.com/startup-ecosystem/burundi?page=1,"Burundi Startup Ecosystem - Rankings, Startups, and Insights",StartupBlink,2025-01-01,baseline,"over cap; private tracker on a dynamic page - four tracked startups and no GSEI 2025 ranking, which is coverage of a commercial database, not a national count",digital-tech
tech.innovate--tech-startup-ecosystem,https://faolex.fao.org/docs/pdf/bur205072.pdf,Loi n°1/19 du 17 juin 2021 portant modification du code des investissements du Burundi,Gouvernement du Burundi,2021-06-17,baseline,"over cap; general investment code, not a Startup Act - no dedicated Burundian startup legal regime was found",digital-tech
tech.innovate--tech-startup-ecosystem,https://fr.linkedin.com/posts/kit-digital-innovation-hub_sharktankburundi-innovationaccelerator-activity-7429351115965689856-jb_Y,Innovation Accelerator Challenge (I-Ace Challenge) - SHARK TANK BURUNDI 2026,KIT- Digital Innovation HUB (LinkedIn),2026-02-17,progress,"over cap; LinkedIn-only source, ranked below the PRETE-NYUNGANIRA COPA launch",digital-tech
dpi.exchange--national-data-exchange-system,https://finances.gov.bi/index.php/2026/04/08/le-burundi-prepare-la-mise-en-place-du-systeme-integre-de-gestion-des-finances-publiques/,Le Burundi prépare la mise en place du Système Intégré de Gestion des Finances Publiques,"Ministère des Finances, du Budget et de l'Économie Numérique",2026-04-07,progress,"fetched; change-management workshop for an IFMIS - a sectoral financial management system, not the national data exchange or interoperability layer",dpi-a
dpi.exchange--national-data-exchange-system,https://documents1.worldbank.org/curated/en/099051325173027359/pdf/P176396-1693ec36-a849-41ac-b581-2c8bbf74a9e7.pdf,"Aide-Mémoire, mission de mise en oeuvre du PAFEN",World Bank / Gouvernement du Burundi,2025-02-14,baseline,"not fetched; the most recent authoritative statement that the exchange layer is not operational, but February 2025 is outside the progress window and the PAD is the stronger baseline",dpi-a
dpi.exchange--national-data-exchange-system,https://documents1.worldbank.org/curated/en/099250003122228421/txt/CGES0PAFEN0Final.txt,Cadre de Gestion Environnementale et Sociale,MINCOTIM / World Bank,2022-03-01,baseline,"not fetched; carries the explicit statement that no interoperability framework or data exchange platform exists, but an ESMF is a weaker baseline carrier than the PAD",dpi-a
dpi.exchange--national-data-exchange-system,https://primature.gov.bi/politique-nationale-de-developpement-des-tic-technologies-de-linformation-et-de-la-communication-2010-2025/,Politique Nationale de Développement des TIC 2010-2025,Primature du Burundi,2011-01-01,baseline,"not fetched; superseded policy horizon, and does not evidence an operating exchange layer",dpi-a
dpi.exchange--use-of-digital-id-in-other-systems,https://isoko.gov.bi/?procedures=fichier-national-de-lidentification-carte-nationale-didentite,Fichier National de l'Identification / Carte Nationale d'Identité,Isôko,,baseline,not fetched; undated government procedure page - useful for the legal trail of the CNI but carries no date and no coverage or linkage claim,dpi-a
dpi.exchange--use-of-digital-id-in-other-systems,https://documents1.worldbank.org/curated/en/298651503551191964/pdf/119065-WP-ID4D-country-profiles-report-final-PUBLIC.pdf,The state of identification systems in Africa: country briefs,"World Bank Group, ID4D",2017-01-01,baseline,not fetched; 2017 profile superseded by the 2025 UNCDF assessment as the statement of current position,dpi-a
dpi.exchange--interoperability-of-health-systems,https://documents1.worldbank.org/curated/en/099050923073520082/pdf/P17512808c1cbf01009a830d30eb4cb8732.pdf,"Rapport de l'étude sur l'utilisation des Technologies de l'Information, de la Communication et la Digitalisation dans le Secteur de la Santé au Burundi",World Bank,2023-05-09,baseline,not fetched; strong independent assessment (41 of 71 hospitals computerised but not interconnected) - excluded by the one-baseline cap in favour of the ministry's own PNDIS II,dpi-a
dpi.exchange--interoperability-of-health-systems,https://amategeko.gov.bi/laws_and_other_acts/ordonnance-n630-199-du-25-2-22021-portant-creation-et-organisation-du-programme-de-gestion-informatique-du-secteur-de-sante-progissa-en-sigle/,Ordonnance n°630/199 du 25/2/2021 portant création et organisation du Programme de Gestion Informatique du Secteur de Santé (PROGISSA),République du Burundi,2021-02-25,baseline,not fetched; governance instrument creating PROGISSA - excluded by the one-baseline cap,dpi-a
dpi.exchange--interoperability-of-health-systems,https://www.linkedin.com/posts/cloehr_the-datafi-team-in-burundi-recently-collaborated-activity-7483151012652941312-vZAy,The Data.FI team in Burundi recently collaborated with the Ministry of Public Health to connect three core HIV systems,Data.FI / Palladium (LinkedIn post),2026-07-15,progress,"not fetched; reports SIDAInfo, IBIPIMO and DHIS2 connected via OpenFn on a ministry server - the strongest integration event found, but an individual's social post is a weak carrier and the cap was already full",dpi-a
dpi.exchange--interoperability-of-education-systems,https://www.globalpartnership.org/fr/node/document/download?file=document%2Ffile%2F2023-08-plan-sectoriel-education-burundi-2022-2030.pdf,Plan Sectoriel de l'Éducation 2022-2030,MENRS,2022-10-14,baseline,"not fetched; the governing instrument, but it states an intended architecture where the ITAP assessment states the current position",dpi-a
dpi.exchange--interoperability-of-education-systems,https://mesrs.gov.bi/annuaires-statistiques-du-menrs/,Annuaires statistiques du MENRS,MENRS,2026-06-12,progress,"not fetched; publication of the 2024-2025 statistical yearbooks is a data output, not a movement in interoperability",dpi-a
dpi.exchange--interoperability-of-education-systems,https://www.globalpartnership.org/fr/where-we-work/burundi,L'éducation au Burundi,Partenariat mondial pour l'éducation,2026-05-10,progress,"not fetched; a living country page rather than a dated event, so it has no stable published date",dpi-a
dpi.exchange--interoperability-of-social-protection-systems,https://lerenouveau.bi/projet-merankabandi-ii-bilan-a-mis-parcours/,Projet Merankabandi II: bilan à mi-parcours,Le Renouveau,2026-06-30,progress,"not fetched; 249 671 households on the social register is coverage expansion rather than a movement in interoperability, and the two progress slots were taken by stronger exchange events",dpi-a
