row_id,file,brief,rank,why
XAF-gov.regional-afigf,baseline/2025-05-31-afigf-2025-communique-dar-es-salaam.md,1,3,"the forum's own outcome document for its last pre-cutoff edition (14th, May 2025); the charter, ranked first, is dead"
XAF-gov.regional-african-financial-stability-report,baseline/2024-09-04-aacb-46th-assembly-of-governors-report.md,1,1,"same document queued for XAF-gov.regional-afsc: the Assembly's September 2024 decision setting up the Financial Stability Report working group under the new committee, chaired by Egypt; no report existed before the cutoff"
XAF-gov.regional-afsc,baseline/2024-09-04-aacb-46th-assembly-of-governors-report.md,1,1,the Assembly's own record of the decision creating the committee and adopting its terms of reference
XAF-gov.regional-aricea,baseline/2003-12-07-aricea-objectives-achievements-challenges-opportunities.md,1,2,"ARICEA's own statement of its founding and mandate; the constitution, ranked first, timed out twice"
XAF-gov.standards-continental-ict-standardisation-alignment,baseline/2021-04-01-africa-4ir-standardization-strategy-2021-2025.md,1,1,"the prior continental ICT standards instrument naming both ATU and ARSO, operative for 2021-2025"
XAF-infra.connect-5g-commercial-deployment,baseline/2024-11-01-the-mobile-economy-sub-saharan-africa-2024.md,1,2,"Same GSMA series as the end position; 5G at 1.2% of SSA connections in 2023, 17% forecast for 2030; the primary the ITU report quotes"
XAF-infra.connect-airtel-africa-network-investment,baseline/2025-05-08-airtel-africa-results-year-ended-31-march-2025.md,1,2,"Operator's own FY2025 results filing (8 May 2025): capex $670m, 2,583 sites, ~3,300 km fibre; the primary behind the annual report summary"
XAF-infra.connect-ipv6-capability,baseline/2025-06-30-nro-internet-number-resource-status-report-q2-2025.md,1,1,"Latest fixed official RIR status report before the cutoff; AFRINIC 56.20% of members with IPv6 at 30 June 2025; Q4 2024 edition superseded, AFRINIC stats portal is an undated live series"
XAF-infra.connect-mobile-internet-users,baseline/2024-11-01-the-mobile-economy-sub-saharan-africa-2024.md,1,1,"GSMA's own 2024 study: 27% mobile internet penetration and $140bn (7.3% of GDP) mobile value in SSA in 2023; staged once, under the 5G row"
XAF-infra.cybersec-cybersecurity-index-standing,raw/2024/2024-01-01-global-cybersecurity-index-2024-fifth-edition.md,1,1,"ITU GCI 2024 5th edition itself, with the African tier assignments (T1 Ghana, Kenya, Mauritius, Rwanda, Tanzania; T2 Benin, South Africa, Togo, Zambia); already held"
XAF-infra.store-afcfta-datacentre-need,raw/2024/2024-02-18-afcfta-protocol-on-digital-trade.md,1,1,"AfCFTA Digital Trade Protocol (18 Feb 2024) commits State Parties to promote regional data centres and cloud systems; no count, the 700 figure postdates it; already held"
XAF-infra.store-african-share-global-datacentre-capacity,baseline/2025-04-01-how-shared-digital-infrastructure-can-bridge-the-gap-in-africa.md,1,1,"Only pre-cutoff candidate stating an Africa share: less than 1% of global data-centre capacity (WEF, April 2025); IEA gives no Africa figure, GSMA blog no percentage"
XAF-infra.store-aws-african-infrastructure-investment,raw/2023/2023-04-13-aws-zaf-cape-town-aws-cape-town-region-capex-2018-2022.md,1,1,"AWS's own April 2023 disclosure: ZAR15.6bn invested in the Cape Town region 2018-2022, a further ZAR30.4bn planned to 2029; already held"
XAF-infra.store-dependence-on-foreign-public-cloud,raw/2022/2022-02-01-au-data-policy-framework.md,1,3,AU Data Policy Framework (Feb 2022) states African cloud and data infrastructure is often supplied by and procured from private foreign service providers; already held
XAF-tech.ai-african-language-training-data,baseline/2025-05-27-charting-the-landscape-of-african-nlp.md,1,1,the broadest pre-cutoff state-of-the-field survey; v1 of 27 May 2025 staged because v3 is dated October 2025
XAF-tech.ai-ai-startup-census,baseline/2024-01-01-afrilabs-ai-startups-mapping-in-africa.md,1,1,the only pre-cutoff continental AI-startup census whose capture states its count; Okolo's 2022 edition survives only as a README without a figure
XAF-tech.ai-common-african-position-ai,baseline/2025-03-20-au-psc-1267th-meeting-communique-ai.md,1,2,"the Council's latest pre-cutoff decision on the Position, restating the request as still to be delivered"
XAF-tech.ai-continental-ai-strategy-financing,raw/2024/2024-07-19-au-continental-artificial-intelligence-strategy.md,1,1,"the Strategy's own financing and resource-mobilisation provisions (July 2024), already held; the 2024-25 AU follow-ups name no committed amount"
XAF-tech.innovate-innovation-support-mapping,baseline/2022-05-12-aedibnet-workshops-tunis-kigali-dakar.md,1,3,"the programme's own account of its earlier ecosystem mapping, the same kind of exercise as the 2026 procurement"
