row_id,url,title,publisher,published,brief,why_not
XWA-tech.innovate-ecowas-startup-awards,https://www.ecowas.int/ecowas-organized-the-1st-west-african-startups-summit/,ECOWAS organized the 1st West African Startups Summit,ECOWAS,2021-11-21,1,"not fetched; mid-event account of the same first edition, superseded by the results release"
XWA-tech.innovate-ecowas-startup-awards,https://www.ecowas.int/west-african-startups-awards-ecowas-holds-preparatory-meeting-for-the-2nd-edition/,West African Startups Awards: ECOWAS holds Preparatory meeting for the 2nd Edition,ECOWAS,2024-06-04,1,not fetched; cap filled; retrospective on the first edition and 2nd-edition preparation (June 2024)
XWA-capacity.training-agrhymet-enabel-land-degradation-monitoring,https://agrhymet.cilss.int/2025/01/24/renforcement-des-capacites-de-20-acteurs-nationaux-du-niger-pour-une-evaluation-optimale-du-carbone-des-sols-et-de-la-vegetation/,Renforcement des capacités de 20 acteurs nationaux du Niger pour une évaluation optimale du carbone des sols et de la végétation,AGRHYMET CCR-AOS,2025-01-24,1,"not fetched; cap filled; one Niger training session (~20 participants), a later dated step"
XWA-capacity.training-agrhymet-enabel-land-degradation-monitoring,https://www.enabel.be/fighting-desertification-local-solutions-regional-impact/,"Fighting desertification: local solutions, regional impact",Enabel,2025-05-06,1,not fetched; cap filled; funder's programme-level corroboration
XWA-capacity.training-regional-skills-programme,https://cofeb.bceao.int/formations-certifiantes,Les formations certifiantes,COFEB (BCEAO),2025-09-01,1,"not fetched; cap filled; programme index page, less specific than the closing report"
XWA-capacity.training-regional-skills-programme,https://cofeb.bceao.int/actualite/catalogue-des-seminaires-2024,Catalogue des séminaires 2024,COFEB (BCEAO),2024,1,"not fetched; catalogue context, does not document the programme's cohort"
XWA-capacity.training-epsg-factcheck,https://www.giz.de/en/projects/ecowas-peace-security-and-governance,"ECOWAS Peace, Security and Governance",GIZ,2024-11-01,1,"not fetched; cap filled; lead implementer's project page, less specific on fact-checking"
XWA-capacity.training-epsg-factcheck,https://www.ecowas.int/ecowas-and-german-cooperation-equip-nigerian-media-professionals-with-skills-to-foster-information-integrity-and-combat-misinformation/,ECOWAS and German Cooperation Equip Nigerian Media Professionals with Skills to Foster Information Integrity and Combat Misinformation,ECOWAS,2025-03-05,1,"not fetched; attributed to a BMZ/GIZ programme, not labelled EPSG"
XWA-capacity.training-epsg-factcheck,https://www.expertisefrance.fr/en/projects/eu-support-ecowas-peace-security-and-governance-epsg,"EU Support to ECOWAS in Peace, Security and Governance (EPSG)",Expertise France,2025-02-25,1,"not fetched; cap filled; scope page, not explicit on fact-checking"
XWA-geopol.china-external-partners,https://www.ecowas.int/ecowas-leaders-lay-foundation-for-a-new-headquarters-building-in-abuja/,ECOWAS Leaders Lay Foundation for a New Headquarters Building in Abuja,ECOWAS,2022-12-05,1,"not fetched; cap filled; groundbreaking, superseded by the July 2024 status record"
XWA-geopol.china-external-partners,https://www.ecowas.int/ecowas-signs-mou-with-china-for-the-construction-of-the-new-ecowas-commission-headquarters/,ECOWAS signs MOU with China for the construction of the new ECOWAS Commission Headquarters,ECOWAS,2018-03-14,1,"not fetched; cap filled; founding MoU, superseded by the July 2024 status record"
