indicator_id,file,brief,why
dpi.pay--population-uptake,baseline/2025-11-01-afdb-eritrea-interim-country-strategy-paper-2025-2027.md,1,gt70pct unbanked 2024 0pct mobile-money
dpi.pay--cross-border-functionality,progress/2025-12-12-igad-regrets-eritrea-withdrawal.md,2,Eritrea formally withdrew from IGAD
dpi.pay--consumer-protection,baseline/2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile.md,1,no accountability-principle law
dpi.registry--population-register,baseline/2023-12-31-netherlands-eritrea-country-origin-information-report.md,1,dedicated section2.6 Population register
dpi.registry--civil-register,baseline/2025-10-01-eritrea-fourth-periodic-report-acrwc-disability.md,2,2024-2028 Strategic CRVS Plan
dpi.registry--civil-register,baseline/2025-09-01-unfpa-eritrea-ephs-2025-data-for-development.md,2,EPHS 2025 first major survey in 15 years
dpi.registry--address-register,baseline/2026-03-01-uneca-eritrea-geospatial-capacity-workshop.md,2,cadastral GIS capacity-building MLWE
dpi.registry--address-register,baseline/2026-07-13-shabait-eritrea-gis-training-gash-barka.md,2,GIS training extended to regional administration
dpi.registry--business-register,baseline/2002-12-27-eritrea-business-information-register-proclamation-124.md,1,founding Business Information Register Proclamation
dpi.registry--tax-register,baseline/2025-11-01-afdb-eritrea-interim-country-strategy-paper-2025-2027.md,2,EriTAS taxpayer-registration automation
dpi.registry--tax-register,baseline/2026-06-15-afdb-estap-eritas-implementation-progress-report.md,2,ESTAP IRP publication
dpi.registry--land-register,baseline/2026-03-01-uneca-eritrea-geospatial-capacity-workshop.md,2,Mai Chihot digital cadastral pilot moved to baseline
dpi.mis--health,baseline/2021-10-01-eritrea-hssdp-iii-2022-2026-health-information-system.md,1,NHIS/HMIS well-established but incomplete
dpi.mis--health,baseline/2025-08-16-who-jee-eritrea-mission-report-2025.md,2,paper-based sub-zoba surveillance
dpi.mis--education,baseline/2024-04-19-eritrea-gpe-programme-document-emis-standing.md,1,EMIS exists largely paper-based
dpi.mis--education,progress/2026-06-11-unesco-iicba-eritrea-emis-data-analytical-support-rfp.md,2,UNESCO RFP for EMIS data-analytics
dpi.mis--social-protection,baseline/2025-03-05-ohchr-crc-concluding-observations-eritrea.md,1,recommends expediting Child and Social Protection MIS
dpi.mis--justice,progress/2026-04-01-shabait-community-centered-justice-system.md,2,MoJ community-conciliation reform
dpi.mis--tax,baseline/2026-06-15-afdb-estap-eritas-implementation-progress-report.md,2,ESTAP IRP Release1 complete Release2 ahead
dpi.mis--land,baseline/2026-03-01-uneca-eritrea-geospatial-capacity-workshop.md,1,most authoritative current-standing statement
dpi.mis--land,baseline/2026-07-13-shabait-eritrea-gis-training-gash-barka.md,2,regional GIS training distinct event
dpi.mis--land,progress/2026-07-08-undp-gef-eritrea-land-management-investment.md,2,GEF-backed land-management monitoring track
digital.localgov--ict-infrastructure-for-local-government,baseline/2026-07-13-shabait-eritrea-gis-training-gash-barka.md,2,GIS training routine regional-administration operations
digital.localgov--digitalisation-of-local-government-records,baseline/2025-09-08-shabait-training-documentation-archives.md,1,Anseba regional-administration digital-document-management training
digital.localgov--digitalisation-of-local-government-records,baseline/2026-07-13-shabait-eritrea-gis-training-gash-barka.md,2,Gash Barka GIS training distinct event
digital.rural--digitalisation-of-rural-health-clinics,progress/2025-10-15-who-vigimobile-eritrea-workshop.md,2,VigiMobile smartphone adverse-event-reporting
digital.rural--digitalisation-of-rural-primary-schools,baseline/2024-04-19-eritrea-gpe-programme-document-emis-standing.md,1,school data collection still manual/paper
digital.rural--digitalisation-of-rural-primary-schools,progress/2026-06-11-unesco-iicba-eritrea-emis-data-analytical-support-rfp.md,2,EMIS data-analytical support commissioned
digital.rural--digitalisation-of-rural-registry-offices,baseline/2025-03-05-ohchr-crc-concluding-observations-eritrea.md,2,urging civil-register digitisation planned computer database
digital.rural--digitalisation-of-rural-police-stations,baseline/2017-03-28-eritrea-achpr-initial-national-report.md,1,police-wide computerised crime-record system
digital.rural--digitalisation-of-rural-police-stations,progress/2026-06-04-shabait-vocational-training-college-students-police.md,2,nationwide police computer-maintenance training
tech.ai--use-of-ai-in-government-administration,baseline/2021-01-16-shabait-agricultural-strategic-information-system-eritrea-ai.md,1,Agricultural Expert System explicitly named AI
tech.ai--use-of-ai-in-sectoral-management-information-systems,baseline/2021-01-16-shabait-agricultural-strategic-information-system-eritrea-ai.md,1,same Agricultural Expert System sectoral angle
tech.ai--use-of-ai-in-sectoral-management-information-systems,progress/2026-07-21-shabait-polytech-ai-and-the-future.md,2,private AI-skills training ecosystem movement
tech.ai--control-of-ai-abuse,baseline/2025-03-05-ohchr-crc-concluding-observations-eritrea.md,1,2015 Penal Code not yet in force
tech.industry--national-capacity-in-dt-related-production,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,ASYCUDA World full source-code transfer
capacity.literacy--digital-literacy-civil-service,baseline/2026-01-08-undp-eritrea-asycuda-world-digital-customs.md,2,100-participant digital customs capacity-building
capacity.literacy--digital-literacy-civil-service,progress/2026-02-28-eritrea-gis-training-asmara-unega.md,2,UNECA GIS training 25 govt experts
capacity.literacy--digital-literacy-general-population,progress/2025-11-11-eritrea-vocational-training-keren-mendefera.md,2,300+/136 youth computer-tech training
capacity.training--dt-related-training-in-secondary-education,progress/2026-07-21-shabait-polytech-ai-and-the-future.md,2,private Polytech AI/computer courses
capacity.training--dt-related-university-facilities-and-qualifications,baseline/2026-07-18-eritrea-mai-nefhi-college-297-graduates.md,1,297 graduates incl Computer Science and Engineering
capacity.training--dt-related-university-facilities-and-qualifications,progress/2026-06-04-shabait-vocational-training-college-students-police.md,2,400+ college students 37 in computer technology
capacity.training--graduates-entering-dt-ecosystem,progress/2026-07-21-shabait-polytech-ai-and-the-future.md,2,Polytech 700 grads/yr 50 AI-course grads
capacity.training--graduates-entering-dt-ecosystem,baseline/2026-07-18-eritrea-mai-nefhi-college-297-graduates.md,2,Mai-Nefhi 297 grads incl Computer Science
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,baseline/2002-07-01-estda-establishment-proclamation-122.md,1,ESTDA founding law national S&T R&D mandate
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,baseline/2026-03-01-uneca-eritrea-geospatial-capacity-workshop.md,2,UNECA geospatial capacity workshop
include.access--citizen-participation-in-policy,baseline/2026-06-19-eritrea-ohchr-special-rapporteur-no-improvement.md,1,UN Special Rapporteur closed civic space
include.access--citizen-participation-in-policy,progress/2026-07-08-eritrea-hrc-resolution-62-2.md,2,HRC Resolution 62/2 renewed scrutiny
include.access--gender-equity,progress/2025-11-11-eritrea-vocational-training-keren-mendefera.md,2,144 female trainees computer technology
include.access--gender-equity,baseline/2025-11-01-shabait-anseba-vocational-training-government-employees.md,2,63 female workers computer tech/networking
include.access--inclusion-of-persons-with-disabilities,baseline/2026-07-22-acerwc-concluding-observations-eritrea.md,1,2021 National Disability Policy revision CRPD accession
include.access--inclusion-of-persons-with-disabilities,baseline/2026-06-01-undp-eritrea-annual-report-2025-ndp.md,2,485 disadvantaged women incl disabilities
include.access--inclusion-of-refugees-and-idps,progress/2026-04-01-unhcr-guidance-note-eritrea.md,2,UNHCR new April 2026 guidance
include.divides--bridging-of-digital-divides,baseline/2005-07-01-eritrea-national-policy-ict-in-education.md,1,founding 2005 ICT policy explicit digital-divide objective
data.statistics--national-strategy-for-development-of-statistics,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,1,NSO data-centre/IT modernisation complete
data.statistics--national-strategy-for-development-of-statistics,progress/2026-04-06-uneca-eritrea-domesticated-igif-action-plan.md,2,domesticated geospatial-information governance
data.statistics--national-strategy-for-development-of-statistics,progress/2026-02-24-uneca-eritrea-nadabas-national-accounts-training.md,2,national-accounts/NADABAS training
data.open--use-of-open-data,baseline/2025-09-01-unfpa-eritrea-ephs-2025-data-for-development.md,1,no open-data portal exists dissemination plan
data.open--use-of-open-data,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,NSO IT/data-centre modernisation
data.open--use-of-open-data,progress/2026-04-06-uneca-eritrea-domesticated-igif-action-plan.md,2,geospatial-data governance plan
data.satellite--agricultural-use-of-satellite-data,baseline/2021-01-16-shabait-agricultural-strategic-information-system-eritrea-ai.md,1,ASISD operational GIS/remote-sensing
data.satellite--agricultural-use-of-satellite-data,baseline/2026-03-01-uneca-eritrea-geospatial-capacity-workshop.md,2,4-week UNECA remote-sensing/GIS workshop
geopol.eu--eu-mous-engagements-and-commitments,progress/2025-11-13-eeas-research-documentation-center-digital-reality.md,2,EU-funded digital-heritage-preservation
geopol.india--india-mous-engagements-and-commitments,progress/2025-12-06-mea-india-eritrea-foc-third-round.md,2,3rd FOC Dec2025 ITEC/ICCR reaffirmed
gov.legislate--statistics-legislation,baseline/2007-01-08-norad-eritrea-nso-statistics-norway-mid-term-review.md,1,NSO statistical proclamation still pending
gov.legislate--access-to-information-legislation,baseline/2026-01-01-unesco-upr46-eritrea-freedom-of-information.md,1,UNESCO UPR46 contribution no FOI law adopted
gov.legislate--access-to-information-legislation,progress/2026-05-01-rsf-world-press-freedom-index-2026.md,2,RSF 2026 index Eritrea last of 180
gov.legislate--ai-legislation-regulations,baseline/2026-06-08-levellers-ai-regulation-eritrea.md,1,no dedicated AI law found
gov.discourse--open-discussion-of-government-policy,progress/2026-05-01-rsf-world-press-freedom-index-2026.md,2,RSF index reused
gov.legislate--data-protection-legislation,baseline/2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile.md,1,absence finding reused
gov.legislate--data-protection-legislation,progress/2026-08-01-lawlab-africa-eritrea-data-protection.md,2,dated re-confirmation
gov.legislate--cybersecurity-legislation,baseline/2015-05-15-eritrea-penal-code-2015-computer-offences.md,1,Arts 374-375 only identifiable provisions
gov.legislate--legislation-covering-digital-id,baseline/1992-04-06-eritrea-nationality-proclamation-21-1992.md,1,closest legal basis no dedicated digital-ID law
gov.legislate--digital-payments-legislation,baseline/2025-07-01-esaamlg-eritrea-mutual-evaluation-report.md,1,absence finding reused
gov.legislate--digital-payments-legislation,progress/2026-07-20-eritrea-today-nationwide-cash-deposit-directive.md,2,Central Bank directive reused
gov.legislate--legislation-enabling-data-interoperability,baseline/2025-09-01-hoai-digital-policy-matrix-update-data-protection-nascent.md,1,nascent-stage finding
gov.legislate--legislation-enabling-data-interoperability,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,IFMIS cross-ministry pilot
gov.legislate--e-commerce-legislation,baseline/2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile.md,1,same doc reused
gov.legislate--e-commerce-legislation,progress/2026-01-01-the-abc-journey-draft-laws-commercial-code.md,2,unofficial consultation-draft commercial code
gov.discourse--non-governmental-contribution-to-national-policy,baseline/2005-07-01-eritrea-national-policy-ict-in-education.md,1,reused
gov.discourse--non-governmental-contribution-to-national-policy,baseline/2026-06-01-undp-eritrea-annual-report-2025-ndp.md,2,NDP consultation
gov.discourse--non-governmental-contribution-to-national-policy,progress/2026-08-25-eurac-nbs4water-geodesign-asmara.md,2,Asmara geodesign workshops
gov.regional--shared-regional-infrastructure,baseline/2020-03-06-igad-irimp-volume-2-ict-infrastructure.md,1,IGAD master plan Eritrea unconnected
gov.policy--broadband-strategy,baseline/2019-01-01-itu-broadband-strategies-policies-plans-2019.md,1,ITU inventory no adopted strategy
gov.standards--adoption-of-international-standards,baseline/1995-09-20-proclamation-75-eritrean-standards-institution.md,1,founding ESI proclamation
gov.standards--national-quality-standards,baseline/1995-09-20-proclamation-75-eritrean-standards-institution.md,1,founding ESI proclamation reused
include.access--citizen-feedback-portals,baseline/2026-08-31-eritel-internet-complaint-hub.md,1,only operational digital complaint channel
gov.regional--cross-border-data-transfers,progress/2025-12-02-au-validation-data-governance-frameworks.md,2,AU continental data-governance framework validation
gov.regional--shared-regional-infrastructure,progress/2025-12-02-au-validation-data-governance-frameworks.md,2,AU framework validation reused
include.access--inclusion-of-persons-with-disabilities,progress/2026-04-29-shabait-training-sign-language-central-region.md,2,accessibility training
include.access--citizen-feedback-portals,progress/2026-02-12-shabait-assessment-meetings-reconciliation-committees.md,2,community grievance-redress scale
include.access--citizen-participation-in-policy,baseline/2026-06-19-eritrea-ohchr-special-rapporteur-no-improvement.md,2,UN SR no meaningful civic-space improvement
gov.policy--ai-strategy,progress/2026-03-12-shabait-biotech-marikos-biomedical-engineering.md,2,AI-adjacent capacity-building
tech.innovate--technology-hubs,baseline/2025-04-09-shabait-innovation-hub-nueys-youth-entrepreneurship.md,1,NUEYS youth innovation hub
tech.innovate--technology-hubs,progress/2026-07-21-shabait-polytech-ai-and-the-future.md,2,reused Polytech AI
data.satellite--meteorological-use-of-satellite-data,baseline/2024-12-06-shabait-eritrea-unccd-cop16-statement-meteorological-services.md,1,UNCCD COP16 statement
data.satellite--meteorological-use-of-satellite-data,progress/2026-08-10-icpac-climate-watch-advisory-dry-conditions.md,2,ICPAC drought advisory
data.satellite--meteorological-use-of-satellite-data,progress/2026-07-06-hdx-wfp-eritrea-rainfall-indicators-subnational.md,2,WFP rainfall indicators
capacity.training--dt-related-university-facilities-and-qualifications,progress/2026-05-08-shabait-mai-nefhi-engineering-day.md,2,Engineering Day Mai-Nefhi
infra.connect--mobile-affordability,baseline/2023-03-01-itu-measuring-digital-development-ldc-focus-2023.md,1,ITU LDC-focus affordability report
infra.energy--grid-reliability,progress/2025-12-03-afdb-hirgigo-genset-rehabilitation-spare-parts.md,2,Hirgigo genset rehabilitation
infra.energy--sufficient-energy-and-water-for-data-centres,progress/2026-01-28-shabait-scaling-water-security-southern-region.md,2,water-security scaling
tech.ai--control-of-ai-abuse,progress/2026-04-02-afp-factcheck-ai-warfare-ethiopia-eritrea.md,2,AI-generated war-imagery factcheck
digital.rural--digitalisation-of-rural-police-stations,progress/2025-11-14-shabait-training-police-profession-new-members.md,2,reused police training
dpi.exchange--interoperability-of-education-systems,progress/2025-12-16-unesco-iicba-eritrea-tmis-zambia-workshop.md,2,MoE TMIS capacity-building visit
dpi.exchange--interoperability-of-health-systems,progress/2025-11-24-unfpa-eritrea-ephs-2025-case-study.md,2,EPHS 2025 case study
dpi.govtech--e-government-services,baseline/2024-10-30-un-egovernment-survey-2024-technical-appendix.md,1,UN E-Gov Survey OSI/EGDI standing
dpi.id--interoperability-of-birth-registration-and-digital-id,progress/2026-03-02-uk-gov-eritrea-knowledge-base-profile.md,2,UK Home Office ID-required-for-passport
dpi.id--national-maintenance-of-id-and-credentials-systems,progress/2026-01-24-shabait-president-isaias-interview-12-minigrid-energy-plan.md,2,diaspora database announcement
dpi.mis--education,progress/2026-04-01-shabait-community-centered-justice-system.md,2,TMIS Teaching Council capacity movement
dpi.mis--health,progress/2026-07-17-who-eritrea-genomic-sequencing-national-health-laboratory.md,2,genomic-surveillance capacity development
dpi.mis--tax,baseline/2026-06-15-afdb-estap-eritas-implementation-progress-report.md,1,ErITAS satisfactory-rated implementation
dpi.mis--tax,baseline/2026-02-20-afdb-ipr-pfm-statistics-ifmis-nso-datacentres.md,2,IFMIS government-wide rollout
dpi.pay--consumer-protection,progress/2026-01-14-shabait-eritrea-microcredit-savings-program-inclusive-finance.md,2,microcredit consumer-facing channel
dpi.pay--cross-border-functionality,baseline/2025-07-01-esaamlg-eritrea-mutual-evaluation-report.md,1,ESAAMLG MER cash-based non-digital
dpi.pay--cross-border-functionality,baseline/2025-11-01-afdb-eritrea-interim-country-strategy-paper-2025-2027.md,2,AfDB payment-processing modernisation roadmap
dpi.pay--g2p-functionality,baseline/2024-06-01-africanenda-siips-2024-eritrea.md,1,SIIPS 2024 no Eritrean IPS/G2P system
dpi.pay--p2p-p2g-and-p2b-functionality,baseline/2025-11-01-afdb-eritrea-interim-country-strategy-paper-2025-2027.md,1,0-2pct mobile-money target reused
dpi.registry--business-register,progress/2025-10-14-eritrea-focus-state-dept-ics-2024-business-register.md,2,dated confirmation register non-digitised
dpi.registry--civil-register,baseline/2025-10-01-eritrea-fourth-periodic-report-acrwc-disability.md,1,government current CRVS status statement
dpi.registry--electoral-register,baseline/2026-06-08-eritrean-electoral-law-constitutionnet.md,1,Electoral Commission founding law
dpi.registry--land-register,baseline/1997-05-19-eritrea-proclamation-95-1997-land-registration-cadastral-office.md,1,Cadastral Office founding proclamation
dpi.registry--population-register,baseline/2025-10-01-eritrea-fourth-periodic-report-acrwc-disability.md,2,5-year CRVS Plan in-window submission
dpi.registry--population-register,progress/2026-07-22-acerwc-eritrea-concluding-observations-crvs.md,2,external validation of CRVS plan
dpi.registry--social-protection-register,baseline/2025-10-01-eritrea-fourth-periodic-report-acrwc-disability.md,1,confirms no unified beneficiary registry
dpi.registry--social-protection-register,progress/2026-06-18-shabait-eritrea-martyrs-families-6-2-billion-nakfa.md,2,operative programme-level beneficiary disclosure
dpi.registry--tax-register,baseline/2026-06-15-afdb-estap-eritas-implementation-progress-report.md,1,ErITAS taxpayer-registration module status reused
geopol.china--chinese-mous-engagements-and-commitments,baseline/2021-11-30-ndrc-china-eritrea-bri-mou-signing.md,1,BRI MoU signing
geopol.china--chinese-mous-engagements-and-commitments,progress/2025-12-08-shabait-isaias-met-china-special-envoy.md,2,special envoy meeting
geopol.china--chinese-mous-engagements-and-commitments,progress/2026-04-10-shabait-isaias-meets-china-special-envoy-horn-africa.md,2,distinct later meeting
geopol.gulf--gulf-mous-engagements-and-commitments,baseline/2010-10-19-shabait-eritrea-saudi-cooperation-agreement.md,1,Saudi cooperation agreement
geopol.gulf--gulf-mous-engagements-and-commitments,progress/2025-12-10-shabait-isaias-mbs-riyadh-talks.md,2,MBS Riyadh talks
geopol.gulf--gulf-mous-engagements-and-commitments,progress/2026-02-13-shabait-isaias-saudi-deputy-minister-implementation.md,2,distinct implementation meeting
geopol.usa--usa-hyperscaler-mous-engagements-and-commitments,baseline/2025-01-01-us-state-dept-2025-investment-climate-statement-eritrea.md,1,no hyperscaler engagement found
geopol.usa--usa-hyperscaler-mous-engagements-and-commitments,progress/2025-09-26-shabait-osman-saleh-trump-adviser-unga80.md,2,UNGA80 meeting
geopol.usa--usa-hyperscaler-mous-engagements-and-commitments,progress/2026-04-23-addis-standard-us-sanctions-relief-eritrea.md,2,sanctions relief distinct event
finance.mou--strategic-relationships,baseline/2019-11-07-india-eritrea-e-vbab-mou.md,1,India e-VBAB MoU
dpi.id--use-by-other-systems,baseline/2014-09-08-eritrea-aml-cft-proclamation-175-2014-id-kyc.md,1,ID required for AML/CFT KYC in banking system
dpi.id--authentication,baseline/2021-01-21-swiss-sem-focus-eritrea-digital-population-registers.md,1,technical description of population-register/ID system
dpi.id--digital-id-from-birth,baseline/2025-11-01-us-state-dept-eritrea-civil-documents-national-id.md,1,"ID card issued from age 18, not from birth"
dpi.exchange--use-of-digital-id-in-other-systems,baseline/2022-01-01-eritrea-global-digital-identity-index-govtech.md,1,GovTech dataset: no data exchange across systems
infra.connect--internet-usage,baseline/2026-03-24-itu-statistical-findings-umc-africa-eritrea-data-gap.md,1,"ITU: no WTI submission since 2017, last survey 2002"
capacity.literacy--digital-literacy-civil-service,baseline/2025-11-01-shabait-anseba-vocational-training-government-employees.md,1,"NCEW Anseba training, 108 govt employees"
digital.localgov--ict-infrastructure-for-local-government,baseline/2002-07-08-worldbank-eritrea-education-training-sector-note.md,1,"WB 2002 sector note, zoba ICT infrastructure"
