indicator_id,url,title,publisher,published,brief,staged_file,slice
data.statistics--national-strategy-for-development-of-statistics,https://www.insbu.bi/actualitesEtEvenements,Actualités & Événements,Institut National de la Statistique du Burundi (INSBU),2026-08-04,progress,progress/2026-08-04-insbu-actualites-et-evenements.md,capacity-data
data.statistics--statistics-from-administrative-data,https://www.insbu.bi/documents/Annuaires/Annuaire_Statistique_Burundi_Edition_2023.pdf,"ANNUAIRE STATISTIQUE DU BURUNDI, ÉDITION 2023",Institut National de la Statistique du Burundi (INSBU),2024-12-01,baseline,baseline/2024-12-01-insbu-annuaire-statistique-du-burundi-edition-2023.md,capacity-data
data.statistics--statistics-from-administrative-data,https://mesrs.gov.bi/wp-content/uploads/2026/06/Tome-2_Annuaire__2024_2025.pdf,"ANNUAIRE STATISTIQUE DE L'EDUCATION, EDITION 2024-2025 — TOME 2","Ministère de l'Education Nationale et de la Recherche Scientifique (MENRS), Bureau de la Planification et des Statistiques de l'Éducation (BPSE)",2025-12-01,progress,progress/2025-12-01-menrs-annuaire-statistique-education-2024-2025-tome-2.md,capacity-data
data.statistics--statistics-from-administrative-data,https://api.insbu.bi/storage/documents/01KRXTD00HD7QH9TWKPF45K76J.pdf,"ANNUAIRE STATISTIQUE DU MINISTERE DU COMMERCE, DU TRANSPORT, DE L'INDUSTRIE ET DU TOURISME, EDITION 2024","Ministère du Commerce, du Transport, de l'Industrie et du Tourisme (MCTIT)",2026-01-01,progress,progress/2026-01-01-mctit-annuaire-statistique-edition-2024.md,capacity-data
data.open--use-of-open-data,https://www.insbu.bi/useragreement,Accord de Licence Ouverte,Institut National de la Statistique du Burundi (INSBU),2026-08-28,baseline,baseline/2025-06-10-insbu-accord-de-licence-ouverte-plateforme-donnees-ouvertes.md,capacity-data
data.satellite--agricultural-use-of-satellite-data,https://www.igebu.bi/Services/cartographie/,Cartographie,Institut Géographique du Burundi (IGEBU),2026-08-28,baseline,baseline/2026-08-28-igebu-service-de-cartographie.md,capacity-data
data.satellite--agricultural-use-of-satellite-data,https://acoburundi.bi/cartographie-censitaire-apurement-de-la-base-de-donnees-du-rgphae/,Cartographie Censitaire : Apurement de la base de données du RGPHAE,Association des Communes du Burundi (ACO BURUNDI),2026-02-09,progress,progress/2026-02-09-aco-burundi-cartographie-censitaire-apurement-base-rgphae.md,capacity-data
data.satellite--meteorological-use-of-satellite-data,https://www.igebu.bi/data-tools/,Images satellitaires,Institut Géographique du Burundi (IGEBU),2026-08-28,baseline,baseline/2026-08-28-igebu-images-satellitaires-calques-dynamiques.md,capacity-data
data.satellite--meteorological-use-of-satellite-data,https://www.igebu.bi/actualites/ligebu-initie-l%C3%A9change-international-de-donn%C3%A9es-%C3%A0-travers-wis2/,L'IGEBU initie l'échange international de données à travers WIS2,Institut Géographique du Burundi (IGEBU),2025-09-04,progress,progress/2025-09-04-igebu-echange-international-de-donnees-wis2.md,capacity-data
data.satellite--meteorological-use-of-satellite-data,https://www.igebu.bi/evenements/atelier-de-lancement-sur-les-previsions-basees-sur-les-impacts-au-burundi/,ATELIER DE LANCEMENT DES PRÉVISIONS BASÉES SUR LES IMPACTS DANS LE CADRE DU PROJET WISER ACTION FIRST AU BURUNDI,Institut Géographique du Burundi (IGEBU),2026-05-27,progress,progress/2026-05-27-igebu-atelier-lancement-previsions-basees-sur-les-impacts-wiser.md,capacity-data
digital.localgov--ict-infrastructure-for-local-government,https://thedocs.worldbank.org/en/doc/094ae7e492b4b741f58747465021caf0-0200022021/original/DE4A-Burundi-EN.pdf,Burundi Digital Economy Assessment,World Bank Group,2020-01-01,baseline,baseline/2020-01-01-burundi-digital-economy-assessment.md,digital-tech
digital.localgov--ict-infrastructure-for-local-government,https://setic.gov.bi/connectivite-numerique-haut-debit-4g-en-milieu-rural/,Connectivité numérique haut débit 4G en milieu rural,SETIC,2026-03-03,progress,progress/2026-03-03-setic-pafen-lumitel-connectivite-4g-milieu-rural.md,digital-tech
digital.localgov--ict-infrastructure-for-local-government,https://lerenouveau.bi/le-pnud-octroie-un-don-destine-aux-gouverneurs-de-province-et-administrateurs-communaux/,Le Pnud octroie un don destiné aux gouverneurs de province et administrateurs communaux,Le Renouveau du Burundi,2026-08-14,progress,progress/2026-08-14-le-renouveau-pnud-don-gouverneurs-administrateurs-communaux.md,digital-tech
digital.localgov--digitalisation-of-local-government-records,https://d1n0nj0ml605fq.cloudfront.net/media/documents/20250511_Manuel_de_gestion_et_de_Fonctionnement_du_SFC-Bon_%C3%A0_Tirer_1_1.pdf,MANUEL TECHNIQUE DE GESTION ET DE FONCTIONNEMENT DES SERVICES FONCIERS COMMUNAUX AU BURUNDI,"République du Burundi, Cabinet du Premier Ministre — Secrétariat Permanent de la Commission Foncière Nationale",2024-11-01,baseline,baseline/2024-11-01-manuel-technique-gestion-fonctionnement-services-fonciers-communaux-burundi.md,digital-tech
digital.localgov--digitalisation-of-local-government-records,https://abpinfo.bi/2026/07/16/lancement-officiel-du-recensement-des-proprietaires-des-proprietes-ou-parcelles-dans-les-centres-urbains-du-burundi/,Lancement officiel du recensement des propriétaires des propriétés ou parcelles dans les centres urbains du Burundi,Agence Burundaise de Presse (ABP),2026-07-16,progress,progress/2026-07-16-abp-lancement-recensement-proprietaires-centres-urbains-rppcub-2026.md,digital-tech
digital.localgov--digitalisation-of-local-government-records,https://mininterinfos.gov.bi/vers-une-solution-numerique-innovante-de-production-et-de-gestion-des-donnees/,Vers une solution numérique innovante de production et de gestion des données,"MININTER, Burundi",2026-03-16,progress,baseline/2026-03-16-mininter-vers-une-solution-numerique-innovante-production-gestion-donnees.md,digital-tech
digital.rural--digitalisation-of-rural-health-clinics,https://extranet.who.int/countryplanningcycles/sites/default/files/public_file_rep/BDI_Burundi_National-plan-development-digital-health_2020-2024.pdf,Plan National de Développement de l'Informatique de Santé 2020-2024,"Ministère de la Santé Publique et de la Lutte contre le SIDA, Burundi",2019-01-01,baseline,baseline/2019-01-01-pndis-ii-plan-national-informatique-sante-2020-2024.md,digital-tech
digital.rural--digitalisation-of-rural-health-clinics,https://allianceformalariaprevention.com/wp-content/uploads/2026/02/08_Burundi_Digitalization-2025-ITN-campaign_Georgette-Nibitanga_FR.pdf,Campagne de distribution des MII digitalisée de 2025: Expérience du Burundi et leçons apprises,"Programme National Intégré de Lutte contre le Paludisme (PNLP), Burundi",2026-02-01,progress,progress/2026-02-01-pnlp-campagne-distribution-mii-digitalisee-2025-experience-burundi.md,digital-tech
digital.rural--digitalisation-of-rural-health-clinics,https://www.undp.org/fr/burundi/actualites/le-pnud-appui-lacceleration-de-la-digitalisation-des-laboratoires-avec-la-solution-datatocare,Le PNUD appui l'accélération de la digitalisation des laboratoires avec la solution DataToCare,PNUD Burundi,2026-05-29,progress,progress/2026-05-29-pnud-digitalisation-laboratoires-datatocare.md,digital-tech
digital.rural--digitalisation-of-rural-primary-schools,https://www.globalpartnership.org/node/document/download?file=document%2Ffile%2F2024-08-assessment-enabling-factors-burundi.pdf,REPORT OF THE INDEPENDENT TECHNICAL ADVISORY PANEL (ITAP) ASSESSMENT OF ENABLING FACTORS BURUNDI,Global Partnership for Education — ITAP,2023-12-19,baseline,baseline/2023-12-19-gpe-itap-assessment-of-enabling-factors-burundi.md,digital-tech
digital.rural--digitalisation-of-rural-primary-schools,https://www.unesco.org/fr/articles/renforcement-du-sige-au-burundi-des-cadres-du-menrs-en-formation-yaounde,Renforcement du SIGE au Burundi : des cadres du MENRS en formation à Yaoundé,UNESCO — Bureau régional pour l'Afrique centrale,2026-06-07,progress,progress/2026-06-07-unesco-renforcement-sige-burundi-cadres-menrs-formation-yaounde.md,digital-tech
digital.rural--digitalisation-of-rural-primary-schools,http://lerenouveau.bi/peappjf-4/,PEAPPJF,Le Renouveau du Burundi,2026-06-09,progress,progress/2026-06-09-le-renouveau-peappjf-avis-appel-offres-equipements-informatiques-centres-numeriques.md,digital-tech
digital.rural--digitalisation-of-rural-registry-offices,https://apai-crvs.uneca.org/sites/default/files/resourceuploads/day-2-burundi_crvs_transformation_journey.pdf,Burundi CRVS Transformation Journey,"République du Burundi, MIDCSP / UNECA APAI-CRVS",2026-07-18,baseline,baseline/2026-07-18-burundi-crvs-transformation-journey.md,digital-tech
digital.rural--digitalisation-of-rural-registry-offices,https://lerenouveau.bi/presentation-de-la-plateforme-digitale-detat-civil-et-la-production-de-la-cni-biometrique-un-levier-strategique-pour-le-developpement-du-burundi/,Présentation de la plateforme digitale d'état-civil et la production de la CNI biométrique : un levier stratégique pour le développement du Burundi,Le Renouveau du Burundi,2026-05-06,progress,progress/2026-05-06-le-renouveau-plateforme-digitale-etat-civil-cni-biometrique.md,digital-tech
digital.rural--digitalisation-of-rural-registry-offices,https://www.rtnb.bi/?mypost%3Fid=596,Le Burundi accélère la modernisation de l'état civil,Radio Télévision Nationale du Burundi (RTNB),2026-08-11,progress,progress/2026-08-11-rtnb-le-burundi-accelere-la-modernisation-de-letat-civil.md,digital-tech
digital.rural--digitalisation-of-rural-police-stations,https://mininterinfos.gov.bi/vers-une-solution-numerique-innovante-de-production-et-de-gestion-des-donnees/,Vers une solution numérique innovante de production et de gestion des données,"MININTER, Burundi",2026-03-16,baseline,baseline/2026-03-16-mininter-vers-une-solution-numerique-innovante-production-gestion-donnees.md,digital-tech
digital.rural--digitalisation-of-rural-police-stations,https://www.digitalbusiness.africa/transition-numerique-burundi-cap-sur-la-securite-routiere/,Transition numérique/Burundi : Cap sur la sécurité routière,Digital Business Africa,2025-12-04,progress,progress/2025-12-04-digital-business-africa-transition-numerique-burundi-securite-routiere.md,digital-tech
tech.ai--use-of-ai-in-government-administration,https://www.undp.org/sites/g/files/zskgke326/files/2026-07/undp-reading-ai-readiness-backwards.pdf,Reading AI Readiness Backwards: Country insights on AI adoption and implementation,United Nations Development Programme (UNDP),2026-07-01,baseline,baseline/2026-07-01-undp-reading-ai-readiness-backwards-country-insights.md,digital-tech
tech.ai--use-of-ai-in-government-administration,https://www.undp.org/fr/burundi/actualites/pnud-le-burundi-trace-sa-feuille-de-route-strategique-pour-lintelligence-artificielle,PNUD - le Burundi trace sa feuille de route stratégique pour l'Intelligence Artificielle,PNUD Burundi,2025-11-28,progress,baseline/2025-11-28-pnud-burundi-feuille-route-ia.md,digital-tech
tech.ai--use-of-ai-in-sectoral-management-information-systems,https://open.enabel.be/fr/BDI/2671/2771/u/amelioration-du-diagnostic-du-paludisme-au-burundi-lancement-d-un-pilote-innovant-avec-l-ia.html,Amélioration du diagnostic du paludisme au Burundi : Lancement d'un outil-pilote innovant,Enabel — Agence belge de développement,2024-10-15,baseline,baseline/2024-10-15-enabel-amelioration-diagnostic-paludisme-burundi-outil-pilote-ia.md,digital-tech
tech.ai--use-of-ai-in-sectoral-management-information-systems,https://www.bluesquarehub.com/fr/bluesquare-news-structurer-lutilisation-des-donnees-dans-la-lutte-contre-le-paludisme-au-burundi/,Structurer l'utilisation des données dans la lutte contre le paludisme au Burundi,Bluesquare,2026-03-31,progress,progress/2026-03-31-bluesquare-structurer-utilisation-donnees-lutte-paludisme-burundi.md,digital-tech
tech.industry--national-capacity-in-dt-related-production,https://arct.gov.bi/wp-content/uploads/2025/08/RAPPORT-DES-INDICATEURS-DU-SECTEUR-DES-TIC-EDITION-2024-VALIDE-ET-PUBLIE-1.pdf,"RAPPORT DES INDICATETEURS TIC AU BURUNDI, EDITION 2024","ARCT, Burundi",2025-07-01,baseline,baseline/2025-08-27-arct-rapport-indicateurs-tic-burundi-edition-2024.md,digital-tech
tech.industry--national-capacity-in-dt-related-production,https://www.globalsouthworld.com/article/ai-app-helps-burundian-farmers-detect-crop-diseases-early-video,AI app helps Burundian farmers detect crop diseases early: Video,Global South World,2026-02-27,progress,progress/2026-02-27-global-south-world-ai-app-burundian-farmers-crop-diseases.md,digital-tech
tech.innovate--technology-hubs,https://www.orangecorners.com/app/uploads/2024/07/Summarized-Ecosystem-Mapping-Report-Orange-Corners-Burundi-2023.pdf,Ecosystem Mapping Burundi,Netherlands Enterprise Agency (RVO) / Orange Corners,2024-01-23,baseline,baseline/2024-01-23-orange-corners-ecosystem-mapping-burundi.md,digital-tech
tech.innovate--technology-hubs,https://setic.gov.bi/ouverture-solennelle-du-festival-numerique-junetech-2026/,OUVERTURE SOLENNELLE DU FESTIVAL NUMÉRIQUE JUNETECH 2026,SETIC,2026-06-30,progress,progress/2026-06-30-setic-ouverture-solennelle-festival-numerique-junetech-2026.md,digital-tech
tech.innovate--technology-hubs,https://bujahub.bi/moonshot-program/,MOONSHOT PROGRAM,BujaHub,2026-02-11,progress,progress/2026-02-11-bujahub-moonshot-program.md,digital-tech
tech.innovate--tech-startup-ecosystem,https://thedocs.worldbank.org/en/doc/094ae7e492b4b741f58747465021caf0-0200022021/original/DE4A-Burundi-EN.pdf,Burundi Digital Economy Assessment,World Bank Group,2020-01-01,baseline,baseline/2020-01-01-burundi-digital-economy-assessment.md,digital-tech
tech.innovate--tech-startup-ecosystem,https://prete.bi/le-projet-prete-nyunganira-lance-officiellement-le-concours-des-plans-daffaires-pour-soutenir-les-mpme-burundaises/,Le Projet PRETE – NYUNGANIRA lance officiellement le Concours des Plans d'Affaires pour soutenir les MPME burundaises,"Projet PRETE – NYUNGANIRA, Burundi",2026-03-19,progress,progress/2026-03-19-prete-nyunganira-lancement-concours-plans-affaires-copa.md,digital-tech
dpi.exchange--national-data-exchange-system,https://documents1.worldbank.org/curated/en/207441655916156350/pdf/Burundi-Digital-Foundations-Project.pdf,Burundi Digital Foundations Project,World Bank Group,2022-05-31,baseline,baseline/2022-05-31-world-bank-burundi-digital-foundations-project-pad.md,dpi-a
dpi.exchange--national-data-exchange-system,https://finances.gov.bi/index.php/2026/03/23/pafen-une-evaluation-a-mi-parcours-pour-accelerer-la-transformation-numerique/,PAFEN : une évaluation à mi-parcours pour accélérer la transformation numérique,"Ministère des Finances, du Budget et de l'Économie Numérique",2026-03-23,progress,progress/2026-03-23-pafen-evaluation-mi-parcours-transformation-numerique.md,dpi-a
dpi.exchange--use-of-digital-id-in-other-systems,https://migrantmoney.uncdf.org/wp-content/uploads/2025/05/Payment-Infrastructure-Assessment-Burundi-April2025.pdf,Regional Harmonization of Remittance Policies in the Economic Community of Central African States (ECCAS): Payment Infrastructure Assessment—Burundi,United Nations Capital Development Fund,2025-04-01,baseline,baseline/2025-04-01-uncdf-payment-infrastructure-assessment-burundi.md,dpi-a
dpi.exchange--use-of-digital-id-in-other-systems,https://www.agenceecofin.com/actualites-numerique/0506-139050-burundi-identification-des-cartes-sim-obligatoire-avant-le-25-juin,Burundi : identification des cartes SIM obligatoire avant le 25 juin,Agence Ecofin,2026-06-05,progress,progress/2026-06-05-ecofin-burundi-identification-cartes-sim-obligatoire.md,dpi-a
dpi.exchange--use-of-digital-id-in-other-systems,https://www.brb.bi/node/2952,Renforcement du cadre national de lutte contre le blanchiment de capitaux et le financement du terrorisme au Burundi,Banque de la République du Burundi,2026-02-13,progress,progress/2026-02-13-brb-renforcement-cadre-lbc-ft.md,dpi-a
dpi.exchange--interoperability-of-health-systems,https://extranet.who.int/countryplanningcycles/sites/default/files/public_file_rep/BDI_Burundi_National-plan-development-digital-health_2020-2024.pdf,Plan National de Développement de l'Informatique de Santé 2020-2024,Ministère de la Santé Publique et de la Lutte contre le SIDA,2019-01-01,baseline,baseline/2019-01-01-pndis-ii-plan-national-informatique-sante-2020-2024.md,dpi-a
dpi.exchange--interoperability-of-health-systems,https://www.agenceecofin.com/actualites-numerique/1304-137484-sante-le-burundi-veut-mettre-en-place-un-systeme-d-information-interoperable,Santé : le Burundi veut mettre en place un système d'information interopérable,Agence Ecofin,2026-04-13,progress,progress/2026-04-13-burundi-systeme-information-sante-interoperable-hl7-fhir.md,dpi-a
dpi.exchange--interoperability-of-health-systems,https://www.undp.org/fr/burundi/actualites/le-pnud-appui-lacceleration-de-la-digitalisation-des-laboratoires-avec-la-solution-datatocare,Le PNUD appui l'accélération de la digitalisation des laboratoires avec la solution DataToCare,Programme des Nations Unies pour le développement,2026-05-29,progress,progress/2026-05-29-pnud-digitalisation-laboratoires-datatocare.md,dpi-a
dpi.exchange--interoperability-of-education-systems,https://www.globalpartnership.org/node/document/download?file=document%2Ffile%2F2024-08-assessment-enabling-factors-burundi.pdf,REPORT OF THE INDEPENDENT TECHNICAL ADVISORY PANEL (ITAP) ASSESSMENT OF ENABLING FACTORS BURUNDI,"Independent Technical Advisory Panel, Global Partnership for Education",2023-12-19,baseline,baseline/2023-12-19-gpe-itap-assessment-of-enabling-factors-burundi.md,dpi-a
dpi.exchange--interoperability-of-education-systems,https://www.unesco.org/fr/articles/renforcement-du-sige-au-burundi-des-cadres-du-menrs-en-formation-yaounde,Renforcement du SIGE au Burundi : des cadres du MENRS en formation à Yaoundé,UNESCO,2026-06-07,progress,progress/2026-06-07-unesco-renforcement-sige-burundi-cadres-menrs-formation-yaounde.md,dpi-a
dpi.exchange--interoperability-of-education-systems,https://www.continental-infos.com/flash-infos/bujumbura-burundi-from-strategy-to-systems-au-iped-supports-burundis-next-step-in-strengthening-education-data/,From Strategy to Systems: AU IPED Supports Burundi's Next Step in Strengthening Education Data,African Union Commission,2026-06-09,progress,progress/2026-06-09-au-iped-supports-burundi-strengthening-education-data.md,dpi-a
dpi.exchange--interoperability-of-social-protection-systems,https://documents1.worldbank.org/curated/en/099705007162542101/pdf/IDU-f2101d90-5cfe-4abc-94c9-9f1c9272b5aa.pdf,Implementing CORE-MIS to Strengthen Social Protection Delivery in Burundi: Lessons from the Cash for Jobs Project,World Bank Group,2025-07-01,baseline,baseline/2025-07-01-implementing-core-mis-social-protection-burundi.md,dpi-a
dpi.exchange--interoperability-of-social-protection-systems,https://blogs.worldbank.org/en/nasikiliza/burundi-cash-for-jobs-project-is-embracing-smart-it-for-social-impact,Burundi cash for jobs project is embracing smart IT for social impact,World Bank,2026-01-22,progress,progress/2026-01-22-wb-burundi-cash-for-jobs-embracing-smart-it.md,dpi-a
dpi.exchange--interoperability-of-social-protection-systems,https://www.worldbank.org/en/results/2026/05/01/building-burundi-s-national-social-protection-systems-to-deliver-jobs-and-respond-to-crises,Building Burundi's National Social Protection Systems to Deliver Jobs and Respond to Crises,World Bank,2026-05-01,progress,baseline/2026-05-01-worldbank-building-burundi-national-social-protection-systems.md,dpi-a
dpi.id--registration-of-entire-population,https://dhsprogram.com/pubs/pdf/FR335/FR335.pdf,Troisième Enquête Démographique et de Santé au Burundi (EDSB-III) 2016-2017,"Ministère à la Présidence chargé de la Bonne Gouvernance et du Plan, MSPLS, ISTEEBU et ICF",2017-12-01,baseline,baseline/2017-12-01-edsb-iii-enquete-demographique-sante-burundi-2016-2017.md,dpi-a
dpi.id--registration-of-entire-population,https://lerenouveau.bi/presentation-de-la-plateforme-digitale-detat-civil-et-la-production-de-la-cni-biometrique-un-levier-strategique-pour-le-developpement-du-burundi/,Présentation de la plateforme digitale d'état-civil et la production de la CNI biométrique : un levier stratégique pour le développement du Burundi,Le Renouveau du Burundi,2026-05-06,progress,progress/2026-05-06-le-renouveau-plateforme-digitale-etat-civil-cni-biometrique.md,dpi-a
dpi.id--national-maintenance-of-id-and-credentials-systems,https://mininterinfos.gov.bi/une-solution-a-la-rupture-des-documents-de-voyage/,Une solution à la rupture des documents de voyage,"Ministère de l'Intérieur, du Développement Communautaire et de la Sécurité Publique",2023-03-09,baseline,baseline/2023-03-09-mininter-solution-rupture-documents-voyage.md,dpi-a
dpi.id--national-maintenance-of-id-and-credentials-systems,https://mininterinfos.gov.bi/vers-une-solution-numerique-innovante-de-production-et-de-gestion-des-donnees/,Vers une solution numérique innovante de production et de gestion des données,"Ministère de l'Intérieur, du Développement Communautaire et de la Sécurité Publique",2026-03-12,progress,baseline/2026-03-16-mininter-vers-une-solution-numerique-innovante-production-gestion-donnees.md,dpi-a
dpi.id--authentication,https://migrantmoney.uncdf.org/wp-content/uploads/2025/05/Payment-Infrastructure-Assessment-Burundi-April2025.pdf,Regional Harmonization of Remittance Policies in the Economic Community of Central African States (ECCAS): Payment Infrastructure Assessment—Burundi,United Nations Capital Development Fund,2025-04-01,baseline,baseline/2025-04-01-uncdf-payment-infrastructure-assessment-burundi.md,dpi-a
dpi.id--authentication,https://www.mae.gov.bi/wp-content/uploads/2025/08/Mag-no-7-VF1.pdf-du-17-aout.pdf,MAEIRCD-MAGAZINE No7 du 17 août 2025,"Ministère des Affaires Etrangères, de l'Intégration Régionale et de la Coopération au Développement",2025-08-17,progress,progress/2025-08-17-maeircd-magazine-no7-border-management-system.md,dpi-a
dpi.id--authentication,https://obr.bi/index.php/e-kori,e-KORI : immatriculation des contribuables en ligne,Office Burundais des Recettes,2026-08-04,progress,progress/2026-08-04-obr-e-kori-plateforme-immatriculation-en-ligne.md,dpi-a
dpi.id--interoperability-of-birth-registration-and-digital-id,https://apai-crvs.uneca.org/sites/default/files/resourceuploads/day-2-burundi_crvs_transformation_journey.pdf,"NEW CRVS Decade 2026-2036: Consolidating the Gains of APAI-CRVS And securing the Future of Civil Registration and Vital statistics in Africa through Integration, Decentralisation and Digitalisation","Ministère de l'Intérieur, du Développement Communautaire et de la Sécurité Publique",2026-07-18,baseline,baseline/2026-07-18-burundi-crvs-transformation-journey.md,dpi-a
dpi.id--interoperability-of-birth-registration-and-digital-id,https://www.rtnb.bi/?mypost%3Fid=596,Le Burundi accélère la modernisation de son système d'état civil,Radio Télévision Nationale du Burundi,2026-08-11,progress,progress/2026-08-11-rtnb-le-burundi-accelere-la-modernisation-de-letat-civil.md,dpi-a
dpi.id--use-by-other-systems,https://migrantmoney.uncdf.org/wp-content/uploads/2025/05/Payment-Infrastructure-Assessment-Burundi-April2025.pdf,Regional Harmonization of Remittance Policies in the Economic Community of Central African States (ECCAS): Payment Infrastructure Assessment—Burundi,United Nations Capital Development Fund,2025-04-01,baseline,baseline/2025-04-01-uncdf-payment-infrastructure-assessment-burundi.md,dpi-a
dpi.id--use-by-other-systems,https://www.agenceecofin.com/actualites-numerique/0506-139050-burundi-identification-des-cartes-sim-obligatoire-avant-le-25-juin,Burundi : identification des cartes SIM obligatoire avant le 25 juin,Agence Ecofin,2026-06-05,progress,progress/2026-06-05-ecofin-burundi-identification-cartes-sim-obligatoire.md,dpi-a
dpi.id--use-by-other-systems,https://www.brb.bi/node/2952,Renforcement du cadre national de lutte contre le blanchiment de capitaux et le financement du terrorisme au Burundi,Banque de la République du Burundi,2026-02-13,progress,progress/2026-02-13-brb-renforcement-cadre-lbc-ft.md,dpi-a
dpi.pay--g2p-functionality,https://documents1.worldbank.org/curated/en/099705007162542101/pdf/IDU-f2101d90-5cfe-4abc-94c9-9f1c9272b5aa.pdf,Implementing CORE-MIS to Strengthen Social Protection Delivery in Burundi,World Bank Group,2025-07-01,baseline,baseline/2025-07-01-implementing-core-mis-social-protection-burundi.md,dpi-b
dpi.pay--g2p-functionality,https://www.brb.bi/node/3293,Lancement officiel du Système de paiement instantané: BurundiPay,Banque de la République du Burundi,2026-04-23,progress,progress/2026-04-23-brb-lancement-burundipay.md,dpi-b
dpi.pay--g2p-functionality,https://blogs.worldbank.org/en/nasikiliza/burundi-cash-for-jobs-project-is-embracing-smart-it-for-social-impact,Burundi cash for jobs project is embracing smart IT for social impact,World Bank Group,2026-01-22,progress,progress/2026-01-22-wb-burundi-cash-for-jobs-embracing-smart-it.md,dpi-b
dpi.pay--b2b-and-b2g-functionality,https://www.brb.bi/sites/default/files/2025-11/Rapport%20annuel%20sur%20les%20syst%C3%A8mes%20et%20moyens%20de%20%20paiement%20et%20leur%20surveillance.pdf,RAPPORT ANNUEL SUR LES SYSTEMES ET MOYENS DE PAIEMENT ET LEUR SURVEILLANCE,Banque de la République du Burundi,2025-11-01,baseline,baseline/2025-11-01-brb-rapport-annuel-systemes-moyens-paiement-surveillance-2024.md,dpi-b
