indicator_id,url,title,publisher,published,brief,why_not,slice
infra.capacity--robustness-of-government-hardware-and-software,https://www.lanation.bj/numerique/protection-des-donnees-sensibles-lasin-forme-300-policiers-a-la-cybersecurite,ASIN forme 300 policiers à la cybersécurité,La Nation,2026-06-26,progress,already-seen (DUP-EXACT in OSINT raw/),finance+infra
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,https://www.linkedin.com/posts/asinbenin_cybers%C3%A9curit%C3%A9-lasin-lance-une-nouvelle-activity-7491459293339312130-HUog,ASIN lance formation certifiante RSSI (LinkedIn post),ASIN via LinkedIn,2026-08-07,progress,already-seen (duplicate of the lanation.bj RSSI-training story already in OSINT raw/),finance+infra
digital.rural--digitalisation-of-rural-health-clinics,https://ictafricanews.com/au-benin-la-plateforme-iyara-pour-digitaliser-le-secteur-de-la-sante/,"Au Bénin, la plateforme iYARA",ICT Africa News,2026-03-06,progress,"ranked 3rd/private telehealth platform, no confirmed rural-clinic coverage, superseded by two stronger picks",digital+tech+capacity
digital.rural--digitalisation-of-rural-primary-schools,https://marches-publics.bj/plan-de-passation/ASIN-603982?annee=2026,Procurement Plan - 28 Digital Classrooms,Portail des Marchés Publics du Bénin,n/a,progress,fetch-blocked (JS-rendered page returned empty results shell),digital+tech+capacity
digital.rural--digitalisation-of-rural-primary-schools,https://www.biddetail.com/latest-tenders/114810618$29086bcb-bbf2-4c4d-95bf-54bd7f921bae,Procurement Plan tender listing (aggregator copy),BidDetail,2026-08-20,progress,"procurement authorisation only (not delivery), secondary tender-aggregator sourcing, no confirmed rural reach",digital+tech+capacity
digital.rural--digitalisation-of-rural-police-stations,https://sgg.gouv.bj/cm/2026-03-04/,Compte rendu du Conseil des Ministres 04-03-2026 (vidéoprotection),SGG Bénin,2026-03-04,progress,"ranked 3rd, city/border video-surveillance programme, no mention of rural postes de police",digital+tech+capacity
tech.innovate--tech-startup-ecosystem,https://lanation.bj/numerique/mtn-innovation-lab-cinq-nouvelles-start-up-integrent-le-programme-dincubation,MTN Innovation Lab 2nd cohort,MTN Bénin/La Nation,2026-07-24,progress,"ranked 3rd, superseded by two stronger financing-focused picks",digital+tech+capacity
capacity.literacy--digital-literacy-general-population,https://www.gouv.bj/doc/857/download,Journée internationale de l'alphabétisation 2025 - message ministériel,Gouvernement du Bénin,2025-09-07,progress,"ranked 2nd, broader adult-literacy framing overlapping with but less directly digital-literacy-specific than the two selected items",digital+tech+capacity
capacity.training--graduates-entering-dt-ecosystem,https://fr.linkedin.com/posts/yanndjossinou,TITA Digital Skills - Parakou cohort,LinkedIn (Yann Djossinou/Digital Valley),2025-11-28,progress,"ranked 2nd, LinkedIn post/lower-reliability origin, redundant with TITA cohort already selected",digital+tech+capacity
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,https://doi.org/10.1145/3806836,Improving End-to-End Speech Translation for Fongbe to French,ACM TALLIP,2026-04-08,progress,"ranked 3rd, academic paper without direct policy-contribution framing, superseded by two more institutionally significant picks",digital+tech+capacity
data.satellite--agricultural-use-of-satellite-data,https://eartharxiv.org/repository/view/14136/,Village-Scale Mapping preprint,EarthArXiv,2026-08-01,progress,cap of 2 reached; unreviewed preprint ranked below peer-reviewed and CIRAD sources,inclusion+data+geopol
geopol.china--chinese-mous-engagements-and-commitments,https://english.news.cn/,Benin pineapple exports to China launch,Xinhua,2026-03-19,progress,cap of 2 reached; weaker fit to MoU/engagement/commitment than police-aid delivery and AEO recognition,inclusion+data+geopol
geopol.usa--usa-hyperscaler-mous-engagements-and-commitments,https://www.globaltenders.com/,ASIN Microsoft 365 renewal tender,GlobalTenders,2026-08-20,progress,"inadmissible-origin (origin-screen DROP: excerpt aggregator, subscription-gated)",inclusion+data+geopol
