indicator_id,url,title,publisher,published,brief,staged_file,slice
gov.legislate--data-protection-legislation,https://sgg.gouv.bj/doc/loi-2017-20/download,Loi n° 2017-20 du 20 avril 2018 portant Code du numérique en République du Bénin,Secrétariat général du Gouvernement du Bénin,2018-04-20,baseline,baseline/2018-04-20-loi-2017-20-code-du-numerique.md,gov-policy+legislate
gov.legislate--data-protection-legislation,https://lanation.bj/index.php/numerique/bilan-2025-de-lapdp-benin-782-dossiers-examines-des-controles-renforces,"Bilan 2025 de l'Apdp-Bénin : 782 dossiers examinés, des contrôles renforcés",La Nation (Bénin),2026-08-12,progress,progress/2026-08-12-lanation-apdp-bilan-2025.md,gov-policy+legislate
gov.legislate--data-protection-legislation,https://sgg.gouv.bj/cm/2026-07-01/,Compte rendu du Conseil des Ministres du 01 juil. 2026,Secrétariat général du Gouvernement du Bénin,2026-07-01,progress,progress/2026-07-01-sgg-conseil-ministres-nomination-apdp.md,gov-policy+legislate
gov.legislate--cybersecurity-legislation,https://sgg.gouv.bj/doc/loi-2017-20/download,Loi n° 2017-20 du 20 avril 2018 portant Code du numérique en République du Bénin,Secrétariat général du Gouvernement du Bénin,2018-04-20,baseline,baseline/2018-04-20-loi-2017-20-code-du-numerique.md,gov-policy+legislate
gov.legislate--cybersecurity-legislation,https://africaho.bj/article/infractions-en-ligne-au-benin-ce-que-revele-le-bilan-2025-du-cnin/,Infractions en ligne au Bénin : ce que révèle le bilan 2025 du CNIN,Africaho,2026-01-16,progress,progress/2026-01-16-africaho-cnin-bilan-2025.md,gov-policy+legislate
gov.legislate--cybersecurity-legislation,https://www.interpol.int/en/News-and-Events/News/2025/574-arrests-and-USD-3-million-recovered-in-coordinated-cybercrime-operation-across-Africa,574 arrests and USD 3 million recovered in coordinated cybercrime operation across Africa,INTERPOL,2025-12-19,progress,progress/2025-12-19-interpol-operation-sentinel.md,gov-policy+legislate
gov.legislate--digital-payments-legislation,https://sgg.gouv.bj/doc/loi-2024-14/download,Loi n° 2024-14 du 02 septembre 2024 portant réglementation bancaire en République du Bénin,Secrétariat général du Gouvernement du Bénin,2024-09-02,baseline,baseline/2024-09-02-sgg-loi-2024-14-reglementation-bancaire.md,gov-policy+legislate
gov.legislate--digital-payments-legislation,https://www.bceao.int/fr/content/lancement-officiel-de-la-plateforme-interoperable-du-systeme-de-paiement-instantane-pi-spi,Lancement officiel de la Plateforme Interopérable du Système de Paiement Instantané (PI-SPI) de l'UEMOA,BCEAO,2025-09-30,progress,progress/2025-09-30-bceao-pi-spi-lancement.md,gov-policy+legislate
gov.legislate--digital-payments-legislation,https://sgg.gouv.bj/cm/2026-07-01/,Compte rendu du Conseil des Ministres du 01 juil. 2026,Secrétariat général du Gouvernement du Bénin,2026-07-01,progress,progress/2026-07-01-sgg-conseil-ministres-nomination-apdp.md,gov-policy+legislate
gov.legislate--e-commerce-legislation,https://sgg.gouv.bj/doc/loi-2017-20/download,Loi n° 2017-20 du 20 avril 2018 portant Code du numérique en République du Bénin,Secrétariat général du Gouvernement du Bénin,2018-04-20,baseline,baseline/2018-04-20-loi-2017-20-code-du-numerique.md,gov-legislate+protect+regional+standards
gov.legislate--e-commerce-legislation,https://kpmg.com/us/en/taxnewsflash/news/2026/08/benin-vat-rules-withholding-obligation-digital-platforms.html,Benin: New VAT rules and withholding obligation for digital platforms,KPMG,2026-08-06,progress,progress/2026-08-06-kpmg-benin-vat-digital-platforms.md,gov-legislate+protect+regional+standards
gov.legislate--statistics-legislation,https://instad.bj/images/docs/lois_decrets/LOI%20N%C2%B0%202022-07%20DU%2027%20JUIN%202022%20STATISTIQUE.pdf,Loi n° 2022-07 du 27 juin 2022 portant organisation et réglementation des activités statistiques en République du Bénin,Institut National de la Statistique et de la Démographie (INStaD),2022-06-27,baseline,baseline/2022-06-27-loi-2022-07-statistique.md,gov-legislate+protect+regional+standards
gov.legislate--statistics-legislation,https://sgg.gouv.bj/doc/decret-2026-002/download,Décret n° 2026-002 du 21 janvier 2026 portant approbation de la nomenclature des métiers d'art et de la culture du Bénin,Secrétariat général du Gouvernement du Bénin,2026-01-21,progress,progress/2026-01-21-decret-2026-002-nomenclature-metiers-culture.md,gov-legislate+protect+regional+standards
gov.legislate--statistics-legislation,https://instad.bj/actualites/826-communique-sur-le-changement-de-l-annee-de-base-des-comptes-nationaux-du-benin,Communiqué sur le changement de l'année de base des comptes nationaux du Bénin,Institut National de la Statistique et de la Démographie (INStaD),2026-06-17,progress,progress/2026-06-17-instad-changement-annee-base-comptes-nationaux.md,gov-legislate+protect+regional+standards
gov.legislate--access-to-information-legislation,https://sgg.gouv.bj/doc/loi-2015-07/download,Loi n° 2015-07 du 20 mars 2015 portant Code de l'information et de la communication en République du Bénin,Secrétariat général du Gouvernement du Bénin,2015-03-20,baseline,baseline/2015-03-20-loi-2015-07-code-information-communication.md,gov-legislate+protect+regional+standards
gov.legislate--access-to-information-legislation,https://budgetbenin.bj/la-feuille-de-route-du-processus-de-cocreation-du-premier-plan-daction-national-de-mise-en-oeuvre-du-partenariat-pour-un-gouvernement-ouvert-au-benin/,La Feuille de route du processus de cocréation du premier Plan d'Action National de mise en œuvre du Partenariat pour un Gouvernement Ouvert au Bénin,Direction Générale du Budget - Bénin,2026-08-14,progress,progress/2026-08-14-budgetbenin-bj-feuille-de-route-cocreation-pan.md,gov-legislate+protect+regional+standards
gov.legislate--access-to-information-legislation,https://hc2tv.bj/2025/12/23/medias-au-benin-la-haac-rend-obligatoire-la-diffusion-des-messages-dinteret-public/,Médias au Bénin : la HAAC rend obligatoire la diffusion des messages d'intérêt public,HC2 TV,2025-12-23,progress,progress/2025-12-23-hc2tv-haac-decision-diffusion-obligatoire.md,gov-legislate+protect+regional+standards
gov.protect--national-data-protection-readiness,https://sgg.gouv.bj/doc/loi-2017-20/download,Loi n° 2017-20 du 20 avril 2018 portant Code du numérique en République du Bénin,Secrétariat général du Gouvernement du Bénin,2018-04-20,baseline,baseline/2018-04-20-loi-2017-20-code-du-numerique.md,gov-legislate+protect+regional+standards
gov.protect--national-data-protection-readiness,https://sgg.gouv.bj/cm/2026-07-01/,Compte rendu du Conseil des Ministres du 01 juil. 2026,Secrétariat général du Gouvernement du Bénin,2026-07-01,progress,progress/2026-07-01-sgg-conseil-ministres-nomination-apdp.md,gov-legislate+protect+regional+standards
gov.protect--national-data-protection-readiness,https://www.lanation.bj/numerique/bilan-2025-de-lapdp-benin-782-dossiers-examines-des-controles-renforces,"Bilan 2025 de l'Apdp-Bénin : 782 dossiers examinés, des contrôles renforcés",La Nation Bénin,2026-08-12,progress,progress/2026-08-12-lanation-bilan-2025-apdp.md,gov-legislate+protect+regional+standards
gov.regional--regional-legal-harmonisation,https://www.ecowas.int/publication/directorate-of-digital-economy-and-post-technology-legal-instruments/,Directorate of Digital Economy and Post – Legal instruments,Economic Community of West African States (ECOWAS),2026-08-28,baseline,baseline/2026-08-28-ecowas-digital-economy-legal-instruments.md,gov-legislate+protect+regional+standards
gov.regional--regional-legal-harmonisation,https://www.ecowas.int/ecowas-ministers-met-in-freetown-to-shape-the-future-of-west-africas-digital-economy/,ECOWAS Ministers Met in Freetown to Shape the Future of West Africa's Digital Economy,Economic Community of West African States (ECOWAS),2026-03-29,progress,progress/2026-03-29-ecowas-freetown-ministers-digital-economy.md,gov-legislate+protect+regional+standards
gov.regional--regional-legal-harmonisation,https://www.ecowas.int/ecowas-commission-convenes-validation-workshop-for-the-draft-directive-governing-electronic-communications-in-west-africa/,ECOWAS Commission convenes validation workshop for the draft directive governing electronic communications in west Africa,Economic Community of West African States (ECOWAS),2025-09-22,progress,progress/2025-09-22-ecowas-validation-workshop-electronic-communications-directive.md,gov-legislate+protect+regional+standards
gov.standards--national-quality-standards,https://sgg.gouv.bj/doc/decret-2017-031/download,"Décret n° 2017-031 du 23 janvier 2017 portant création, attributions, organisation et fonctionnement de l'Agence Nationale de Normalisation, de Métrologie et du Contrôle Qualité (ANM)",Secrétariat général du Gouvernement du Bénin,2017-01-23,baseline,baseline/2017-01-23-decret-2017-031-creation-anm.md,gov-legislate+protect+regional+standards
gov.standards--national-quality-standards,https://cadreco.media/agriculture/2025/normalisation-agricole-au-benin-douze-normes-de-chaines-de-valeur-integrant-ladaptation-climatique-homologuees,Agriculture au Bénin : Douze normes de chaînes de valeur intégrant l'adaptation climatique homologuées,CADRECO,2025-12-31,progress,progress/2025-12-31-cadreco-normes-agricoles-benin.md,gov-legislate+protect+regional+standards
gov.standards--national-quality-standards,https://anm.bj/fr/actualite/7503,Obtention de la marque nationale de conformité NB sur la base des certificats d'origine : l'ANM sensibilise les distributeurs d'équipements électriques à Parakou,"Agence Nationale de Normalisation, de Métrologie et du Contrôle Qualité (ANM)",2026-04-08,progress,progress/2026-04-08-anm-marque-nationale-conformite-nb.md,gov-legislate+protect+regional+standards
gov.standards--adoption-of-international-standards,https://www.iso.org/member/308845.html,"ISO - ANM - Agence nationale de Normalisation, de Métrologie et du Contrôle Qualité",International Organization for Standardization (ISO),2026-08-28,baseline,baseline/2026-08-28-iso-member-anm-benin.md,gov-legislate+protect+regional+standards
gov.standards--adoption-of-international-standards,https://anm.bj/fr/actualite/7534,Systèmes solaires et photovoltaïques au Bénin : Une douzaine de normes en cours d'homologation sous l'égide de l'ANM à Lokossa,"Agence Nationale de Normalisation, de Métrologie et du Contrôle Qualité (ANM)",2026-04-22,progress,progress/2026-04-22-anm-normes-solaires-photovoltaiques.md,gov-legislate+protect+regional+standards
gov.standards--adoption-of-international-standards,https://lematinal.bj/securite-routiere-au-benin-vers-lhomologation-de-la-norme-nb-iso-390012012/,Sécurité routière au Bénin : Vers l'homologation de la norme NB ISO 39001:2012,Le Matinal,2026-03-19,progress,progress/2026-03-19-lematinal-homologation-iso-39001.md,gov-legislate+protect+regional+standards
finance.mou--strategic-relationships,https://www.gouv.bj/article/2344/13-accords-cooperation-signes-entre-benin-chine-lors-visite-etat-president-patrice-talon/,13 Accords de coopération signés entre le Bénin et la Chine lors de la visite d'État du Président Patrice TALON,Gouvernement de la République du Bénin,2023-09-01,baseline,baseline/2023-09-01-gouv-bj-13-accords-benin-chine.md,finance+infra
finance.mou--strategic-relationships,https://numerique.gouv.bj/publications/actualites/sommet-regional-sur-la-transformation-digitale-en-afrique-de-l-ouest-et-du-centre-declaration-de-cotonou,Sommet régional sur la transformation digitale en Afrique de l'Ouest et du Centre - Déclaration de Cotonou,"Portail du Numérique - Bénin, publiant la déclaration commune des ministres du numérique d'Afrique de l'Ouest et du Centre",2025-11-18,progress,progress/2025-11-18-numerique-gouv-bj-declaration-cotonou.md,finance+infra
finance.mou--strategic-relationships,https://www.sorbonne-universite.fr/actualites/un-nouveau-chapitre-prometteur-pour-le-partenariat-entre-sorbonne-universite-et-seme,Un nouveau chapitre prometteur pour le partenariat entre Sorbonne Université et Sèmè City,Sorbonne Université,2026-06-01,progress,progress/2026-06-01-sorbonne-universite-fr-partenariat-seme-city.md,finance+infra
finance.new--mobilisation-of-non-state-finance,https://www.mtn.com/mtn-group-backs-benin-investment-forum-2025-driving-digital-and-economic-progress-in-west-africa/,MTN Group backs Benin Investment Forum 2025: Driving Digital and Economic Progress in West Africa,MTN Group,2025-05-08,baseline,baseline/2025-05-08-mtn-benin-investment-forum-2025.md,finance+infra
finance.new--mobilisation-of-non-state-finance,https://www.afdb.org/en/news-and-events/press-releases/african-development-bank-group-approves-eu65-million-investment-saviu-ii-fund-support-technology-start-ups-francophone-west-and-central-africa-91234,African Development Bank Group approves €6.5 million investment in Saviu II fund to support technology start-ups in Francophone West and Central Africa,African Development Bank Group,2026-02-27,progress,progress/2026-02-27-afdb-saviu-ii-fund-approval.md,finance+infra
finance.new--mobilisation-of-non-state-finance,https://greenline-tech.com/news/greenline-technologies-signs-definitive-agreements-for-the-grand-parakou-project-in-benin,GreenlineTechnologies Signs Definitive Agreements for the Grand Parakou Project in Benin,Greenline Technologies,2025-08-07,progress,progress/2025-08-07-greenline-tech-grand-parakou-agreements.md,finance+infra
infra.connect--internet-usage,https://arcep.bj/wp-content/uploads/2026/05/Observatoire_Internet_T1_2026_TaB.pdf,Observatoire de l'Internet — Tableau de bord au 31 mars 2026,ARCEP Bénin,2026-05-01,baseline,baseline/2026-05-01-arcep-bj-observatoire-internet-t1-2026.md,finance+infra
infra.connect--internet-usage,https://arcep.bj/wp-content/uploads/2026/05/Rapport-Annuel-dActivit%C3%A9s-2025-ARCEP-BENIN.pdf,Rapport annuel d'activités 2025,ARCEP Bénin,2026-05-01,progress,progress/2026-05-01-arcep-bj-rapport-annuel-activites-2025.md,finance+infra
infra.connect--internet-usage,https://arcep.bj/lancement-officiel-du-free-roaming-entre-le-benin-le-senegal-et-le-togo/,"Lancement officiel du Free Roaming entre le Bénin, le Sénégal et le Togo",ARCEP Bénin,2026-04-27,progress,progress/2026-04-27-arcep-bj-lancement-free-roaming.md,finance+infra
infra.connect--international-internet-bandwidth,https://documents.worldbank.org/curated/en/661821517845162259/pdf/ICR00004377-CLEAN-01162018.pdf,"Implementation Completion and Results Report — WARCIP APL 1C-Benin (P130184), Report No. ICR00004377",World Bank Group,2018-01-12,baseline,baseline/2018-01-12-world-bank-warcip-benin-icr.md,finance+infra
infra.connect--international-internet-bandwidth,https://www.worldbank.org/en/news/press-release/2026/03/11/world-bank-group-provides-137-million-help-accelerate-digital-integration-job-creation-in-benin-liberia-and-sierra-leone,"World Bank Group Provides $137 Million to Help Accelerate Digital Integration and Job Creation in Benin, Liberia and Sierra Leone",The World Bank Group,2026-03-10,progress,progress/2026-03-10-worldbank-wardip2-press-release.md,finance+infra
infra.connect--internet-exchange-points,https://isoc.bj/wp-content/uploads/2023/10/beninix.pdf,"Étude pour la redynamisation, la modernisation et la pérennisation du Benin IX — Pour un BENINIX pérenne et plus efficace",Chapitre du Bénin d'Internet Society,2023-06-01,baseline,baseline/2023-06-01-isoc-bj-etude-beninix.md,finance+infra
infra.connect--internet-exchange-points,https://pulse.internetsociety.org/en/ixp-tracker/ixp/395/,IXP Tracker - BENIN-IX,Internet Society Pulse,2026-01-01,progress,progress/2026-01-01-pulse-internetsociety-org-ixp-tracker-benin-ix.md,finance+infra
infra.connect--internet-exchange-points,https://isoc.bj/rapport-wapf2026/,Forum Ouest African sur le Peering 2026 au Bénin | West African Peering Forum 2026 in Benin,Internet Society Bénin,2026-07-29,progress,progress/2026-07-29-isoc-bj-rapport-wapf-2026.md,finance+infra
infra.connect--satellite-broadband-licensing-and-availability,https://arcep.bj/wp-content/uploads/2024/04/DECISION-N%C2%B02024-108-ARCEP-BENIN.pdf,Décision N° 2024-108/ARCEP/PT/SE/DAR/GU fixant les conditions d'exercice des activités des fournisseurs de services des réseaux non terrestres,ARCEP Bénin,2024-04-11,baseline,baseline/2024-04-11-arcep-bj-decision-2024-108-reseaux-non-terrestres.md,finance+infra
infra.connect--satellite-broadband-licensing-and-availability,https://arcep.bj/wp-content/uploads/2026/05/Rapport-Annuel-dActivit%C3%A9s-2025-ARCEP-BENIN.pdf,Rapport annuel d'activités 2025,ARCEP Bénin,2026-05-01,progress,progress/2026-05-01-arcep-bj-rapport-annuel-activites-2025.md,finance+infra
infra.store--local-data-centre-capacity-all-providers,https://numerique.gouv.bj/publications/actualites/datacenter-national-demarrage-des-premiers-tests-techniques-sous-le-regard-de-la-ministre-du-numerique-et-de-la-digitalisation,Datacenter national : démarrage des premiers tests techniques sous le regard de la Ministre du Numérique et de la Digitalisation,Portail du Numérique - Bénin,2021-06-01,baseline,baseline/2021-06-01-numerique-gouv-bj-datacenter-national-tests.md,finance+infra
infra.store--local-data-centre-capacity-all-providers,https://greenline-tech.com/news/greenline-technologies-signs-definitive-agreements-for-the-grand-parakou-project-in-benin,GreenlineTechnologies Signs Definitive Agreements for the Grand Parakou Project in Benin,Greenline Technologies,2025-08-07,progress,progress/2025-08-07-greenline-tech-grand-parakou-agreements.md,finance+infra
infra.store--local-data-centre-capacity-all-providers,https://www.worldbank.org/en/news/press-release/2026/03/11/world-bank-group-provides-137-million-help-accelerate-digital-integration-job-creation-in-benin-liberia-and-sierra-leone,"World Bank Group Provides $137 Million to Help Accelerate Digital Integration and Job Creation in Benin, Liberia and Sierra Leone",The World Bank Group,2026-03-10,progress,progress/2026-03-10-worldbank-wardip2-press-release.md,finance+infra
infra.store--off-site-backup-capacity,https://documents1.worldbank.org/curated/en/099021926103511908/pdf/BOSIB-f7a7b616-d21a-4121-9267-8c3fcb4ff320.pdf,Project Appraisal Document — Western Africa Regional Digital Integration Program - Series of Projects 2 (Report No. PADHI01072),World Bank Group,2026-02-16,progress,progress/2026-02-16-world-bank-wardip2-pad.md,finance+infra
infra.energy--sufficient-energy-and-water-for-data-centres,https://numerique.gouv.bj/publications/actualites/datacenter-national-demarrage-des-premiers-tests-techniques-sous-le-regard-de-la-ministre-du-numerique-et-de-la-digitalisation,Datacenter national : démarrage des premiers tests techniques sous le regard de la Ministre du Numérique et de la Digitalisation,Portail du Numérique - Bénin,2021-06-01,baseline,baseline/2021-06-01-numerique-gouv-bj-datacenter-national-tests.md,finance+infra
infra.energy--sufficient-energy-and-water-for-data-centres,https://beninintelligent.bj/2026/02/10/energie-electrique-la-sbpe-et-la-sbee-reagissent-aux-perturbations-de-ces-dernieres-semaines/,Perturbations dans la fourniture de l'électricité ces dernières semaines : La Sbpe et la Sbee évoquent les raisons et présentent leurs excuses,Bénin Intelligent,2026-02-10,progress,progress/2026-02-10-beninintelligent-bj-sbpe-sbee-perturbations.md,finance+infra
infra.energy--sufficient-energy-and-water-for-data-centres,https://www.toyota-tsusho.com/english/press/detail/260625_006862.html,"Toyota Tsusho Receives Order for Installation Work for Battery Energy Storage Systems and Related Facilities for Solar Power Plants in Benin, Africa — Contributing to the Stable Supply of Renewable Energy Power Through Storage Batteries —",Toyota Tsusho Corporation,2026-06-25,progress,progress/2026-06-25-toyota-tsusho-battery-storage-benin.md,finance+infra
infra.energy--grid-reliability,https://sbee.bj/a-propos/saifi-saidi-2025/,SAIFI SAIDI 2025,SBEE (Société Béninoise d'Énergie Électrique),2026-02-06,baseline,baseline/2026-02-06-sbee-bj-saifi-saidi-2025.md,finance+infra
infra.energy--grid-reliability,https://beninintelligent.bj/2026/02/10/energie-electrique-la-sbpe-et-la-sbee-reagissent-aux-perturbations-de-ces-dernieres-semaines/,Perturbations dans la fourniture de l'électricité ces dernières semaines : La Sbpe et la Sbee évoquent les raisons et présentent leurs excuses,Bénin Intelligent,2026-02-10,progress,progress/2026-02-10-beninintelligent-bj-sbpe-sbee-perturbations.md,finance+infra
infra.energy--grid-reliability,https://www.ebrd.com/home/news-and-events/news/2025/ebrd-launches-its-first-sub-saharan-africa-investment-in-benin.html,EBRD launches its first sub-Saharan Africa investment in Benin,European Bank for Reconstruction and Development (EBRD),2025-12-12,progress,progress/2025-12-12-ebrd-first-sub-saharan-africa-investment-benin.md,finance+infra
infra.energy--rural-electrification,https://documents1.worldbank.org/curated/en/127421623981703291/pdf/Benin-Electricity-Access-Scale-up-Project.pdf,Project Appraisal Document — Benin Electricity Access Scale-up Project (PAD4332),World Bank Group,2021-05-20,baseline,baseline/2021-05-20-world-bank-electricity-access-scale-up-pad.md,finance+infra
infra.energy--rural-electrification,https://www.worldbank.org/content/dam/theworldbankgroupasset/document/2026/m300-energy-compacts/Benin-National-Energy-Compact-Mission-300.pdf,Pacte National de l'Énergie pour la République du Bénin,"Gouvernement de la République du Bénin (diffusé par la Banque mondiale, Mission 300)",2025-09-01,progress,progress/2025-09-01-world-bank-pacte-national-energie-benin.md,finance+infra
infra.energy--rural-electrification,https://www.worldbank.org/en/news/press-release/2026/06/16/a-new-country-partnership-framework-and-320-million-for-benin,A New Country Partnership Framework and $320 Million for Benin,World Bank Group,2026-06-16,progress,progress/2026-06-16-world-bank-cpf-320-million-benin.md,finance+infra
infra.capacity--robustness-of-government-hardware-and-software,https://asin.bj/article/50/l-asin-devoile-tout-premier-rapport-national-vulnerabilites-incidents-cyberespace-beninois/,L'ASIN dévoile le tout premier rapport national sur les vulnérabilités et incidents du cyberespace béninois,Agence des Systèmes d'Information et du Numérique (ASIN),2025-07-01,baseline,baseline/2025-07-01-asin-bj-rapport-vulnerabilites-cyberespace.md,finance+infra
infra.capacity--robustness-of-government-hardware-and-software,https://www.gouv.bj/article/3560/deuxieme-conference-rssi-ministre-mahuna-akplogan-pose-securite-numerique-coeur-ambition-etat-augmente/,Deuxième conférence des RSSI : Le Ministre Mahuna AKPLOGAN pose la sécurité numérique au cœur de l'ambition de l'État augmenté,Gouvernement de la République du Bénin,2026-06-26,progress,progress/2026-06-26-gouv-bj-crssi-2026-cyberdrill.md,finance+infra
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,https://numerique.gouv.bj/publications/actualites/lassi-renforce-les-capacites-des-acteurs-de-la-gestion-des-services-informatiques-de-letat,L'ASSI renforce les capacités des acteurs de la gestion des services informatiques de l'Etat,Portail du Numérique - Bénin,2021-10-05,baseline,baseline/2021-10-05-numerique-gouv-bj-assi-prscg-formation.md,finance+infra
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,https://ecolenumerique.bj/en/demarrage-des-formations-d-clic-a-cotonou-lemn-lance-officiellement-les-cours-le-1er-decembre-2025/,Démarrage des formations D-CLIC à Cotonou : l'EMN lance officiellement les cours le 1er décembre 2025,École des Métiers du Numérique (EMN),2025-12-01,progress,progress/2025-12-01-ecolenumerique-bj-d-clic-cotonou-lancement.md,finance+infra
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,https://asin.bj/doc/132/download,Avis de recrutement — Développeur(se) Sénior(e) Full Stack / TMA,Agence des Systèmes d'Information et du Numérique (ASIN),2026-04-01,progress,progress/2026-04-01-asin-bj-avis-recrutement-developpeur-tma.md,finance+infra
dpi.exchange--use-of-digital-id-in-other-systems,https://documents1.worldbank.org/curated/en/099031425184536166/pdf/P169594-102a7b9c-14a0-418a-8031-eea7e326e006.pdf,"Implementation Status & Results Report: West Africa Unique Identification for Regional Integration and Inclusion - Phase 2 (P169594), Seq No. 9",World Bank,2025-03-14,baseline,baseline/2025-03-14-world-bank-wuri-benin-isrr.md,dpi
dpi.exchange--use-of-digital-id-in-other-systems,https://www.gouv.bj/article/3207/elections-generales-2026-benin-plateformes-numeriques-anip-coeur-echange-avec-acteurs-politiques-sociaux/,Élections générales de 2026 au Bénin : La LEI et les plateformes numériques de l'ANIP au cœur d'un échange avec les acteurs politiques et sociaux,Gouvernement de la République du Bénin,2025-08-18,progress,progress/2025-08-18-gouv-bj-elections-2026-plateformes-anip.md,dpi
dpi.exchange--use-of-digital-id-in-other-systems,https://www.gouv.bj/article/3454/guichet-unique-declaration-naissances-benin-bond-spectaculaire-taux-enregistrement-mois/,Guichet unique de déclaration des naissances au Bénin : Un bond spectaculaire du taux d'enregistrement en six mois,Gouvernement de la République du Bénin,2026-02-25,progress,progress/2026-02-25-gouv-bj-guichet-unique-bilan-six-mois.md,dpi
dpi.exchange--interoperability-of-health-systems,https://api.xroad.bj/documents/10/download,Cadre d'interopérabilité institué par le décret n° 2020-209 du 18 mars 2020,XROAD BJ / Gouvernement du Bénin,2020-03-18,baseline,baseline/2020-03-18-cadre-interoperabilite-xroad-bj.md,dpi
