indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
dpi.id--interoperability-of-birth-registration-and-digital-id,dpi.id,2,6,2,1,2,0,1,already-seen,staged,2
dpi.id--use-by-other-systems,dpi.id,2,4,0,1,0,0,1,already-seen,staged,2
dpi.pay--governance-role-of-central-bank,dpi.pay,2,4,3,1,1,1,0,,staged,3
dpi.pay--revenue-collection,dpi.pay,2,3,1,0,1,0,1,already-seen,staged,3
dpi.pay--b2b-and-b2g-functionality,dpi.pay,2,5,2,1,0,1,2,already-seen,staged,3
dpi.pay--cross-border-functionality,dpi.pay,2,4,2,0,2,0,1,already-seen,staged,3
dpi.pay--consumer-protection,dpi.pay,2,5,2,1,1,0,2,already-seen,staged,3
dpi.registry--population-register,dpi.registry,2,5,3,1,2,0,1,already-seen,staged,3
dpi.registry--address-register,dpi.registry,2,3,3,1,2,0,0,,staged,3
dpi.registry--social-protection-register,dpi.registry,2,3,3,1,2,0,0,,staged,3
dpi.registry--electoral-register,dpi.registry,2,3,3,1,2,0,0,,staged,3
dpi.registry--tax-register,dpi.registry,2,2,2,1,1,0,0,,staged,3
dpi.registry--land-register,dpi.registry,2,3,3,1,2,0,1,already-seen,staged,3
dpi.mis--education,dpi.mis,2,7,5,1,2,2,0,,staged,1
dpi.mis--social-protection,dpi.mis,2,7,3,1,2,0,0,,staged,1
dpi.mis--justice,dpi.mis,2,4,2,1,1,0,1,already-seen,staged,1
dpi.mis--tax,dpi.mis,2,7,3,1,2,0,0,,staged,1
dpi.mis--land,dpi.mis,2,8,3,1,2,0,0,,staged,1
digital.localgov--ict-infrastructure-for-local-government,digital.localgov,2,5,3,1,2,0,0,,staged,0
digital.localgov--digitalisation-of-local-government-records,digital.localgov,2,5,3,1,2,0,1,already-seen,staged,0
digital.rural--digitalisation-of-rural-health-clinics,digital.rural,2,8,3,1,2,0,2,"inadmissible-origin, duplicate-in-run",staged,0
digital.rural--digitalisation-of-rural-primary-schools,digital.rural,2,4,3,1,2,0,0,,staged,0
digital.rural--digitalisation-of-rural-registry-offices,digital.rural,2,6,3,1,2,0,1,already-seen,staged,0
digital.rural--digitalisation-of-rural-police-stations,digital.rural,2,5,3,1,0,2,1,already-seen,staged,0
tech.ai--use-of-ai-in-government-administration,tech.ai,2,8,2,1,1,0,1,already-seen,staged,5
tech.ai--control-of-ai-abuse,tech.ai,2,5,2,1,2,0,1,already-seen,staged,5
capacity.literacy--digital-literacy-general-population,capacity.literacy,2,7,3,1,2,0,0,,staged,0
capacity.training--dt-related-training-in-secondary-education,capacity.training,2,7,3,1,2,0,0,,staged,4
capacity.training--graduates-entering-dt-ecosystem,capacity.training,2,7,2,1,1,1,0,,staged,4
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,capacity.research,2,5,2,1,1,0,0,,staged,1
data.statistics--censuses-and-surveys,data.statistics,2,7,2,1,1,0,0,,staged,1
data.statistics--statistics-from-administrative-data,data.statistics,2,6,3,1,2,0,0,,staged,1
include.access--citizen-feedback-portals,include.access,2,9,3,1,2,0,0,,staged,0
include.access--citizen-participation-in-policy,include.access,2,5,3,1,2,0,0,,staged,0
include.access--gender-equity,include.access,2,8,3,1,2,0,0,,staged,0
include.access--inclusion-of-persons-with-disabilities,include.access,2,11,3,1,2,0,0,,staged,0
include.access--inclusion-of-refugees-and-idps,include.access,2,8,3,1,2,0,0,,staged,0
data.satellite--agricultural-use-of-satellite-data,data.satellite,2,12,3,1,2,0,0,,staged,1
data.satellite--meteorological-use-of-satellite-data,data.satellite,2,12,3,1,2,0,0,,staged,1
geopol.usa--usa-hyperscaler-mous-engagements-and-commitments,geopol.usa,2,10,1,1,0,0,1,already-seen,staged,0
geopol.eu--eu-mous-engagements-and-commitments,geopol.eu,2,8,3,1,2,0,0,,staged,0
geopol.india--india-mous-engagements-and-commitments,geopol.india,2,5,2,1,2,0,0,,staged,1
