file,topics,title,url,publisher,published
baseline/2026-05-07-un-hrc-special-rapporteur-eritrea-a-hrc-62-20.md,[dpi.registry],"Situation of human rights in Eritrea: Report of the Special Rapporteur on the situation of human rights in Eritrea, Mohamed Abdelsalam Babiker",https://martinplaut.com/wp-content/uploads/2026/06/situation-of-human-rights-in-eritrea.pdf,UN Human Rights Council (Special Rapporteur on the situation of human rights in Eritrea); document A/HRC/62/20,2026-05-07
baseline/2026-08-31-eritrea-estap-iati-dportal-project-status.md,[dpi.registry],Eritrea - Eritrea Strengthening Tax Administration Project (ESTAP),https://d-portal.iatistandard.org/q.html?aid=46002-P-ER-K00-002,African Development Bank (IATI d-portal activity record),2026-08-31
progress/2025-08-13-eritrea-innovation-creativity-nueys-festival.md,[tech.innovate],Innovation and Creativity,https://shabait.com/2025/08/13/innovation-and-creativity/,Eritrea Ministry of Information (shabait.com),2025-08-13
progress/2025-08-26-world-bank-remittance-prices-uk-eritrea-corridor.md,[dpi.pay],Remittance Prices Worldwide: Sending money from United Kingdom to Eritrea,https://remittanceprices.worldbank.org/corridor/United-Kingdom/Eritrea,World Bank Group (Remittance Prices Worldwide),2025-08-26
progress/2025-09-03-fao-giews-eritrea-country-brief.md,[data.satellite],GIEWS Country Brief — The State of Eritrea,https://www.fao.org/giews/countrybrief/country/ERI/pdf/ERI.pdf,"Food and Agriculture Organization (FAO), Global Information and Early Warning System (GIEWS)",2025-09-03
progress/2025-11-01-gpekix-emis-policy-study-kix-africa-19.md,[dpi.mis],Research Paper Study on The State of EMIS Policy Development and Implementation in KIX Africa 19 Countries,https://www.gpekix.org/sites/default/files/2026-03/Study%20on%20the%20State%20of%20EMIS%20Policy%20Development%20and%20Implementation%20in%20KIX%20Africa%2019%20Countries_Research%20Paper.pdf,GPE Knowledge and Innovation Exchange (KIX) Africa 19 Hub / AU-IPED,2025-11-01
progress/2025-12-10-eeas-ambassador-credentials.md,[geopol.eu],EU Ambassador in Eritrea presents her credentials,https://www.eeas.europa.eu/delegations/eritrea/eu-ambassador-eritrea-presents-her-credentials_en,European External Action Service (EU Delegation to Eritrea),2025-12-10
progress/2025-12-20-shabait-adi-keih-tserona-electricity-line-phase-one.md,[infra.energy],Installation of electricity line in Adi-Keih–Tserona,https://shabait.com/2025/12/20/installation-of-electricity-line-in-adi-keih-tserona/,Eritrea Ministry of Information (shabait.com),2025-12-20
progress/2026-01-01-imf-afritac-east-eritrea-revenue-administration-digitalization.md,"[dpi.mis, dpi.pay]",Mid-Year Report FY 2026,https://www.eastafritac.org/sfc/servlet.shepherd/document/download/069VI00000ky097YAA,IMF AFRITAC East (East Africa Regional Technical Assistance Center),2026-01-01
progress/2026-02-01-habeneri-quarterly-newsletter-2026-issue-1.md,[include.access],"HabenEri Quarterly Newsletter, 2026 Issue #1",https://cdnm.heyzine.com/flip-book/pdf/404184a79467cfd510bd13c342ac3feaa8c81750-5.pdf,HabenEri Inc.,2026-02-01
progress/2026-03-30-fintech-times-eritrea-fintech-ecosystem-2026.md,[dpi.pay],Eritrea's Fintech Ecosystem in 2026 and Financial Inclusion,https://thefintechtimes.com/eritreas-fintech-ecosystem-in-2026-and-financial-inclusion/,The Fintech Times,2026-03-30
progress/2026-04-18-hadas-eritrea-standards-institution-revitalisation.md,[gov.standards],Eritrea Profile — 18 April 2026 (Vol. 32 No. 66),https://www.erinewspapers.com/hadas-eritrea/eritrea_profile_18042026.pdf,"Ministry of Information, State of Eritrea (Eritrea Profile / Hadas Eritrea)",2026-04-18
progress/2026-04-23-un-eritrea-annual-results-report-2025.md,[include.access],UN Eritrea Annual Results Report 2025,https://eritrea.un.org/en/314387-un-eritrea-annual-results-report-2025,"United Nations Resident Coordinator's Office, Eritrea (UNCT Eritrea)",2026-04-23
progress/2026-04-26-geeska-us-considers-easing-sanctions-eritrea.md,[dpi.pay],U.S. considers easing sanctions on Eritrea,https://www.geeska.com/en/us-considers-easing-sanctions-eritrea,Geeska,2026-04-26
progress/2026-05-22-eritrea-national-innovation-creativity-competition.md,[tech.innovate],National Innovation and Creativity Display and Competition - Our sovereignty is sacrosanct!,https://meskerem.net/national-innovation-and-creativity-display-and-competition/,Meskerem.net (reproducing Eritrean state media / Ministry of Information reporting),2026-05-22
progress/2026-06-19-afdb-gpn-eritrea-massawa-tesseney-road-bankability.md,[finance.new],GPN - Eritrea - Massawa to Tesseney Road and Coastal Area Infrastructure Development Project,https://www.afdb.org/en/documents/gpn-eritrea-massawa-tesseney-road-and-coastal-area-infrastructure-development-project,African Development Bank Group,2026-06-19
progress/2026-07-03-shabait-halay-technical-school-44-graduates.md,[capacity.training],Halay Technical School Graduates 44 Students,https://shabait.com/2026/07/03/halay-technical-school-graduates-44-students-2/,Eritrea Ministry of Information (shabait.com),2026-07-03
progress/2026-07-14-hdx-hapi-eritrea-dataset.md,[data.open],HDX HAPI Data for Eritrea,https://data.humdata.org/dataset/hdx-hapi-eri,OCHA / Humanitarian Data Exchange (HDX Humanitarian API),2026-07-14
progress/2026-08-09-shabait-national-association-hearing-impaired-congress.md,[include.access],National Association of Hearing-Impaired conducts congress,https://shabait.com/2026/08/09/national-association-of-hearing-impaired-conducts-congress/,Eritrea Ministry of Information (shabait.com),2026-08-09
progress/2026-08-19-icpac-fsnwg-el-nino-special-report.md,[data.satellite],"Strengthening El Niño Conditions: Implications for Rainfall, Flood Risk and Food Security in Eastern Africa",https://www.icpac.net/documents/1120/FSNWG_El_Nino_Special_Report_August_2026_lEBmhy1.pdf,"IGAD Climate Prediction and Applications Centre (ICPAC), Food Security and Nutrition Working Group (FSNWG)",2026-08-19
