row_id,place,subject,section,kind,name,status,as_at,milestone,since,prior_status,prior_as_at,movement,position_start,position_end,sources,probe_at,note
SEN-infra.capacity-data-centres-operating-senegal,SEN,infra.capacity,Infrastructure,measure,Data centres operating in Senegal,,2025-06-30,A continental count at mid-2025,,,,Baseline not held,,"Seven at mid-2025, level with Ghana, against South Africa's 56, Kenya's 19 and Nigeria's 17",2026-08-03-afrique-data-centers-souverainete-donnees,,"a reference-study figure, cited and not absorbed; the base holds no Senegalese primary count and no capacity figure"
SEN-infra.energy-power-provision-data-centre,SEN,infra.energy,Infrastructure,instrument,Power provision for data-centre and telecom infrastructure,Not held,,,,,,,,,,,"the only Senegal-specific statement is an industry recommendation of December 2025 that telecommunications be recognised as critical national infrastructure and brought into the energy programme, with no adoption recorded"
SEN-infra.cybersec-computer-emergency-response-team,SEN,infra.cybersec,Infrastructure,instrument,National computer emergency response team,Not held,,,,,,,,,,,"a named expert stated on 2026-02-06 that Senegal has neither a national cybersecurity agency nor a national response team, and no evidence was found that either has since been established"
SEN-infra.cybersec-procurement-route-critical-infrastructure,SEN,infra.cybersec,Infrastructure,instrument,Procurement route for critical-infrastructure cybersecurity,In development,2026-07-30,A ministry and procurement-authority meeting reported 2026-07-30,,,,Advanced,Did not exist,"Three routes floated — a three-year standing supplier arrangement, functional rather than technical specifications, and pooled purchasing; no timetable, contract value or affected system established",2026-07-30-arcop-cybersecurite-marches-infrastructures-critiques,,"the state's own diagnosis locates the blockage in procurement, not in budget or capability"
SEN-infra.cybersec-itu-global-cybersecurity-index,SEN,infra.cybersec,Infrastructure,measure,ITU Global Cybersecurity Index score,,2024-12-31,The 2024 edition,,,,No change,"67.17 out of 100, tier three of four (2024)","67.17 out of 100, tier three of four; no newer edition held",2026-07-15 Senegal pushes stronger cybersecurity cooperation to protect critical infrastructure,,"a reference index, cited and not absorbed; the score predates the entire 2025-26 breach run"
SEN-infra.cybersec-state-systems-breached,SEN,infra.cybersec,Infrastructure,measure,State systems breached,,2026-05-01,"A treasury breach in May 2026, the latest held",,,,Regressed,"One held state breach on file, its date disputed","Three: the tax authority in 2025, the identity directorate on 2026-01-19 and the public treasury in May 2026",2026-03-09-connectingafrica-free-internet-cyber-risks|2026-02-11-zataz-senegal-frappe-fichier-identite|2026-02-12-darkreading-senegal-breach-security-maturity,,"the treasury breach carries month precision only, and no technical accounting has been published for any of the three"
SEN-gov.protect-loi-n-2008-12,SEN,gov.protect,Governance and regulation,instrument,Loi n. 2008-12 on personal data,Implemented,2026-03-27,"Promulgated 2008-01-25, in force 2014; no amending law found",2008-01-25,,,No change,"In force and unamended, with the protection commission as regulator","In force and unamended, described by a named expert as outdated against generative AI",2026-03-27-aps-donnees-personnelles-legislation-moderniser|2026-07-16 Data Protection Laws of Senegal (reference summary),,"eighteen years unamended, and it did not move through the February 2026 breach of the national identity directorate"
SEN-gov.protect-bill-revising-personal-data,SEN,gov.protect,Governance and regulation,instrument,Bill revising the personal data law,In development,2026-07-20,A two-day workshop convened to finalise the bill and its implementing decree,2019,In development,2026-03-27,Advanced,"Reform reported as in the circuit, awaiting a parliamentary vote, with no text and no timetable","The bill and implementing decree in a finalisation workshop, rewritten against the data and AI strategies; still no adoption date or published text",2026-07-20-senegal-cdp-saly-atelier-projet-loi-protection-donnees|2026-03-27-aps-donnees-personnelles-legislation-moderniser,,"the source is proxy-dated, so the workshop's own date is unknown and must not be rendered as July 2026"
SEN-gov.protect-cooperation-convention-with-benin,SEN,gov.protect,Governance and regulation,instrument,Cooperation convention with Benin's protection authority,Implemented,2026-04-17,Signed at the counterpart's headquarters 2026-04-17,2026-04-17,,,Advanced,Did not exist,"In force on five pillars: technical and legal capacity, shared regulatory practice, user awareness, cross-border data-flow cooperation and a concerted African position",2026-04-17-benin-senegal-apdp-cdp-convention,,"no workplan, budget or first joint action reported since signature"
SEN-gov.policy-data-strategy,SEN,gov.policy,Governance and regulation,instrument,National data strategy,"Implemented, adoption date unestablished",2026-07-20,"Cited as adopted, and as the frame requiring the data-protection bill to be re-levelled",,,,Baseline not held,,Adopted; the text is not on file and the adoption date is not established,2026-07-20-senegal-cdp-saly-atelier-projet-loi-protection-donnees,,"the first appearance of this instrument in the base is a coverage gain, not a policy move"
SEN-gov.policy-ai-strategy-roadmap,SEN,gov.policy,Governance and regulation,instrument,National AI strategy and roadmap,Implemented,2026-07-26,Adopted 2023 on six orientations,2023-01-01,,,Baseline not held,,Adopted in 2023; the text is not on file and its relationship to the 2026 plan is unestablished,2026-07-26-seneweb-ia-afrique-senegal-traine,,"predates the window, so it is not movement; the base previously recorded no published AI strategy at all and was corrected on 2026-07-30"
SEN-gov.policy-ai-development-plan,SEN,gov.policy,Governance and regulation,instrument,National AI development plan,Planned,2026-07-29,A head-of-state instruction recorded in the council of ministers communiqué,,,,Baseline not held,,"Instructed for deployment; not an adopted instrument, with no adoption date, budget or publication reference",2026-07-29-senegal-conseil-des-ministres-29-juillet-2026,,"whether it supersedes, implements or replaces the 2023 strategy is unestablished"
SEN-gov.policy-digital-governance-steering-committee,SEN,gov.policy,Governance and regulation,measure,Digital governance steering committee,In development,2026-08-03,Created March 2026; still stated to be operational in the near future five months later,2026-03-01,,,Advanced,Did not exist,Created but not yet running; named as the body overseeing all digital-transformation initiatives,2026-08-03-senegal-government-enterprise-architecture-dpi-sovereignty|2026-03-24-lesoleil-sonko-projets-structurants,,"creation in March 2026, operation still forward-looking on 2026-08-03"
SEN-gov.policy-digital-council,SEN,gov.policy,Governance and regulation,measure,National digital council,Implemented,2025-10-02,Inaugurated 2025-10-02 with twenty members,2025-10-02,Planned,2025-02-24,Advanced,Twenty members named at the technology strategy's launch; the body not installed,"Inaugurated, and restated as installed in March 2026",2025-10-03-techafricanews-national-digital-council|2026-03-24-lesoleil-sonko-projets-structurants,,its mandate includes personal-data protection and cybersecurity advice; no published output is held
SEN-gov.policy-blueprint-value-creation-through,SEN,gov.policy,Governance and regulation,measure,Blueprint for value creation through data,In development,2026-07-02,A ministry and partner workshop on 1 and 2 July 2026 identified priority sectors,,,,Advanced,Did not exist,"Under development, with working groups naming health, agriculture, transport, education, taxation, territorial administration, security and public services, and a secure inter-administration data-sharing governance framework planned",2026-07-06-wearetech-data-ai-governance-blueprint|2026-05-26-techafricanews-smart-africa-data-governance,,"no published blueprint, date or budget is on file"
SEN-gov.policy-online-child-protection-action,SEN,gov.policy,Governance and regulation,instrument,National online child-protection action plan,"Implemented, plan unpublished",2026-07-24,Put in place by the telecommunications ministry on nine axes,,,,Advanced,Did not exist,"Announced by communiqué; the nine axes, timeline and budget are unestablished, and one automated fetch on 2026-07-31 found no page or document on the ministry's own site",2026-07-24-lesoleil-plan-national-protection-enfants-en-ligne,,"the named mechanisms are a focal-point network, a rapid reporting system, digital education in schools and campaigns in national languages"
SEN-gov.legislate-d-cret-n-2026,SEN,gov.legislate,Governance and regulation,instrument,Décret n. 2026-807 on classified defence procurement,Implemented,2026-04-22,"Signed 2026-04-22, published in the official journal 2026-04-29",2026-04-22,,,Advanced,Did not exist,"In force; contracts and partnerships concerning critical information infrastructure are an enumerated ground for defence classification, gatekept by a presidency-chaired commission, with silence after fifteen days counting as refusal",2026-04-22-senegal-decret-2026-807-marches-secret-defense,,the stated direction of travel is control rather than expansion: the accompanying report says administrations were invoking the classification improperly
SEN-gov.legislate-critical-infrastructure-protection-legal,SEN,gov.legislate,Governance and regulation,instrument,Critical-infrastructure protection legal framework,In development,2026-07-30,The procurement authority states the framework is in preparation and undated,,,,Advanced,None held,"In preparation, undated, with no text and no sponsor stated",2026-07-30-arcop-cybersecurite-marches-infrastructures-critiques|2026-07-15 Senegal pushes stronger cybersecurity cooperation to protect critical infrastructure,,the base held nothing on this workstream at the window's start
SEN-gov.legislate-bill-media-social-network,SEN,gov.legislate,Governance and regulation,instrument,Bill on a media and social-network regulator,In development,2025-01-24,A draft law unveiled with the broadcasting regulator 2025-01-24,2025-01-24,In development,2025-01-24,"No change, no source since 2025-01-24","A draft unveiled, entering the legislative process",Unchanged in held material,2025-01-24-draft-law-media-regulator,,"scope covers digital platforms, social networks and traditional and online media"
SEN-gov.legislate-startup-act-labelling-process,SEN,gov.legislate,Governance and regulation,instrument,Startup Act and labelling process,Implemented,2026-03-19,The implementing decree adopted 2025-01-29; the labelling process launched in the strategy's first year,2020-01-06,Implemented,2025-01-29,Advanced,The implementing decree adopted; labelling not yet running,The labelling process launched,2026-03-19-lesoleil-new-deal-un-an-apres|2025-01-30-startup-law-implementation-phase,,no count of labelled startups is held; the published 2034 target is more than 500
SEN-gov.discourse-social-media-regulation-workstream,SEN,gov.discourse,Governance and regulation,measure,Social-media regulation workstream,In development,2026-07-26,A ministry legal adviser states on the record that the state has worked on this since 2024,2024-01-01,,,Baseline not held,,"Under way since 2024; no bill, decree or timetable named, and an observatory is a proposal",2026-07-27-ucak-reseaux-sociaux-intelligence-artificielle-defis,,the first dating of the workstream the base holds
SEN-gov.regional-ecowas-regional-statistical-methodological,SEN,gov.regional,Governance and regulation,instrument,ECOWAS regional statistical methodological guides,Implemented,2026-07-31,Directors-general of national statistical institutes approved the guides at the close of a Dakar meeting,,,,Advanced,Did not exist,"Three guides adopted, for the industrial production index, the statistical business register and public-debt statistics; two further guides returned for finalisation",2026-07-31-ecowas-statistical-harmonization|2026-07-28-cote-divoire-ecowas-statistical-harmonisation,,the directors' own recommendation names adoption of national legal instruments as the follow-through Senegal owes
SEN-gov.regional-founding-membership-global-ai,SEN,gov.regional,Governance and regulation,instrument,Founding membership of a global AI cooperation body,Implemented,2026-07-16,The founding agreement signed in Shanghai by the digital minister,2026-07-16,,,Advanced,Did not exist,One of 29 founding states of an intergovernmental AI-governance body,2026-07-19-senegal-waico-founding,,"no obligation, contribution or ratification step is reported"
SEN-gov.standards-francophone-west-african-ai,SEN,gov.standards,Governance and regulation,instrument,Francophone West African AI governance guidelines,"Implemented, non-binding",2026-07-06,Adopted by six states and announced on the margins of a global AI dialogue,2026-07-06,,,Advanced,Did not exist,"A common reference framework recommending transparent systems, stronger data protection, skills, bias mitigation, local innovation and digital sovereignty; it complements rather than replaces national strategies",2026-07-09-wearetech-six-francophone-ai-governance-framework,,"led by an advocacy organisation rather than a state or bloc secretariat, with no compliance mechanism, budget or review cycle named"
SEN-data.open-open-government-data-policy,SEN,data.open,Governance and regulation,instrument,"Open government data policy, portal or licence",Not held,,,,,,,,,,,"the only two sources carrying the subject are a blog on post-donor data systems and the regulator's internal tool suite, neither of which is an open-data instrument"
SEN-dpi.id-identity-card-production,SEN,dpi.id,Digital public infrastructure,instrument,National identity card production,Implemented,2026-04-01,Production resumed 2026-04-01 after a ransomware breach forced suspension on 2026-02-05,2025-02-18,Implemented,2025-02-18,"No change, restored after a two-month suspension",Issuing; the biometric card made the sole accepted proof of identity for voter registration (2025-02),"Issuing again from 2026-04-01, with enrolment restarting progressively across centres and overseas missions",2026-04-07-aps-daf-reprise-production-cni|2026-02-05-aps-daf-suspension-cni-communique|2026-02-12-darkreading-senegal-breach-security-maturity,,"exfiltration is unrebutted and the directorate's communiqués assert integrity only, never confidentiality; the volume claim appears as both 139 GB and 139 TB in one actor's two artefacts"
SEN-dpi.id-civil-status-software-deployment,SEN,dpi.id,Digital public infrastructure,measure,Civil-status software deployment across centres,,2026-07-17,Consolidated agency data at 2026-07-17 records 437 of 629 centres fully deployed,,,2025-08-01,Advanced,"235 of about 400 centres connected and operational, 383 installed (2025-08)","437 of 629 centres, 70%, fully deployed, of which 112 run the citizen-facing service",2026-07-21-anec-senegal-etat-davancement-lgec-437-sur-629|2025-08-01-anec-senegal-digitalisation-etat-civil-aliou-sall,,"the denominator is 629, not 400; regional spread runs from 98% in one region to 42% in another"
SEN-dpi.id-civil-status-archive-digitisation,SEN,dpi.id,Digital public infrastructure,measure,Civil-status archive digitisation,,2025-08-01,The agency's own August 2025 presentation,2025-08-01,,2024-06-26,No change,"20m acts digitised and indexed against a 30m universe, 10m remaining (2025-08)",Still 20m of 30m; no later national figure is held,2025-08-01-anec-senegal-digitalisation-etat-civil-aliou-sall|2026-06-29-aps-nekkal-avancees-modernisation-etat-civil,,"the June 2026 closing report gives 10m digitised and 20m indexed as two separate totals, unreconciled with the August 2025 reading"
SEN-dpi.id-live-civil-registration-database,SEN,dpi.id,Digital public infrastructure,measure,Live civil-registration database load,,2026-07-13,The agency reported 15.3m records loaded,,,,Baseline not held,,15.3m civil-status records in the live national register,2026-07-13-apa-anec-15-million-birth-records,,"a subset of archive stock, not a replacement figure; English coverage calls them birth records where the agency's own term covers all events"
SEN-dpi.id-civil-registration-modernisation,SEN,dpi.id,Digital public infrastructure,instrument,Civil-registration modernisation programme,Discontinued,2026-06-29,"A final steering committee held 2026-06-29, closing the externally funded programme",,Implemented,2025-08-01,Closed,"Running, with two implementing agencies and the national agency as counterpart","Closed on completion; outputs include 26 modern centres, 400 centres interconnected, 1,200 computers, a validated bill and a national civil-status strategy costed at FCFA 68bn",2026-06-29-aps-nekkal-avancees-modernisation-etat-civil|2020-05-07-european-union-sen-2020-nekkal-civil-registration-bw01,,"a programme closure rather than a capability closure, and the only EU governance instrument on file for Senegal"
SEN-dpi.id-universal-digital-identity-under,SEN,dpi.id,Digital public infrastructure,instrument,Universal digital identity under the technology strategy,Not held,,,,,,,,,,,"announced and benchmarked against a neighbour's system in late 2025, with no held source recording a build, a pilot or an enrolment"
SEN-dpi.registry-bill-computerising-civil-status,SEN,dpi.registry,Digital public infrastructure,instrument,Bill on computerising civil-status management,Planned,2025-08-01,Listed among outstanding steps in the agency's August 2025 presentation,2025-08-01,Planned,2025-08-01,No change,"Drafted and validated, not adopted; the implementing decree unsigned",Still not adopted; no held source records adoption to 2026-08-06,2025-08-01-anec-senegal-digitalisation-etat-civil-aliou-sall|2026-06-29-aps-nekkal-avancees-modernisation-etat-civil,,"validated is not enacted, and the register-reconstitution decree is likewise unsigned"
SEN-dpi.registry-audit-civil-registration-74,SEN,dpi.registry,Digital public infrastructure,instrument,Audit of civil registration in 74 communes,Implemented,2026-07-28,"An audit mission launched at Rufisque 2026-07-28, covering 2018 to 2025",,,,Advanced,Did not exist,"The mission live across 74 communes, 59 already audited and their findings re-examined, fifteen selected on risk analysis for document and field checks",2026-07-29-seneweb-etat-civil-74-communes-cour-des-comptes,,it tests the reliability of the paper base the digital register is built on; no findings or reporting date are stated
SEN-dpi.registry-biometric-register-artisanal-gold,SEN,dpi.registry,Digital public infrastructure,instrument,Biometric register of artisanal gold miners,In development,2026-07-30,A convention signed 2026-07-30 by the mines ministry and the deposits fund,,,,Advanced,Did not exist,"A convention signed, commissioning secured professional cards and a nationwide miner database",2026-08-04-senegal-orpaillage-identification-biometrique,,"no enrolment target, timetable, cost, host, retention period or regulator role is stated, and the reported design carries no data-protection provision"
SEN-dpi.registry-biometric-audit-public-service,SEN,dpi.registry,Digital public infrastructure,instrument,Biometric audit of the public-service headcount,Piloting,2026-06-23,Physical and biometric enrolment running from 2026-06-23,,,,Advanced,Did not exist,More than 35 auditor teams deployed nationally with ten more to be added; the object is a reliable payroll database for wage-bill control,2026-07-20-lesoleil-audit-fonction-publique-enrolement,,identity infrastructure whose beneficiary is the treasury; no correction or grievance route is stated for an agent the audit fails to find
SEN-dpi.registry-single-social-register-coverage,SEN,dpi.registry,Digital public infrastructure,measure,Single national social register coverage,,2024-12-31,"The register reported rising from 542,000 to one million households over 2024",,,2019-05-01,Advanced,"542,000 households at the start of 2024",One million households (2024),"2025-12-09 Senegal's RNU social registry rises from 542,000 to one million households|2019-05-01 Senegal National Single Registry RNU (IPC-IG research brief 63)",,"reported in December 2025 and ingested in July 2026, so the growth is a 2024 event and not window movement; no later figure is held"
SEN-dpi.registry-business-registration-platform,SEN,dpi.registry,Digital public infrastructure,instrument,Business registration platform,Implemented,2025-02-04,A digital platform launched for the enterprise and association identification number,2025-02-04,Implemented,2025-02-04,No change,Operating (2025-02),Operating; no later state held at 2026-08-06,2025-02-04-ninea-business-registration-platform,,eighteen months with no update in the base; the object may have moved without the wiki holding it
SEN-dpi.exchange-interoperability-platform,SEN,dpi.exchange,Digital public infrastructure,instrument,National interoperability platform,In development,2026-08-03,"A government enterprise-architecture account names interoperability as a standing challenge and platforms as still siloed, sixteen months after launch",,In development,2025-04-22,Stalled,"Launched 2025-04-22 with external support, a first phase targeted for end-December 2025","Still stated as an intention rather than a capability, with silos named by the state itself",2026-08-03-senegal-government-enterprise-architecture-dpi-sovereignty|2025-09-19-techafricanews-interoperability-update|2025-04-22-lesoleil-interoperability-platform,,no held source records the first phase completing on its end-2025 target
SEN-dpi.exchange-government-enterprise-architecture,SEN,dpi.exchange,Digital public infrastructure,instrument,Government enterprise architecture,In development,2026-08-03,Stood up under the technology strategy as a common reference framework,,,,Advanced,Did not exist,"A framework being built across policies, processes, data, applications and infrastructure, to be fed by a full inventory of national digital systems",2026-08-03-senegal-government-enterprise-architecture-dpi-sovereignty|2026-03-24-lesoleil-sonko-projets-structurants,,"the inventory is the load-bearing commitment and carries no scope, deadline or publication commitment"
SEN-dpi.exchange-unified-social-protection-information,SEN,dpi.exchange,Digital public infrastructure,instrument,Unified social-protection information system,In development,2026-07-23,A two-day workshop opened 2026-07-23 to diagnose existing systems and settle interoperability and data governance,,,,Advanced,Did not exist,"At diagnostic stage, with the minister stating each structure runs its own system and cannot share data",2026-07-23-guichet-unique-acces-services-sociaux-senegal|2026-07-23-lesoleil-systeme-information-interoperable,,"it covers five named social programmes; no budget, timeline or lead technical agency is reported, and data governance is an output of the workshop rather than an input"
SEN-dpi.exchange-climate-transparency-data-platform,SEN,dpi.exchange,Digital public infrastructure,instrument,National climate-transparency data platform,In development,2026-07-22,"The project launched in Dakar 2026-07-22, externally funded, running 42 months",,Planned,2025-08-11,Advanced,"A grant approval request on file, the project not started","Launched, with three components including a platform to centralise, harmonise, secure and publish climate data",2026-07-22-seneweb-cbit-donnees-climatiques|2025-08-11-gef-senegal-cbit-etf-project-document,,"the ministry names the defect directly: gaps in availability, quality, harmonisation and inter-sectoral sharing"
SEN-dpi.exchange-senegal-gambia-customs-data,SEN,dpi.exchange,Digital public infrastructure,instrument,Senegal and Gambia customs data exchange,Planned,2026-07-17,A second monitoring committee set a three-month roadmap on 2026-07-17,,,,Advanced,Did not exist,"A roadmap agreed: the customs system installed at three border posts within three months, transit tracking, and interface data exchange once the system is live",2026-07-20-thepoint-gra-senegal-customs-ict-transit,,agreed at operational level rather than by treaty; the clock started on 2026-07-17
SEN-dpi.exchange-digital-agency-health-cover,SEN,dpi.exchange,Digital public infrastructure,instrument,Digital agency and health-cover platform interconnection,Planned,2026-07-23,A convention announced 2026-07-23 committing the two bodies to interconnect their platforms,,,,Advanced,Did not exist,"The convention signed, with training of service-point managers, joint communication and a monitoring mechanism committed",2026-07-24-senum-sa-sen-csu-partenariat-couverture-maladie|2026-07-22-senum-sen-csu-convention,,"no enrolment target, go-live date or named data-sharing instrument, and the personal-data commitment is an intention not referred to the regulator"
SEN-dpi.govtech-citizen-single-window,SEN,dpi.govtech,Digital public infrastructure,instrument,Citizen single window,Implemented,2026-03-24,The portal launched by the prime minister 2026-03-24 and declared operational,,,,Advanced,Did not exist,"Operational for passport applications, business creation, police-clearance and nationality certificates, with online tracking",2026-03-27-biometricupdate-e-senegal-portal|2026-03-19-lesoleil-new-deal-un-an-apres,,"unveiled alongside a sovereignty cloud, a unified government payment system and a consular platform"
SEN-dpi.govtech-digital-fiscal-stamp,SEN,dpi.govtech,Digital public infrastructure,instrument,Digital fiscal stamp,Implemented,2026-07-20,"The tax authority withdrew the paper stamp on 2026-07-20, making the digital service the sole recognised channel",,,,Advanced,Did not exist,"The sole recognised channel nationwide, with QR-coded stamps bought and received remotely and a second access route through a super-app",2026-07-20-senegal-timbre-fiscal-numerique-sentimbre|2026-07-29-lesoleil-diotali-timbre-fiscal-electronique,,"this is removal of the analogue channel rather than addition of a digital one; unused paper stamps were exchangeable until 2026-08-15, and no offline or assisted route is stated"
SEN-dpi.govtech-free-electronic-fiscal-stamp,SEN,dpi.govtech,Digital public infrastructure,instrument,Free electronic fiscal-stamp service,Discontinued,2026-07-28,"The provider suspended its free tier on 2026-07-28, citing an administrative decision outside its control",,Implemented,2026-07-27,Closed,"A free stamp and passport-receipt distribution service, running six years","The free tier suspended, with refunds promised within 72 hours; users state they now pay additional fees for an identical service",2026-07-29-lesoleil-diotali-timbre-fiscal-electronique,,the first consumer-cost consequence of state-platform exclusivity the wiki holds; it is not stated whether the decision was addressed to the provider or to the distribution channel generally
