fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,appropriated,revised,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,record,programme_line
2025/26,30,,,,,5. ICT Infrastructure Development and Support,,Broadband,,267131000,1250986000,,,,,appropriated,revised,whole,false,ZAR,2025-05-21-zaf-2025-vote-30-sa-connect,5. ICT Infrastructure Development and Support — Broadband
2025/26,39,,,,,,,Digital market inquiry,,20600000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-39-dtic-digital-market-inquiry,Digital market inquiry
2026/27,5,,,,,,,Identification Services,,181900000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-5-dha-identification-services,Identification Services
2026/27,5,,,,,,,Transversal Information Technology Management,,1166900000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-5-dha-transversal-it,Transversal Information Technology Management
2026/27,11,,,,,e-Government Services and Information Management,,,,28600000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-11-dpsa-egovernment,e-Government Services and Information Management
2026/27,14,,,,,,,Business Modernisation,,59200000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-14-statssa-business-modernisation,Business Modernisation
2026/27,25,,,,,,,,,145915000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-25-information-regulator,zaf-2026-vote-25-information-regulator
2026/27,25,,,,,,,Justice Modernisation,,727900000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-25-justice-modernisation,Justice Modernisation
2026/27,30,Vote 30 - Communications and Digital Technologies,,Department of Communications and Digital Technologies,6,Digital Society and Economy,,Digital Society and Economy,,162700000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-30-digital-society-economy,Digital Society and Economy — Digital Society and Economy
2026/27,30,Vote 30 - Communications and Digital Technologies,,Department of Communications and Digital Technologies,2,"ICT Transformation, Global Partnerships and State-Owned Enterprises Governance",,"International Relations, Partnerships and Stakeholder Management",,74500000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-30-p2-international,"ICT Transformation, Global Partnerships and State-Owned Enterprises Governance — International Relations, Partnerships and Stakeholder Management"
2026/27,30,Vote 30 - Communications and Digital Technologies,,Department of Communications and Digital Technologies,2,"ICT Transformation, Global Partnerships and State-Owned Enterprises Governance",,ICT Sector Transformation Programmes,,16100000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-30-p2-sector-transformation,"ICT Transformation, Global Partnerships and State-Owned Enterprises Governance — ICT Sector Transformation Programmes"
2026/27,30,Vote 30 - Communications and Digital Technologies,,Department of Communications and Digital Technologies,2,"ICT Transformation, Global Partnerships and State-Owned Enterprises Governance",,State-owned Enterprise Governance and Investment Management,,13900000,,,,,,appropriated,appropriated,partial,false,ZAR,2026-02-25-zaf-2026-vote-30-p2-soe-governance,"ICT Transformation, Global Partnerships and State-Owned Enterprises Governance — State-owned Enterprise Governance and Investment Management"
2026/27,30,Vote 30 - Communications and Digital Technologies,,Department of Communications and Digital Technologies,3,Media and Content,,Audiovisual and Digital Media Industry Support and Services,,16600000,,,,,,appropriated,appropriated,partial,false,ZAR,2026-02-25-zaf-2026-vote-30-p3-audiovisual-digital-media,Media and Content — Audiovisual and Digital Media Industry Support and Services
2026/27,30,Vote 30 - Communications and Digital Technologies,,Department of Communications and Digital Technologies,3,Media and Content,,Content Classification and Online Safety,,126800000,,,,,,appropriated,appropriated,partial,false,ZAR,2026-02-25-zaf-2026-vote-30-p3-content-online-safety,Media and Content — Content Classification and Online Safety
2026/27,30,Vote 30 - Communications and Digital Technologies,,Department of Communications and Digital Technologies,4,"Digital Communication, Access and Services",,"Digital Enterprise Development and Small, Medium and Micro Enterprise Support",,11600000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-30-p4-digital-enterprise-smme,"Digital Communication, Access and Services — Digital Enterprise Development and Small, Medium and Micro Enterprise Support"
2026/27,30,Vote 30 - Communications and Digital Technologies,,Department of Communications and Digital Technologies,4,"Digital Communication, Access and Services",,Digital and Postal Access and Services,,767200000,,,,,,appropriated,appropriated,partial,false,ZAR,2026-02-25-zaf-2026-vote-30-p4-digital-postal-access,"Digital Communication, Access and Services — Digital and Postal Access and Services"
2026/27,30,Vote 30 - Communications and Digital Technologies,,Department of Communications and Digital Technologies,4,"Digital Communication, Access and Services",,Regulatory Compliance,,514300000,,,,,,appropriated,appropriated,partial,false,ZAR,2026-02-25-zaf-2026-vote-30-p4-regulatory-compliance,"Digital Communication, Access and Services — Regulatory Compliance"
2026/27,30,,,,,5. Digital Infrastructure and Technologies,,broadcasting/digital-migration successor line,,9900000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-30-p5-broadcasting-tech,5. Digital Infrastructure and Technologies — broadcasting/digital-migration successor line
2026/27,30,,,,,5. Digital Infrastructure and Technologies (restructured vote),,Broadband,,285100000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-30-sa-connect,5. Digital Infrastructure and Technologies (restructured vote) — Broadband
2026/27,39,,,,,,,Digital market inquiry,,33800000,,,,,,appropriated,appropriated,whole,false,ZAR,2026-02-25-zaf-2026-vote-39-dtic-digital-market-inquiry,Digital market inquiry
