unit,indicator_id,as_of,stage,value,value_year,reassessed
AGO,dpi.exchange--interoperability-of-education-systems,2026-07-31,2,,,0
AGO,dpi.exchange--interoperability-of-education-systems,2026-08-31,2,,,0
AGO,dpi.exchange--interoperability-of-health-systems,2026-07-31,2,,,0
AGO,dpi.exchange--interoperability-of-health-systems,2026-08-31,2,,,0
AGO,dpi.exchange--interoperability-of-social-protection-systems,2026-07-31,3,,,0
AGO,dpi.exchange--interoperability-of-social-protection-systems,2026-08-31,3,,,0
AGO,dpi.exchange--national-data-exchange-system,2026-07-31,2,,,0
AGO,dpi.exchange--national-data-exchange-system,2026-08-31,2,,,0
AGO,dpi.exchange--use-of-digital-id-in-other-systems,2026-07-31,2,,,0
AGO,dpi.exchange--use-of-digital-id-in-other-systems,2026-08-31,2,,,0
AGO,dpi.govtech--e-government-services,2026-07-31,3,,,0
AGO,dpi.govtech--e-government-services,2026-08-31,3,,,0
AGO,dpi.id--authentication,2026-07-31,2,,,0
AGO,dpi.id--authentication,2026-08-31,2,,,0
AGO,dpi.id--digital-id-from-birth,2026-07-31,3,,,0
AGO,dpi.id--digital-id-from-birth,2026-08-31,3,,,0
AGO,dpi.id--interoperability-of-birth-registration-and-digital-id,2026-07-31,3,,,0
AGO,dpi.id--interoperability-of-birth-registration-and-digital-id,2026-08-31,3,,,0
AGO,dpi.id--national-maintenance-of-id-and-credentials-systems,2026-07-31,3,,,0
AGO,dpi.id--national-maintenance-of-id-and-credentials-systems,2026-08-31,3,,,0
AGO,dpi.id--registration-of-entire-population,2026-07-31,,,,0
AGO,dpi.id--registration-of-entire-population,2026-08-31,,,,0
AGO,dpi.id--robustness-of-system,2026-07-31,3,,,0
AGO,dpi.id--robustness-of-system,2026-08-31,3,,,0
AGO,dpi.id--use-by-other-systems,2026-07-31,3,,,0
AGO,dpi.id--use-by-other-systems,2026-08-31,3,,,0
AGO,dpi.mis--customs,2026-07-31,2,,,0
AGO,dpi.mis--customs,2026-08-31,2,,,0
AGO,dpi.mis--education,2026-07-31,,,,0
AGO,dpi.mis--education,2026-08-31,2,,,0
AGO,dpi.mis--health,2026-07-31,3,,,0
AGO,dpi.mis--health,2026-08-31,3,,,0
AGO,dpi.mis--justice,2026-07-31,2,,,0
AGO,dpi.mis--justice,2026-08-31,2,,,0
AGO,dpi.mis--land,2026-07-31,3,,,0
AGO,dpi.mis--land,2026-08-31,3,,,0
AGO,dpi.mis--social-protection,2026-07-31,3,,,0
AGO,dpi.mis--social-protection,2026-08-31,3,,,0
AGO,dpi.mis--tax,2026-07-31,2,,,0
AGO,dpi.mis--tax,2026-08-31,2,,,0
AGO,dpi.pay--b2b-and-b2g-functionality,2026-07-31,3,,,0
AGO,dpi.pay--b2b-and-b2g-functionality,2026-08-31,3,,,0
AGO,dpi.pay--consumer-protection,2026-07-31,3,,,0
AGO,dpi.pay--consumer-protection,2026-08-31,3,,,0
AGO,dpi.pay--cross-border-functionality,2026-07-31,4,,,0
AGO,dpi.pay--cross-border-functionality,2026-08-31,4,,,0
AGO,dpi.pay--g2p-functionality,2026-07-31,,,,0
AGO,dpi.pay--g2p-functionality,2026-08-31,,,,0
AGO,dpi.pay--governance-role-of-central-bank,2026-07-31,3,,,0
AGO,dpi.pay--governance-role-of-central-bank,2026-08-31,3,,,0
AGO,dpi.pay--p2p-p2g-and-p2b-functionality,2026-07-31,3,,,0
AGO,dpi.pay--p2p-p2g-and-p2b-functionality,2026-08-31,3,,,0
AGO,dpi.pay--revenue-collection,2026-07-31,3,,,0
AGO,dpi.pay--revenue-collection,2026-08-31,3,,,0
AGO,dpi.registry--address-register,2026-07-31,2,,,0
AGO,dpi.registry--address-register,2026-08-31,2,,,0
AGO,dpi.registry--business-register,2026-07-31,2,,,0
AGO,dpi.registry--business-register,2026-08-31,2,,,0
AGO,dpi.registry--civil-register,2026-07-31,,,,0
AGO,dpi.registry--civil-register,2026-08-31,,,,0
AGO,dpi.registry--electoral-register,2026-07-31,2,,,0
AGO,dpi.registry--electoral-register,2026-08-31,2,,,0
AGO,dpi.registry--land-register,2026-07-31,2,,,0
AGO,dpi.registry--land-register,2026-08-31,2,,,0
AGO,dpi.registry--population-register,2026-07-31,2,,,0
AGO,dpi.registry--population-register,2026-08-31,2,,,0
AGO,dpi.registry--social-protection-register,2026-07-31,3,,,0
AGO,dpi.registry--social-protection-register,2026-08-31,3,,,0
AGO,dpi.registry--tax-register,2026-07-31,2,,,0
AGO,dpi.registry--tax-register,2026-08-31,2,,,0
AGO,finance.budget--sustainable-domestic-financing-of-digital-transformation,2026-07-31,3,,,0
AGO,finance.budget--sustainable-domestic-financing-of-digital-transformation,2026-08-31,3,,,0
AGO,finance.new--mobilisation-of-non-state-finance,2026-07-31,2,0.02728,2026,0
AGO,finance.new--mobilisation-of-non-state-finance,2026-08-31,2,0.02728,2026,0
AGO,gov.discourse--non-governmental-contribution-to-national-policy,2026-07-31,2,,,0
AGO,gov.discourse--non-governmental-contribution-to-national-policy,2026-08-31,2,,,0
AGO,gov.discourse--open-discussion-of-government-policy,2026-07-31,2,,,0
AGO,gov.discourse--open-discussion-of-government-policy,2026-08-31,2,,,0
AGO,gov.legislate--access-to-information-legislation,2026-07-31,3,,,0
AGO,gov.legislate--access-to-information-legislation,2026-08-31,3,,,0
AGO,gov.legislate--ai-legislation-regulations,2026-07-31,2,,,0
AGO,gov.legislate--ai-legislation-regulations,2026-08-31,2,,,0
AGO,gov.legislate--cybersecurity-legislation,2026-07-31,2,,,0
AGO,gov.legislate--cybersecurity-legislation,2026-08-31,2,,,0
AGO,gov.legislate--data-protection-legislation,2026-07-31,3,,,0
AGO,gov.legislate--data-protection-legislation,2026-08-31,3,,,0
AGO,gov.legislate--digital-payments-legislation,2026-07-31,3,,,0
AGO,gov.legislate--digital-payments-legislation,2026-08-31,3,,,0
AGO,gov.legislate--e-commerce-legislation,2026-07-31,2,,,0
AGO,gov.legislate--e-commerce-legislation,2026-08-31,2,,,0
AGO,gov.legislate--legislation-covering-digital-id,2026-07-31,2,,,0
AGO,gov.legislate--legislation-covering-digital-id,2026-08-31,2,,,0
AGO,gov.legislate--legislation-enabling-data-interoperability,2026-07-31,3,,,0
AGO,gov.legislate--legislation-enabling-data-interoperability,2026-08-31,3,,,0
AGO,gov.legislate--statistics-legislation,2026-07-31,3,,,0
AGO,gov.legislate--statistics-legislation,2026-08-31,3,,,0
AGO,gov.policy--ai-strategy,2026-07-31,1,,,0
AGO,gov.policy--ai-strategy,2026-08-31,1,,,0
AGO,gov.policy--broadband-strategy,2026-07-31,3,,,0
AGO,gov.policy--broadband-strategy,2026-08-31,3,,,0
AGO,gov.policy--data-governance-policy,2026-07-31,,,,0
AGO,gov.policy--data-governance-policy,2026-08-31,,,,0
AGO,gov.policy--data-interoperability-framework-roadmap,2026-07-31,2,,,0
AGO,gov.policy--data-interoperability-framework-roadmap,2026-08-31,2,,,0
AGO,gov.policy--data-localisation-policies,2026-07-31,2,,,0
AGO,gov.policy--data-localisation-policies,2026-08-31,2,,,0
AGO,gov.policy--data-storage-cloud-strategy,2026-07-31,2,,,0
AGO,gov.policy--data-storage-cloud-strategy,2026-08-31,2,,,0
AGO,gov.policy--digital-transformation-strategy,2026-07-31,3,,,0
AGO,gov.policy--digital-transformation-strategy,2026-08-31,3,,,0
AGO,gov.policy--ict-strategy,2026-07-31,3,,,0
AGO,gov.policy--ict-strategy,2026-08-31,3,,,0
AGO,gov.policy--open-data-policy,2026-07-31,2,,,0
AGO,gov.policy--open-data-policy,2026-08-31,2,,,0
AGO,gov.protect--data-protection-authority,2026-07-31,3,,,0
AGO,gov.protect--data-protection-authority,2026-08-31,3,,,0
AGO,gov.protect--national-data-protection-readiness,2026-07-31,3,,,0
AGO,gov.protect--national-data-protection-readiness,2026-08-31,3,,,0
AGO,gov.regional--cross-border-data-transfers,2026-07-31,3,,,0
AGO,gov.regional--cross-border-data-transfers,2026-08-31,3,,,0
AGO,gov.regional--regional-legal-harmonisation,2026-07-31,2,,,0
AGO,gov.regional--regional-legal-harmonisation,2026-08-31,2,,,0
AGO,gov.regional--regional-policy-collaboration,2026-07-31,3,,,0
AGO,gov.regional--regional-policy-collaboration,2026-08-31,3,,,0
AGO,gov.regional--shared-regional-infrastructure,2026-08-31,2,,,0
AGO,gov.standards--adoption-of-international-standards,2026-07-31,2,,,0
AGO,gov.standards--adoption-of-international-standards,2026-08-31,2,,,0
AGO,gov.standards--national-interoperability-standards,2026-07-31,2,,,0
AGO,gov.standards--national-interoperability-standards,2026-08-31,2,,,0
AGO,gov.standards--national-quality-standards,2026-07-31,3,,,0
AGO,gov.standards--national-quality-standards,2026-08-31,3,,,0
AGO,include.access--citizen-feedback-portals,2026-07-31,2,,,0
AGO,include.access--citizen-feedback-portals,2026-08-31,2,,,0
AGO,include.access--citizen-participation-in-policy,2026-07-31,2,,,0
AGO,include.access--citizen-participation-in-policy,2026-08-31,2,,,0
AGO,include.access--inclusion-of-persons-with-disabilities,2026-07-31,2,,,0
AGO,include.access--inclusion-of-persons-with-disabilities,2026-08-31,2,,,0
AGO,include.access--inclusion-of-refugees-and-idps,2026-07-31,3,,,0
AGO,include.access--inclusion-of-refugees-and-idps,2026-08-31,3,,,0
AGO,infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2026-07-31,3,,,0
AGO,infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2026-08-31,3,,,0
AGO,infra.capacity--robustness-of-government-hardware-and-software,2026-07-31,3,,,0
AGO,infra.capacity--robustness-of-government-hardware-and-software,2026-08-31,3,,,0
AGO,infra.connect--international-internet-bandwidth,2026-07-31,,,,0
AGO,infra.connect--international-internet-bandwidth,2026-08-31,,,,0
AGO,infra.connect--internet-exchange-points,2026-07-31,3,,,0
AGO,infra.connect--internet-exchange-points,2026-08-31,3,,,0
AGO,infra.connect--internet-usage,2026-07-31,3,55.5,2024,0
AGO,infra.connect--internet-usage,2026-08-31,3,55.5,2024,0
AGO,infra.connect--mobile-affordability,2026-07-31,3,3.05,2025,0
AGO,infra.connect--mobile-affordability,2026-08-31,3,3.05,2025,0
AGO,infra.connect--mobile-penetration,2026-07-31,2,59.7,2024,0
AGO,infra.connect--mobile-penetration,2026-08-31,2,59.7,2024,0
AGO,infra.connect--national-fibre-backbone,2026-07-31,3,,,0
AGO,infra.connect--national-fibre-backbone,2026-08-31,3,,,0
AGO,infra.connect--satellite-broadband-licensing-and-availability,2026-07-31,3,,,0
AGO,infra.connect--satellite-broadband-licensing-and-availability,2026-08-31,3,,,0
AGO,infra.cybersec--national-cybersecurity-readiness,2026-07-31,2,,,0
AGO,infra.cybersec--national-cybersecurity-readiness,2026-08-31,2,,,0
AGO,infra.energy--grid-reliability,2026-07-31,4,2.3687,2024,0
AGO,infra.energy--grid-reliability,2026-08-31,4,2.3687,2024,0
AGO,infra.energy--rural-electrification,2026-07-31,1,1.3,2024,0
AGO,infra.energy--rural-electrification,2026-08-31,1,1.3,2024,0
AGO,infra.store--local-data-centre-capacity-all-providers,2026-07-31,4,4,2026,0
AGO,infra.store--local-data-centre-capacity-all-providers,2026-08-31,4,4,2026,0
AGO,infra.store--local-data-centre-capacity-national-providers,2026-07-31,3,50,2026,0
AGO,infra.store--local-data-centre-capacity-national-providers,2026-08-31,3,50,2026,0
AGO,infra.store--off-site-backup-capacity,2026-07-31,3,,,0
AGO,infra.store--off-site-backup-capacity,2026-08-31,3,,,0
AGO,tech.ai--control-of-ai-abuse,2026-07-31,2,,,0
AGO,tech.ai--control-of-ai-abuse,2026-08-31,2,,,0
AGO,tech.ai--development-of-national-regional-ai-systems,2026-07-31,2,,,0
AGO,tech.ai--development-of-national-regional-ai-systems,2026-08-31,2,,,0
AGO,tech.ai--use-of-ai-in-government-administration,2026-07-31,,,,0
AGO,tech.ai--use-of-ai-in-government-administration,2026-08-31,,,,0
AGO,tech.ai--use-of-ai-in-sectoral-management-information-systems,2026-07-31,2,,,0
AGO,tech.ai--use-of-ai-in-sectoral-management-information-systems,2026-08-31,2,,,0
AGO,tech.industry--national-capacity-in-dt-related-production,2026-07-31,1,0.0168,2025,0
AGO,tech.industry--national-capacity-in-dt-related-production,2026-08-31,1,0.0168,2025,0
AGO,tech.innovate--tech-startup-ecosystem,2026-07-31,2,,,0
AGO,tech.innovate--tech-startup-ecosystem,2026-08-31,2,,,0
AGO,tech.innovate--technology-hubs,2026-07-31,3,,,0
AGO,tech.innovate--technology-hubs,2026-08-31,3,,,0
BDI,capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,2026-07-31,2,,,0
BDI,capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,2026-08-31,2,,,0
BDI,capacity.training--dt-related-training-in-secondary-education,2026-07-31,1,0.4329,2019,0
BDI,capacity.training--dt-related-training-in-secondary-education,2026-08-31,1,0.4329,2019,0
BDI,capacity.training--dt-related-university-facilities-and-qualifications,2026-07-31,1,9.7526,2025,0
BDI,capacity.training--dt-related-university-facilities-and-qualifications,2026-08-31,1,9.7526,2025,0
BDI,capacity.training--graduates-entering-dt-ecosystem,2026-07-31,1,0.0975,2020,0
BDI,capacity.training--graduates-entering-dt-ecosystem,2026-08-31,1,0.0975,2020,0
BDI,data.open--use-of-open-data,2026-07-31,3,,,0
BDI,data.open--use-of-open-data,2026-08-31,3,,,0
BDI,data.satellite--agricultural-use-of-satellite-data,2026-07-31,2,,,0
BDI,data.satellite--agricultural-use-of-satellite-data,2026-08-31,2,,,0
BDI,data.satellite--meteorological-use-of-satellite-data,2026-07-31,3,,,0
BDI,data.satellite--meteorological-use-of-satellite-data,2026-08-31,3,,,0
BDI,data.statistics--censuses-and-surveys,2026-07-31,3,,,0
BDI,data.statistics--censuses-and-surveys,2026-08-31,3,,,0
BDI,data.statistics--national-strategy-for-development-of-statistics,2026-07-31,3,,,0
BDI,data.statistics--national-strategy-for-development-of-statistics,2026-08-31,3,,,0
BDI,data.statistics--statistics-from-administrative-data,2026-07-31,3,,,0
BDI,data.statistics--statistics-from-administrative-data,2026-08-31,3,,,0
BDI,digital.localgov--digitalisation-of-local-government-records,2026-07-31,2,,,0
BDI,digital.localgov--digitalisation-of-local-government-records,2026-08-31,2,,,0
BDI,digital.localgov--ict-infrastructure-for-local-government,2026-07-31,2,,,0
BDI,digital.localgov--ict-infrastructure-for-local-government,2026-08-31,2,,,0
BDI,digital.rural--digitalisation-of-rural-health-clinics,2026-07-31,2,,,0
BDI,digital.rural--digitalisation-of-rural-health-clinics,2026-08-31,2,,,0
BDI,digital.rural--digitalisation-of-rural-police-stations,2026-07-31,2,,,0
BDI,digital.rural--digitalisation-of-rural-police-stations,2026-08-31,2,,,0
BDI,digital.rural--digitalisation-of-rural-primary-schools,2026-07-31,2,,,0
BDI,digital.rural--digitalisation-of-rural-primary-schools,2026-08-31,2,,,0
BDI,digital.rural--digitalisation-of-rural-registry-offices,2026-07-31,2,,,0
BDI,digital.rural--digitalisation-of-rural-registry-offices,2026-08-31,2,,,0
BDI,dpi.exchange--interoperability-of-education-systems,2026-07-31,,,,0
BDI,dpi.exchange--interoperability-of-education-systems,2026-08-31,,,,0
BDI,dpi.exchange--interoperability-of-health-systems,2026-07-31,2,,,0
BDI,dpi.exchange--interoperability-of-health-systems,2026-08-31,2,,,0
BDI,dpi.exchange--interoperability-of-social-protection-systems,2026-07-31,3,,,0
BDI,dpi.exchange--interoperability-of-social-protection-systems,2026-08-31,3,,,0
BDI,dpi.exchange--national-data-exchange-system,2026-07-31,1,,,0
BDI,dpi.exchange--national-data-exchange-system,2026-08-31,1,,,0
BDI,dpi.exchange--use-of-digital-id-in-other-systems,2026-07-31,3,,,0
BDI,dpi.exchange--use-of-digital-id-in-other-systems,2026-08-31,3,,,0
BDI,dpi.govtech--e-government-services,2026-07-31,2,,,0
BDI,dpi.govtech--e-government-services,2026-08-31,2,,,0
BDI,dpi.id--authentication,2026-07-31,3,,,0
BDI,dpi.id--authentication,2026-08-31,3,,,0
BDI,dpi.id--digital-id-from-birth,2026-07-31,,,,0
BDI,dpi.id--digital-id-from-birth,2026-08-31,,,,0
BDI,dpi.id--interoperability-of-birth-registration-and-digital-id,2026-07-31,2,,,0
BDI,dpi.id--interoperability-of-birth-registration-and-digital-id,2026-08-31,2,,,0
BDI,dpi.id--national-maintenance-of-id-and-credentials-systems,2026-07-31,3,,,0
BDI,dpi.id--national-maintenance-of-id-and-credentials-systems,2026-08-31,3,,,0
BDI,dpi.id--robustness-of-system,2026-07-31,2,,,0
BDI,dpi.id--robustness-of-system,2026-08-31,2,,,0
BDI,dpi.id--use-by-other-systems,2026-07-31,1,,,0
BDI,dpi.id--use-by-other-systems,2026-08-31,1,,,0
BDI,dpi.mis--customs,2026-07-31,3,,,0
BDI,dpi.mis--customs,2026-08-31,3,,,0
BDI,dpi.mis--education,2026-08-31,,,,0
BDI,dpi.mis--health,2026-07-31,3,,,0
BDI,dpi.mis--health,2026-08-31,3,,,0
BDI,dpi.mis--justice,2026-07-31,2,,,0
BDI,dpi.mis--justice,2026-08-31,2,,,0
BDI,dpi.mis--land,2026-07-31,2,,,0
BDI,dpi.mis--land,2026-08-31,2,,,0
BDI,dpi.mis--social-protection,2026-07-31,3,,,0
BDI,dpi.mis--social-protection,2026-08-31,3,,,0
BDI,dpi.mis--tax,2026-07-31,3,,,0
BDI,dpi.mis--tax,2026-08-31,3,,,0
BDI,dpi.pay--b2b-and-b2g-functionality,2026-07-31,3,,,0
BDI,dpi.pay--b2b-and-b2g-functionality,2026-08-31,3,,,0
BDI,dpi.pay--consumer-protection,2026-07-31,2,,,0
BDI,dpi.pay--consumer-protection,2026-08-31,2,,,0
BDI,dpi.pay--cross-border-functionality,2026-07-31,2,,,0
BDI,dpi.pay--cross-border-functionality,2026-08-31,2,,,0
BDI,dpi.pay--g2p-functionality,2026-07-31,3,,,0
BDI,dpi.pay--g2p-functionality,2026-08-31,3,,,0
BDI,dpi.pay--governance-role-of-central-bank,2026-07-31,3,,,0
BDI,dpi.pay--governance-role-of-central-bank,2026-08-31,3,,,0
BDI,dpi.pay--p2p-p2g-and-p2b-functionality,2026-07-31,3,,,0
BDI,dpi.pay--p2p-p2g-and-p2b-functionality,2026-08-31,3,,,0
BDI,dpi.pay--revenue-collection,2026-07-31,3,,,0
BDI,dpi.pay--revenue-collection,2026-08-31,3,,,0
BDI,dpi.registry--address-register,2026-07-31,2,,,0
BDI,dpi.registry--address-register,2026-08-31,2,,,0
BDI,dpi.registry--business-register,2026-07-31,2,,,0
BDI,dpi.registry--business-register,2026-08-31,2,,,0
BDI,dpi.registry--civil-register,2026-07-31,2,,,0
BDI,dpi.registry--civil-register,2026-08-31,2,,,0
BDI,dpi.registry--electoral-register,2026-07-31,,,,0
BDI,dpi.registry--electoral-register,2026-08-31,,,,0
BDI,dpi.registry--land-register,2026-07-31,3,,,0
BDI,dpi.registry--land-register,2026-08-31,3,,,0
BDI,dpi.registry--population-register,2026-07-31,,,,0
BDI,dpi.registry--population-register,2026-08-31,,,,0
BDI,dpi.registry--social-protection-register,2026-07-31,3,,,0
BDI,dpi.registry--social-protection-register,2026-08-31,3,,,0
BDI,dpi.registry--tax-register,2026-07-31,2,,,0
BDI,dpi.registry--tax-register,2026-08-31,2,,,0
BDI,finance.budget--sustainable-domestic-financing-of-digital-transformation,2026-07-31,4,,,0
BDI,finance.budget--sustainable-domestic-financing-of-digital-transformation,2026-08-31,4,,,0
BDI,finance.new--mobilisation-of-non-state-finance,2026-07-31,1,0,2026,0
BDI,finance.new--mobilisation-of-non-state-finance,2026-08-31,1,0,2026,0
BDI,gov.discourse--non-governmental-contribution-to-national-policy,2026-07-31,,,,0
BDI,gov.discourse--non-governmental-contribution-to-national-policy,2026-08-31,,,,0
BDI,gov.discourse--open-discussion-of-government-policy,2026-07-31,2,,,0
BDI,gov.discourse--open-discussion-of-government-policy,2026-08-31,2,,,0
BDI,gov.legislate--access-to-information-legislation,2026-08-31,2,,,0
BDI,gov.legislate--ai-legislation-regulations,2026-07-31,1,,,0
BDI,gov.legislate--ai-legislation-regulations,2026-08-31,1,,,0
BDI,gov.legislate--cybersecurity-legislation,2026-07-31,3,,,0
BDI,gov.legislate--cybersecurity-legislation,2026-08-31,3,,,0
BDI,gov.legislate--data-protection-legislation,2026-07-31,3,,,0
BDI,gov.legislate--data-protection-legislation,2026-08-31,3,,,0
BDI,gov.legislate--digital-payments-legislation,2026-07-31,3,,,0
BDI,gov.legislate--digital-payments-legislation,2026-08-31,3,,,0
BDI,gov.legislate--e-commerce-legislation,2026-07-31,3,,,0
BDI,gov.legislate--e-commerce-legislation,2026-08-31,3,,,0
BDI,gov.legislate--legislation-covering-digital-id,2026-07-31,2,,,0
BDI,gov.legislate--legislation-covering-digital-id,2026-08-31,2,,,0
BDI,gov.legislate--legislation-enabling-data-interoperability,2026-07-31,3,,,0
BDI,gov.legislate--legislation-enabling-data-interoperability,2026-08-31,3,,,0
BDI,gov.legislate--statistics-legislation,2026-07-31,3,,,0
BDI,gov.legislate--statistics-legislation,2026-08-31,3,,,0
BDI,gov.policy--ai-strategy,2026-07-31,3,,,0
BDI,gov.policy--ai-strategy,2026-08-31,3,,,0
BDI,gov.policy--broadband-strategy,2026-07-31,2,,,0
BDI,gov.policy--broadband-strategy,2026-08-31,2,,,0
BDI,gov.policy--data-governance-policy,2026-07-31,3,,,0
BDI,gov.policy--data-governance-policy,2026-08-31,3,,,0
BDI,gov.policy--data-interoperability-framework-roadmap,2026-07-31,2,,,0
BDI,gov.policy--data-interoperability-framework-roadmap,2026-08-31,2,,,0
BDI,gov.policy--data-localisation-policies,2026-07-31,1,,,0
BDI,gov.policy--data-localisation-policies,2026-08-31,1,,,0
BDI,gov.policy--data-storage-cloud-strategy,2026-07-31,2,,,0
BDI,gov.policy--data-storage-cloud-strategy,2026-08-31,2,,,0
BDI,gov.policy--digital-transformation-strategy,2026-07-31,3,,,0
BDI,gov.policy--digital-transformation-strategy,2026-08-31,3,,,0
BDI,gov.policy--ict-strategy,2026-07-31,2,,,0
BDI,gov.policy--ict-strategy,2026-08-31,2,,,0
BDI,gov.policy--open-data-policy,2026-07-31,2,,,0
BDI,gov.policy--open-data-policy,2026-08-31,2,,,0
BDI,gov.protect--data-protection-authority,2026-07-31,2,,,0
BDI,gov.protect--data-protection-authority,2026-08-31,2,,,0
BDI,gov.protect--national-data-protection-readiness,2026-07-31,3,,,0
BDI,gov.protect--national-data-protection-readiness,2026-08-31,3,,,0
BDI,gov.regional--cross-border-data-transfers,2026-07-31,2,,,0
BDI,gov.regional--cross-border-data-transfers,2026-08-31,2,,,0
BDI,gov.regional--regional-legal-harmonisation,2026-07-31,,,,0
BDI,gov.regional--regional-legal-harmonisation,2026-08-31,,,,0
BDI,gov.regional--regional-policy-collaboration,2026-07-31,3,,,0
BDI,gov.regional--regional-policy-collaboration,2026-08-31,3,,,0
BDI,gov.regional--shared-regional-infrastructure,2026-07-31,3,,,0
BDI,gov.regional--shared-regional-infrastructure,2026-08-31,3,,,0
BDI,gov.standards--adoption-of-international-standards,2026-07-31,2,,,0
BDI,gov.standards--adoption-of-international-standards,2026-08-31,2,,,0
BDI,gov.standards--national-interoperability-standards,2026-07-31,2,,,0
BDI,gov.standards--national-interoperability-standards,2026-08-31,2,,,0
BDI,gov.standards--national-quality-standards,2026-07-31,3,,,0
BDI,gov.standards--national-quality-standards,2026-08-31,3,,,0
BDI,include.access--citizen-feedback-portals,2026-07-31,2,,,0
BDI,include.access--citizen-feedback-portals,2026-08-31,2,,,0
BDI,include.access--citizen-participation-in-policy,2026-07-31,2,,,0
BDI,include.access--citizen-participation-in-policy,2026-08-31,2,,,0
BDI,include.access--gender-equity,2026-07-31,1,61.5385,2017,0
BDI,include.access--gender-equity,2026-08-31,1,61.5385,2017,0
BDI,include.access--inclusion-of-persons-with-disabilities,2026-07-31,2,,,0
BDI,include.access--inclusion-of-persons-with-disabilities,2026-08-31,2,,,0
BDI,include.access--inclusion-of-refugees-and-idps,2026-07-31,3,,,0
BDI,include.access--inclusion-of-refugees-and-idps,2026-08-31,3,,,0
BDI,infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2026-07-31,2,,,0
BDI,infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2026-08-31,2,,,0
BDI,infra.capacity--robustness-of-government-hardware-and-software,2026-07-31,2,,,0
BDI,infra.capacity--robustness-of-government-hardware-and-software,2026-08-31,2,,,0
BDI,infra.connect--international-internet-bandwidth,2026-07-31,4,3,2020,0
BDI,infra.connect--international-internet-bandwidth,2026-08-31,4,3,2020,0
BDI,infra.connect--internet-exchange-points,2026-07-31,2,,,0
BDI,infra.connect--internet-exchange-points,2026-08-31,3,,,0
BDI,infra.connect--internet-usage,2026-07-31,1,8.6,2024,0
BDI,infra.connect--internet-usage,2026-08-31,1,8.6,2024,0
BDI,infra.connect--mobile-affordability,2026-07-31,1,25.18,2025,0
BDI,infra.connect--mobile-affordability,2026-08-31,1,25.18,2025,0
BDI,infra.connect--mobile-penetration,2026-07-31,1,27.8,2024,0
BDI,infra.connect--mobile-penetration,2026-08-31,1,27.8,2024,0
BDI,infra.connect--national-fibre-backbone,2026-07-31,3,,,0
BDI,infra.connect--national-fibre-backbone,2026-08-31,3,,,0
BDI,infra.connect--satellite-broadband-licensing-and-availability,2026-07-31,3,,,0
BDI,infra.connect--satellite-broadband-licensing-and-availability,2026-08-31,3,,,0
