unit,row_id,section,subject,name,status,published,position_start,position_end,sources
XAF,XAF-gov.policy-africa-tech-policy-tracker,Instruments and harmonisation,gov.policy,Africa Technology Policy Tracker,Implemented,2026-07-30,,"A continental register built by the Carnegie Endowment with the African Telecommunications Union, consolidating national digital-economy laws, policies and regulations across infrastructure, platforms, skills and innovation; it indexes adopted documents only, weights nothing and assesses neither implementation nor rights compatibility. The counts reported on 2026-07-30 are 60 documents for Nigeria, 59 for Rwanda and 19 for Zambia",2026-07-30-new-africa-tech-policy-insights-on-nigeria-rwanda-and-zambia
XAF,XAF-gov.protect-au-data-policy-framework,Instruments and harmonisation,gov.protect,African Union Data Policy Framework,Implemented,2026-08-11,Baseline not held,"In force as the continental reference framework, with about a third of the 54 member states aligned to it on a 2026-08-11 analysis, and 25 national regulatory sandboxes recorded across 15 countries by late 2024; no compliance mechanism, reporting cycle or enforcement route is stated",2026-08-11-dial-good-ai-needs-good-data-africa
XAF,XAF-tech.ai-ai-startup-census,Instruments and harmonisation,tech.ai,Artificial-intelligence startups counted in a continental census,,2026-05-29,"Not held: the deposit's 2022 and 2025 editions are not held, so the base carries no count before this one","224 firms across 22 countries and a Pan-African category, founded 2002 to 2025; 195 active and 18 defunct by operating status, and 143 early stage, 72 growth stage and 9 mature by stage",2026-05-29-okolo-ai-startups-in-africa-dataset
XAF,XAF-tech.ai-common-african-position-ai,Instruments and harmonisation,tech.ai,"Common African Position on AI and its Impact on Peace, Security, Democracy and Development",In development,2026-04-16,,"The Council requested the Commission to expedite the comprehensive study and the Common African Position and submit them for its consideration; a Policy Brief on AI for Peace, Security and Governance in Africa is reported in progress and no text is published",2026-04-16-au-psc-1339th-meeting-communique-ai-governance-peace-security
XAF,XAF-gov.standards-continental-ict-standardisation-alignment,Instruments and harmonisation,gov.standards,Continental ICT standardisation alignment,In development,2026-08-18,,"Talks opened on a coordinated continental approach across the standards lifecycle, from development through harmonised adoption and implementation by countries, naming fragmentation and the failure to translate continental and international standards into national frameworks as the problem",2026-08-18-techreviewafrica-atu-gist-arso-ict-standards-alignment
XAF,XAF-gov.protect-nadpa,Instruments and harmonisation,gov.protect,Network of African Data Protection Authorities (NADPA-RAPDP),Implemented,2026-09-04,Not held,"The Fifth Board - Cabo Verde, Cote d'Ivoire and Zimbabwe - signed a declaration on 3 September 2026 proclaiming 21 September as Africa Data Protection Day, executing a decision of the network's ninth annual general meeting in May 2026; no membership count, secretariat budget or work programme is held (2026-09)",2026-09-04-nadpa-africa-data-protection-day-declaration
XAF,XAF-tech.ai-continental-ai-strategy-financing,Instruments and harmonisation,tech.ai,Public capital committed to the AU Continental AI Strategy,,2026-08-27,Baseline not held,"About US$150m of public capital committed by African governments against an implementation cost the Strategy itself prices at between US$250bn and US$500bn - a fraction of one per cent - and an ambition to add US$1.5 trillion to Africa's GDP by 2030; independent research over the Strategy's first eighteen months found the funding heavily concentrated in Kenya, Nigeria, South Africa and Egypt, with little reaching the remaining member states",2026-08-27-imani-au-continental-ai-strategy-funding-gap
XAF,XAF-tech.ai-african-language-training-data,Instruments and harmonisation,tech.ai,Training data for African languages,In development,2026-09-08,Not held,"A research company has set out to build training data for a thousand African languages, after years in which the scarcity of that data was what stopped anyone building language technology for the continent (2026-09)",2026-09-08-techcabal-mansa-ai-1000-african-languages
XAF,XAF-dpi.id-ssa-id-coverage,Shared systems and infrastructure,dpi.id,Adults holding official identification in Sub-Saharan Africa,,2026-01-01,None published on this basis,"81% of adults, 82% of men against 79% of women, a 3.56-point gender gap (2025)",2026-01-01-world-bank-id4d-global-dataset-2025
XAF,XAF-dpi.exchange-afcfta-customs-modernisation,Shared systems and infrastructure,dpi.exchange,AfCFTA Customs Modernisation Project,Planned,2026-08-14,,"A public-private partnership under which Bergmans Security Consultants and Supplies Limited mobilises the financing for customs digital solutions, secure electronic exchange of customs information, coordinated border management, One Stop Border Posts, transit systems, electronic cargo tracking, non-intrusive inspection technology, integrated data centres, multilingual customs portals, risk management and data analytics across participating State Parties; the agreement builds on a memorandum of understanding concluded in July 2026 and nothing is recorded as deployed; a US$3.1bn contract was signed with a Nigerian security consultancy to digitise customs across the 50 member states, aiming at real-time cargo tracking and reduced revenue leakage",2026-08-14-gfmag-africa-shakes-up-customs-trade-problems-persist|2026-08-07-afcfta-bergmans-concession-agreement-press-release|2026-08-06-afcfta-signs-3-1bn-customs-modernisation-deal
XAF,XAF-infra.connect-digital-connectivity-infrastructure-report,Shared systems and infrastructure,infra.connect,Africa Digital Connectivity Infrastructure Report,Planned,2026-08-03,,"Phase 1, Country Pilots, put out as an open consultancy tender at a stated budget of US$165,000, funded jointly by the African Development Bank, the Asian Infrastructure Investment Bank and the Multilateral Cooperation Center for Development Finance; the pilot countries and the terms of reference are not established",2026-08-03-aiib-afdb-africa-digital-connectivity-rfp
XAF,XAF-dpi.mis-asrii,Shared systems and infrastructure,dpi.mis,African Regional Integration Synthesized Index (ASRII) platform,Implemented,2026-08-09,,"The African Union Commission's platform for submission, validation, automated computation and dissemination of regional integration scores across political, economic, infrastructure, and human and social pillars, developed with the regional economic communities, the Economic Commission for Africa and the African Development Bank to replace manual data collection. Deployment to the regional economic communities began with a four-day training of 20 core participants at the ECOWAS Commission in Abuja on 4-7 August 2026, at which its Secretary General said the Commission holds no centralised database of the status, amendments and implications of regional legal protocols",2026-08-09-ecowas-asrii-digital-platform-training-concludes|2026-08-06-ecowas-asrii-digital-platform-training-begins
XAF,XAF-infra.store-african-share-global-datacentre-capacity,Shared systems and infrastructure,infra.store,African share of global data-centre capacity,,2026-09-10,Not previously held by this base,"Put at 0.6% of world data-centre capacity by the chief executive of a pan-African fibre operator, speaking on the sidelines of ITW Africa 2026 in Nairobi on 10 September 2026, who named it the concern African telecom executives raise most, with cross-border connectivity the only issue close to it.",2026-09-10-liquid-kenya-ai-next-growth-frontier
XAF,XAF-dpi.pay-cips-africa-uptake,Shared systems and infrastructure,dpi.pay,African take-up of China's Cross-Border Interbank Payment System,In development,2026-09-01,Baseline not held,"a cross-border payments startup launching direct yuan payouts into Chinese bank accounts from dollar, euro, sterling and stablecoin balances, alongside continental take-up of China's own cross-border interbank system",2026-09-01-techcabal-grey-yuan-payments-africa|2026-08-16-chinese-yuan-africa-cips-payment-network
XAF,XAF-infra.connect-airtel-africa-network-investment,Shared systems and infrastructure,infra.connect,Airtel Africa network expansion programme,In development,2026-09-10,Not previously held by this base,"US$1.1 billion earmarked by the operator for expansion and upgrade of its network across 14 African markets, its chief executive said in a broadcast interview reported 10 September 2026, with annual spending stated to have risen from about US$120 million to about US$390 million and Nigeria named its largest market.",2026-09-10-thisday-airtel-africa-1-1bn-network-expansion
XAF,XAF-infra.store-aws-african-infrastructure-investment,Shared systems and infrastructure,infra.store,Amazon Web Services investment in African cloud infrastructure,Implemented,2026-09-10,Not previously held by this base,"More than US$819 million stated as invested in African infrastructure since 2018 and a further US$1.5 billion committed to 2029, with 154 services available in the Cape Town cloud region; the company's general manager for Sub-Saharan Africa told a Johannesburg summit on 10 September 2026 that its Africa strategy is increasingly aimed at local developers building for regional markets, and claimed more than one million Africans trained in cloud and AI skills.",2026-09-10-itweb-co-za-aws-23bn-africa-cloud-ai
XAF,XAF-dpi.id-apai-crvs,Shared systems and infrastructure,dpi.id,APAI-CRVS (Africa Programme on Accelerated Improvement of Civil Registration and Vital Statistics),Implemented,2026-08-13,,"The 2017-2026 decade is closing and a 2027-2036 phase is opening; the African eCRVS Shared Asset (ACSA) is named as the shared continental standard intended to cut fragmented digital procurement across country systems, and Equatorial Guinea's Justice Ministry timed a free registration campaign for children aged 0-5 (10-14 August 2026) to the decade's close. No AU statement of the new phase's content, financing or targets is held",2026-08-10-ghana-crvs-decade-architecture-of-visibility|2026-08-10-gnq-dia-africano-registro-civil|2026-08-13-birth-registration-emerges-as-foundation-for-digital-public-infrastructure
XAF,XAF-dpi.pay-comesa-retail-payments,Shared systems and infrastructure,dpi.pay,COMESA digital retail payments platform,Implemented,2026-08-24,Not held,"The regional clearing house published the scheme rulebook setting operational and governance rules for instant low-cost cross-border retail payments, and a gender audit and strategy to 2030 drawn from research along the Malawi-Zambia corridor; it advertised three platform posts on 24 August 2026 - head of technology, platform and infrastructure engineer and security engineer - whose duties establish that the platform is built on Mojaloop, runs an AWS production environment against an on-premises staging footprint and Kubernetes clusters, and that the engineering, infrastructure and information-security functions are being recruited rather than staffed",2026-08-24-comesa-vacancy-head-of-technology|2026-08-24-comesa-vacancy-platform-infrastructure-engineer|2026-08-24-comesa-vacancy-security-engineer|2026-08-10-comesa-clearing-house-drpp-scheme-rulebook-gender-strategy
XAF,XAF-infra.connect-5g-commercial-deployment,Shared systems and infrastructure,infra.connect,Commercial 5G deployment and adoption across the continent,,2026-07-22,Baseline not held,"61 operators across 37 African markets had launched commercial 5G services by the end of May 2026, 40 of them also running 5G fixed wireless access, after first launches in Algeria, Comoros, Egypt, Libya, Mauritania, Morocco and Tunisia over the preceding twelve months; 5G connections in Africa are put at just under 100 million by the end of 2026, 6.2% of total mobile connections, against a projected 3.4 billion and 37% worldwide, and among sixteen focus countries only Mauritius and South Africa had 5G population coverage above 50% as of May 2026",2026-07-22-gsma-5g-in-africa-2026-market-status-trends-outlook
XAF,XAF-dpi.pay-stablecoin-payout-rail,Shared systems and infrastructure,dpi.pay,Commercial stablecoin payout rail across African markets,Implemented,2026-09-08,Not held,"A stablecoin payments platform partnered a local payout provider to widen stablecoin payouts across African markets, letting businesses settle into local currency through the partner’s rails (2026-09)",2026-09-08-techafricanews-dcspay-kotani-pay-stablecoin-payouts
XAF,XAF-dpi.exchange-continental-data-governance-frameworks,Shared systems and infrastructure,dpi.exchange,Continental data governance frameworks,In development,2025-12-01,,"Three drafts - data categorisation and data sharing, cross-border data flows, and a continental open data strategy - validated with member states and regional economic communities; none submitted to AU policy organs and none published",2025-12-01-au-validation-workshop-continental-data-governance-frameworks
XAF,XAF-infra.store-dependence-on-foreign-public-cloud,Shared systems and infrastructure,infra.store,Continental dependence on foreign public cloud,,2026-08-26,Not held,"African artificial-intelligence startups are exposed to hidden financial and operational risk where a large share of workloads sits with a single provider, against which a new generation of African-founded sovereign and low-latency cloud providers is emerging",2026-08-26-cloud-dependence-african-ai-startups-cost-risks|2026-08-26-four-african-cloud-startups-to-watch-2026
XAF,XAF-dpi.id-upanzi-policy-analyzer,Shared systems and infrastructure,dpi.id,Continental ID and data-protection law analyser,Implemented,2026-08-11,Baseline not held,"An open-source tool launched by a university research network comparing identity and data-protection laws across more than 50 African countries, built as a retrieval-augmented chatbot and stated as intended to help states harmonise their frameworks; no usage figure, governance arrangement or maintenance commitment is published",2026-08-11-cmu-africa-upanzi-policy-analyzer-id-data-privacy
XAF,XAF-dpi.pay-cross-border-cost,Shared systems and infrastructure,dpi.pay,Cost of sending money within Africa,,2026-08-17,Baseline not held,Put at 8.78% of the amount sent against the SDG target of 3% (2026-08),2026-08-17-africa-single-payments-market-currencies-divided
XAF,XAF-dpi.pay-remittance-cost-to-ssa,Shared systems and infrastructure,dpi.pay,Cost of sending US$200 to Sub-Saharan Africa,,2026-09-06,Baseline not held,"Put at 8.46% of the amount sent in the third quarter of 2025 against a global average of 6.36% and the United Nations target of 3%, with banks the costliest channel at close to 15% on average, much of it carried in exchange-rate spreads rather than disclosed fees (2025-Q3)",2026-09-06-techtrends-remittance-startups-western-union
XAF,XAF-infra.store-afcfta-datacentre-need,Shared systems and infrastructure,infra.store,Data centres the AfCFTA Secretariat states digital trade requires,,2026-04-08,,"More than 700, against about 220 on the continent, on the Secretary General's statement at Marrakech","2026-04-08 Africa's digital trade push requires 700 data centres, says AfCFTA chief"
XAF,XAF-infra.connect-ipv6-capability,Shared systems and infrastructure,infra.connect,IPv6 capability across the AFRINIC service region,,2026-09-07,Baseline not held,"Put at 6% against a world average of 44%, with only eight African countries above 20%, fifteen between 10% and 19% and fifteen below 1%; three million IPv4 addresses have been recovered under the soft-landing policy since 2020 without a proven rise in IPv6 deployment (2026-06)",2026-09-07-afrinic-afpub-2026-v6-001-draft02-ipv6-soft-landing
XAF,XAF-infra.connect-mobile-internet-users,Shared systems and infrastructure,infra.connect,Mobile internet users and their measured economic value,,2026-08-12,Baseline not held,"416 million Africans used mobile internet in 2025, generating a measured US$240bn of economic value, put at 7.8% of continental GDP",2026-08-12-empreinte-num-rique-ce-que-nos-usages-en-ligne-r-v-lent-de-nous
XAF,XAF-dpi.registry-ohada-audcg,Shared systems and infrastructure,dpi.registry,OHADA Uniform Act on General Commercial Law (AUDCG) and the RCCM business register,Implemented,2010-12-15,Not held,"The founding instrument for the business register across OHADA's seventeen member states: it creates and governs the Registre du Commerce et du Credit Mobilier, defines the merchant and entreprenant statuses, sets the register's organisation and registration rules and the national and regional company-record files, and provides for their computerisation",2010-12-15-ohada-audcg-acte-uniforme-droit-commercial-general
XAF,XAF-dpi.pay-psda,Shared systems and infrastructure,dpi.pay,Payment Systems Directive for Africa (PSDA),In development,2026-07-29,,"Directed to be led by central banks rather than an external entity, with the Assembly's own task force on payment system integration to lead harmonisation; no draft directive held",2025-11-28-aacb-47th-assembly-of-governors-list-of-decisions|2026-07-29-aacb-cross-border-payment-fragmentation
XAF,XAF-dpi.id-smart-africa-digital-identity-blueprint,Shared systems and infrastructure,dpi.id,Smart Africa digital identity blueprint,Implemented,2020-01-01,,"The alliance secretariat's first-edition blueprint for mutually recognised digital identity across member states, setting out the trust alliance, levels of assurance and the case for interoperable identity, drawn up after a member-state workshop",2020-01-01-smart-africa-blueprint-digital-identity
XAF,XAF-dpi.pay-stablecoin-settlement-rails,Shared systems and infrastructure,dpi.pay,Stablecoin settlement rails serving African cross-border payments,In development,2026-09-05,Not held,"Described by a pan-African payments operator's product chief as moving from speculative use into the plumbing of remittances and business settlement, on the evidence of Mastercard's agreement to acquire BVNK at up to US$1.8bn and Visa's stablecoin-card expansion through Stripe's Bridge into more than 100 countries, African markets among them; a first named African deployment is Flutterwave's tie-up with Caliza offering USD accounts with USDC and USDT conversion. At a UN Economic Commission for Africa webinar on 18 August 2026, market supervisors from Uganda's Capital Markets Authority, the Bank of Ghana and the Financial Services Commission of Mauritius set out three national approaches to virtual assets and stablecoins and agreed on consumer protection, financial stability, regulatory clarity and monetary sovereignty as shared objectives, arguing that compatible outcomes and supervisory cooperation matter more than identical legislation; the Commission put continental digital-asset users above 54 million, Nigeria alone at about 25.9 million, against a global tokenised money market that passed US$300bn in 2025. On 5 September 2026 the chief executive of the Pan-African Payment and Settlement System disclosed that the system is exploring ways to support stablecoins and other digital currencies within its payments ecosystem, naming the Central Bank of Nigeria and the Securities and Exchange Commission as regulators whose approach he endorsed, and said announcements could follow",2026-09-05-papss-stablecoin-exploration-remittances|2026-08-26-eastafricanpolicyobserver-eca-stablecoins-tokenised-money|2026-08-13-flutterwave-and-caliza-partner-to-expand-global-payment-access-for-african-busin|2026-08-17-moving-stablecoins-from-hype-to-utility-africa
XAF,XAF-infra.cybersec-cybersecurity-index-standing,Shared systems and infrastructure,infra.cybersec,Standing in the global cybersecurity index,,2024-09-14,,"Mauritius, Rwanda, Kenya, Tanzania and Ghana in the top tier; Benin, Togo, Zambia and South Africa in the second; the majority of the continent below, scored across legal, technical and organisational measures, capacity building and international cooperation",2024-09-14-africas-standing-global-cybersecurity-index-2024
XAF,XAF-infra.store-data-centre-occupancy,Shared systems and infrastructure,infra.store,Time for a data centre to reach 85% occupancy,,2026-08-06,,"Six to eight years in African markets against two to three in Europe, on the Africa Data Centres Association's 2026 Economic Report, which also puts 80-90% of the continent's data as still processed and stored abroad and projects the market at US$9.2bn by 2029",2026-08-06-africa-data-centre-occupancy-empty-capacity
XAF,XAF-dpi.pay-trade-finance-gap,Shared systems and infrastructure,dpi.pay,Unmet trade finance demand,,2026-08-11,,"US$74bn to US$100bn of unmet trade finance demand, with commercial banks intermediating about 23% of the continent's trade against 40% over 2011 to 2019, and intra-African trade at US$213.8bn in 2025 (2026-08)",2026-08-11-pac-research-digital-trade-finance-gap-africa|2026-05-01-afdb-trade-finance-supply-africa-post-covid
XCA,XCA-capacity.training-iai-cameroun,Capacity and inclusion,capacity.training,African Institute of Informatics (IAI-Cameroun),Implemented,2026-08-04,Not held,"Operating as an inter-state training institution, with the regional commission opening collaboration on education and digital skills (2026-08)",2026-08-04-eccas-iai-cameroun-digital-transformation-visit
XCA,XCA-include.access-refugee-economic-inclusion,Capacity and inclusion,include.access,Economic inclusion of refugees in Central Africa,Implemented,2024-01-01,Not held,"Diagnosed under the regional inclusive and resilient value chains project, following a private-sector-for-refugees framework (2024)",2024-01-01-unlocking-economic-power-of-refugees-in-central-africa
XCA,XCA-gov.regional-cameroon-chad-digital-agreement,Institutions and mandates,gov.regional,Cameroon-Chad digital cooperation agreement,Implemented,2025-05-16,Not held,Concluded between the two communications ministries as a bilateral step inside the region's digital integration (2025-05),2025-05-16-cameroon-chad-digital-cooperation-agreement-techreviewafrica
XCA,XCA-gov.regional-eccas-remittance-harmonisation,Institutions and mandates,gov.regional,Regional harmonisation of remittance policies (ECCAS),In development,2025-04-01,Not held,"Country diagnostics on remittance policy and its regional harmonisation, on data through November 2023 (2025-04)",2025-04-01 Regional Harmonization of Remittance Policies in ECCAS - Burundi
XCA,XCA-gov.protect-cemac-consumer-protection-regulation,Instruments and harmonisation,gov.protect,CEMAC Regulation 01/20 on protection of banking consumers,Implemented,2020-07-03,Not held,"Community consumer-protection rules for users of banking, microfinance and payment services across the six member states: fair treatment, information and transparency duties, contractual balance, data-protection duties, complaint-handling and mediation",2020-07-03-cemac-reglement-01-20-protection-consommateurs
