deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
tza-2026-019-1006,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,019,019 - The Office of the Solicitor General,019,The Office of the Solicitor General,10,Administration,1006,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The The Office of the Solicitor General's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,1035408000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 019, Programme 10, Subvote 1006, Total of Subvote, column 2026/2027 Estimates, PDF p. 153-154",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,14 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-024-1007,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,024,024 - The Tanzania Cooperative Development Commission,024,The Tanzania Cooperative Development Commission,10,Administration,1007,Information Communication Technology,,printed,printed,programme,Information Communication Technology,The The Tanzania Cooperative Development Commission's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,888385745,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 024, Programme 10, Subvote 1007, Total of Subvote, column 2026/2027 Estimates, PDF p. 194",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,19 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-027-1006,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,027,027 - Office of Registrar of Political Parties,027,Office of Registrar of Political Parties,10,Administration,1006,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The Office of Registrar of Political Parties's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,336912000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 027, Programme 10, Subvote 1006, Total of Subvote, column 2026/2027 Estimates, PDF p. 210",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,12 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-029-1007,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,029,029 - Ministry of Home Affairs-Prisons Services,029,Ministry of Home Affairs-Prisons Services,10,Prisons Administration,1007,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The Ministry of Home Affairs-Prisons Services's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,1363991760,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 029, Programme 10, Subvote 1007, Total of Subvote, column 2026/2027 Estimates, PDF p. 254",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,9 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-030-1005,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,030,030 - President's Office and Cabinet Secretariat,030,President's Office and Cabinet Secretariat,10,Administration,1005,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The President's Office and Cabinet Secretariat's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,805866000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 030, Programme 10, Subvote 1005, Total of Subvote, column 2026/2027 Estimates, PDF p. 272",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,17 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-031-1007,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,031,031 - Vice President's Office,031,Vice President's Office,10,Administration,1007,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The Vice President's Office's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,1160441000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 031, Programme 10, Subvote 1007, Total of Subvote, column 2026/2027 Estimates, PDF p. 280-281",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,14 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-032-4002,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,032,032 - President's Office-Public Service Management and Good Governance,032,President's Office-Public Service Management and Good Governance,40,Management Information,4002,Management Information System Division,,printed,printed,programme,Management Information System Division,"The public service ministry's management information systems division, the whole of its Management Information programme.",dpi.mis,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,1308624080,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 032, Programme 40, Subvote 4002, Total of Subvote, column 2026/2027 Estimates, PDF p. 291",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,10 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-033-1007,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,033,033 - President's Office - Ethics Secretariat,033,President's Office - Ethics Secretariat,10,Administration,1007,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The President's Office - Ethics Secretariat's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,710364000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 033, Programme 10, Subvote 1007, Total of Subvote, column 2026/2027 Estimates, PDF p. 296-297",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,12 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-034-1016,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,034,034 - Ministry Of Foreign Affairs and East Africa Cooperation,034,Ministry Of Foreign Affairs and East Africa Cooperation,10,Administration,1016,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The Ministry Of Foreign Affairs and East Africa Cooperation's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,1241976000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 034, Programme 10, Subvote 1016, Total of Subvote, column 2026/2027 Estimates, PDF p. 311",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,14 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-035-1006,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,035,035 - The National Prosecutions Services,035,The National Prosecutions Services,10,Administration,1006,ICT and Information Unit,,printed,printed,programme,ICT and Information Unit,The The National Prosecutions Services's combined ICT and information unit.,dpi.govtech,partial,"Named as a combined ICT and information unit; the information half is public communication, and the subvote prints one budget for both.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,789762000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 035, Programme 10, Subvote 1006, Total of Subvote, column 2026/2027 Estimates, PDF p. 342",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,16 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-037-1008,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,037,037 - Prime Minister's Office,037,Prime Minister's Office,10,Administration,1008,Management Information System Unit,,printed,printed,programme,Management Information System Unit,The Prime Minister's Office's management information systems unit: its in-house ICT function.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,550737000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 037, Programme 10, Subvote 1008, Total of Subvote, column 2026/2027 Estimates, PDF p. 367",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,18 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-040-1005,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,040,040 - The Judiciary Fund,040,The Judiciary Fund,10,Administration,1005,"Information, Communication and Technology Unit",,printed,printed,programme,"Information, Communication and Technology Unit",The The Judiciary Fund's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,4832613492,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 040, Programme 10, Subvote 1005, Total of Subvote, column 2026/2027 Estimates, PDF p. 388",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,14 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-041-1007,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,041,041 - Ministry of Constitutional and Legal Affairs,041,Ministry of Constitutional and Legal Affairs,10,Administration,1007,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The Ministry of Constitutional and Legal Affairs's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,1413792000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 041, Programme 10, Subvote 1007, Total of Subvote, column 2026/2027 Estimates, PDF p. 416-417",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,18 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-042-1003,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,042,042 - The National Assembly Fund,042,The National Assembly Fund,10,Administration,1003,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The The National Assembly Fund's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,3623340000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 042, Programme 10, Subvote 1003, Total of Subvote, column 2026/2027 Estimates, PDF p. 424",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,23 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-043-1009,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,043,043 - Ministry of Agriculture,043,Ministry of Agriculture,10,Administration,1009,Management Information Systems Unit,,printed,printed,programme,Management Information Systems Unit,The Ministry of Agriculture's management information systems unit: its in-house ICT function.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,924295000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 043, Programme 10, Subvote 1009, Total of Subvote, column 2026/2027 Estimates, PDF p. 439",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,16 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-044-1007,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,044,044 - Ministry of Industry and Trade,044,Ministry of Industry and Trade,10,Administration,1007,Management Information System,,printed,printed,programme,Management Information System,The Ministry of Industry and Trade's management information systems unit: its in-house ICT function.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,636569000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 044, Programme 10, Subvote 1007, Total of Subvote, column 2026/2027 Estimates, PDF p. 447-448",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,18 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-045-1012,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,045,045 - National Audit Office of Tanzania,045,National Audit Office of Tanzania,10,Administration,1012,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The National Audit Office of Tanzania's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,4396000612,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 045, Programme 10, Subvote 1012, Total of Subvote, column 2026/2027 Estimates, PDF p. 456",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,12 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
tza-2026-046-1008,TZA,national,,2026/27,2026-07-01,2027-06-30,gregorian,original,,046,"046 - Ministry of Education, Science and Technology",046,"Ministry of Education, Science and Technology",10,Administration,1008,"Information, Communication, Technology and E-Learning",,printed,printed,programme,"Information, Communication, Technology and E-Learning",The education ministry's combined ICT and e-learning unit.,capacity.literacy,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,924906000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2026/27, as passed, Vote 046, Programme 10, Subvote 1008, Total of Subvote, column 2026/2027 Estimates, PDF p. 464-465",2026-07-27-tza-vol-ii-ministerial-estimates-2026-27-as-passed-companion,2026-09-24,,13 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate.
