indicator_id,kind,tier,instrument,adopting_body,adopted,status,provision,fixes,reference,url,vintage,notes
gov.legislate--cybersecurity-legislation,instrument,AU,Malabo Convention ch. III,Assembly,27 Jun 2014,in force,Art. 24 national policy and strategy; Art. 25 legal measures; Art. 27 governance mechanism; Arts 29–31 offences,top,ITU GCI 2024 five pillars and five tiers,https://au.int/sites/default/files/AFRICAN%20UNION%20CONVENTION%20ON%20CYBER%20SECURITY%20AND%20PERSONAL%20DATA%20PROTECTION%20%281%29.pdf,2014,"Article numbers from the dig.watch reproduction; AU PDF not machine-readable. Continental Cybersecurity Strategy directed Feb 2024, not yet adopted"
gov.legislate--legislation-covering-digital-id,instrument,AU,DTS; AU Interop. Framework; AfCFTA DTP Art. 14 and Annex on Digital Identities,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"DTS: 99.9 % digital legal identity by 2030; Framework §4.1 harmonised enabling legal frameworks; DTP Art. 14 ""adopt or maintain digital identity systems""",target + top,ID4D Principles (2021) governance principles for rungs,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
gov.legislate--digital-payments-legislation,instrument,AU,AfCFTA DTP Art. 15 and Annex on Cross-Border Digital Payments; Malabo Art. 7,Assembly 37th Ordinary Session,Feb 2024,adopted; not in force,Art. 15 interoperability of payment systems; Art. 7 state-approved electronic payment methods,top,G20 HLPs for Digital Financial Inclusion (2016) Principle 3; CPMI–World Bank PAFI (2016),https://au.int/sites/default/files/treaties/44963-ax-ENG_Circulation_Digital_Trade_Compiled_Certified_Legal_Instruments_38thAssembly_Feb_2025_27_May2025.pdf,2024,
gov.legislate--legislation-enabling-data-interoperability,instrument,AU,DTS; AfCFTA DTP Art. 19; DPF,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,DTS framework with Implementing Acts; Art. 19 mutual recognition of e-authentication and digital identities; DPF portability,top,—,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,No AU instrument mandates a domestic data-sharing act; the draft AU Data Sharing Framework may become one
gov.legislate--ai-legislation-regulations,instrument,AU,Continental AI Strategy; DTP Annex on Emerging and Advanced Technologies,2nd Extraordinary STC-CICT,Jun 2024,adopted,"Five governance activities: amend existing laws, gap analysis, enabling framework, assessment tools, research; independent institutions; regional AI Ethics Board",rungs,"UNESCO AI Ethics Rec.; OECD AI Principles (2019, rev. 2024)",https://au.int/sites/default/files/documents/44004-doc-EN-_Continental_AI_Strategy_July_2024.pdf,2024,No dated legislative target
gov.legislate--e-commerce-legislation,instrument,AU,"Malabo ch. I; AfCFTA DTP Arts 12, 16, 27",Assembly,27 Jun 2014,in force,"Malabo Arts 2–5 scope of electronic commerce, contracts, advertising; DTP Art. 16 legal framework for electronic transactions; Art. 27 consumer protection",top,UNCTAD Cyberlaw Tracker (four areas); UNCITRAL Model Law (1996),https://au.int/sites/default/files/AFRICAN%20UNION%20CONVENTION%20ON%20CYBER%20SECURITY%20AND%20PERSONAL%20DATA%20PROTECTION%20%281%29.pdf,2014,SADC and EAC model frameworks as rungs
gov.legislate--statistics-legislation,instrument,AU,African Charter on Statistics; AU Model Statistics Law,Assembly,3–4 Feb 2009,in force,Obligation to align national law with the Charter; Art. 3 principles; STYIP Goal 19 tracks statistical legislation,top,"UN Fundamental Principles of Official Statistics, Principle 7",https://au.int/sites/default/files/treaties/36412-treaty-african_charter_on_satistics_eng.pdf,2009,The Model Law gives a clause-level checklist
gov.legislate--access-to-information-legislation,instrument,AU,ACHPR Declaration 2019; ACHPR Model Law on Access to Information (2013),"ACHPR 65th Ordinary Session, Banjul",10 Nov 2019,adopted; non-binding,Principle 26 right of access; Principle 29 proactive disclosure; Principle 34 independent oversight mechanism established by law,rungs,UNESCO SDG 16.10.2,https://achpr.au.int/en/node/902,2019,"The Model Law's clauses are the rungs: s.6 records, s.7 proactive disclosure, ss.10–11 information officers, s.12 right of access, s.25 public interest override, Part IV ss.45–64 oversight mechanism (s.53 independence), s.68 reporting"
gov.protect--data-protection-authority,instrument,AU,Malabo Arts 11–12; DPF,Assembly,27 Jun 2014,in force,"Art. 11 independent administrative authority; Art. 12 duties and powers; DPF: ""independent, funded, and effective"" DPAs",rungs,—,https://au.int/sites/default/files/AFRICAN%20UNION%20CONVENTION%20ON%20CYBER%20SECURITY%20AND%20PERSONAL%20DATA%20PROTECTION%20%281%29.pdf,2014,The DPF wording is a de-facto checklist: established · independent · funded · enforcing · full coverage. ECOWAS Art. 14 as REC rung; NADPA membership as a rung
gov.protect--national-data-protection-readiness,instrument,AU,DPF; AUC/ISOC Guidelines (2018); Malabo,Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted; non-binding,"DPF implementation sequence (formulation → domestication → M&E; ""five phases"" unverified, §6); Guidelines' 18 recommendations; Malabo Arts 13–23",rungs,Convention 108+ accession,https://au.int/sites/default/files/documents/42078-doc-DATA-POLICY-FRAMEWORKS-2024-ENG-V2.pdf,2022,Composite: ratification · law in force · DPA operating · Guidelines practices
gov.regional--regional-policy-collaboration,instrument,AU,DTS; PRIDA,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"DTS regional and continental strategies, coordinated agenda; PRIDA harmonisation track",top,—,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,"Membership of ATU, Smart Africa and the REC regulator associations are measurable rungs"
gov.regional--regional-legal-harmonisation,instrument,AU,Malabo Art. 28; DTS; AfCFTA DTP Art. 43,Assembly,27 Jun 2014,in force,Art. 28 regional harmonisation of cybercrime law and mutual legal assistance; DTS harmonised regional strategies,top,—,https://au.int/sites/default/files/AFRICAN%20UNION%20CONVENTION%20ON%20CYBER%20SECURITY%20AND%20PERSONAL%20DATA%20PROTECTION%20%281%29.pdf,2014,Ratification of Malabo and of the DTP are themselves rungs
gov.regional--shared-regional-infrastructure,system,AU,PIDA PAP 2; DTS; Smart Africa One Africa Network,Executive Council EX.CL/Dec.1108(XXXVIII) para 20,Feb 2021,adopted,PAP 2 (2021–2030) regional ICT projects; DTS regional licensing and operators' networks,top,—,https://www.au-pida.org/wp-content/uploads/2023/09/EN-NEPAD-PIDA-PAP2-Project-Prospectus-Web-1-92_81-81.pdf,2021,not verified: PAP 2 ICT project list not verified
gov.regional--cross-border-data-transfers,instrument,AU,Malabo Art. 14; DPF; AfCFTA DTP Art. 20 and Annex,Assembly,27 Jun 2014,in force,Malabo Art. 14(6)(a) adequacy-based transfers; DPF regional flow mechanism; DTP Art. 20 allow transfer subject to the Annex,top,OECD Privacy Guidelines (2013),https://au.int/sites/default/files/AFRICAN%20UNION%20CONVENTION%20ON%20CYBER%20SECURITY%20AND%20PERSONAL%20DATA%20PROTECTION%20%281%29.pdf,2014,Malabo Art. 14(6) sits under the sensitive-data heading; (b) lets the DPA authorise a transfer the adequacy rule would bar; draft AU Cross-Border Data Flow Framework validated Dec 2025
gov.standards--national-interoperability-standards,instrument,AU,DTS; AU Interop. Framework,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"DTS technical standards for G2G/G2B/G2C verification, open standards; Framework §3.3.5.3 W3C VC, ISO/IEC 29151",top,ID4D Principle 5,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,No AU instrument requires a national e-GIF
gov.standards--national-quality-standards,instrument,AU,PAQI / CAMI-20 Declaration (2013); Abuja Treaty Art. 67,Conference of Ministers of Industry,Jun 2013,adopted,"PAQI as the continental platform for standardisation, metrology, accreditation; Abuja Art. 67 Member States ""adopt a common policy on standardisation and quality assurance""",top,UNIDO Quality Policy Guiding Principles (2018); ISO 8000 / ISO/IEC 25012 for data quality,https://www.au.int/sites/default/files/documents/29820-doc-ti10434_e_original.pdf,2013,"CAMI-20 only asks Member States to join ARSO; the binding text is Abuja Treaty Art. 67. The Africa Quality Policy (STC-TIM, 3 Sep 2021) is guidance"
gov.standards--adoption-of-international-standards,instrument,AU,DTS; AU Interop. Framework; ARSO; AfCFTA Annex 6 (TBT) Art. 6(2),EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"Technology neutrality; framework ""in line with international norms""; Annex 6 Art. 6(2) State Parties ""develop and promote the adoption and/or adaption of international standards"" and ARSO standards",top,WTO TBT Art. 2.4; ISO membership class as rungs,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,"ARSO's Constitution binds ARSO (""encourage and facilitate adoption of international standards by member bodies""), not States; the State obligation is AfCFTA Annex 6 Art. 6(2)"
gov.discourse--non-governmental-contribution-to-national-policy,instrument,AU,ACDEG; Public Service Charter; DPF,Assembly,30 Jan 2007,in force,"ACDEG Arts 12, 27, 28, 30 civil society and participation; Charter Art. 2(4); Malabo Art. 24 policy ""in collaboration with stakeholders""; ACHPR Principle 17 multi-stakeholder regulation",top,OECD Rec. on Open Government (2017); OGP membership as a rung,https://au.int/en/treaties/african-charter-democracy-elections-and-governance,2007,
gov.discourse--open-discussion-of-government-policy,instrument,AU,ACHPR Declaration 2019; ACDEG; Public Service Charter,"ACHPR 65th Ordinary Session, Banjul",10 Nov 2019,adopted; non-binding,"Principles 26, 29, 34, 37, 41; ACDEG Art. 2; Charter Arts 6(3), 9; DTP Art. 38 transparency",top,UNESCO SDG 16.10.2,https://achpr.au.int/en/node/902,2019,
finance.budget--sustainable-domestic-financing-of-digital-transformation,instrument,AU,Agenda 2063 Goal 20; DTS,Executive Council EX.CL/Dec.1260(XLIV) para 4,Feb 2024,adopted,"Goal 20: capital markets ≥ 10 % of development financing, aid ≤ 25 % of 2013 level; DTS digital sovereignty fund",target (not digital-specific),Broadband Commission Target 1 (*funded* plan); Addis Ababa Action Agenda area I,https://www.nepad.org/publication/agenda-2063-second-ten-year-implementation-plan-2024-2033,2024,No AU instrument sets a share of budget for digital transformation; the budget extract can supply a figure later
finance.sustain--financial-sustainability-of-digital-systems,measure,AU,Agenda 2063 Goal 20; Addis Ababa Action Agenda area I; DTS,Executive Council EX.CL/Dec.1260(XLIV) para 4,Feb 2024,adopted,"Goal 20: aid ≤ 25 % of 2013 level in the national budget, capital markets ≥ 10 %; AAAA domestic public resources; DTS sovereignty fund",target (proxy) + Africa quintiles,"Broadband Commission Target 1 (*funded* plan); GPEDC on-budget and country-systems indicators. Dataset: Corpus's own `budgets/{ISO3}/{FY}.csv` (`finance_origin`, stages, execution)",https://www.nepad.org/publication/agenda-2063-second-ten-year-implementation-plan-2024-2033,2024,"replaces `finance.mou--strategic-relationships`, which leaves the assessment (Bill, 2026-09-22: no norm on MoUs as such at any tier, and a relationship is not a position). The value is the domestic-state share of digital expenditure with recurrent costs separated, from the budget extract; a country with only migrated placeholder rows in `budgets/` is unassessed until its country-year is read. Proposed under `finance.budget` because the subject label already covers expenditure and the evidence is the budget file; a new `finance.sustain` subject would need an OSINT taxonomy change and is the alternative"
finance.new--mobilisation-of-non-state-finance,measure,AU,DTS; Smart Africa; Agenda 2063 Goal 20,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,Sovereignty fund; Smart Africa USD 300 bn ambition; Goal 20 capital-markets share,target (continental),Addis Ababa area II,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,The continental targets do not resolve to a country figure; bands need a denominator
finance.new--development-partner-project-financing,measure,AU,Agenda 2063 Goal 20,Executive Council EX.CL/Dec.1260(XLIV) para 4,Feb 2024,adopted,Aid ≤ 25 % of 2013 level in the national budget — an inverse indicator,target,"Busan / GPEDC monitoring (use of country systems, on-budget aid)",https://www.nepad.org/publication/agenda-2063-second-ten-year-implementation-plan-2024-2033,2024,
infra.connect--mobile-penetration,measure,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"Universal access by 2030 at ≥ 6 Mb/s, device ≤ USD 100",top,"ITU UMC 2030: 100 % mobile ownership (15+), 100 % latest-technology coverage. Dataset: ITU DataHub, GSMA",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,DTS carries no penetration %; the number is the ITU's
infra.connect--internet-usage,measure,AU,Agenda 2063 STYIP; DTS,Executive Council EX.CL/Dec.1260(XLIV) para 4,Feb 2024,adopted,STYIP Moonshot 2: ≥ 6 Mb/s to 80 % of the population by 2033; DTS 100 % by 2030,target (80 % / 2033),"ITU UMC 2030: 100 % use (15+). Dataset: ITU DataHub, WDI IT.NET.USER.ZS",https://www.nepad.org/publication/agenda-2063-second-ten-year-implementation-plan-2024-2033,2024,
infra.connect--mobile-affordability,measure,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,≤ 1 US cent per MB by 2030; device ≤ USD 100,target,Broadband Commission Target 2 / UMC 2030: entry-level broadband < 2 % of GNI per capita. Dataset: ITU price baskets,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,The 2 %-of-GNI rule is the usable band; the DTS cent-per-MB figure is the continental one
infra.connect--national-fibre-backbone,system,AU,DTS; PIDA PAP 2; DPF §5.3.1,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"National master plans; regional backbone projects; DPF backbone investment, rights of way, sharing",top,"Datasets: ITU broadband maps, Africa Bandwidth Maps",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,No km or % target at any tier
infra.connect--international-internet-bandwidth,measure,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"""a minimum of two international connections"" per Member State",target (≥ 2 landings),"ITU international bandwidth per user (DataHub, TeleGeography)",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,Redundancy is the continental norm; capacity has no target
infra.connect--internet-exchange-points,system,AU,DTS; AXIS; DPF §5.3.1,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"Establish IXPs, remove barriers; AXIS national and regional IXPs",top,"Datasets: PCH, Af-IX, ISOC Pulse",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,No count or local-traffic target verified
infra.connect--satellite-broadband-licensing-and-availability,instrument,continental,ATU-R Rec. 005-0 (2021); African Space Strategy (2016),African Telecommunications Union,Jul 2021,adopted,"Blanket licensing of user terminals, mutual recognition, streamlined NGSO authorisation",rungs (individual → blanket → mutual recognition),"ATU-R Report 004-0 (Aug 2022, Rev1 2023): of 30 administrations surveyed in 2020, about 57 % blanket-license two-way VSATs, 12 accept foreign type approval, 25 have no mutual recognition agreement, 2 report a regional framework",https://atuuat.africa/wp-content/uploads/2021/08/En_ATU-R-Recommendation-005-0.pdf,2021,
infra.store--local-data-centre-capacity-all-providers,measure,AU,DTS; Smart Africa DC and Cloud Blueprint,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,DTS ≥ 30 % of content hosted in Africa by 2030; Blueprint adopts Uptime Tier I–IV,target + rungs,"Datasets: ADCA, Xalam, Data Center Map (none official)",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
infra.store--local-data-centre-capacity-national-providers,measure,AU,DPF §5.3.1; Smart Africa Blueprint,Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted; non-binding,Sovereign hosting of sensitive data; funding models,top,As above; ownership coded by hand,https://au.int/sites/default/files/documents/42078-doc-DATA-POLICY-FRAMEWORKS-2024-ENG-V2.pdf,2022,No numeric target
infra.store--off-site-backup-capacity,system,continental,Smart Africa Blueprint,Kigali,Oct 2013,adopted,"24/7 availability, dual power, DR via cloud",top,ISO 22301; GTMI Core Government Systems Index,https://smartafrica.org/wp-content/uploads/2019/03/Design-English-13.03.pdf,2013,No AU treaty or strategy provision found
infra.energy--sufficient-energy-and-water-for-data-centres,measure,continental,Smart Africa Blueprint,Kigali,Oct 2013,adopted,PUE as the efficiency metric; dual lines and backup,top,"ISO/IEC 30134-2 (PUE), 30134-9 (WUE)",https://smartafrica.org/wp-content/uploads/2019/03/Design-English-13.03.pdf,2013,No threshold at any tier; Corpus bands
infra.energy--grid-reliability,measure,AU,AfSEM plans and Continental Power System Master Plan (2023),"STC on infrastructure and energy, Zanzibar",15 Sep 2023,adopted,"""secure, reliable, affordable"" electricity; market by 2040",top,"SDG 7.1; datasets: World Bank Enterprise Surveys, RISE",https://www.nepad.org/continental-master-plan,2023,No SAIDI/SAIFI target
infra.energy--rural-electrification,measure,AU,Agenda 2063 STYIP; Mission 300,Executive Council EX.CL/Dec.1260(XLIV) para 4,Feb 2024,adopted,STYIP: 80 % of households by 2033; Mission 300: 300 m people by 2030,target,"SDG 7.1.1; dataset: Tracking SDG7, WDI rural access",https://www.nepad.org/publication/agenda-2063-second-ten-year-implementation-plan-2024-2033,2024,
infra.capacity--robustness-of-government-hardware-and-software,system,AU,Public Service Charter Art. 8; DTS,Assembly,31 Jan 2011,in force,Modern technologies to support service delivery; mission-critical hosting,top,GTMI 2025 CGSI and groups A–D,https://au.int/sites/default/files/treaties/36386-treaty-charter_on_the_principles_of_public_service_and_administration.pdf,2011,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,instrument,AU,Public Service Charter Art. 21; DPF,Assembly,31 Jan 2011,in force,Systematic capacity development; skills in state institutions,top,GTMI Enablers Index,https://au.int/sites/default/files/treaties/36386-treaty-charter_on_the_principles_of_public_service_and_administration.pdf,2011,
infra.cybersec--national-cybersecurity-readiness,instrument,AU,Malabo ch. III; DTS,Assembly,27 Jun 2014,in force,"National policy, strategy, laws, institutions; DTS complete set of legislation",top,ITU GCI 2024 tiers; Oxford CMM five stages,https://au.int/sites/default/files/AFRICAN%20UNION%20CONVENTION%20ON%20CYBER%20SECURITY%20AND%20PERSONAL%20DATA%20PROTECTION%20%281%29.pdf,2014,Composite; GCI tiers are the natural rungs
dpi.exchange--national-data-exchange-system,system,AU,DTS; DPF §5.3; AU Interop. Framework §3.2.1,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,Reuse of core registers in a secure exchange environment; integrated national data systems,top,"GTMI I-3 interoperability framework, I-4 service bus; UN DPI Safeguards",https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
dpi.exchange--use-of-digital-id-in-other-systems,system,AU,"AU Interop. Framework; AfCFTA DTP Arts 14, 19",Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted,"Use cases in finance, health, social protection; mutual recognition",top,ID4D Principle 4; GTMI 2025 digital-ID-use sub-indicator,https://au.int/sites/default/files/documents/43393-doc-AU_Interoperability_framework_for_D_ID_English.pdf,2022,
dpi.exchange--interoperability-of-health-systems,system,continental,Africa CDC HIE Guidelines and Standards (2023); Smart Africa Digital Health Blueprint (2025),Africa CDC Digital Transformation Strategy,6 Mar 2023,adopted,Policy → standards → use cases; Africa Health Data Space,rungs,WHO Global Strategy on Digital Health,https://africacdc.org/download/digital-transformation-strategy/,2023,
dpi.exchange--interoperability-of-education-systems,system,AU,AU Digital Education Strategy (2022),AUC-ESTI,Sep 2022,adopted,"SO4: EMIS 1.0 → EMIS 2.0 individual-level, ID-linked",rungs,UIS/GPE EMIS guide (2020),https://au.int/sites/default/files/documents/42416-doc-1._DES_EN_-_2022_09_14.pdf,2022,not verified: DES adopting organ not verified
dpi.exchange--interoperability-of-social-protection-systems,system,AU,Protocol on Social Protection and Social Security (2022),Assembly 35th Ordinary Session,6 Feb 2022,adopted; not in force,Art. 23 social registries and MIS; Art. 4 portability,top,World Bank social registries typology (2017) for rungs,https://au.int/sites/default/files/treaties/42736-treaty-PROTOCOL_TO_THE_AFCHPR_ON_THE_RIGHTS_ON_CITIZEN_TO_SOCIAL_PROTECTION_AND_SECURITY_E.pdf,2022,Protocol not in force
dpi.id--robustness-of-system,system,AU,AU Interop. Framework,Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted,Technical integrity; §3.3.4.1 Levels of Assurance (definitions deferred to Phase 2),top,ID4D Principle 3; FATF Digital ID guidance (2020) assurance levels,https://au.int/sites/default/files/documents/43393-doc-AU_Interoperability_framework_for_D_ID_English.pdf,2022,
dpi.id--registration-of-entire-population,measure,AU,DTS,EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,99.9 % digital legal identity by 2030,target,SDG 16.9; ID4D Global Dataset,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,
dpi.id--national-maintenance-of-id-and-credentials-systems,instrument,AU,AU Interop. Framework Principle 7; DPF,Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted,"Open standards, no vendor or technology lock-in; state sovereignty",top,ID4D Principles 5 and 7,https://au.int/sites/default/files/documents/43393-doc-AU_Interoperability_framework_for_D_ID_English.pdf,2022,
dpi.id--authentication,system,AU,"AU Interop. Framework §3.2, §3.4; AfCFTA DTP Arts 8, 9, 19",Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted,"Three layers, three phases; e-authentication laws; mutual recognition",rungs,FATF 2020; NIST 800-63,https://au.int/sites/default/files/documents/43393-doc-AU_Interoperability_framework_for_D_ID_English.pdf,2022,
dpi.id--digital-id-from-birth,system,AU,DTS; SDG 17.19.2(b); AU No Name Campaign declaration (2020),EX.CL/Dec.1074(XXXVI) para 12,Feb 2020,adopted,"Legal identity ""as part of a civil registration process""; 100 % birth and 80 % death registration (SDG 17.19.2(b), restated in CRMC/6 working papers); universal birth registration by 2030 (No Name Campaign)",target,UN Handbook on CRVS and Identity Management (2022) para 29,https://au.int/sites/default/files/documents/38507-doc-DTS_for_Africa_2020-2030_English.pdf,2020,There is no CAMCR 2022 declaration: only CAMCR-6's expert segment met (Oct 2022) and the ministerial segment was postponed; the 100 % / 80 % figures are SDG 17.19.2(b)
dpi.id--interoperability-of-birth-registration-and-digital-id,system,AU,"AU Interop. Framework §2.2; CAMCR 2019 (Lusaka Declaration paras 3, 7)",Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted,"Builds on APAI-CRVS; digitisation for interoperability between identity management and CRVS systems (para 3); harmonised law ""including interoperability of systems"" (para 7)",top,UN Handbook 2022 para 23,https://au.int/sites/default/files/documents/43393-doc-AU_Interoperability_framework_for_D_ID_English.pdf,2022,Lusaka Declaration paras 3 and 7 (verified)
dpi.id--use-by-other-systems,system,AU,AU Interop. Framework; DPF,Executive Council EX.CL/Dec.1144(XL) para 37,2–3 Feb 2022,adopted,Use cases; ID enabling secure online transactions,top,ID4D Principle 4,https://au.int/sites/default/files/documents/43393-doc-AU_Interoperability_framework_for_D_ID_English.pdf,2022,
