indicator_id,method,direction,cuts,provisional,cut_note,unit,value,record,band
infra.energy--grid-reliability,quintiles,lower,10|5|2,1,provisional,,"power interruptions per month — SAIFI ÷ 12 where the regulator or utility publishes SAIFI, otherwise the number of outages in a typical month reported by firms. **Direction** lower.",the regulator's or utility's published SAIFI; **reference** World Bank Enterprise Surveys (survey year varies by country and prints as `value_year`).,"Africa quintiles for stages 1–4, with provisional cuts (the Enterprise Surveys cover most of the continent, so the quintiles should cut at the baseline); stage 5 needs the AfSEM condition."
infra.energy--rural-electrification,target,higher,27|53|80|95,0,,,"rural population with access to electricity, per cent (SDG 7.1.1, rural). **Direction** higher.","a national household survey or census, or the rural-electrification agency's published figure, over the reference; **reference** Tracking SDG7 and WDI EG.ELC.ACCS.RU.ZS (latest release; CC to record the year).","target, T = 80. The STYIP's figure is national households; the row applies it to the rural population, which changes what is counted, not who set the bar (the rural-schools ruling)."
dpi.id--registration-of-entire-population,target,higher,33|67|99.9,0,stage 5 is the civil-registration condition,,"persons holding a unique national identity number or credential, all ages, per cent of the population. **Direction** higher. The DTS counts ""people in Africa"", not adults, so a system that enrols only from age 16 caps its share near the adult share of the population; that is the DTS's point — legal identity from birth — and the qualifier says where the cap applies.","the identity authority's published count of unique persons enrolled (not cards printed), over the population from the statistics office or UN World Population Prospects; a count above the population is capped at 100 % and the qualifier says so. **Reference**: World Bank ID4D Global Dataset and Findex 2025 ID ownership (adults, a different base — qualifier only).","target, T = 99.9."
dpi.pay--population-uptake,target,higher,26|53|79,0,stage 5 adds digital-payment use of 79 % or more,,"adults 15+ with an account at a financial institution or a mobile-money provider, per cent, with adults who made or received a digital payment in the past year as the secondary figure. **Direction** higher.","a national financial-inclusion survey (FinScope or the central bank's own demand-side survey) over Findex; a central bank's count of accounts is not a count of people and goes in the qualifier. **Reference**: Global Findex 2025 (2024 data), frozen as the vintage: global account ownership 79 %.","target, T = 79."
tech.industry--national-capacity-in-dt-related-production,quintiles,higher,0.05|0.2|0.5,1,provisional,per cent of GDP,"ICT service exports (computer and telecommunications services, balance of payments) as a share of GDP, with ICT goods assembled or manufactured in the country (a plant in production, on record) as the stage-5 condition. **Unit** per cent of GDP · **direction** higher. ISIC J value added was the first draft's value; no reference carries it (the UN aggregates fold section J into *other activities*), so it would have read *No evidence* nearly everywhere. Exports read production capacity in the part of the sector that sells beyond its own economy, which is where the DTS pillar's software, hardware and outsourcing production shows. **Secondary**: ICT service exports as a share of service exports (WDI `BX.GSR.CCIS.ZS`), which reads the composition of service trade and runs high wherever other service exports are small, so it is not the banded value. ICT services in the balance of payments include telecommunications transit; where a cable-transit hub's figure is mostly transit, the qualifier says so.","the central bank's balance-of-payments publication, over the reference; **reference** WDI `BX.GSR.CCIS.CD` (ICT service exports, current US$, from UNCTAD and the IMF) over WDI GDP in current US$ (`reference/denominators.csv`). Read through the World Bank API on 2026-09-24: 49 of the 54 countries carry a figure, 39 of them for 2024 or 2025.","Africa quintiles for stages 1–4, with provisional cuts; stage 5 needs the DTS production condition. With 49 figures the quintiles cut at the baseline. The provisional cuts were tested on those figures: 13 · 14 · 11 · 11 countries on stages 1–4."
capacity.literacy--digital-literacy-civil-service,quintiles,higher,0.1|10|40,1,provisional; stage 5 is the Charter condition,,"civil servants who have completed a government digital-skills programme or certification, per cent of the civil service headcount. **Direction** higher.","the civil-service body's or digital agency's published completion figure over its published headcount; **reference** GTMI 2025 digital-skills indicators (categorical — qualifier only). Coverage will be thin, and most countries will read *No evidence* until the base holds a figure.","provisional fixed cuts at 0 · 10 · 40 until fifteen countries hold a figure, then Africa quintiles for stages 1–4; stage 5 needs the Charter condition."
capacity.literacy--digital-literacy-general-population,target,higher,27|53|80,0,stage 5 adds intermediate skills above 50 %,,"individuals aged 15+ with basic digital skills, per cent — SDG 4.4.1 on the ITU's 2025 method (at least one activity in each of five skill areas) — with intermediate skills as the secondary figure. **Direction** higher.",the statistics office's household survey module; **reference** ITU DataHub SDG 4.4.1 (few African countries report — CC to record which and the year).,"target, T = 80. The STYIP's figure is primary completers with minimum proficiency; no country measures that cohort, so the row applies it to the adult population the ITU measures (note for the review)."
capacity.training--dt-related-training-in-secondary-education,target,higher,17|33|50,0,stage 5 is the curriculum condition,,"secondary schools with internet access for pedagogical purposes, per cent (SDG 4.a.1). **Direction** higher.",the education ministry's school census or EMIS; **reference** UIS SDG 4.a.1 (latest release; CC to record the year).,"target, T = 50 (the DES's 2027 figure for all institutions, applied to secondary schools)."
capacity.training--dt-related-university-facilities-and-qualifications,target,higher,13|27|40,0,stage 5 is the NREN condition,,"tertiary graduates from STEM programmes (ISCED-F 05–07, ICT 06 included), per cent of all tertiary graduates, with the ICT share (ISCED-F 06) as the secondary figure. **Direction** higher.",the higher-education ministry's or statistics office's graduate statistics; **reference** UIS (latest release; CC to record the year).,"target, T = 40."
capacity.training--graduates-entering-dt-ecosystem,quintiles,higher,0.3|0.6|1.0,1,provisional,,"employment in information and communication (ISIC Rev. 4 section J), per cent of total employment. **Direction** higher. The STYIP's 40 %-STEM figure is the university row's; using it here would count one fact twice, so this row reads absorption into the sector instead.",the statistics office's labour force survey; **reference** ILOSTAT (latest release; CC to record the year).,"Africa quintiles for stages 1–4, with provisional cuts; stage 5 needs the STYIP youth-employment figure."
include.access--gender-equity,quintiles,lower,30|20|10|2,1,provisional for stages 2–4,,"gender gap in internet use — (men's rate − women's rate) ÷ men's rate, per cent. **Direction** lower.","a national household survey with sex-disaggregated internet use; **reference** ITU sex-disaggregated series, with GSMA's Mobile Gender Gap (mobile internet, 2026) in the qualifier only — a different definition.","Africa quintiles for stages 1–4, with provisional cuts; stage 5 is parity."
include.divides--bridging-of-digital-divides,fixed,higher,0.25|0.5|0.8|0.98,0,,,rural internet use as a ratio of urban internet use (rural rate ÷ urban rate). **Direction** higher.,a national household survey with urban and rural internet use; **reference** ITU urban/rural series (latest release; CC to record the year).,"fixed; stage 5 is the DTS end state of access ""wherever they live""."
