slug,display,basis,sources
africa-mobile-networks,Africa Mobile Networks,full,2
africa-prudential,Africa Prudential,full,1
africa-start-up-conference-2026,Africa Start-up Conference,partial,1
africa-supply-chain-excellence-awards,Africa Supply Chain Excellence Awards,full,1
africa-tech-invest,Africa Tech Invest,full,1
africa-techup-tour,Africa TechUp Tour,full,1
africa-the-big-deal,Big Deal,full,3
africa50,Africa50,full,5
africa50-infrastructure-acceleration-fund,Africa50 Infrastructure Acceleration Fund,full,3
africacert,AfricaCERT,full,1
africagrow,AfricaGrow,full,4
african-bank,African Bank,full,1
african-broadband-maps,Africa Broadband Maps,full,1
african-center-for-economic-transformation,African Center for Economic Transformation,full,2
african-center-for-equitable-development,African Center for Equitable Development,full,1
african-centre-for-biodiversity,African Centre for Biodiversity,full,2
african-commission,African Commission,full,4
african-development-bank,African Development Bank,full,9
african-digital-corridor,African Digital Corridor,full,1
african-digital-rights-network,African Digital Rights Network,full,2
african-digital-week,African Digital Week,full,1
african-economic-research-consortium,African Economic Research Consortium,full,1
african-editors-forum,African Editors’ Forum,full,1
african-energy-chamber,African Energy Chamber,full,1
african-financial-inclusion-policy-initiative,African Financial Inclusion Policy Initiative,full,1
african-financial-stability-committee,African Financial Stability Committee,full,2
african-geospace,African Geospace,full,1
african-guarantee-fund,African Guarantee Fund,full,1
african-guidelines-data-access,Data Access,partial,1
african-humanitarian-ai-citation-index,African Humanitarian AI Citation Index,full,2
african-infrastructure-investment-fund-4,African Infrastructure Investment Fund,full,1
african-institute-for-mathematical-sciences,African Institute for Mathematical Sciences,full,1
african-internet-exchange-system-axis,African Internet Exchange System,partial,2
african-internet-governance-forum,African Internet Governance Forum,full,1
african-island-states-climate-commission,African Island States Climate Commission,full,1
african-ixp-association,African IXP Association,full,1
african-open-science-platform,African Open Science Platform,full,1
african-organisation-for-standardisation,African Organisation for Standardisation,full,3
african-peer-review-mechanism,African Peer Review Mechanism,full,1
african-science-granting-councils-zimbabwe,African Science Granting Councils,full,1
african-space-agency,African Space Agency,full,2
african-startup-conference,African Startup Conference,full,1
african-tax-administration-forum,African Tax Administration Forum,full,9
african-tech-startups-funding-report,African Tech Startups Funding Report,full,2
african-telecommunications-union,African Telecommunications Union,full,8
african-union,African Union,full,8
african-union-commission,African Union Commission,full,7
africanenda,AfricaNenda,full,9
africell,Africell,full,9
africell-angola,Africell Angola,full,1
africell-rdc,Africell,full,5
africinvest,AfricInvest,full,3
africinvest-financial-inclusion-vehicle,AfricInvest Financial Inclusion Vehicle,full,1
africloud,AFRICLOUD,full,1
africtivistes,AfricTivistes,full,1
afriex,Afriex,full,1
afrifiber,Afrifiber,full,1
afrigo,AfriGo,full,1
afrikrea,Afrikrea,full,1
afrilabs,AfriLabs,full,10
afriland-first-bank,Afriland First Bank,full,1
afrimoney,Afrimoney,full,2
afrinic,AFRINIC,full,10
afrinic-board,AFRINIC Board,full,1
afrinic-governance-committee,Governance Committee. AFRINIC,full,1
afrinic-nomination-committee,Nomination Committee,partial,1
afripol,AFRIPOL,full,1
afristat,AFRISTAT,full,6
afritac-centre,AFRITAC Centre,full,1
afritac-east,AFRITAC East,full,1
afritech,Afritech,full,5
afriwise,Afriwise,full,1
afro-mobile,Afro Mobile,full,1
afrobarometer,Afrobarometer,full,10
afrosai-e,AFROSAI-E,full,3
after-access,Access,full,10
after-access-survey,African After Access Survey,full,1
afur,African Forum for Utility Regulators,acronym,1
afya-tek,Afya-Tek,full,1
aganor,AGANOR,full,1
agatour-gabon,Agatour,full,1
agefau,AGEFAU,full,5
agefp-guinea-bissau,AGEFP,full,1
agence-du-numerique,Agence du Numerique,full,1
agence-meteorologique-nationale-djibouti,Agence Nationale,partial,1
agence-moissi-comores,Moissi des Comores,partial,1
agency-for-social-protection-seychelles,Agency for Social Protection,full,1
agenor-gnq,AGENOR,full,1
ageos,AGEOS,full,5
ager,AGER Statute,full,1
ager-guinea,L'AGER,full,1
ager-stp,ONU. A AGER,full,1
agetic,AGETIC,full,3
agnes-kiragga,Agnes Kiragga,full,1
ago-christian-kodia,Ago Christian Kodia,full,2
agricultural-bank-of-sudan,Agricultural Bank of Sudan,full,1
agricultural-information-management-system-sadc,Agricultural Information Management System,full,1
agricultural-marketing-authority-zimbabwe,Agricultural Marketing Authority,full,1
agricultural-transformation-institute-ethiopia,Ethiopian Agricultural Transformation Institute,full,1
agriculture-and-food-authority-kenya,Agriculture and Food Authority,full,1
agriflex,Agriflex,full,1
agritex-zimbabwe,AGRITEX,full,1
agrofresh-ug,Agrofresh Ug,full,1
agt-angola,PCA da AGT,full,2
aguiduten,AGUIDUTEN,full,1
aguinaldo-jaime,Aguinaldo Jaime,full,1
ahavaplan,Ahavaplan,full,1
ai-africa-xprize,AI Africa XPrize,full,1
ai-ambassadors-program-egypt,AI Ambassadors Program’ URL,full,1
ai-analytics-intelligence,Analytics Intelligence,acronym,1
ai-tech-drc,AI.Tech,full,1
ai-unipod-ethiopia,AI Unipod,full,1
ai-unit-mauritius,AI Unit,full,1
ai4d-africa,AI4D Africa,full,1
ai4good,AI4GOOD,full,1
aial-group-limited,AIAL. Il,full,1
aicto,Arab Information and Communication Technologies Organization,acronym,1
aiddata,AidData,full,2
aiib,Asian Infrastructure Investment Bank,acronym,4
airbus,Airbus,full,2
airbus-defence-and-space,Airbus Defence and Space,full,1
aircas,AIRCAS,full,2
airports-of-mauritius,Airports of Mauritius,full,1
airqo,AirQo,full,1
airsmat,AirSmat,full,2
airtel-africa,Airtel Africa,full,6
airtel-africa-foundation,Airtel Africa Foundation,full,4
airtel-chad,Airtel Chad,full,2
airtel-congo,Airtel Congo,full,4
airtel-gabon,Airtel Gabon,full,7
airtel-kenya,Airtel Kenya,full,1
airtel-madagascar,Airtel Madagascar,full,4
airtel-malawi,Airtel Malawi,full,4
airtel-mobile-commerce-bv-amc,Airtel Mobile Commerce BV,partial,1
airtel-money,Airtel Money,full,11
airtel-money-chad,Airtel Money,full,1
airtel-money-niger,Airtel Money Niger,full,1
airtel-money-tanzania,Airtel Money Tanzania,full,1
airtel-money-uganda,Airtel Money Uganda,full,2
airtel-money-zambia,Airtel Money Zambia,full,1
airtel-niger,Airtel Niger,full,1
airtel-nigeria,Airtel Nigeria,full,6
airtel-rdc,Airtel RDC,full,2
airtel-rwanda,Airtel Rwanda,full,1
airtel-tanzania,Airtel Tanzania,full,5
airtel-uganda,Airtel Uganda,full,9
airtel-zambia,Airtel Zambia,full,1
aisca-foundation,AISCA Foundation,full,1
aisha-dabo,Aisha Dabo,full,1
aisight-ai,AiSight.ai,full,1
aisino-corporation,Aisino,full,1
akademiya2063,AKADEMIYA2063,full,1
akamai,Akamai,full,1
akiba-international,AKIBA International,full,1
akieni-academy,Akieni Academy,full,1
akili-ai,Akili AI,full,1
akros,Akros,full,1
aktivco,Aktivco,full,1
akums-drugs-and-pharmaceuticals,Akums Drugs and Pharmaceuticals,full,1
akuna-group,Akuna Group,full,1
akwa-ibom-state-government,Akwa Ibom State Government,full,2
al-ahram-taqa-burkina,Al Ahram Taqa Burkina,full,1
al-asjad-smart-digital-solutions,Al-Asjad Digital and Smart Solutions Ltd,full,1
al-bayrak,Al-Bayrak,full,1
al-butana-university,Al-Butana University,full,1
al-itissal-al-jadeed,Al Itissal Al Jadeed,full,2
al-jisr-casablanca,Al Jisr Casablanca URL,full,1
al-mada-foundation,Mada Foundation,full,1
al-mada-ventures,Al Mada Ventures,full,1
al-madina,Al Madina,full,3
al-neelain-university,Al-Neelain University,full,1
al-salam-bank-algeria,Al Salam Bank Algeria,full,1
alafia-com,Alafia.com,full,1
alain-kouadio,M. Alain Kouadio,full,1
alamine-ousmane-mey,Alamine Ousmane Mey,full,1
alan,Alan and Tanel,full,1
albert-siaw-boateng,Albert Siaw-Boateng,full,1
alcatel-submarine-networks,Alcatel Submarine Networks,full,3
alchemed,Alchemed. Cette,full,1
ale-abdel-farid,Ale Abdel Farid,full,1
alecso,ALECSO,full,1
alexandra-abrahams,DA MP Alexandra Abrahams,full,1
algebra-ventures,Algebra Ventures,full,2
algeria-ministry-of-higher-education-and-scientific-research,Higher Education and Scientific Research,partial,1
algeria-ministry-of-vocational-training-and-education,Ministry of Vocational Training and Education,full,1
algeria-post,Algeria Post,full,1
algeria-tunisia-joint-technical-commission,Tunisian Joint Technical Commission,full,1
algeria-venture,Algeria Venture,full,4
algerian-niger-joint-grand-committee-for-cooperation,Algerian-Niger Joint Grand Committee for Cooperation,full,1
algerian-space-agency,Algerian Space Agency,full,1
algerian-startup-fund,Algerian Startup Fund,full,1
algerie-telecom,Algerie Telecom,full,1
algiers-declaration,Algiers Declaration,full,1
algon-nigeria,ALGON,full,1
ali-badaoui,Ali Badaoui,full,2
ali-mohammed-al-khouri,Dr. Ali Mohammed Al Khouri,full,1
alibaba,Alibaba,full,3
alibaba-cloud,Alibaba Cloud,full,2
alice-munyua,Alice Munyua,full,2
alinah-fosi,Alinah Fosi,full,1
alioune-sall,Alioune Sall,full,2
alison-gillwald,Alison Gillwald,full,4
alistair-pugin,Alistair Pugin,full,1
allawee,Allawee,full,1
allforland,ALLFORLAND,full,1
alliance-bioversity-ciat,Alliance Bioversity International,partial,1
alliance-for-financial-inclusion,Alliance for Financial Inclusion,full,1
alliance-for-innovative-regulation-institute,Alliance for Innovative Regulation Institute,full,1
alliance-of-sahel-states,Alliance of Sahel States,full,2
alliance4ai,Alliance4AI,full,1
alliancedfa,AllianceDFA,full,1
almadar-aljadid,Almadar Aljadid,full,2
alphacode-venture-partners,AlphaCode Venture Partners,full,4
alsat-3a,Alsat-3A,full,1
alsat-3b,Alsat-3B,full,1
alton,Association of Licensed Telecoms Operators of Nigeria,acronym,2
altron,Altron,full,1
amaco-energy-group,Amaco Energy Group,full,1
aman-consumer-finance,AMAN Consumer Finance,full,1
amaro-figueiredo,Amaro Figueiredo,full,1
amazon,Amazon,full,1
amazon-web-services,Amazon Web Services,full,9
amcham-ghana,AmCham Ghana,full,2
amcham-kenya,AmCham,full,1
amcoa,AMCOA,full,1
amcon,AMCON,full,2
amdie,AMDIE,full,1
amen-program-tunisia,AMEN Program,full,1
america-first-global-health-strategy,America First Global Health Strategy,full,4
american-chamber-of-commerce-zimbabwe,American Chamber of Commerce,full,1
american-tower-corporation,American Tower Corporation,full,2
amhara-bureau-of-revenue,Amhara Bureau of Revenue,full,1
amilcar-cabral-submarine-cable,Amilcar Cabral Submarine Cable,full,1
aminata-zerbo-sabane,Aminata Zerbo,partial,6
amini,Amini,full,1
amlak,AMLAK,full,1
amnesty-international,Amnesty International,full,1
amnistia-internacional,Amnistia Internacional,full,1
ampersand,Ampersand,full,1
amrtp,AMRTP,full,4
amsaf,African Meteorological Satellite Applications Facility,acronym,2
anacm,ANACM,full,3
anacod3,ANACoD3,full,1
anadec-rdc,ANADEC,full,1
anaden,Anaden,full,6
anafic-guinea,ANAFIC,full,5
anagrasc-burkina-faso,ANAGRASC,full,1
anaip-burkina-faso,ANAIP,full,1
analysys-mason,Analysys Mason,full,1
anam-burkina-faso,WMO and ANAM,full,1
anambra-state-ict-agency,Anambra State ICT Agency,full,4
anamet-togo,ANAMET,full,2
anamm-mozambique,ANAMM,full,3
anamola,Anamola,full,1
anapi,ANAPI,full,1
anasa-guinea,ANASA,full,1
anats,ANATS,full,9
ancfcc,ANCFCC,full,2
ancfcc-morocco,ANCFCC,full,1
ancic-gnq,ANCIC,full,1
ancy-central-african-republic,ANCy. Est,full,1
ancy-drc,ANCY. Elle,full,1
anda-angola,Anda Angola,full,2
andakia,Andakia,full,1
ande-guinea,L’ANDE,full,1
andela,Andela,full,1
andf-benin,ANDF. Page,full,1
andge-gnq,Agencia Nacional de Desarrollo de Guinea Ecuatorial,acronym,1
andis,African Network for Digital and Innovation Summit,acronym,1
andre-biyong,Andre Biyong,full,1
andrew-chuma,Andrew Chuma,full,1
andrew-nkea-fuanya,Mgr Andrew Nkea Fuanya,full,1
ane-central-african-republic,L'ANE,full,3
anefip-djibouti,ANEFIP,full,1
anei-niger,L'ANEI,full,1
anfu-algeria,ANFU. Le Directeur,full,1
angani,Angani,full,1
angela-sere-ejembi,Angela Sere-Ejembi,full,1
angeo-1,ANGEO,full,1
angola,Angola,full,1
angola-cables,Angola Cables,full,8
angola-data-protection-law-22-11,Data Protection Law,partial,2
angola-ministry-of-interior,Ministry of Interior,full,1
angola-telecom,Angola Telecom,full,9
angoren,AngoREN,full,1
angosat-2,ANGOSAT-2,full,8
angotic,ANGOTIC,full,9
aniad-gnq,ANIAD,full,1
anicns,ANICNS,full,2
anid-togo,INSEED and ANID,full,1
anies-guinea,ANIES,full,1
animf-rdc,ANIMF,full,1
aninf,ANINF,full,2
aninf-gabon,ANINF,full,10
anip-benin,L'Anip,full,2
anm-benin,I'ANM,full,1
anm-guinea,Training of ANM,full,1
anpe-burkina-faso,ANPE du Centre,full,1
anpfi-burkina-faso,ANPFI,full,2
anpg-angola,Associadas da ANPG,full,1
anpi-comores,ANPI Comores,full,3
anps-benin,Agence Nationale de Protection Sociale,acronym,2
anptic,ANPTIC,full,11
anre-morocco,L'ANRE,full,2
anrpts-mauritania,ANRPTS,full,4
anrt-morocco,L'ANRT,full,2
anrtic,ANRTIC,full,6
ansaec-mali,ANSAEC,full,1
ansd,Tags ANSD,full,1
anser,ANSER,full,3
ansi-niger,L’ANSI,full,2
ansice,ANSICE,full,4
ansice-chad,ANSICE,full,2
ansie-djibouti,ANSIE,full,4
anss-morocco,Agence Nationale du Soutien Social,acronym,1
anssi-benin,ANSSI,full,1
anssi-burkina-faso,ANSSI,full,3
anssi-ci,ANSSI-CI,full,1
anssi-congo,ANSSI Congo,full,1
anssi-cote-divoire,ANSSI,full,9
anssi-guinea,ANSSI,full,8
anssi-mali,ANSSI,full,3
anstat,ANSTAT,full,2
anstat-cote-divoire,ANStat,full,1
ansut,ANSUT,full,7
ansuten,ANSUTEN,full,2
ant-international,Ant International,full,2
antares-vision-group,Antares Vision,full,1
anthony-same,Anthony Same,full,2
anthropic,Anthropic,full,10
anti-corruption-bureau-malawi,Anti-Corruption Bureau,full,1
anti-iffs-policy-tracker,Anti-IFFs Policy Tracker,full,1
antic,ANTIC,full,7
antler,Antler MENAP,full,1
anu-oyeleye,Anu Oyeleye,full,1
anuttc,ANUTTC,full,2
anuttc-gabon,ANUTTC,full,1
any-security-printing,ANY Security Printing,full,1
apang-angola,APANG,full,1
apbef-benin,Apbef,full,1
apbef-ci,APBEF-CI,full,1
apc,Association for Progressive Communications,acronym,3
apd-angola,APD Angola,full,1
apdpvp,APDPVP,full,3
apdpvp-gabon,APDPVP,full,1
apex-business-solutions-namibia,Apex Business Solutions,full,1
aphrc,African Population and Health Research Center,acronym,3
api-an,API-An,full,1
api-zf-togo,API-ZF,full,1
apide,APIDE,full,1
apiex,DIRECTOR DA APIEX,full,1
apiex-benin,APIEX,full,1
apiex-mozambique,APIEX,full,1
apis-growth-fund-i,Apis Growth Fund,full,2
apis-growth-fund-ii,Apis Growth Fund II,full,1
apis-growth-fund-ii-lp,Apis Growth Fund II LP,full,1
apis-growth-markets-fund-iii,Apis Growth Markets Fund III,full,2
apmf,L'APMF,full,1
apolitical,Apolitical,full,1
apollo-agriculture-inc,Apollo Agriculture,full,1
apple,Apple,full,3
applied-innovation-center-egypt,Applied Innovation Center,full,2
appo,African Petroleum Producers Organization,acronym,1
appstech,AppsTech,full,1
aprocec-rdc,APROCEC,full,1
apsad-gabon,APSAD,full,1
apt28,APT28,full,1
aqaba-digital-hub,Aqaba Digital Hub,full,1
arab-charter-ai-ethics,Arab Charter for AI Ethics,full,2
arab-economic-unity-council,Arab Economic Unity Council,full,1
arab-financial-services,Mastercard and Arab Financial Services,full,1
arab-league-economic-unity-council,Arab League's Economic Unity Council,full,1
arab-maghreb-union,Arab Maghreb Union,full,1
arab-monetary-fund,Arab Monetary Fund,full,2
arab-permanent-committee-ai-emerging-technologies,Arab Permanent Committee for AI and Emerging Technologies,full,2
arabosai,ARABOSAI,full,1
arbetsformedlingen,Arbetsformedlingen,full,1
arccla,ARCCLA,full,1
arcep,ARCEP,full,1
arcep-benin,ARCEP BENIN,full,2
arcep-central-african-republic,ARCEP,full,8
arcep-chad,ARCEP Chad,full,1
arcep-gabon,ARCEP,full,9
arcep-niger,ARCEP Niger,full,1
arcep-togo,ARCEP Togo,full,1
arcgis,ArcGIS,full,1
arch-benin,Projet ARCH,full,3
arcod-burkina-faso,ARCOD,full,4
arcop-senegal,ARCOP,full,3
arct-burundi,ARCT Burundi,full,1
ardhi-university,Ardhi University,full,1
ardhisasa,Ardhisasa,full,5
arewa-professional-forum,Arewa Professional Forum,full,1
arfame,ARFAME,full,1
arifpay,Arifpay,full,1
arifu,Arifu,full,1
arizona-state-university,Arizona State University,full,2
arizton-advisory,Arizton Advisory,full,1
arkaan-ai-centre,Arkaan AI Centre,full,1
armd,ARMD URL,full,1
armd-djibouti,ARMD URL,full,2
armp-benin,L'Armp,full,1
arn,Autoridade Reguladora Nacional,acronym,5
arpce-algeria,ARPCE,full,8
arpce-congo,ARPCE,full,8
arpt-guinea,ARPT GUINEE,full,1
arptc,ARPTC,full,10
arptc-drc,ARPTC,full,2
arptic-drc,ARPTIC,full,1
arse-burkina-faso,ARSE. Il,full,1
arseg-angola,ARSEG,full,1
arsel-cameroon,ARSEL,full,3
arso,ARSO and RSB,full,1
art-cameroon,L'ART,full,1
art-cameroun,Cameroun. L'ART,full,1
artac,ARTAC,full,2
artci,ARTCI,full,10
artec-madagascar,Artec,full,1
artefact,Artefact,full,3
artemis-accords,Artemis Accords,full,1
artf-congo,L’ARTF,full,1
artp-senegal,Authority for Regulation of Telecommunications and Posts,acronym,1
arulos-djibouti,ARULOS,full,2
asa-ci,ASA-CI,full,1
asamo-hellen-grace,Asamo Hellen Grace,full,1
ascend-digital-solutions,Ascend Digital Solutions Ltd,full,1
ascent-eswatini,ASCENT Eswatini,full,1
ascosen,ASCOSEN,full,1
asecna,ASECNA,full,3
asernum,ASERNUM,full,1
asin-benin,ASIN,full,1
asit-eswatini,ADVANCED SCHOOL OF INFORMATION TECHNOLOGY,acronym,1
ask-africa,Ask Africa,full,1
ask-inu,Ask INU,full,1
askya-investment-partners,Askya Investment Partners,full,2
aso-address-council,ASO Address Council,full,1
asseco-data-systems,Asseco Data Systems,full,1
assemblee-nationale-burkina-faso,ASSEMBLEE NATIONALE LOI N,full,2
assembleia-nacional-angola,Assembleia Nacional,full,7
assembleia-nacional-cabo-verde,Imprensa Nacional de Cabo Verde,partial,2
assi,L'ASSI,full,1
association-espoir,Association Espoir,full,1
association-femmes-amies-benin,Association des Femmes,partial,1
association-for-educational-assessment-in-africa,Association for Educational Assessment,full,1
association-for-progressive-communications,Association for Progressive Communications,full,3
association-for-the-prevention-of-torture,Prevention of Torture,partial,1
association-of-african-central-banks,Association of African Central Banks,full,5
association-of-corporate-online-editors,Association of Corporate Online Editors,full,1
association-of-microfinance-institutions-kenya,Association of Microfinance Institutions Kenya,full,1
association-promotion-jeunes-sourds-guinee,Promotion des Jeunes Sourds,partial,1
astaanconnect,AstaanConnect,full,2
aswat-nissa,Aswat Nissa,full,1
asycuda,ASYCUDA,full,7
at-ghana,G. Of AT Ghana,full,1
atain,Atain,full,1
atal-bihari-vajpayee-institute-of-public-service-and-innovation-mauritius,Atal Bihari Vajpayee Institute of Public Service,partial,1
ataraxis,Ataraxis,full,1
atbad-togo,ATBAD,full,1
atcon,ATCON,full,2
atd-togo,Agence Togo Digital,acronym,1
atdi-mozambique,PCA da ATDI,full,1
atiku-abubakar,Atiku Abubakar,full,1
atlantica-ventures,Atlantica Ventures,full,1
atlantis-technologies,Atlantis Technologies,full,1
atlas-network,Atlas Network,full,1
atlas-tower-kenya,Atlas Tower Kenya,full,2
atlas-umoja-ai,ATLAS Umoja AI,full,1
atos,Atos and Idemia,full,1
attacq,Attacq,full,2
attorney-general-malawi,Attorney General,full,1
atuge,Atuge,full,2
au-child-online-safety-empowerment-policy,AU Child Online Safety and Empowerment,partial,1
au-data-policy-framework,AU Data Policy Framework,full,8
au-google-mou,Google MOU,full,1
au-iped,AU-IPED,full,4
au-peace-and-security-council,Peace and Security Council,full,1
auditor-general-botswana,Auditor General,full,1
auditor-general-ghana,Auditor-General,full,1
auditor-general-kenya,Auditor-General,full,6
auditor-general-somalia,Auditor General,full,3
auditor-general-south-africa,Auditor-General,full,1
auditor-general-uganda,Auditor General,full,1
auditor-general-zambia,Auditor General,full,1
augentic,Augentic,full,4
augustin-kibassa-maliba,Augustin Kibassa Maliba,full,5
aunei,AUNEI,full,1
austrian-state-printing-house,Austrian State Printing House,full,1
autoridade-reguladora-nacional-guinea-bissau,Autoridade Reguladora Nacional,full,1
auyki-technologie,AUYKI Technologie,full,1
