instrument,definition,source_value,review,note
Concessional Loan,"A loan on terms softer than the market would give: below-market interest, long maturity, a grace period, or a service charge in place of interest. IDA credits belong here.","IDA concessional credit (0.5% max commitment charge on unwithdrawn funds; repayment from Oct 2030, semi-annual over 20 years)",CHANGED,the terms quoted in the value are the definition of a concessional loan.
Concessional Loan,"A loan on terms softer than the market would give: below-market interest, long maturity, a grace period, or a service charge in place of interest. IDA credits belong here.",IDA credit,CHANGED,"an IDA credit is IDA's concessional lending instrument — long maturity, service charge, not a revolving facility. WARDIP SOP1, XDR 45.7m."
Concessional Loan,"A loan on terms softer than the market would give: below-market interest, long maturity, a grace period, or a service charge in place of interest. IDA credits belong here.","IDA credit *(corrected from the source's ""Concessional loan""; PADHI01184 records a US$19.7m IDA credit alongside US$45.3m of IBRD loans)*",CHANGED,as IDA credit.
Concessional Loan,"A loan on terms softer than the market would give: below-market interest, long maturity, a grace period, or a service charge in place of interest. IDA credits belong here.","IDA credit *(established from PAD4954, 2026-08-09; was ""Concessional loan"", source label, unverified — see Notes)*",CHANGED,as IDA credit.
Concessional Loan,"A loan on terms softer than the market would give: below-market interest, long maturity, a grace period, or a service charge in place of interest. IDA credits belong here.","IDA credit, Scale-Up Window *(enriched from source, 2026-08-05)*",CHANGED,as IDA credit. Scale-Up Window is IDA on harder-but-still-concessional terms.
Concessional Loan,"A loan on terms softer than the market would give: below-market interest, long maturity, a grace period, or a service charge in place of interest. IDA credits belong here.",IDA investment financing,ADDED,IDA Investment Project Financing. Could be credit or grant — flagged low confidence.
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity,,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity (80% acquisition) + infrastructure investment,,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity (capex / corporate investment),,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity (capex),,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity (cash subscription for new shares + in-kind contribution of Flash shareholding),,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity (fund),,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity (pre-seed),,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity (Seed),,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity (Series A),,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity (Series A) + debt facilities,,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity + capex commitment (80% stake acquisition),,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.","Equity acquisition (20%, taking stake 35%→55%)",,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.","Equity acquisition (cash, newly issued shares and performance-linked earnout)",,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Equity/follow-on investment,,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Fund commitment (LP),ADDED,an LP commitment to a fund is equity.
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Growth-capital investment (type not further specified in source),ADDED,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Pre-seed round,ADDED,
Equity,"Money exchanged for an ownership stake, at any round from pre-seed to acquisition, including limited-partner commitments to a fund.",Series B (equity and debt),ADDED,predominantly equity; the debt element is not separated in the source.
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Accountable grant,,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",CEF Digital co-funding (grant),,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Competitive research grant,,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Convention d'appui budgétaire,,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Donation (+ 3-year MoU),CHANGED,"the money is a donation; the MoU is the wrapper. National Bank of Malawi, MWK 75.5m to ICTAM Innovation Jam."
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Grant,,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Grant (bilateral assistance under a cooperation framework),,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Grant (EU-funded),,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.","Grant (GEF Project Grant; Medium-Sized Project, 1-step approval)",,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Grant (grant convention FI 96262),,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Grant (multilateral trust-fund allocation),,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Grant (non-reimbursable assistance),,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Grant (not explicitly stated),,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Grant + compute credits,,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Grant-funded procurement (equipment),,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.","IDA development policy grant *(corrected from the source's ""Concessional loan"": programme document PGD146 records an IDA development policy grant of SDR 20.8m)*",,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",IDA grant,,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",IDA grant (Program-for-Results),,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.","IDA grant *(corrected from the source's ""Concessional loan"": PAD4661 records an IDA grant of SDR 25.1m (US$35.0m equivalent))*",,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.","IDA grant *(corrected from the source's ""Concessional loan""; PAD00070 records an SDR 69.5m IDA grant)*",,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.","IDA grant *(corrected from the source's ""Concessional loan""; PAD4298 records a grant of SDR 105m, US$150m equivalent)*",,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.","IDA grant + GIF *(corrected from the source's ""Concessional loan"": the September 2025 aide-memoire describes the US$21.8m as an IDA grant plus GIF)*",,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.","Investment Project Financing — IDA grant, SDR 58.2m = US$80m equivalent",,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Standard grant,,
Grant,"Money transferred with no expectation of repayment — donations, prizes, non-reimbursable assistance.",Standard grant (IATI finance-type 110),,
Guarantee,A commitment to meet another party's obligation if it defaults. No money moves unless it is called.,"Catalytic First Loss Guarantee (blended finance, IDA Private Sector Window)",,
Guarantee,A commitment to meet another party's obligation if it defaults. No money moves unless it is called.,Financing package (EC budgetary guarantee),ADDED,
Guarantee,A commitment to meet another party's obligation if it defaults. No money moves unless it is called.,Guarantee,,
Guarantee,A commitment to meet another party's obligation if it defaults. No money moves unless it is called.,Trade finance facility (transaction guarantee),,
Joint Venture,A jointly owned vehicle created by the parties to carry the activity.,50:50 joint venture (equity + 20-year lease),,
Line of Credit,"A facility the borrower draws against up to a limit, revolving or not.",Credit facility,,
Line of Credit,"A facility the borrower draws against up to a limit, revolving or not.",Line of credit,,
Mezzanine,"Subordinated debt, or debt convertible to equity, ranking between senior debt and equity.",Mezzanine,,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,**Binding Memorandum of Agreement** (supersedes an earlier non-binding MoU),,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,agreement (signed),,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,Bilateral cooperation agreements (incl. Indicative Cooperation Programme 2026-2031),,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,Financing agreement (accord de financement),,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,Financing agreements,,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,Investment agreement,,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,Investment agreement (convention d'investissement),,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,Investment package / commitment,,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,Memorandum of understanding,,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,MoU (framework),,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,MoU / investment,,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,MoU / private investment,,
MoU,An agreement is on record and its financial instrument is not. Use only where the source states an agreement and does not state how the money moves — never as shorthand for unclear.,Not stated — memorandum of understanding (protocole d'accord),,
PPP,"A concession, BOT or similar: a private party finances and operates a public asset for a term. Distinct from the PPP value in the beneficiary vocabulary.",20-year public-private partnership (exclusive e-KYC concession),,
PPP,"A concession, BOT or similar: a private party finances and operates a public asset for a term. Distinct from the PPP value in the beneficiary vocabulary.","Concession agreement (20-year, financier-funded)",CHANGED,"a concession is not a concessional loan — false friend. AfCFTA/Bergmans, 20-year customs concession, financier-funded: the textbook PPP shape. This is the US$3.1bn row."
PPP,"A concession, BOT or similar: a private party finances and operates a public asset for a term. Distinct from the PPP value in the beneficiary vocabulary.",Public-private partnership,,
PPP,"A concession, BOT or similar: a private party finances and operates a public asset for a term. Distinct from the PPP value in the beneficiary vocabulary.",Public-private partnership (PAFEN),,
Self Funded,"Capital the recipient commits from its own balance sheet. A funding source rather than an instrument, kept because the distinction is worth counting.",Capital expenditure (self-funded),,
Self Funded,"Capital the recipient commits from its own balance sheet. A funding source rather than an instrument, kept because the distinction is worth counting.",Corporate capital investment,ADDED,
Self Funded,"Capital the recipient commits from its own balance sheet. A funding source rather than an instrument, kept because the distinction is worth counting.",Corporate capital investment (self-funded),ADDED,
Self Funded,"Capital the recipient commits from its own balance sheet. A funding source rather than an instrument, kept because the distinction is worth counting.",Corporate investment,ADDED,
Self Funded,"Capital the recipient commits from its own balance sheet. A funding source rather than an instrument, kept because the distinction is worth counting.",Private investment (capex),ADDED,
Technical Assistance,"Expertise, advisory or capacity support, whether or not a cash figure is attached.",TA,,
Technical Assistance,"Expertise, advisory or capacity support, whether or not a cash figure is attached.",Technical assistance / advisory,,
Unknown,The source does not state the instrument.,(not stated — student aid/stipend programme),,
Unknown,The source does not state the instrument.,(not stated),,
Unknown,The source does not state the instrument.,"*(not stated — described only as ""financement"")*",,
Unknown,The source does not state the instrument.,"Not stated (Expertise France technical-cooperation project; presumed grant-funded, not confirmed by the source)",,
,,5G spectrum licences,REVIEW,"money flowing TO the state for a licence, not finance to a recipient. Arguably not a deal at all."
,,Funding + technology + technical support,REVIEW,in-kind plus cash; needs the split or an explicit 'Mixed' canonical.
,,Investment under NTRA data-centre licence,REVIEW,licence-linked investment; is the instrument the licence or the capex behind it?
,,Mixed,REVIEW,says only that it is more than one; the source has to say which.
,,Procurement contract award,REVIEW,a contract award is not a financing instrument.
,,Program-for-Results (PforR),REVIEW,"a World Bank lending instrument, not a finance type — an IDA grant PforR is already mapped to Grant, so this one needs its own source."
,,Spectrum award (410 MHz),REVIEW,as 5G spectrum licences.
,,Standard loan (IATI finance-type 421),REVIEW,"IATI 421 is the *generic* loan code and carries no concessionality — mapping it to Concessional Loan reads something into the code that is not there. Both rows are BOAD sovereign loans (Benin XOF 19.5bn, Senegal XOF 30.9bn); BOAD lends on both terms. Needs the source."
