indicator_id,stage,anchor,interpolated
gov.legislate--statistics-legislation,4,"An act in force providing professional independence, a coordination mandate over the national statistical system, confidentiality of individual data and a funding basis, with the office operating under it.",yes
gov.legislate--statistics-legislation,5,"An act conforming to the Charter and the Model Law, with the Charter ratified.",no
gov.legislate--access-to-information-legislation,1,"A dated statement that no access-to-information law exists, with at most a constitutional right.",yes
gov.legislate--access-to-information-legislation,2,"An access-to-information bill drafted, tabled or under consultation.",yes
gov.legislate--access-to-information-legislation,3,"An access-to-information law enacted, with the oversight mechanism, procedures or commencement pending.",yes
gov.legislate--access-to-information-legislation,4,"The law in force with procedures, proactive-disclosure obligations and an oversight mechanism established by law (Principle 34), with requests or decisions on record.",no
gov.legislate--access-to-information-legislation,5,"The Model Law met: proactive disclosure including through digital means, an independent oversight body operating with published decisions, and access that is expeditious and inexpensive.",no
gov.protect--data-protection-authority,1,A dated statement that no authority exists and none is provided for in law.,yes
gov.protect--data-protection-authority,2,An authority provided for in law but not constituted; or data protection handled by a ministry unit or the regulator without a statutory authority.,yes
gov.protect--data-protection-authority,3,"The authority constituted — members appointed — and beginning operations: registrations, guidance, a first report, with no enforcement decision on record.",yes
gov.protect--data-protection-authority,4,"The authority independent by statute, funded in the budget, and enforcing — decisions, sanctions or orders on record — over public and private controllers.",no
gov.protect--data-protection-authority,5,"Malabo Arts 11–12 met and the DPF checklist complete: independent, funded, enforcement decisions and sanctions published and complaints resolved on record, accountable (an annual report published), covering all controllers, and cooperating regionally (NADPA membership, cross-border cases).",no
gov.protect--national-data-protection-readiness,1,"No law, no authority, no ratification, and a citation for the absence of the law.",yes
gov.protect--national-data-protection-readiness,2,"A data protection bill drafted or tabled, or a draft under consultation.",yes
gov.protect--national-data-protection-readiness,3,A data protection law in force.,no
gov.protect--national-data-protection-readiness,4,"A law in force and an authority operating, with the Guidelines' practices on record — privacy-by-design guidance, codes of conduct, impact assessments, breach notification in use.",no
gov.protect--national-data-protection-readiness,5,"All four: Malabo ratified (or the REC instrument domesticated), law in force, authority enforcing, the Guidelines' practices in use, and participation in continental or regional cooperation.",no
gov.regional--regional-policy-collaboration,1,A dated statement that the country takes no part in regional or continental digital policy processes.,yes
gov.regional--regional-policy-collaboration,2,"Membership only — of ATU, Smart Africa, a REC regulators' association — with no contribution on record.",yes
gov.regional--regional-policy-collaboration,3,"Active participation on record: hosting or contributing to a regional or continental policy process (PRIDA, a REC digital strategy, a harmonisation working group), or regional guidelines adopted domestically in one area.",yes
gov.regional--regional-policy-collaboration,4,"Regional guidelines or a REC digital strategy implemented through domestic instruments in more than one area (roaming, spectrum, cross-border data, digital ID recognition) with reporting to the regional body.",yes
gov.regional--regional-policy-collaboration,5,"The DTS end state: the national strategy stating its alignment with the regional and continental strategies, a standing coordination mechanism, and regional instruments carried in domestic law.",no
gov.regional--regional-legal-harmonisation,1,A dated statement that no domestic instrument is harmonised with a REC or AU model or act.,yes
gov.regional--regional-legal-harmonisation,2,A REC model law or supplementary act referenced in a draft or bill.,yes
gov.regional--regional-legal-harmonisation,3,"A REC instrument domesticated in one area of the cyberlaw set (data protection, cybercrime or e-transactions).",yes
gov.regional--regional-legal-harmonisation,4,"REC instruments domesticated across the cyberlaw set, with mutual legal assistance or cross-border cooperation arrangements on record.",yes
gov.regional--regional-legal-harmonisation,5,"Malabo and the AfCFTA Digital Trade Protocol ratified, the full set harmonised, and harmonisation reported to the REC or AU.",no
gov.regional--shared-regional-infrastructure,1,A dated statement that the country is party to no regional ICT infrastructure project or network.,yes
gov.regional--shared-regional-infrastructure,2,"Signatory or participant in a planned regional project (a PIDA PAP 2 ICT project, a cable consortium, a regional backbone) not yet in service.",yes
gov.regional--shared-regional-infrastructure,3,"One shared regional asset in service touching the country: a cross-border fibre link, a cable landing shared through a consortium, a regional IXP peering, One Africa Network roaming.",yes
gov.regional--shared-regional-infrastructure,4,"Several shared assets in service with operational agreements — cross-border capacity, regional traffic exchange, roaming — and usage or traffic reported.",yes
gov.regional--shared-regional-infrastructure,5,"The DTS end state: regional or continental licensing of operators recognised, participation in regional networks and data infrastructure, and traffic kept regional on record.",no
gov.regional--cross-border-data-transfers,1,A dated statement that no rule governs the transfer of personal data abroad.,yes
gov.regional--cross-border-data-transfers,2,"Transfer rules drafted, or in a bill.",yes
gov.regional--cross-border-data-transfers,3,"Transfer provisions in force in the data protection law (adequacy, consent, authorisation) with no mechanism issued by the authority.",yes
gov.regional--cross-border-data-transfers,4,"Transfer mechanisms operating — adequacy decisions, standard clauses, binding corporate rules or authorisations issued by the authority — with decisions on record.",yes
gov.regional--cross-border-data-transfers,5,"The DPF and DTP end state: an adequacy-based regime aligned with Malabo Art. 14 and the DTP annex, and participation in a regional or continental data-flow mechanism.",no
gov.standards--national-interoperability-standards,1,A dated statement that no national standards exist for government systems' interoperability.,yes
gov.standards--national-interoperability-standards,2,A standards catalogue or e-GIF technical annex in drafting.,yes
gov.standards--national-interoperability-standards,3,"Interoperability standards published for government systems, voluntary.",yes
gov.standards--national-interoperability-standards,4,"The standards mandated for government procurement and systems by an instrument, with a custodian and conformance testing or certification on record.",yes
gov.standards--national-interoperability-standards,5,"The DTS end state: open standards mandated, verification standards for identity in G2G, G2B and G2C transactions, referencing international standards (W3C, ISO/IEC), and ready for mutual recognition.",no
gov.standards--national-quality-standards,1,"A dated statement that no national standards body is active, or that none addresses ICT or data.",yes
gov.standards--national-quality-standards,2,A national standards body exists with no ICT or data quality standards adopted and no national quality policy.,yes
gov.standards--national-quality-standards,3,"A national quality policy adopted, or the standards body adopting ICT or data quality standards (ISO 9001, ISO/IEC 27001, ISO 8000) as national standards, voluntary.",yes
gov.standards--national-quality-standards,4,"A quality policy in force with accreditation and certification infrastructure operating for ICT — accredited certification bodies, certified government systems or bodies on record.",yes
gov.standards--national-quality-standards,5,"The PAQI end state: the standards body participating in ARSO and AFRAC, harmonised African standards adopted, and a national quality policy on UNIDO's principles.",no
gov.standards--adoption-of-international-standards,1,A dated statement that the country is outside ISO membership and adopts no international ICT standards.,yes
gov.standards--adoption-of-international-standards,2,"ISO correspondent or subscriber membership, with sporadic adoption of international standards.",yes
gov.standards--adoption-of-international-standards,3,ISO member body; international ICT and data standards adopted as national standards on record.,yes
gov.standards--adoption-of-international-standards,4,"Systematic adoption through a published catalogue, participation in technical committees, and government systems required to conform to named international standards (security, records, identity).",yes
gov.standards--adoption-of-international-standards,5,"The DTS and Framework end state: technology neutrality and open standards mandated, participation in ARSO harmonisation and in international standard-setting.",no
gov.discourse--non-governmental-contribution-to-national-policy,1,"A dated statement that digital instruments are made without consultation, or that civil society is excluded from the process.",yes
gov.discourse--non-governmental-contribution-to-national-policy,2,"Ad hoc consultation on a digital instrument on record, with no requirement or standing mechanism.",yes
gov.discourse--non-governmental-contribution-to-national-policy,3,"Consultation required by law or standing practice for digital policy, with published consultations and responses on record.",yes
gov.discourse--non-governmental-contribution-to-national-policy,4,"Standing multi-stakeholder bodies (a national IGF, an advisory council, a regulator's consultative committee) with a role in policy, and non-governmental input traceable in adopted instruments.",yes
gov.discourse--non-governmental-contribution-to-national-policy,5,"The ACDEG and Declaration end state: a multi-stakeholder model of regulation, an enabling environment for civil society in law, and co-created commitments (an OGP action plan or equivalent) reported against.",no
gov.discourse--open-discussion-of-government-policy,1,"Restrictions on discussion on record — an internet shutdown, blocking, or prosecution for online expression in the 12 months to the as-at date — and no access-to-information law.",yes
gov.discourse--open-discussion-of-government-policy,2,"Discussion occurs but restrictions are on record in the 12 months to the as-at date (a shutdown, a blocking order, a false-information law with prison terms), or the press covers policy under documented controls.",yes
gov.discourse--open-discussion-of-government-policy,3,"No shutdown or blocking in the 12 months to the as-at date, policy documents published, and the press and public discussing digital policy freely on record.",yes
gov.discourse--open-discussion-of-government-policy,4,"Proactive disclosure practised — draft laws and strategies published for comment, regulator decisions published — with an access-to-information law in force.",yes
gov.discourse--open-discussion-of-government-policy,5,"The Declaration's end state: universal access affirmed in law and policy, no surveillance abuse on record, an independent oversight body for access to information, and open publication as the norm.",no
finance.budget--sustainable-domestic-financing-of-digital-transformation,1,"A dated statement that the budget carries no domestic line for digital transformation, or a read budget document (`budgets/`) with none.",yes
finance.budget--sustainable-domestic-financing-of-digital-transformation,2,"Digital lines appropriated project by project within single ministries, with no recurring programme, fund or own-source mechanism.",yes
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,"A recurring programme or budget line for digital transformation in the appropriation, in a read budget document or on record, without a dedicated fund or own-source revenue.",yes
finance.budget--sustainable-domestic-financing-of-digital-transformation,4,"A dedicated mechanism in law: a digital or universal-service fund, a levy or own-source revenue assigned to digital programmes, or a multi-year programme with published execution.",yes
finance.budget--sustainable-domestic-financing-of-digital-transformation,5,"The DTS and Goal 20 posture: a sovereignty fund or equivalent sustained domestic mechanism with published execution, and external finance confined to capital.",no
infra.connect--national-fibre-backbone,1,"A dated statement that no national fibre backbone exists — connectivity by satellite or microwave only, or fibre confined to one city.",yes
infra.connect--national-fibre-backbone,2,"A backbone under construction, contracted or planned in a master plan, with segments not yet in service; or fibre reaching some regions with no national plan.",yes
infra.connect--national-fibre-backbone,3,"A backbone in service reaching some provinces or regions, with others unserved on record, or reaching all regions on one operator's network with no open access.",yes
infra.connect--national-fibre-backbone,4,"A backbone in service reaching every province or region on record, with open-access or wholesale terms published, at least one cross-border link in service, and a current length figure cited.",yes
infra.connect--national-fibre-backbone,5,"The DTS and DPF end state: a national infrastructure master plan implemented, the backbone connected to regional backbones and cables with redundancy, infrastructure sharing and rights-of-way rules in force, and reach and capacity reported.",no
infra.connect--internet-exchange-points,1,A dated statement that no internet exchange point operates in the country.,yes
infra.connect--internet-exchange-points,2,"An IXP established by decree, planned or equipped with no members peering, or peering suspended.",yes
infra.connect--internet-exchange-points,3,"One IXP in service with a small membership (a handful of members), capacity or traffic cited.",yes
infra.connect--internet-exchange-points,4,"One or more IXPs in service with the main operators, content networks and the government network peering, traffic or capacity published at two dates at least 12 months apart showing growth, and a second exchange or a second city on record.",yes
infra.connect--internet-exchange-points,5,"The DTS and AXIS end state: national exchange points keeping domestic traffic local, connected to a regional hub, with barriers to entry removed and traffic reported.",no
infra.connect--satellite-broadband-licensing-and-availability,1,"A dated statement that satellite broadband is not licensed, or that applications are refused or unanswered.",yes
infra.connect--satellite-broadband-licensing-and-availability,2,A licence application pending or a framework in drafting; a licence granted to one operator with no service launched.,yes
infra.connect--satellite-broadband-licensing-and-availability,3,"Satellite broadband licensed and in service, with user terminals authorised individually or through a single licensee (ATU-R 005-0's *individual* case).",no
infra.connect--satellite-broadband-licensing-and-availability,4,"Terminals licensed on a blanket or class basis, more than one operator or reseller licensed, and NGSO authorisation streamlined with published fees (the *blanket licensing* case).",no
infra.connect--satellite-broadband-licensing-and-availability,5,"The ATU recommendation's end state: blanket licensing, free circulation of visiting terminals on mutual recognition, spectrum fees published with no refusal or withdrawal on fee grounds on record, and availability reported.",no
infra.store--off-site-backup-capacity,1,A dated statement that government systems have no off-site backup or disaster-recovery site.,yes
infra.store--off-site-backup-capacity,2,"Backup or virtualisation equipment procured, a secondary site planned or contracted, or one institution (the central bank, the tax authority) holding its own alternative site with nothing for the estate.",yes
infra.store--off-site-backup-capacity,3,"A government backup or recovery site in service for some systems, or a commercial or satellite provider supplying redundancy under contract, with no continuity plan on record.",yes
infra.store--off-site-backup-capacity,4,"A government disaster-recovery site in service for the core systems, physically separate, with a continuity plan, tested failover or a recovery exercise on record, and Tier or availability level stated.",yes
infra.store--off-site-backup-capacity,5,"The Blueprint's end state: 24/7 availability for e-government on a Tier-classified primary and secondary site, continuity management to a recognised standard, and availability reported.",no
infra.capacity--robustness-of-government-hardware-and-software,1,"A dated statement that core government systems run on unsupported or obsolete platforms, with outages on record and no inventory.",yes
infra.capacity--robustness-of-government-hardware-and-software,2,"Core systems being replaced or procured — a financial system out to tender, a revenue platform contracted — with the estate last described years ago and no inventory.",yes
infra.capacity--robustness-of-government-hardware-and-software,3,"The main core systems (finance, revenue, payroll, the state network) in service on supported platforms, with a mandated custodian body, and no enterprise architecture or inventory published.",yes
infra.capacity--robustness-of-government-hardware-and-software,4,"Core systems in service on supported platforms under a custodian with an inventory or enterprise architecture, a government network and data centre operating, and incidents or availability reported.",yes
infra.capacity--robustness-of-government-hardware-and-software,5,"The Charter's end state: modern technologies used across service delivery, an enterprise architecture and shared platforms (cloud, service bus) in service, and performance reported.",no
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,1,A dated statement that government systems are built and maintained by external suppliers with no in-house technical staff or programme.,yes
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,"A capacity programme announced, a change-management or training exercise run for one system, or bodies stated to require technical assistance to operate what they hold.",yes
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,3,"In-house teams maintaining or developing some systems on record (a statistics office building its own portal, a tax authority feeding its own risk system), with no systematic programme.",yes
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,4,"A systematic capacity programme in force — a government IT cadre or agency with a mandate, training partnerships with institutions, systems built or maintained in-house across several bodies on record.",yes
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,5,"The Charter's Art. 21 end state: systematic, evidence-based capacity development across the public service, collaboration with management and research institutions, and the estate maintained and developed nationally.",no
infra.cybersec--national-cybersecurity-readiness,1,"A dated statement that no national cybersecurity policy, strategy, law or institution exists.",yes
infra.cybersec--national-cybersecurity-readiness,2,"A strategy, council or cyber centre created by decree or announced, none with an operating record; or a law in drafting.",yes
infra.cybersec--national-cybersecurity-readiness,3,"A strategy adopted and a law in force, with the institutions (agency, CERT) constituted but no incident-response, enforcement or reporting record.",yes
infra.cybersec--national-cybersecurity-readiness,4,"Strategy, law and institutions operating: a national CERT responding to incidents on record, enforcement or prosecutions, a critical-infrastructure regime, and reporting published.",yes
infra.cybersec--national-cybersecurity-readiness,5,"Malabo chapter III met — policy, strategy, law, institutional mechanism, Malabo ratified — with regional cooperation on record and readiness reported to a recognised assessment.",no
dpi.exchange--national-data-exchange-system,1,"A dated statement that no data-exchange layer exists between government systems — the government's own appraisal, an assessment, or a *Not held* row with a source.",yes
dpi.exchange--national-data-exchange-system,2,"An exchange platform procured, under construction, piloted between a few systems, or provided for by decree with no platform running.",yes
dpi.exchange--national-data-exchange-system,3,An exchange platform in service with a small number of connected systems or services and no published conditions of access or usage.,yes
dpi.exchange--national-data-exchange-system,4,"The platform in service at scale — tens of member institutions, hundreds of services, transaction volumes published — with published conditions of access, a custodian, and registers reused through it on record.",yes
dpi.exchange--national-data-exchange-system,5,"The DTS end state: core registers reused across government through a secure exchange environment on open standards, with levels of assurance defined, private-sector access provided for, and usage reported.",no
dpi.exchange--use-of-digital-id-in-other-systems,1,A dated statement that no other system relies on the national ID for enrolment or verification.,yes
dpi.exchange--use-of-digital-id-in-other-systems,2,"Use of the ID by another system planned, piloted or contracted (a KYC pilot, a SIM-registration link announced).",yes
dpi.exchange--use-of-digital-id-in-other-systems,3,"The ID used by one or two systems in service — SIM registration, a bank's KYC, a social register — with no verification service offered to others.",yes
dpi.exchange--use-of-digital-id-in-other-systems,4,"Services, public and private, consuming a verification or authentication service built on the ID — banks' KYC, telecoms, health, social programmes — across sectors on record, with usage published; the public registers keyed on the number are `dpi.id--use-by-other-systems`'s evidence, not this row's.",yes
dpi.exchange--use-of-digital-id-in-other-systems,5,"The Framework's end state: the ID the common credential for public and private services, with selective disclosure and privacy protection in law, and mutual recognition provided for (DTP Art. 19).",no
dpi.exchange--interoperability-of-health-systems,1,"A dated statement that health systems do not exchange data — separate registries, surveillance and supply-chain systems with no linkage.",yes
dpi.exchange--interoperability-of-health-systems,2,"A health information exchange policy or architecture in drafting, or interoperability between two systems piloted or contracted.",yes
dpi.exchange--interoperability-of-health-systems,3,A national HIE policy or digital health architecture adopted — the Guidelines' *policy* pillar — with interoperability in service between a few systems.,no
dpi.exchange--interoperability-of-health-systems,4,"National standards adopted (a terminology and messaging standard, a facility and patient identifier) — the *standards* pillar — and applied in exchanges in service across the main systems (HMIS, surveillance, registries, supply chain).",no
dpi.exchange--interoperability-of-health-systems,5,"The *use cases* pillar met: exchanges in service across the health system on the national standards, with the client registry linked to the national ID, and participation in the continental health data space on record.",no
dpi.exchange--interoperability-of-education-systems,1,"A dated statement that the education systems — EMIS, examinations, teacher payroll, learner identification — exchange no data.",yes
dpi.exchange--interoperability-of-education-systems,2,"A link between two education systems planned, contracted or piloted.",yes
dpi.exchange--interoperability-of-education-systems,3,"One exchange in service — the EMIS with the examinations body, or with teacher payroll, or with the national ID — on record.",yes
