indicator_id,progress,summary,developments,row_ids,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier
tech.innovate--tech-startup-ecosystem,Movement,"A self-organised collective [released five Tigrinya-language education applications](2026-08-15-eritrea-shambko-apps-group-local-language-education) built to the national curriculum, with no stated funding or distribution channel.","2026-08-15 — an interview carried by the state information ministry [describes five applications from the Shambko Apps Group](2026-08-15-eritrea-shambko-apps-group-local-language-education): literacy, puzzle, cultural-heritage and arithmetic tools written against the national curriculum, with a stated plan to extend them to Eritrea's eight other national languages.

The group is a private collective rather than a state programme. Nothing is stated about download counts, distribution channel or funding, and no hub, incubator, investor or company registration appears elsewhere on the ledger — so this is one collective on the record, not evidence of a startup base.",ERI-tech.innovate-shambko-apps-group,,,,,,,,,2026-08-31,0,"A self-organised app collective is on record; no startup law, strategy or support scheme, and no cited absence"
data.statistics--censuses-and-surveys,Movement,"The fourth [Eritrea Population and Health Survey completed fieldwork in 9,794 households](2026-05-08 Eritrea strengthens data systems with EPHS 2025 (UNDP)) across all six regions, with the report due in 2026.","2026-05-08 — the National Statistics Office [reported the fourth Eritrea Population and Health Survey complete: 9,794 households across 405 enumeration areas, a 98.4% household completion rate, and collection by computer-assisted personal interview](2026-05-08 Eritrea strengthens data systems with EPHS 2025 (UNDP)).

Around 400 tables over 20 chapters are drafted, with writing, printing and dissemination scheduled through 2026, so the fieldwork is finished and the published output is not. Technical support came from UNECA and an Oslo consultancy under the UNDP-led Joint Programme on Data for Development. It is the most substantial statistical work the repository holds for Eritrea.",ERI-data.statistics-ephs-2025,3,ERI-data.statistics-ephs-2025,,,,,,,2026-08-31,0,"2025 health survey completed, first in fifteen years; no census on record"
data.statistics--statistics-from-administrative-data,Movement,"The statistics office [compiled national accounts for 2023 and began collection for 2024](2026-05-08 Eritrea strengthens data systems with EPHS 2025 (UNDP)), the only administrative statistical production the repository records.","2026-05-08 — alongside the household survey, the National Statistics Office [is reported to have compiled the 2023 national accounts and started data collection for 2024](2026-05-08 Eritrea strengthens data systems with EPHS 2025 (UNDP)).

That is the whole of the ledger's evidence on statistics drawn from administrative sources, and it is second-hand: the accounts themselves are not on the repository, and no statement of which administrative systems feed them appears either. No statistics law and no national strategy for the development of statistics is on record for Eritrea, so this production rests on the office's own practice.",ERI-data.statistics-ephs-2025,,,,,,,,,2026-08-31,0,survey and national accounts only; administrative sources neither shown used nor stated unused
gov.legislate--data-protection-legislation,No change,A verification pass dated August 2026 confirms no comprehensive data-protection law in force ([redetermination](2026-08-01-lawlab-africa-eritrea-data-protection)).,"A dated redetermination as of 1 August 2026 confirms the position is unchanged: no comprehensive data-protection law in force, no supervisory authority established and no enforcement decisions published ([redetermination](2026-08-01-lawlab-africa-eritrea-data-protection)).

A regional ministerial assessment places Eritrea's data-protection policy area at a nascent stage without legislation or regulatory oversight, grouped with Djibouti, South Sudan and Sudan against neighbours that have enacted frameworks with supervisory authorities ([policy matrix](2025-09-01-hoai-digital-policy-matrix-update-data-protection-nascent)).

A trade regulatory profile records that Eritrea lacks a comprehensive legal framework for data protection, with no data-protection officer, impact-assessment or retention requirements ([profile](2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile)).

This is a searched absence rather than an unexamined one: three independent assessments across four years agree.",ERI-gov.protect-none,1,ERI-gov.protect-none,,,,,,,2026-08-31,0,No data protection law; absence reconfirmed on a 1 August 2026 verification pass
gov.protect--national-data-protection-readiness,No change,No supervisory authority exists and none is provided for; the position was re-verified in August 2026 ([redetermination](2026-08-01-lawlab-africa-eritrea-data-protection)).,"The August 2026 verification pass records no comprehensive data-protection law, no supervisory authority and no published enforcement decisions ([redetermination](2026-08-01-lawlab-africa-eritrea-data-protection)).

The Communication Department, the only body empowered to supervise and regulate the communication sector, has little to no decision-making authority on a trade regulatory profile ([profile](2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile)).

The nearest legal anchor is the privacy article of the 1997 Constitution, which has never been brought into force ([legal status](2026-06-08-levellers-ai-regulation-eritrea)).

Readiness here is not partial: there is no law, no regulator and no route to redress.",ERI-gov.protect-none,1,ERI-gov.protect-none,,,,,,,2026-08-31,0,"No law, no authority, no ratification; absence cited and reconfirmed August 2026"
gov.legislate--cybersecurity-legislation,No change,The [2015 Penal Code provides for computer crimes](2015-05-15-eritrea-penal-code-2015-computer-offences) but [had not been enacted by April 2026](2026-07-22-acerwc-concluding-observations-eritrea); no cybercrime statute exists.,"The 2015 Penal Code was drafted to provide for computer crimes ([Penal Code](2015-05-15-eritrea-penal-code-2015-computer-offences)), and the children's rights committee recorded in April 2026 that it had not yet been enacted ([observations](2026-07-22-acerwc-concluding-observations-eritrea)).

A country cybersecurity assessment records, item by item, no cybercrime legislation, no cybersecurity regulation, no officially recognised national computer incident response team, no national cybersecurity strategy, no governance roadmap and no responsible agency ([assessment](2015-03-12-eritrea-itu-cyberwellness-profile)).

Nothing in the window changed either position: the code is not in force, and the institutional apparatus a cybersecurity regime needs does not exist.

Nor is there a strategy behind the missing statute: a country profile records [no public national cybersecurity strategy](2025-01-01-eritrea-digital-watch-country-profile), so neither the legislative nor the policy layer exists on the record.",ERI-gov.legislate-computer-offences|ERI-infra.cybersec-national-strategy,2,ERI-gov.legislate-computer-offences,,,,,,,2026-08-31,0,"computer offences only in the 2015 Penal Code, published but not enacted at April 2026"
gov.legislate--access-to-information-legislation,No change,"No freedom of information law has been adopted, a UN review body states plainly ([review contribution](2026-01-01-unesco-upr46-eritrea-freedom-of-information)).","A formal contribution to Eritrea's universal periodic review states that no freedom of information law has been adopted, that the 1997 constitution guarantees access to information, and that the 1996 press proclamation requires all media to be licensed and publications approved before release ([review contribution](2026-01-01-unesco-upr46-eritrea-freedom-of-information)).

The 2026 world press freedom index places Eritrea last of 180 countries and territories for the third consecutive year ([index](2026-05-01-rsf-world-press-freedom-index-2026)).

The absence is legislative and practical at once: there is no statute, no request procedure and no appeal route, so nothing measures how much information is released.",ERI-gov.legislate-freedom-of-information,1,ERI-gov.legislate-freedom-of-information,,,,,,,2026-08-31,0,UN review contribution states no freedom of information law adopted
gov.discourse--open-discussion-of-government-policy,No change,A press-freedom index places Eritrea last of 180 for the third consecutive year ([index](2026-05-01-rsf-world-press-freedom-index-2026)).,"The 2026 world press freedom index places Eritrea last of 180 countries and territories for the third consecutive year, alongside China and North Korea, describing a state of press freedom that has hardly changed ([index](2026-05-01-rsf-world-press-freedom-index-2026)).

A United Nations commission of inquiry found a complex, multi-layered system of surveillance of the population inside and outside the country, used to instil fear and keep it under control ([findings](2015-06-05-un-coi-eritrea-detailed-findings-chapter-vi)).

There is no forum on the record — no independent press, no permitted civil society, no online space — in which digital or data policy could be publicly argued.",ERI-gov.discourse-suppression,1,ERI-gov.discourse-suppression,,,,,,,2026-08-31,0,No independent press or public forum; last of 180 on the 2026 press-freedom index
gov.legislate--e-commerce-legislation,No change,No electronic transactions framework is in force; a legal-reform project publishes consultation drafts not presented as enacted law ([drafts](2026-01-01-the-abc-journey-draft-laws-commercial-code)).,"A legal-reform project published around eighty consultation-draft acts, codes and regulations showing how Eritrea's legal order could be reconstructed within the 1997 Constitution ([drafts](2026-01-01-the-abc-journey-draft-laws-commercial-code)). They are prepared for public debate and not presented as enacted law.

The standing assessment is that Eritrea has not adopted the model laws on electronic commerce and electronic signatures and has no legislation giving electronic signatures legal equivalence ([profile](2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile)).

Nothing on the repository records a government bill, a consultation or a stated intention to legislate on electronic transactions.",ERI-gov.legislate-ecommerce,1,ERI-gov.legislate-ecommerce,,,,,,,2026-08-31,0,no e-transactions framework in force; 2026 consultation drafts not shown to include an e-transactions bill
gov.legislate--ai-legislation-regulations,No change,A review dated June 2026 records no dedicated artificial-intelligence law and no national strategy ([review](2026-06-08-levellers-ai-regulation-eritrea)).,"A legal-status review dated 8 June 2026 states that Eritrea has no dedicated artificial-intelligence law, no national artificial-intelligence strategy, no data-protection statute and no data-protection authority, and that the nearest legal anchor is the privacy article of the 1997 constitution, which has never entered into force ([review](2026-06-08-levellers-ai-regulation-eritrea)).

The absence is total rather than partial: no instrument, no draft and no institution with a mandate.",ERI-gov.legislate-ai,1,ERI-gov.legislate-ai,,,,,,,2026-08-31,0,June 2026 legal-status review found no AI law
gov.policy--ai-strategy,No change,A June 2026 legal-status review records no published national artificial-intelligence strategy ([review](2026-06-08-levellers-ai-regulation-eritrea)).,"A June 2026 legal-status review records the same absence from the legal side: no national artificial-intelligence strategy ([review](2026-06-08-levellers-ai-regulation-eritrea)).

The repository does hold one AI system in state hands — an agricultural expert system inside a ministry information system — so the absence is of policy, not of the technology.",ERI-gov.legislate-ai,1,ERI-gov.legislate-ai,,,,,,,2026-08-31,0,June 2026 legal-status review found no national AI strategy
gov.legislate--legislation-covering-digital-id,No change,No digital-identity statute exists; the closest instrument is the 1992 nationality proclamation ([proclamation](1992-04-06-eritrea-nationality-proclamation-21-1992)).,"No dedicated digital-identity statute was located. The closest identifiable legal instrument is the Nationality Proclamation 21/1992, still in force, which provides the legal basis for nationality certification through the Department of Internal Affairs and contains no digital-identity, electronic-identity, biometric or electronic-transactions framework ([proclamation](1992-04-06-eritrea-nationality-proclamation-21-1992)).

Identity cards are nonetheless required by other systems: anti-money-laundering law obliges financial institutions to set customer identification policies ([proclamation](2014-09-08-eritrea-aml-cft-proclamation-175-2014-id-kyc)), and a national identity card is required before a passport is issued ([country guidance](2026-03-02-uk-gov-eritrea-knowledge-base-profile)).

So the card carries statutory weight without a statute defining it, and nothing regulates what data it holds or who may read it.",ERI-gov.legislate-nationality-proclamation,,,,,,,,,2026-08-31,0,1992 nationality law in force; no row shows it establishing the ID system or authority
gov.legislate--statistics-legislation,No change,The statistics office has never operated under an enacted statistics law; a draft proclamation was recorded as pending ([review](2007-01-08-norad-eritrea-nso-statistics-norway-mid-term-review)).,"A mid-term review of statistical capacity support records that the statistical proclamation, the equivalent of a statistics act, had been submitted to government and that the formal issue was still pending ([review](2007-01-08-norad-eritrea-nso-statistics-norway-mid-term-review)).

No later record of enactment was located at the probe date of 31 August 2026, so the national statistics office has operated for at least two decades without a statutory mandate.

This matters for the surveys the repository does hold: a population and health survey was carried out without a law defining who owns the data, who may access it or on what terms it is published.",ERI-gov.legislate-statistics,2,ERI-gov.legislate-statistics,,,,,,,2026-08-31,0,draft statistical proclamation recorded pending in 2007; no enactment located since
gov.standards--national-quality-standards,No change,Standardisation rests on the 1995 proclamation establishing the standards institution as sole national organ ([proclamation](1995-09-20-proclamation-75-eritrean-standards-institution)).,"The Eritrean Standards Institution was established by proclamation in 1995 as an autonomous body with legal personality and the sole national organ for standardisation, quality assurance and metrology, with powers to prepare compulsory Eritrean standards, affix conformity marks, test and certify import and export products, and inspect ([proclamation](1995-09-20-proclamation-75-eritrean-standards-institution)).

Nothing in the window amended that proclamation, and the repository holds no Eritrean standard made under it that bears on digital systems, data formats or interoperability.

The institution exists and its output in this field is not on the record.",ERI-gov.standards-esi,2,ERI-gov.standards-esi,,,,,,,2026-08-31,0,standards body exists; no ICT or data standard or quality policy on record
gov.standards--adoption-of-international-standards,No change,The 1995 standards proclamation adopts the international system of units as the legal measurement system ([proclamation](1995-09-20-proclamation-75-eritrean-standards-institution)).,"The proclamation establishing the Eritrean Standards Institution expressly adopts the International System of Units as Eritrea's legal measurement system ([proclamation](1995-09-20-proclamation-75-eritrean-standards-institution)).

A structured government-technology dataset for 2022 records no government enterprise architecture framework, no government interoperability framework and no data quality framework ([dataset](2022-01-01-eritrea-global-digital-identity-index-govtech)).

So metrology is aligned to international standards and government data practice is not; nothing on the repository records adoption of an international standard for identity, payments or data exchange.",ERI-gov.standards-esi,,,,,,,,,2026-08-31,0,standards body exists; ISO membership and adopted international standards not on record
dpi.registry--population-register,Movement,Population registration runs on six separate regional registers with no central national register ([technical description](2021-01-21-swiss-sem-focus-eritrea-digital-population-registers)).,"Eritrea's population registration has been digital at regional level since 2001: six separate registers, one per zoba, each recording an identity number, family and resident numbers, nationality and civil data, from which residence cards and family identity cards are printed as extracts. Birth registration feeds them through the local family register. There is no central national register ([technical description](2021-01-21-swiss-sem-focus-eritrea-digital-population-registers)).

A regional treaty body, reviewing Eritrea's fourth periodic report in April 2026, recognised the development of a five-year strategic civil registration and vital statistics plan for 2024-2028 ([concluding observations](2026-07-22-acerwc-eritrea-concluding-observations-crvs)).

A country-of-origin report carries a dedicated section on the register and the cards drawn from it ([report](2023-12-31-netherlands-eritrea-country-origin-information-report)).

The repository holds no coverage rate and no statement that the six registers reconcile with one another.",ERI-dpi.registry-population,3,ERI-dpi.registry-population,,,,,,,2026-08-31,0,decentralised zoba registers per a 2021 foreign-government report; updating from vital events not on record
dpi.id--interoperability-of-birth-registration-and-digital-id,No change,"Birth registration feeds the regional population registers, and a national identity card is required before a passport is issued ([guidance](2026-03-02-uk-gov-eritrea-knowledge-base-profile)).","Operational country guidance published in March 2026 states that Eritrea issues national identity cards and that a national identity document is required before an Eritrean passport can be issued ([guidance](2026-03-02-uk-gov-eritrea-knowledge-base-profile)).

Birth registration feeds the zoba population registers through the local family register and transfer documents, and the identity and residence cards are printed extracts of those registers ([technical description](2021-01-21-swiss-sem-focus-eritrea-digital-population-registers)).

The chain therefore exists but is regional rather than national, and the repository holds no birth-registration coverage rate, so how many children enter it is not known.

What feeds them is not measured: the [2025 vital statistics return leaves birth and death registration completeness blank](2025-01-01-eritrea-2025-vital-statistics-metadata-questionnaire), and the only structural account, from 2002, records [registration under a transitional civil code in eight urban areas only, optional rather than obligatory, kept for administrative purposes with no statistical data retained](2002-10-21-eritrea-demographic-profile-birth-registration). An identity layer fed by a registration system of unknown coverage inherits that unknown.",ERI-dpi.registry-population|ERI-dpi.registry-civil-registration,,,,,,,,,2026-08-31,0,zoba population registers and a CRVS plan on record; register-to-ID exchange not described
dpi.registry--business-register,No change,"The statutory business register is still operated manually, with no registration website and clearance through six offices ([assessment](2025-10-14-eritrea-focus-state-dept-ics-2024-business-register)).","An investment climate assessment records that Eritrea has no business-registration website and requires manual registration and clearance through six government offices ([assessment](2025-10-14-eritrea-focus-state-dept-ics-2024-business-register)).

The register itself is statutory: a 2002 proclamation requires the trade ministry to establish and maintain a business information register covering trade, manufacturing, services, fisheries and commercial farming, specifying the fields collected, annual reporting obligations, penalties and judicial review ([proclamation](2002-12-27-eritrea-business-information-register-proclamation-124)).

A register that exists in law and on paper is a different thing from a digital one, and nothing on the repository records the register being computerised or published.",ERI-dpi.registry-business,1,ERI-dpi.registry-business,,,,,,,2026-08-31,0,"external assessment: no registration website, manual registration through six offices"
dpi.registry--land-register,No change,"Land registration rests on the 1997 proclamation establishing the cadastral office, with no statement of its operational extent ([proclamation](1997-05-19-eritrea-proclamation-95-1997-land-registration-cadastral-office)).","The 1997 land registration proclamation established the Cadastral Office under the land, water and environment ministry, responsible for registering all land, rights over land and transfers of property, following the 1994 change of tenure under which all land belongs to the state with allocable private rights ([proclamation](1997-05-19-eritrea-proclamation-95-1997-land-registration-cadastral-office)).

The proclamation establishes the office and not the register's reach. The repository holds no parcel count, no coverage figure and no statement that the register is held digitally.",ERI-dpi.registry-land,,,,,,,,,2026-08-31,0,cadastral office in law since 1997; operational extent not on record
dpi.registry--electoral-register,No change,"The electoral law provides for a voter register, and nothing records one ever having been compiled ([electoral law](2026-06-08-eritrean-electoral-law-constitutionnet)).","The hosted electoral law, its proclamation number left blank, establishes an independent electoral commission and defines a voter register and voting cards ([electoral law](2026-06-08-eritrean-electoral-law-constitutionnet)).

The repository holds no record of a national election held under it, no commission constituted and no register compiled. The hosted text of the law is itself undated.

This is a register that exists as a statutory design and not as a system.",ERI-dpi.registry-electoral,1,ERI-dpi.registry-electoral,,,,,,,2026-08-31,0,"no election since 1993; register only in a draft law, never compiled on record"
dpi.registry--address-register,No change,Eritrea does not appear on the postal union's list of countries operating a postcode system ([reference](2026-08-01-upu-general-addressing-issues)).,"The Universal Postal Union's addressing reference, dated August 2026, does not list Eritrea among the countries that require or use a postal-code system, establishing that no national postcode system exists ([reference](2026-08-01-upu-general-addressing-issues)).

The document does not itself state whether any other national addressing scheme operates, and the repository holds nothing else on the question — no street-naming programme, no digital addressing initiative and no geocoding of the population registers.",ERI-dpi.registry-address,,,,,,,,,2026-08-31,0,"Absent from the postal union's postcode list; postcodes are not the whole addressing system, so no absence of addressing is cited"
gov.policy--data-interoperability-framework-roadmap,Movement,An action plan to domesticate the UN geospatial information framework was filed with the regional economic commission in April 2026 ([action plan](2026-04-06-uneca-eritrea-domesticated-igif-action-plan)).,"An action plan to domesticate the United Nations Integrated Geospatial Information Framework for Eritrea was filed with the regional economic commission's data and geospatial section on 6 April 2026 ([action plan](2026-04-06-uneca-eritrea-domesticated-igif-action-plan)).

The position it moves from is comprehensive absence: a 2022 structured assessment records no government enterprise architecture framework, no government interoperability framework, no data quality framework and no government service bus platform ([dataset](2022-01-01-eritrea-global-digital-identity-index-govtech)).

The plan is geospatial in scope rather than whole-of-government, and the repository holds no adoption date, budget or implementing body for it.",ERI-gov.policy-igif,,,,,,,,,2026-08-31,0,only a geospatial framework action plan on record; no government interoperability framework or cited absence
gov.policy--data-governance-policy,Movement,The only planning record touching data governance is a geospatial framework action plan filed in April 2026 ([action plan](2026-04-06-uneca-eritrea-domesticated-igif-action-plan)).,"An action plan to domesticate the geospatial information framework was filed in April 2026; its content is not held ([action plan](2026-04-06-uneca-eritrea-domesticated-igif-action-plan)).

Against it, a 2022 structured assessment records no data quality framework and no system exchanging data across financial management, human resources, customs, tax or social insurance ([dataset](2022-01-01-eritrea-global-digital-identity-index-govtech)), and there is no data-protection law or authority ([redetermination](2026-08-01-lawlab-africa-eritrea-data-protection)).

A sectoral plan is not a national data-governance policy, and nothing on the repository claims one exists.",ERI-gov.policy-igif,,,,,,,,,2026-08-31,0,only a geospatial framework action plan on record; no national data policy or cited absence
gov.legislate--legislation-enabling-data-interoperability,No change,No law enables data exchange between government systems; a 2022 assessment records no service bus and no cross-system exchange ([dataset](2022-01-01-eritrea-global-digital-identity-index-govtech)).,"A structured government-technology dataset for 2022 records no government interoperability framework and no system that exchanges data across financial management, human resources, customs, tax or social-insurance systems ([dataset](2022-01-01-eritrea-global-digital-identity-index-govtech)).

A regional ministerial assessment places Eritrea's data-protection policy area at a nascent stage without legislation or regulatory oversight ([policy matrix](2025-09-01-hoai-digital-policy-matrix-update-data-protection-nascent)), so there is also no legal basis on which systems could lawfully share personal data.

The one system that did move is closed rather than connected: the customs platform runs on an intranet architecture independent of continuous internet access ([account](2026-01-08-undp-eritrea-asycuda-world-digital-customs)).",ERI-dpi.exchange-asycuda-world,,,,,,,,,2026-08-31,0,only a customs platform on record; no data-sharing instrument or cited absence
