row_id,place,subject,section,kind,name,status,as_at,milestone,since,prior_status,prior_as_at,movement,position_start,position_end,sources,probe_at,note
GHA-infra.capacity-submarine-cable-inventory,GHA,infra.capacity,Infrastructure,instrument,Submarine cable inventory,"Implemented, list undated",2026-08-05,"Regulator landing-licence page, undated",,,,Baseline not held,,"The regulator names five submarine cable providers - SAT-3, MainOne, WASC, Glo and ACE - on an undated page resting the licence on section 3(8) of the Electronic Communications Act 2008; an analyst brief counts six cables landing at Accra and about 2.5 Tbps of international capacity in use (2024 estimate)",2026-08-05-nca-ghana-submarine-cable-landing|2025-07-01-xalam-d4d-data-centre-market-brief-ghana-2025,,"the regulator's list carries no date and predates later landings; the six-cable count is an analyst's, not the regulator's"
GHA-dpi.id-ghana-card,GHA,dpi.id,Digital public infrastructure,instrument,Ghana Card,Implemented,2026-05-22,"Backlog of 640,000 cards cleared and distributed by September 2025",Since 2006,,,Advanced,"About 18m adults registered, with a printed-card backlog outstanding and applications moved online","19.2m registered aged 15 and over, 262 institutions integrated, instant issuance nationwide and eleven overseas missions","2026-05-22-nia-clears-640000-backlog-diaspora-myjoy|2025-09-13 NIA clears Ghana Card backlog, issues instant card nationwide",,the institutions-integrated count moved from 95 in September 2025 to 262 in early 2026
GHA-dpi.id-national-identity-register-amendment-regulat,GHA,dpi.id,Digital public infrastructure,instrument,National Identity Register Amendment Regulations 2026,Implemented,2026-06-09,"In force 2026-06-09, signed 2 March and gazetted 27 March",,,,Advanced,Did not exist; the 2012 regulations as amended in 2018 were the standing rules,"Biometric-only verification is law, visual inspection and photocopying are barred, and penalties run to 2,000 penalty units for an organisation",2026-03-27-ghana-li-2523-national-identity-register-amendment-regulations-2026|2026-07-16-nia-li-2523-biometric-verification-press-release,,"the gazetted artefact is an image scan with no text layer, so the regulation is not machine-readable"
GHA-dpi.id-ghana-card-photocopy-ban-and-verification-se,GHA,dpi.id,Digital public infrastructure,instrument,Ghana Card photocopy ban and verification service,"Implemented, in transition",2026-07-22,Enforcement dated 2026-11-02,,,,Advanced,Did not exist,"A three-month transition from 27 July to 2 November 2026 for banks, telecoms operators, hospitals, schools, insurers and agencies, with a sanctions ladder to suspension of verification access and licence withdrawal",2026-07-23-graphic-ghana-card-photocopying-november-2-deadline|2026-07-16-ghana-card-digital-checks-compulsory-bbc,,"verification tied to SIM registration is explicitly excluded, with no timetable announced"
GHA-dpi.id-ghana-card-as-sole-banking-identity,GHA,dpi.id,Digital public infrastructure,instrument,Ghana Card as sole banking identity,Implemented,2026-01-11,"Revised central-bank guidance note, January 2026",,,,Baseline not held,,"Primary and sole identity document for financial onboarding at all regulated institutions, with biometric and liveness checks",2026-01-11 Ghana Card mandatory for banking and digital transactions - BoG,,
GHA-dpi.id-biometric-sim-re-registration,GHA,dpi.id,Digital public infrastructure,instrument,Biometric SIM re-registration,Planned,2026-07-22,Announced for the first quarter of 2026; timetable still unannounced,,,,Stalled,SIM registration moved fully online from June 2025,"A fresh nationwide biometric drive still not begun, with the 2021 to 2023 registration declared invalid and the 2022 biometrics confirmed never authenticated against the identity database",2026-07-23-graphic-ghana-card-photocopying-november-2-deadline|2025-12-05-ghana-new-sim-registration-2026-telecomreview|2025-10-13-ghana-2022-sim-biometric-never-authenticated-biometricupdate,,"liveness detection and 80% self-service are specified, with no start date on file"
GHA-dpi.id-ghana-card-enrolment-for-children-aged-6-to,GHA,dpi.id,Digital public infrastructure,instrument,Ghana Card enrolment for children aged 6 to 14,Implemented,2026-05-05,Registration resumed 2026-05-05,,,,Advanced,A plan announced to capture 7m under-fifteens and 3m diaspora,"3.1m children targeted, phased at 21 days per region, run jointly with the health insurance authority",2026-04-29-nia-targets-3million-children-6-14-myjoy|2026-05-29-ghana-mandatory-biometric-verification-child-enrolment-biometricupdate,,
GHA-dpi.id-paid-24-hour-identity-service-centre,GHA,dpi.id,Digital public infrastructure,instrument,Paid 24-hour identity service centre,Implemented,2026-08-01,Opened 2026-08-01,,,,Advanced,Did not exist,"A paid tier operating around the clock, all services attracting approved charges, the first of several planned nationwide",2026-07-30-ghana-nia-24-hour-prestige-centre-accra,,no fee schedule published and no queue baseline for the free centres it differentiates from
GHA-dpi.id-ghana-card-payment-functionality,GHA,dpi.id,Digital public infrastructure,instrument,Ghana Card payment functionality,Not held,2026-04-08,Claim denied by the issuing authority 2026-04-08,,,,No change,Did not exist,Still does not exist; the authority stated on 2026-04-08 that the card 'has not been activated for financial transaction purposes at this time',2026-04-08-no-financial-transactions-with-ghana-card-yet-says-nia|2026-04-01 RETRACTION Ghana's National ID cards can now make payments,,"Reconciled 2026-08-05: not a contradiction but erroneous trade reporting, retracted. Reports of an activated card wallet reachable through MyCitizens and a *402# short code circulated 1-6 April 2026; the National Identification Authority denied them in a press release of 2026-04-08 signed by Williams Ampomah Emmanuel Darlas, Head of Corporate Affairs, quoted at length by Graphic, Citi Newsroom, MyJoyOnline and Pulse. The authority acknowledged high-level discussions on future integration and stated they 'remain inconclusive as of the time of this release'."
GHA-dpi.pay-mobile-money-transaction-value,GHA,dpi.pay,Digital public infrastructure,measure,Mobile money transaction value,,2026-06,Central bank monthly data for June 2026,,,,Advanced,6.81bn transactions worth GH¢1.92tn in the full year 2023,"GH¢492.9bn on 954m transactions in June 2026 alone, up about 52% on June 2025",2026-07-30-myjoyonline-mobile-money-transactions-june-2026-bog-data|2024-01-01 Payment Systems Oversight Annual Report 2023 (Bank of Ghana),,
GHA-dpi.pay-registered-and-active-mobile-money-wallets,GHA,dpi.pay,Digital public infrastructure,measure,Registered and active mobile-money wallets,,2026-06,Central bank monthly data for June 2026,,,2025-06,Advanced,76.4m registered wallets in June 2025,"84.6m registered and 26.4m active at 90 days in June 2026, with wallet float at a record GH¢40bn from GH¢28.9bn, and one million registered agents of whom 546,000 are active",2026-07-30-myjoyonline-mobile-money-transactions-june-2026-bog-data,,"the inclusion figure is 26.4m active, under a third of registered wallets"
GHA-dpi.exchange-mobile-money-interoperability,GHA,dpi.exchange,Digital public infrastructure,instrument,Mobile money interoperability,Implemented,2026-06,Live since 2018,Since 2018,,,Advanced,"Instant-pay value of GH¢120.1bn in 2023, with the interoperable share of the market not stated","33.5m transactions worth GH¢6.2bn in June 2026, about 1.3% of total mobile-money value",2026-07-30-myjoyonline-mobile-money-transactions-june-2026-bog-data|2026-02-05 Ghana Mobile Money Interoperability Nearly Doubles in 2025,,"the share, not the volume, is the measure of interoperability"
GHA-dpi.pay-pan-african-payment-system-participation,GHA,dpi.pay,Digital public infrastructure,instrument,Pan-African payment system participation,Implemented,2026-07-28,A state-majority bank confirmed as designated national gateway,Since 2025-06-23,,,Advanced,A fintech-routed connection live under a six-month central-bank pilot,"National gateway designated, a second bank live in-app, and a naira corridor from February 2026",2026-07-28-gcb-bank-papss-partnership|2026-07-30-prudential-bank-papss-mobile-graphic|2025-06-23 Onafriq and PAPSS launch cross-border payments in Ghana,,"nothing quantified: no volumes, tariff, corridor list or designation date"
GHA-dpi.pay-central-bank-digital-currency-pilot,GHA,dpi.pay,Digital public infrastructure,instrument,Central bank digital currency pilot,Piloting,2026-05-20,Governor states the project is not abandoned,,,,Baseline not held,,Pilot stage with the focus pivoted to cross-border settlement for sub-regional trade; no rollout date,2026-05-20-ecedi-not-abandoned-governor-myjoy|2026-05-25-ecedi-cross-border-pivot-graphic,,
GHA-dpi.pay-digital-credit-service-provider-regime,GHA,dpi.pay,Digital public infrastructure,instrument,Digital credit service provider regime,Implemented,2026-08-03,Enforcement opened after the 30 June 2026 deadline elapsed,,,,Advanced,Did not exist,"A September 2025 directive in force from 1 November 2025, with applications from that month, the deadline elapsed and twenty unlicensed apps named on 2026-08-03",2026-07-20-bank-of-ghana-notice-22-unlicensed-digital-credit-services-providers|2026-08-03-bank-of-ghana-notice-25-publication-unlicensed-dcsps|2026-07-01-bank-of-ghana-digital-credit-services-faqs,,the notice that set the deadline is not held
GHA-dpi.pay-register-of-licensed-digital-credit-provider,GHA,dpi.pay,Digital public infrastructure,instrument,Register of licensed digital credit providers,Planned,2026-08-03,"Undertaken in July 2026 in due course, no date given",,,,No change,Did not exist,"Still unpublished, with a twenty-name blacklist of unlicensed apps published instead",2026-07-20-bank-of-ghana-notice-22-unlicensed-digital-credit-services-providers|2026-08-03-bank-of-ghana-notice-25-publication-unlicensed-dcsps,,a borrower can check twenty names and cannot check whether the twenty-first is licensed
GHA-dpi.pay-electronic-money-issuer-licence-revocation,GHA,dpi.pay,Digital public infrastructure,instrument,Electronic money issuer licence revocation,Discontinued,2026-07-14,Revoked 2026-07-14 under the Payment Systems and Services Act,,Implemented,2025-08-01,Closed,A licensed dedicated electronic money issuer and development-finance investee,"Licence revoked for electronic money not fully cash-backed, with premises access restricted by the central bank and police",2026-07-15-zeepay-licence-revocation-myjoy|2023-01-01-africa50-gha-zeepay-2023-zeepay-ghana-series-a5-equity-investment,,
GHA-dpi.pay-mobile-money-subsidiary-separation,GHA,dpi.pay,Digital public infrastructure,instrument,Mobile money subsidiary separation,Implemented,2026-03-31,Structural separation completed in the first quarter of 2026,,,,Advanced,Did not exist,The mobile-money subsidiary files its own condensed statements inside the parent's report and declared its own interim dividend,2026-07-31-scancom-plc-mtn-ghana-h1-2026-financial-report|2026-04-03-mtn-momo-standalone-fintech-techcabal,,the statutory basis is stated only by the secondary account
GHA-dpi.pay-active-mobile-money-users-dominant-operator,GHA,dpi.pay,Digital public infrastructure,measure,"Active mobile money users, dominant operator",,2026-06-30,18.3m active at 30 June 2026,,,,"Regressed, basis not established",,"19.3m at 31 December 2025 against 18.3m at 30 June 2026, with neither source stating the definition",2026-07-31-scancom-plc-mtn-ghana-h1-2026-financial-report|2026-07-31-clydestone-sues-mtn-ghana-mobile-money-ip,,
GHA-dpi.pay-renminbi-settlement-access,GHA,dpi.pay,Digital public infrastructure,instrument,Renminbi settlement access,Implemented,2026-08-04,Announced 2026-08-04 following central-bank approval,,,,Advanced,Did not exist,"Direct settlement in renminbi from cedi accounts, in real time or batch, without correspondent-bank intermediation",2026-08-04-ghana-stanbic-direct-yuan-settlement-cips|2026-07-27-standard-bank-cips-cny-8-billion-africa-china,,
GHA-dpi.govtech-ghana-gov-services-portal,GHA,dpi.govtech,Digital public infrastructure,instrument,Ghana.gov services portal,Implemented,2026-05-21,"Re-architecture workshop, 19 to 21 May 2026",,,,Stalled,"About 1,500 to 2,000 services live against a 16,000 target, with a redesign due in the fourth quarter of 2025",The redesign still not launched and no service count published since July 2025,2026-05-21-ghana-gov-shakeup-simpler-citizens-myjoy|2025-07-07-ghana-gov-16000-services-revamp-graphic|2025-07-10-ghana-16k-services-200m-world-bank-biometricupdate,,the fourth-quarter 2025 relaunch target passed with nothing on file recording delivery
GHA-dpi.govtech-electronic-procurement-system,GHA,dpi.govtech,Digital public infrastructure,instrument,Electronic procurement system,Implemented,2026-07-19,The finance minister directed all state institutions onto it,,,,Baseline not held,,"Mandatory end-to-end electronic procurement with pre-disclosed evaluation criteria, integrated with the national payment system",2026-07-19-myjoyonline-ghaneps-electronic-procurement-corruption-ppa,,"the procurement authority's claim is substantial reduction, not elimination, of procurement corruption"
GHA-dpi.govtech-customs-valuation-ai-system,GHA,dpi.govtech,Digital public infrastructure,instrument,Customs valuation AI system,Implemented,2026-07-17,Fully deployed from March 2026 after a January to February pilot,,,,Advanced,Did not exist,"About 366,000 declarations analysed to 2026-07-17, 24% triggering more than one valuation risk indicator, with collections up 17.5% against a 6.3% rise in declared value",2026-07-23-myjoyonline-publican-ai-customs-valuation-revenue|2026-07-23-ghana-2026-mid-year-fiscal-policy-review-speech,,"the figures are the finance ministry's own and unaudited, and importers have contested the rollout"
GHA-dpi.govtech-cross-border-electronic-commerce-tax-platfor,GHA,dpi.govtech,Digital public infrastructure,instrument,Cross-border electronic commerce tax platform,In development,2026-07-30,"Parliament approved 2026-07-28, live September 2026",,,,Advanced,Did not exist,"Piloted April 2026 with a named private operator and a first-full-year projection of GH¢3.2bn, which is a projection and not an outturn",2026-07-30-ghana-parliament-approves-electronic-revenue-platform-expenditure|2026-07-23-myjoyonline-cross-border-vat-foreign-digital-platforms|2026-07-31-ghana-minority-rejects-three-digital-tax-deals,,"model, total cost, duration and termination terms undisclosed"
GHA-dpi.govtech-fiscal-electronic-device-policy,GHA,dpi.govtech,Digital public infrastructure,instrument,Fiscal electronic device policy,Piloting,2026-07-30,"Pilot ends August 2026; 40,000 devices approved",,,,Baseline not held,,"An advanced pilot under the 2018 fiscal-device Act, to be paired with a reward scheme, with a projection of GH¢7.2bn a year",2026-07-23-ghana-2026-mid-year-fiscal-policy-review-speech|2026-07-30-ghana-parliament-approves-electronic-revenue-platform-expenditure,,unit cost and who ultimately bears it were not disclosed to Parliament
GHA-dpi.govtech-second-public-sector-reform-strategy,GHA,dpi.govtech,Digital public infrastructure,instrument,Second public sector reform strategy,In development,2026-07-30,Validated at a national stakeholder workshop 2026-07-30,,,,Advanced,Did not exist,"Draft on seven pillars, 27 programmes and 135 activities with the identity credential as the spine, expected at cabinet and Parliament by end-2026",2026-07-30-graphic-npsrs-ii-public-services-full-digitisation|2026-07-30-ghana-public-sector-reforms-tied-to-service-delivery,,"phase-one lessons are stated candidly: delayed fund releases, fragmented coordination, weak performance management"
GHA-dpi.mis-health-management-information-system,GHA,dpi.mis,Digital public infrastructure,instrument,Health management information system,In development,2025-10-29,Nationwide rollout directed for November 2025,,,,Baseline not held,,"Rollout directed and a vendor engaged; no completion, facility count or coverage figure held since",2025-10-29-health-ministry-new-digital-system-nhis-graphic,,replaces a failed US$77m contract with about 15m records reconstructed
