indicator_id,progress,summary,developments,row_ids,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier
gov.legislate--cybersecurity-legislation,Movement,"The [Cybercrime Act was approved on 3 July and printed on 24 July 2026](2026-07-24-liberia-cybercrime-act-2025-printed-act-mopt), six weeks before its announced signing, alongside [sector cybersecurity regulations](2026-01-13-liberia-lta-cybersecurity-regulations-reg-0013-2026) already in force.","The [printed Act creates a National Cybersecurity Council with the national CERT as technical arm and a 72-hour breach report to it](2026-07-24-liberia-cybercrime-act-2025-printed-act-mopt); an international index still places the country in its second-lowest maturity tier ([enactment](2026-08-20-tech-africa-liberia-enacts-cybercrime-data-protection-laws)).

The regulator's own 2026 regulations require telecom providers to store personal data primarily inside the country, notify the regulator of breaches within 24 hours and customers within 72, and keep security-event logs for at least twelve months; penalties apply only from a year after the effective date ([regulations](2026-01-13-liberia-lta-cybersecurity-regulations-reg-0013-2026)).

A National Cybersecurity Act scheduled for the third quarter of 2025 by the strategy's own action plan is not held as a draft, bill or enactment ([action plan](2024-07-01-liberia-national-cybersecurity-strategy-2025-2029)).

2026-09-19 - the Act entered its enforcement phase: [the Executive Protection Service's director warned that manipulated material could bring prosecution under it](2026-09-19-lbr-smartnewsliberia-cybercrime-act-free-speech), and [police confirmed that a man held over AI-generated images of the Vice-President was arrested under the Act; the Vice-President asked for his release and said he would not press charges](2026-09-21-lbr-newdawn-koung-seeks-release-ai-image-suspect). On 22 September a court [freed him on habeas corpus, and the main opposition party said it would ask the Supreme Court to rule on the Act](2026-09-23-lbr-fpa-cdc-cybercrime-law-supreme-court); no court has ruled on the offence.",LBR-infra.cybersec-cybercrime-act|LBR-infra.cybersec-lta-reg-0013|LBR-infra.cybersec-national-cybersecurity-act,3,LBR-infra.cybersec-cybercrime-act,,,,,,,2026-08-31,0,Act in force July 2026; no regulations under it or prosecution on record by the as-at
gov.legislate--legislation-covering-digital-id,No change,The [2011 Act](2011-08-08-liberia-national-identification-registry-act-2011) is the enacting statute for the biometric register and remains unamended.,"The [National Identification Registry Act](2011-08-08-liberia-national-identification-registry-act-2011), approved 1 August 2011, repeals the earlier decree, creates the autonomous registry, and makes the National Biometric Identification System, the biometric card and the Social Security Number the primary government identity number.

What has moved since is executive rather than legislative: [Executive Order 147](2025-04-01-liberia-executive-order-147-mandatory-nbis-enrollment) of April 2025 compels enrolment and verification, with data handling bound back to Part IX of the same Act. No amending statute is on the record.",LBR-gov.legislate-nir-act-2011,3,LBR-gov.legislate-nir-act-2011,,,,,,,2026-08-31,0,2011 Act in force establishing the registry; regulations and grievance provisions not on record
gov.legislate--digital-payments-legislation,No change,"The [mobile money regulations](2024-01-01 Liberia Mobile Money Regulations (Central Bank of Liberia)) are in force and unamended, and the interoperable fee schedule of 2026 was approved under them.","They are the central bank's standing mobile-money framework ([regulations](2024-01-01 Liberia Mobile Money Regulations (Central Bank of Liberia))).

No payments statute, electronic transactions act or switch instrument sits above them, so a fee schedule for a national instant payment system rests on a regulation written before that system existed.",LBR-gov.legislate-mobile-money-regs,3,LBR-gov.legislate-mobile-money-regs,,,,,,,2026-08-31,0,mobile money regulations in force; licensing and interoperability provisions not shown in rows
gov.legislate--legislation-enabling-data-interoperability,No change,[Executive Order 147](2025-04-01-liberia-executive-order-147-mandatory-nbis-enrollment) compels inter-agency verification against the identity register; no statute enables data exchange generally.,"[Executive Order 147](2025-04-01-liberia-executive-order-147-mandatory-nbis-enrollment) requires all public and private institutions to use the registry database, the Identity Query Portal and the e-Verification platform, which is the only operative instrument compelling data sharing across Liberian agencies.

It is an executive order resting on the [2011 Act](2011-08-08-liberia-national-identification-registry-act-2011), not a data-exchange statute. [Executive Order 163](2026-04-28-liberia-executive-order-163-otdi-national-digitalization) of April 2026 mandates a Government Interoperability Framework but is likewise executive.",LBR-dpi.id-eo147|LBR-dpi.id-identity-query-portal,3,LBR-dpi.id-eo147|LBR-dpi.id-identity-query-portal,,,,,,,2026-08-31,0,executive order requires verification against the registry; no implementing acts or custodian
gov.legislate--ai-legislation-regulations,No change,No artificial-intelligence instrument: a court reached [alleged AI-generated audio](2025-12-22-liberia-criminal-court-a-ai-generated-voice-recording-evidence-newdawn) through ordinary disclosure rules.,"At Criminal Court A on 19 December 2025 the defence [played an alleged AI-generated recording](2025-12-22-liberia-criminal-court-a-ai-generated-voice-recording-evidence-newdawn) to argue that social-media audio is inadmissible without forensic corroboration; the judge sustained the objection on disclosure grounds, applying no AI-specific rule because none exists in the reported reasoning.

The executive's own response to synthetic media is an appeal rather than a rule: in July 2026 the presidential press secretary [warned of fabricated and AI-generated documents](2026-07-16-liberia-emansion-ai-generated-documents-warning-frontpage-africa) attributed to government and asked citizens to authenticate through official channels.",LBR-gov.legislate-ai-regulation,1,LBR-gov.legislate-ai-regulation,,,,,,,2026-08-31,0,searched absence: no AI-specific instrument or evidentiary rule
gov.legislate--e-commerce-legislation,No change,The [2002 Electronic Transactions Law](2002-06-19-liberia-electronic-transactions-law-chapter-13-title-14) is the only enacted e-commerce statute and predates platforms entirely.,"Chapter 13 of Title 14, [approved 8 January 2002 and published 19 June 2002](2002-06-19-liberia-electronic-transactions-law-chapter-13-title-14), facilitates the use of electronic transactions for commercial purposes.

Nothing covering online consumer protection, platform obligations or intermediary liability has been enacted in the twenty-four years since. The repository holds no e-commerce bill in drafting.",LBR-gov.legislate-e-transactions-law,3,LBR-gov.legislate-e-transactions-law,,,,,,,2026-08-31,0,2002 Electronic Transactions Law; no online consumer protection or trust-service rules since
gov.legislate--statistics-legislation,No change,"The [2004 Act](2004-07-01-liberia-national-statistics-and-geo-information-act-2004) stands unamended, and was tested in the House in [June 2026](2026-06-29-liberia-hor-summons-nec-lisgis-constitutional-threshold).","The [National Statistics and Geo-Information Act](2004-07-01-liberia-national-statistics-and-geo-information-act-2004), approved 22 July 2004, creates the statistics office as an autonomous agency, empowers it to demand information from any ministry, bureau or agency, and binds its staff to an oath of confidentiality.

No amendment moved in the window. What did move is a test of the statutory role: in [June 2026 the House summoned](2026-06-29-liberia-hor-summons-nec-lisgis-constitutional-threshold) the director general and his statisticians to justify the population benchmarks behind a proposed expansion of the chamber from 73 to 87 seats.",LBR-gov.legislate-statistics-act-2004,3,LBR-gov.legislate-statistics-act-2004,,,,,,,2026-08-31,0,2004 Act in force; independence and coordination provisions not shown in rows
gov.legislate--access-to-information-legislation,No change,The telecommunications regulator continues to refuse to publish what the gateway monitoring system earns ([report](2026-08-31-smartnewsliberia-lta-revenue-disclosure-pressure)).,"The telecommunications regulator's board chairman again declined to say what the international gateway monitoring system has earned, and the dispute has acquired a legal edge ([report](2026-08-31-smartnewsliberia-lta-revenue-disclosure-pressure)).

2026-09-06 - the Act was enforced against agencies for the first time in the repository's record: the information commission and a transparency organisation [ran compliance visits from 11 August to 2 September 2026 covering the national identification registry, the statistics institute, the community empowerment agency and the water and sewer corporation, with three further agencies scheduled for 8 to 10 September](2026-09-06-liberia-iic-cental-foi-compliance-drive). No findings, compliance scores or enforcement actions from the round are published, and it is a partnership exercise rather than a statutory inspection regime.",LBR-data.open-lta-revenue|LBR-include.access-foi-compliance-enforcement-drive,,,,,,,,,2026-08-31,0,unplaced: mapped row shows only LTA disclosure refusals; the FOI Act 2010 sits under include.access-foi-act
gov.protect--data-protection-authority,Movement,"The [telecoms regulator fined an operator LRD 4m](2026-07-22-liberia-strips-starcell-of-operating-license) for issuing a subscriber's module to a third party, the first privacy penalty on the record.","It was imposed by the telecoms regulator rather than under data-protection law, which had none in force at the time ([fine](2026-07-22-liberia-strips-starcell-of-operating-license)).

The reform package announced the same month does not name a data-protection function ([package](2026-07-17-lta-telecom-reforms-star-cell-revoked-fpa)), and no data-protection authority exists to which such a case could now be brought.",LBR-gov.protect-orange-fine,2,LBR-gov.protect-orange-fine,,,,,,,2026-08-31,0,privacy enforcement by the telecom regulator; no data protection authority constituted
gov.protect--national-data-protection-readiness,Regressed,"A [riders' union memorandum](2026-08-16-liberia-motorcycle-union-digital-liberia-mou) would build digital identity, satellite tracking and a rider database for commercial motorcycle operators, with no data-protection basis reported.","It was signed in August 2026 between the union and a private digital services company, aimed at curbing vehicle theft and linking informal-sector riders to formal financial and government services ([memorandum](2026-08-16-liberia-motorcycle-union-digital-liberia-mou)).

It is a private arrangement covering location tracking of a working population: no custodian, retention rule or consent mechanism is reported, and no statutory backing is claimed. It was signed three days before the country's first data-protection statute took effect.

Officials [posted spreadsheets of children enrolled in a donor-funded social protection programme to Facebook, with names, schools, home addresses and caregivers](2026-09-14-lbr-fpa-officials-post-vulnerable-childrens-data), reported on 14 September 2026; no response from the gender ministry or the funder is reported, and no action under the data-protection statute is held.",LBR-dpi.id-motorcycle-rider-registry,,,,,,,,,2026-08-31,0,unplaced: mapped row is a private rider registry; the Act in force sits under gov.protect-dp-bill
gov.regional--regional-policy-collaboration,Movement,"[US$361,151.36 in arrears was waived](2026-08-03-liberia-atu-arrears-waiver-voting-rights) and voting rights restored at the continental telecommunications union in July 2026, after withholding dating to 1982.","Current obligations were arranged and the ratification instrument deposited ([waiver](2026-08-03-liberia-atu-arrears-waiver-voting-rights)).

Separately the central bank governor proposed shared cybersecurity standards, cross-border incident reporting and supervisory-technology adoption among West African regulators, citing the country's own instant-payment launch as a benchmark; nothing is adopted, funded or scheduled, and the proposal is one governor's rather than the college's position ([proposal](2026-08-19-liberianobserver-cbl-governor-cyber-resilience)).

2026-09-20 - the revenue authority [signed a memorandum to help its Gambian counterpart build a revenue collection dashboard on the model of its own](2026-09-21-gmb-gnnliberia-lra-gra-revenue-dashboard), [sending its dashboard's developer to Banjul for an initial three weeks](2026-09-21-gmb-thepoint-gra-lra-digital-cooperation-deal). It is peer assistance with no value stated.",LBR-gov.regional-atu-standing|LBR-gov.regional-cswamz-cyber-supervision|LBR-gov.regional-rwanda-e-government-study-visit|LBR-gov.regional-lra-gra-revenue-dashboard,2,LBR-gov.regional-atu-standing,,,,,,,2026-08-31,0,ATU voting rights restored; CSWAMZ cyber proposal is one governor's call with nothing adopted
gov.regional--regional-legal-harmonisation,No change,The [Standards Authority Act](2022-08-05-liberia-act-establishing-liberia-standards-authority) grounds the apex standards body expressly in ECOWAS quality-infrastructure instruments.,"The [2022 Act](2022-08-05-liberia-act-establishing-liberia-standards-authority) creating the Liberia Standards Authority cites the ECOWAS quality infrastructure — ECOQUAL, ECOSHAM and Regulation C/REG.19/12/13 — and World Trade Organization technical-barriers obligations as its grounding, which is regional legal harmonisation done through domestic enactment.

The [February 2026 entry](2026-02-20-liberia-ghana-sierra-leone-ecowas-free-roaming-agreement-lta) into the ECOWAS free roaming agreement with Ghana and Sierra Leone is the other harmonisation step the repository holds, with the regulator stressing that full implementation still had to follow.

2025-12-01 - banking identity is the third harmonisation track: the [African Development Fund approved a US$8m grant in 2023 for a West African Monetary Institute project to harmonise bank customer identification across four West African Monetary Zone countries, Liberia among them](2025-12-01 Biometric Digital-ID in Africa - Ten Country Case Studies). No implementation stage, vendor or Liberian start date is stated.",LBR-gov.standards-standards-authority|LBR-gov.regional-ecowas-roaming|LBR-gov.regional-wamz-unique-bank-identification,,,,,,,,,2026-08-31,0,no REC cyberlaw instrument referenced or domesticated in the rows
gov.regional--shared-regional-infrastructure,Movement,"[Free roaming with two neighbours](2025-02-05-west-african-roaming-mou-lbr-gmb-sle) has run since May 2025, and spare fibre on a four-country power grid is agreed for commercialisation.","The roaming arrangement puts a home module at local rates across the three countries, with no traffic or price data published ([roaming](2025-02-05-west-african-roaming-mou-lbr-gmb-sle)).

Regional consensus was reached in June 2026 to commercialise spare fibre on the shared transmission grid across four countries, which would give the country its first terrestrial redundancy against sole reliance on one submarine landing; no operator, tariff or date is published ([grid fibre](2026-06-16-transco-clsg-fibre-expansion-techafricanews)).",LBR-gov.regional-ecowas-roaming|LBR-infra.connect-clsg-fibre,3,LBR-gov.regional-ecowas-roaming,,,,,,,2026-08-31,0,three-country free roaming in effect; no traffic reported; CLSG fibre not in service
gov.regional--cross-border-data-transfers,Regressed,A rights organisation's reading puts the country [among three committing to hand over any data requested](2026-06-08-hrw-human-rights-assessment-afghs-bilateral-health-agreements) for an American audit without explicit privacy safeguards.,"It is also among two whose data-sharing arrangement is deferred to an unpublished appendix, and outside the five whose text requires unilateral specimen and pathogen-sequencing sharing; the signed memorandum carries no specimen clause ([assessment](2026-06-08-hrw-human-rights-assessment-afghs-bilateral-health-agreements)).

The same reading names the country as lacking a binding comprehensive data-protection law, which is what makes the audit-access provision acute. That law has since been signed, and the appendix is still unpublished.",LBR-gov.protect-afghs-data-sharing-arrangement,,,,,,,,,2026-08-31,0,rows hold only a health memorandum reading; no transfer rule on record
gov.standards--national-interoperability-standards,Movement,[Executive Order 163](2026-04-28-liberia-executive-order-163-otdi-national-digitalization) creates a central standards authority and requires an interoperability framework within 180 days.,"Before April 2026 no body owned government-wide technical standards. [Executive Order 163](2026-04-28-liberia-executive-order-163-otdi-national-digitalization) creates the Office of Technology, Digitalization and Innovation as that authority and requires a first release of the Government Interoperability Framework within 180 days, with an enterprise architecture framework and a digital systems inventory alongside.

The [chief technology officer's terms of reference](2026-07-17-liberia-otdi-terms-of-reference-executive-order-163) assign the drafting duty. Nothing has been published, so the standards themselves remain prospective.",LBR-dpi.exchange-interoperability-framework-between-gover|LBR-dpi.govtech-otdi,2,LBR-dpi.exchange-interoperability-framework-between-gover|LBR-dpi.govtech-otdi,,,,,,,2026-08-31,0,standards duty assigned to OTDI; nothing published by the as-at
gov.standards--national-quality-standards,No change,The [Liberia Standards Authority](2022-08-05-liberia-act-establishing-liberia-standards-authority) has been the apex national standards body since its enacting Act of August 2022.,"The [Act](2022-08-05-liberia-act-establishing-liberia-standards-authority) signed 5 August 2022 creates the authority as the apex national standards body, grounded in the ECOWAS quality infrastructure and World Trade Organization technical-barriers obligations.

The repository holds no standards catalogue, no accreditation record and no conformity-assessment output from the authority since. The capture of the Act itself is an excerpt, the source scan having yielded only the preamble and enacting clause.",LBR-gov.standards-standards-authority,2,LBR-gov.standards-standards-authority,,,,,,,2026-08-31,0,standards authority established 2022; no ICT or data standards or quality policy on record
gov.standards--adoption-of-international-standards,Movement,"[ePhyto](2026-04-21-liberia-launches-e-phyto-system-agricultural-trade) went live in April 2026, adding to the [numbering plan's](2023-12-01-liberia-lta-national-numbering-plan) adoption of ITU-T recommendations.","The [National Numbering Plan](2023-12-01-liberia-lta-national-numbering-plan) of December 2023 adopts ITU-T Recommendation E.164 for national number structure and E.212 for mobile country and network codes, giving an international standard domestic legal effect through the regulator.

In the window Liberia [launched the IPPC and FAO ePhyto exchange](2026-04-21-liberia-launches-e-phyto-system-agricultural-trade) on 20 April 2026 under the Regional ePhyto Africa Window, replacing paper phytosanitary certification with an internationally recognised digital certificate in support of the World Trade Organization trade facilitation agreement.",LBR-gov.standards-ephyto|LBR-gov.standards-numbering-plan,,,,,,,,,2026-08-31,0,ITU-T E.164 and E.212 adopted; ISO membership not on record
gov.discourse--non-governmental-contribution-to-national-policy,No change,The [2007 Act's](2007-01-01-liberia-telecommunications-act-2007) consultation duty is binding and was exercised twice in the window.,"Sections 7(1) and 11(4) of the [Telecommunications Act 2007](2007-01-01-liberia-telecommunications-act-2007) require the ministry and the regulator to consult publicly and take account of the results before adopting policy or exercising authority likely to have substantial sector impact — the clearest binding consultation duty the repository holds.

It was exercised on [satellite communications guidelines](2026-02-23-liberia-lta-consultation-document-satellite-communications-guidelines) from 23 February 2026, with a public forum, a comment deadline and a published consultation report. Outside the telecommunications duty, a [two-day consultation](2025-11-14-liberia-national-data-policy-multistakeholder-consultation-au) in November 2025 brought civil society, academia, the private sector and the media into drafting the National Data Policy.",LBR-gov.discourse-consultation-duty,3,LBR-gov.discourse-consultation-duty,,,,,,,2026-08-31,0,statutory consultation duty exercised with published consultation report
gov.discourse--open-discussion-of-government-policy,Regressed,"The [telecoms regulator's own revenue is unpublished](2026-08-04-lta-revenue-secrecy-raises-transparency-questions), a corruption complaint against it is under investigation, and the police answered a procurement question with a denial.","Its licensing fees, spectrum charges, regulatory levies and numbering receipts are not published, nor is an audited account of them ([revenue secrecy](2026-08-04-lta-revenue-secrecy-raises-transparency-questions), [alarm](2026-08-03-revenue-secrecy-at-lta-raises-alarm)).

A complaint over the replacement traffic-monitoring arrangement was forwarded to the anti-corruption commission's investigation unit on 30 July 2026, with no evidence publicly produced and no findings made ([complaint](2026-07-30-liberia-lacc-weighs-investigation-into-lta)).

The national police stated in August 2026 that no facility uses satellite internet and that connectivity comes from the state operator under an institutional contract, and confirmed buying used vehicles from an American firm; no contract, value or procurement record is published alongside the denial ([statement](2026-08-22-liberia-lnp-starlink-vehicle-procurement-fpa)).",LBR-data.open-lta-revenue|LBR-gov.discourse-lacc-probe|LBR-gov.discourse-police-connectivity-and-vehicle-procurement,,,,,,,,,2026-08-31,0,unplaced: press debate of LTA revenue on record but no published policy documents among mapped rows
finance.budget--sustainable-domestic-financing-of-digital-transformation,No change,The [Universal Access Fund](2015-09-01-liberia-lta-universal-access-fund-regulations-reg-0006) levy of 0.5 per cent of licensee revenue remains the only standing domestic mechanism.,"[LTA-REG-0006](2015-09-01-liberia-lta-universal-access-fund-regulations-reg-0006) sets the licensee contribution at 0.5 per cent of annual gross revenues, allows extraordinary contributions including national-budget allocations, and requires annual legislative approval for disbursement and audited accounts. Its most recent published deployment is a [satellite installation in Vahun District](2025-10-20-liberia-uaf-starlink-installed-vahun-district-lofa), Lofa County.

The wider fiscal space moved in the window rather than the digital allocation: [the general services tax rose from 12 to 13 per cent](2026-04-07-liberia-lra-adjustment-goods-and-services-tax-rates) from 1 May 2026 under the Tax Amendment Act, a prior action the [Fund's third review](2026-04-07-liberia-imf-country-report-26-98-third-ecf-review-rsf) records as closing a US$10m gap for the 2026 fiscal year. No digital line is identified inside it.",LBR-finance.budget-universal-access-fund,4,LBR-finance.budget-universal-access-fund,,,,,,,2026-08-31,0,universal access fund levy in regulation with deployments published; no budget execution report held
finance.mou--strategic-relationships,Movement,The [Cybaston five-year framework](2024-09-24-liberia-cybaston-five-year-digital-fast-track-agreement) is the standing vendor relationship; three further partnerships were signed in the window.,"The [master service framework signed 23 September 2024](2024-09-24-liberia-cybaston-five-year-digital-fast-track-agreement) covers undersea capacity of up to 1 Tbps, a data centre for consolidated e-government services, e-visa, e-tax and e-tourism, a security operations centre and an incident response team, with handover to the ministry in September 2029.

Added since: a [UNDP and operator memorandum](2025-11-05-undp-orange-liberia-mou-digital-transformation-youth) of 5 November 2025 on digital skills, innovation hubs and inclusion beyond Monrovia, with no value stated; a [five-year United States memorandum](2025-12-09-liberia-mofa-us-liberia-health-cooperation-mou) of 9 December 2025 committing US$124,418,400, with integrated digital health information systems named as one funded line; and Liberia's [first Digital Village](2026-05-26-liberia-digital-village-program-lofa-huawei-partnership) in Lofa County with Huawei, for which no signed instrument, value or duration is published.",LBR-finance.mou-cybaston|LBR-geopol.china-bri-mou,,,,,,,,,,,
finance.new--mobilisation-of-non-state-finance,Movement,"A [youth entrepreneurship investment bank](2026-07-28-liberian-observer-24-hour-digital-economy-national-switch) is put at almost US$18m targeting 30,000 businesses and about 100,000 jobs, with no disbursement stated.","A national coordinator has been recruited and a board is being constituted ([the bank](2026-07-28-liberian-observer-24-hour-digital-economy-national-switch)).

It is the only domestic financing instrument in the repository outside the central bank's own regulations, and it is stated by a minister at a town hall rather than in an appropriation or a charter.",LBR-finance.new-yeib,1,,0,per cent of GDP,2026,outputs/non-state-finance/LBR-nonstate.csv@2026-03-01,,,2026-08-31,0,no private digital commitment starting 2024–2026 on record
