fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25110,GUICHET ÚNICO PARA EMPRESAS,004,Administração Geral dos Organismos,3376,Despesas ao Abrigo das Receitas Consignadas,35390000 Outras Despesas Correntes Diversas,printed,printed,programme,,492029,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 37, U.G. 25110 GUICHET ÚNICO PARA EMPRESAS, Despesas Consignadas, P/A 3376 Despesas ao Abrigo das Receitas Consignadas, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25110-004-3376,GUICHET ÚNICO PARA EMPRESAS - Despesas ao Abrigo das Receitas Consignadas
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25110,GUICHET ÚNICO PARA EMPRESAS,006,Formação e Capacitação de Quadros Públicos,1053,Capacitação do Pessoal,33214000 Serviços de Ensino e Formação,printed,printed,programme,,50000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 37, U.G. 25110 GUICHET ÚNICO PARA EMPRESAS, Actividade, P/A 1053 Capacitação do Pessoal, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25110-006-1053,GUICHET ÚNICO PARA EMPRESAS - Capacitação do Pessoal
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25112,SERVIÇOS DE REGISTOS E DO NOTARIADO,004,Administração Geral dos Organismos,2000,Funcionamento e Manutenção da Unidade,33111000 Material de Consumo de Secretaria; 33112000 Combustíveis e Lubrificantes; 33222000 Serviços de Manutenção e Conservação,printed,printed,programme,,54500,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 38, U.G. 25112 SERVIÇOS DE REGISTOS E DO NOTARIADO, Actividade, P/A 2000 Funcionamento e Manutenção da Unidade, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25112-004-2000,SERVIÇOS DE REGISTOS E DO NOTARIADO - Funcionamento e Manutenção da Unidade
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25112,SERVIÇOS DE REGISTOS E DO NOTARIADO,006,Formação e Capacitação de Quadros Públicos,1053,Capacitação do Pessoal,33214000 Serviços de Ensino e Formação,printed,printed,programme,,40000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 38, U.G. 25112 SERVIÇOS DE REGISTOS E DO NOTARIADO, Actividade, P/A 1053 Capacitação do Pessoal, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25112-006-1053,SERVIÇOS DE REGISTOS E DO NOTARIADO - Capacitação do Pessoal
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25121,"SERVIÇO DE APOIO JURIDICO, INFORMÁTICO E ARQUIVO CENTRAL",004,Administração Geral dos Organismos,2000,Funcionamento e Manutenção da Unidade,33111000 Material de Consumo de Secretaria; 33112000 Combustíveis e Lubrificantes,printed,printed,programme,,25000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 38, U.G. 25121 SERVIÇO DE APOIO JURIDICO, INFORMÁTICO E ARQUIVO CENTRAL, Actividade, P/A 2000 Funcionamento e Manutenção da Unidade, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25121-004-2000,"SERVIÇO DE APOIO JURIDICO, INFORMÁTICO E ARQUIVO CENTRAL - Funcionamento e Manutenção da Unidade"
Exercício 2024,25000,"MINISTÉRIO DA JUSTIÇA, ADMINISTRAÇÃO PÚBLICA E DOS DIREITOS HUMANOS",25121,"SERVIÇO DE APOIO JURIDICO, INFORMÁTICO E ARQUIVO CENTRAL",006,Formação e Capacitação de Quadros Públicos,1053,Capacitação do Pessoal,33214000 Serviços de Ensino e Formação,printed,printed,programme,,20000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 38, U.G. 25121 SERVIÇO DE APOIO JURIDICO, INFORMÁTICO E ARQUIVO CENTRAL, Actividade, P/A 1053 Capacitação do Pessoal, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-25121-006-1053,"SERVIÇO DE APOIO JURIDICO, INFORMÁTICO E ARQUIVO CENTRAL - Capacitação do Pessoal"
Exercício 2024,27000,MINISTÉRIO DO PLANEAMENTO E FINANÇAS,27110,INSTITUTO NACIONAL DE ESTATÍSTICA,004,Administração Geral dos Organismos,1113,Transferência Corrente para Funcionamento do INE,35212100 Transferências Para Cobertura de Despesas com Pe; 35212200 Transferências Para Cobertura de Outros Custos O,printed,printed,programme,,9641532,,,,,,,appropriated,appropriated,whole,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 47, U.G. 27110 INSTITUTO NACIONAL DE ESTATÍSTICA, Actividade, P/A 1113 Transferência Corrente para Funcionamento do INE, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-27110-004-1113,INSTITUTO NACIONAL DE ESTATÍSTICA - Transferência Corrente para Funcionamento do INE
Exercício 2024,27000,MINISTÉRIO DO PLANEAMENTO E FINANÇAS,27110,INSTITUTO NACIONAL DE ESTATÍSTICA,137,"Inquéritos, Recenseamentos, Estudos e Pesquisas",3783,Recenseamento Geral da População e Habitação,41111000 Estudo de Viabilidade e Assistência Técnica,printed,printed,programme,,2000000,,,,,,,appropriated,appropriated,whole,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 47, U.G. 27110 INSTITUTO NACIONAL DE ESTATÍSTICA, Projecto, P/A 3783 Recenseamento Geral da População e Habitação, natureza line on fonte 01 acordo 0101",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-27110-137-3783-tesouro,INSTITUTO NACIONAL DE ESTATÍSTICA - Recenseamento Geral da População e Habitação
Exercício 2024,27000,MINISTÉRIO DO PLANEAMENTO E FINANÇAS,27124,DIRECÇÃO DE TECNOLOGIA DE INFORMAÇÃO,004,Administração Geral dos Organismos,2000,Funcionamento e Manutenção da Unidade,33111000 Material de Consumo de Secretaria; 33112000 Combustíveis e Lubrificantes; 33114000 Material de Consumo Corrente Especializado (Espe; 33223000 Serviços de Informática; 33225000 Representação de serviço; 35390000 Outras Despesas Correntes Diversas,printed,printed,programme,,935450,,,,,,,appropriated,appropriated,whole,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 48, U.G. 27124 DIRECÇÃO DE TECNOLOGIA DE INFORMAÇÃO, Actividade, P/A 2000 Funcionamento e Manutenção da Unidade, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-27124-004-2000,DIRECÇÃO DE TECNOLOGIA DE INFORMAÇÃO - Funcionamento e Manutenção da Unidade
Exercício 2024,27000,MINISTÉRIO DO PLANEAMENTO E FINANÇAS,27124,DIRECÇÃO DE TECNOLOGIA DE INFORMAÇÃO,006,Formação e Capacitação de Quadros Públicos,1053,Capacitação do Pessoal,33214000 Serviços de Ensino e Formação,printed,printed,programme,,100000,,,,,,,appropriated,appropriated,whole,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 48, U.G. 27124 DIRECÇÃO DE TECNOLOGIA DE INFORMAÇÃO, Actividade, P/A 1053 Capacitação do Pessoal, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-27124-006-1053,DIRECÇÃO DE TECNOLOGIA DE INFORMAÇÃO - Capacitação do Pessoal
Exercício 2024,29000,"MINISTÉRIO DA EDUCAÇÃO, CULTURA E CIÊNCIA",29104,DIRECÇÃO GERAL DE PLANEAMENTO E INOVAÇÃO EDUCATIVA,055,Gestão da Política de Educação,6156,Departamento Estatisticos,33112000 Combustíveis e Lubrificantes; 33119000 Outros Bens de Consumo Não Duradouros,printed,printed,programme,,84000,,,,,,,appropriated,appropriated,whole,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 51, U.G. 29104 DIRECÇÃO GERAL DE PLANEAMENTO E INOVAÇÃO EDUCATIVA, Actividade, P/A 6156 Departamento Estatisticos, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-29104-055-6156,DIRECÇÃO GERAL DE PLANEAMENTO E INOVAÇÃO EDUCATIVA - Departamento Estatisticos
Exercício 2024,32000,MINISTÉRIO DAS INFRAESTRUTURAS E RECURSOS NATURAIS,32108,DIRECÇÃO DOS SERVIÇOS GEOGRÁFICOS E CADASTRAIS,004,Administração Geral dos Organismos,2000,Funcionamento e Manutenção da Unidade,33111000 Material de Consumo de Secretaria; 33112000 Combustíveis e Lubrificantes; 33114000 Material de Consumo Corrente Especializado (Espe; 33115000 Matérias-Primas e Subsidiárias; 33119000 Outros Bens de Consumo Não Duradouros; 33121000 Bens Duradouros de Especialidade; 33129000 Outros Bens Duradouros,printed,printed,programme,,449700,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 62, U.G. 32108 DIRECÇÃO DOS SERVIÇOS GEOGRÁFICOS E CADASTRAIS, Actividade, P/A 2000 Funcionamento e Manutenção da Unidade, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-32108-004-2000,DIRECÇÃO DOS SERVIÇOS GEOGRÁFICOS E CADASTRAIS - Funcionamento e Manutenção da Unidade
Exercício 2024,32000,MINISTÉRIO DAS INFRAESTRUTURAS E RECURSOS NATURAIS,32108,DIRECÇÃO DOS SERVIÇOS GEOGRÁFICOS E CADASTRAIS,004,Administração Geral dos Organismos,3376,Despesas ao Abrigo das Receitas Consignadas,35390000 Outras Despesas Correntes Diversas,printed,printed,programme,,7902000,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 62, U.G. 32108 DIRECÇÃO DOS SERVIÇOS GEOGRÁFICOS E CADASTRAIS, Despesas Consignadas, P/A 3376 Despesas ao Abrigo das Receitas Consignadas, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-32108-004-3376,DIRECÇÃO DOS SERVIÇOS GEOGRÁFICOS E CADASTRAIS - Despesas ao Abrigo das Receitas Consignadas
Exercício 2024,32000,MINISTÉRIO DAS INFRAESTRUTURAS E RECURSOS NATURAIS,32108,DIRECÇÃO DOS SERVIÇOS GEOGRÁFICOS E CADASTRAIS,006,Formação e Capacitação de Quadros Públicos,1053,Capacitação do Pessoal,33214000 Serviços de Ensino e Formação,printed,printed,programme,,47758,,,,,,,appropriated,appropriated,partial,false,STN,budget-document,budget-estimates,"OGE 2024 vol. 5 Despesas Geral (Resumo de Despesas por U.G.-Função-SF-PG-P/A-FR-AC-Natureza Económica), p. 62, U.G. 32108 DIRECÇÃO DOS SERVIÇOS GEOGRÁFICOS E CADASTRAIS, Actividade, P/A 1053 Capacitação do Pessoal, VALOR DOTAÇÃO",2024-02-14-stp-oge-2024-despesas-geral-companion,,budgets/STP/2024.csv#stp-2024-32108-006-1053,DIRECÇÃO DOS SERVIÇOS GEOGRÁFICOS E CADASTRAIS - Capacitação do Pessoal
