fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
FY2024,403,403 MINISTRY OF COMMERCE AND INDUSTRY,403,Ministry of Commerce and Industry,0101,Liberia Business Registry,,,,printed,printed,programme,,765000,,,243705,,31.9,,appropriated,actual,unclear,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 403, Section 2 table by department and object of expenditure, department 0101 Liberia Business Registry, column FY2024 Budget (PDF p. 459, printed p. 438)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-403-0101,Liberia Business Registry
FY2024,404,404 MINISTRY OF POST AND TELECOMMUNICATION,404,Ministry of Post and Telecommunication,0983,National Digital Cyber Forensic Lab,,,,printed,printed,project,,105000,,,104976,,100.0,,appropriated,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2024 (approved book; Act approved 8 May 2024), chapter 404, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 0983, column FY2024 Budget (PDF p. 431, printed p. 410)",2024-06-29-lbr-national-budget-fy2024-companion,,budgets/LBR/2024.csv#lbr-2024-404-0983,National Digital Cyber Forensic Lab
FY2025,107,107 CIVIL SERVICE AGENCY,107,Civil Service Agency,0400,Human Resource Mangt Information System,,,,printed,printed,programme,188150,188150,,,,,,,proposed,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 107, Section 2 table by department and object of expenditure, department 0400 Human Resource Mangt Information System, column FY2025 Budget (PDF p. 90, printed p. 26)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-107-0400,Human Resource Mangt Information System
FY2025,108,108 GENERAL SERVICES AGENCY,108,General Services Agency,0300,Management Information Systems,,,,printed,printed,programme,10591,10591,,,,,,,proposed,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 108, Section 2 table by department and object of expenditure, department 0300 Management Information Systems, column FY2025 Budget (PDF p. 96, printed p. 32)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-108-0300,Management Information Systems
FY2025,130,130 MINISTRY OF FINANCE AND DEVELOPMENT PLANNING,130,Ministry of Finance and Development Planning,0300,Budget and Development Planning,,,263465 Transfer to IFMIS Budget Module Rollout,printed,printed,programme,100000,100000,,,,,,,proposed,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 130, Section 2 table by department and object of expenditure, department 0300 Budget and Development Planning, object 263465, column FY2025 Budget (PDF p. 140, printed p. 76)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-130-0300-263465,Transfer to IFMIS Budget Module Rollout
FY2025,130,130 MINISTRY OF FINANCE AND DEVELOPMENT PLANNING,130,Ministry of Finance and Development Planning,0500,Comptroller and Accountant General (CAG),,,221621 IFMIS License Fees,printed,printed,programme,165850,165850,,,,,,,proposed,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 130, Section 2 table by department and object of expenditure, department 0500 Comptroller and Accountant General (CAG), object 221621, column FY2025 Budget (PDF p. 143, printed p. 79)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-130-0500-221621,IFMIS License Fees
FY2025,130,130 MINISTRY OF FINANCE AND DEVELOPMENT PLANNING,130,Ministry of Finance and Development Planning,0500,Comptroller and Accountant General (CAG),,,263651 Transfer to IFMIS,printed,printed,programme,405600,405600,,,,,,,proposed,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 130, Section 2 table by department and object of expenditure, department 0500 Comptroller and Accountant General (CAG), object 263651, column FY2025 Budget (PDF p. 144, printed p. 80)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-130-0500-263651,Transfer to IFMIS
FY2025,140,140 LIBERIA REVENUE AUTHORITY(LRA),140,Liberia Revenue Authority,0830,Digitizing Revenue Transaction Systems Across Government (DRTS),,,,printed,printed,project,500000,500000,,,,,,,proposed,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 140, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 0830, column FY2025 Budget (PDF p. 145, printed p. 81)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-140-0830,Digitizing Revenue Transaction Systems Across Government (DRTS)
FY2025,142,142 NATIONAL IDENTIFICATION REGISTRY,142,National Identification Registry,0100,Administration and Management,,,,printed,printed,programme,798528,798528,,,731376,,91.6,,proposed,actual,whole,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 142, Section 2 table by department and economic classification, department 0100 Administration and Management, column FY2025 Budget (PDF p. 174, printed p. 110)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-142-0100,National Identification Registry
FY2025,301,301 MINISTRY OF EDUCATION,301,Ministry of Education,0238,National Digital Transformation Project,,,,printed,printed,project,1000000,600000,,,,,,,proposed,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 301, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 0238 National Digital Transformation Project, column FY2025 Budget (PDF p. 357, printed p. 301)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-301-0238-national-digital-transformation-project,National Digital Transformation Project
FY2025,301,301 MINISTRY OF EDUCATION,301,Ministry of Education,1801,"Planning, Research & Development",,,255250 Transfer to EMIS (Education Management Information System),printed,printed,programme,500000,200000,,,,,,,proposed,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 301, Section 2 table by department and object of expenditure, department 1801 Planning, Research & Development, object 255250, column FY2025 Budget (PDF p. 376, printed p. 320)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-301-1801-255250,Transfer to EMIS (Education Management Information System)
FY2025,310,310 MINISTRY OF HEALTH,310,Ministry of Health,0500,Health and Vital Statistics,,,,printed,printed,programme,1889880,1889880,,,,,,,proposed,appropriated,partial,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 310, Section 2 table by department and object of expenditure, department 0500 Health and Vital Statistics, column FY2025 Budget (PDF p. 287, printed p. 229)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-310-0500,Health and Vital Statistics
FY2025,403,403 MINISTRY OF COMMERCE AND INDUSTRY,403,Ministry of Commerce and Industry,0101,Liberia Business Registry,,,,printed,printed,programme,750000,750000,,,,,,,proposed,appropriated,unclear,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 403, Section 2 table by department and object of expenditure, department 0101 Liberia Business Registry, column FY2025 Budget (PDF p. 508, printed p. 462)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-403-0101,Liberia Business Registry
FY2025,404,404 MINISTRY OF POST AND TELECOMMUNICATION,404,Ministry of Post and Telecommunication,0238,National Postal Address System,,,,printed,printed,project,500000,250000,,,,,,,proposed,appropriated,partial,false,USD,budget-document,appropriation-act,"National Budget FY2025 (approved book; Act approved 6 January 2025), chapter 404, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 0238 National Postal Address System, column FY2025 Budget (PDF p. 475, printed p. 429)",2025-02-20-lbr-national-budget-fy2025-companion,,budgets/LBR/2025.csv#lbr-2025-404-0238-national-postal-address-system,National Postal Address System
FY2026,108,108 - General Services Agency,108,General Services Agency,10803,Management Information Systems,,,,printed,printed,programme,,8926,,,,,,,appropriated,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 108, Section 2 table by department and object of expenditure, department 10803 Management Information Systems, column FY 2026 Budget (PDF p. 73, printed p. 30)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-108-10803,Management Information Systems
FY2026,129,129 - Liberia Land Authority,129,Liberia Land Authority,024100,National Cadastre,,,,printed,printed,project,,1200000,,,,,,,appropriated,appropriated,unclear,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 129, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 024100, column FY2026 Budget (PDF p. 180, printed p. 137)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-129-024100,National Cadastre
FY2026,130,130 - Ministry of Finance and Development Planning,130,Ministry of Finance and Development Planning,13003,Budget and Development Plannin,,,263465 IFMIS Budget Module,printed,printed,programme,,100000,,,,,,,appropriated,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 130, Section 2 table by department and object of expenditure, department 13003 Budget and Development Plannin[g], object 263465, column FY 2026 Budget (PDF p. 108, printed p. 65)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-130-13003-263465,IFMIS Budget Module
FY2026,130,130 - Ministry of Finance and Development Planning,130,Ministry of Finance and Development Planning,13005,Department of Comptroller & Accountant General (CAG),,,263651 Transfer to IFMIS,printed,printed,programme,,405600,,,,,,,appropriated,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 130, Section 2 table by department and object of expenditure, department 13005 Department of Comptroller & Accountant General (CAG), object 263651, column FY 2026 Budget (PDF p. 110, printed p. 67)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-130-13005-263651,Transfer to IFMIS
FY2026,140,140 - Liberia Revenue Authority(LRA),140,Liberia Revenue Authority,083000,Digitizing Revenue Transaction Systems Across Government (DRTS),,,,printed,printed,project,,500000,,,,,,,appropriated,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 140, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 083000, column FY2026 Budget (PDF p. 111, printed p. 68)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-140-083000,Digitizing Revenue Transaction Systems Across Government (DRTS)
FY2026,142,142 - National Identification Registry,142,National Identification Registry,14201,Administration and Management,,,,printed,printed,programme,,1998528,,,,,,,appropriated,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 142, Section 2 table by department and economic classification, department 14201 Administration and Management, column FY 2026 Budget (PDF p. 142, printed p. 99)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-142-14201,National Identification Registry
FY2026,144,144 - General Government Expenditure,144,General Government Expenditure,14401,Expenditure Management,,,221621 IFMIS License fees,printed,printed,programme,,165850,,,,,,,appropriated,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 144, Section 2 table by department and object of expenditure, department 14401 Expenditure Management, object 221621, column FY 2026 Budget (PDF p. 124, printed p. 81)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-144-14401-221621,IFMIS License fees
FY2026,201,201 - Judiciary,201,Judiciary,024300,Digitization of Courts Records & Proceedings,,,,printed,printed,project,,355000,,,,,,,appropriated,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 201, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 024300, column FY2026 Budget (PDF p. 201, printed p. 158)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-201-024300,Digitization of Courts Records & Proceedings
FY2026,301,301 - Ministry of Education,301,Ministry of Education,30118,"Planning, Research & Development",,,255250 Education Management Information System (EMIS),printed,printed,programme,,200000,,,,,,,appropriated,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 301, Section 2 table by department and object of expenditure, department 30118 Planning, Research & Development, object 255250, column FY 2026 Budget (PDF p. 334, printed p. 291)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-301-30118-255250,Education Management Information System (EMIS)
FY2026,310,310 - Ministry of Health,310,Ministry of Health,31005,Health and Vital Statistics,,,,printed,printed,programme,,1889880,,,,,,,appropriated,appropriated,partial,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 310, Section 2 table by department and object of expenditure, department 31005 Health and Vital Statistics, column FY 2026 Budget (PDF p. 256, printed p. 213)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-310-31005,Health and Vital Statistics
FY2026,403,403 - Ministry of Commerce and Industry,403,Ministry of Commerce and Industry,40301,Transfer to Liberia Business Registry,,,,printed,printed,programme,,1500500,,,,,,,appropriated,appropriated,unclear,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 403, Summary by Policy Area/Department, 40301 Transfer to Liberia Business Registry, column FY 2026 Budget (PDF p. 475, printed p. 432)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-403-40301,Transfer to Liberia Business Registry
FY2026,404,404 - Ministry of Post and Telecommunication,404,Ministry of Post and Telecommunication,023874,National Postal Address System,,,,printed,printed,project,,1100000,,,,,,,appropriated,appropriated,partial,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 404, Summary of PSIP (Non-financial Assets) by Funding Source, Government of Liberia Funded Projects, project 023874, column FY2026 Budget (PDF p. 444, printed p. 401)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-404-023874,National Postal Address System
FY2026,404,404 - Ministry of Post and Telecommunication,404,Ministry of Post and Telecommunication,40401,Postal Services,,,263720 Transfer to Security & Data Protection Act,printed,printed,programme,,400000,,,,,,,appropriated,appropriated,whole,false,USD,budget-document,appropriation-act,"National Budget FY2026 (approved book; Act approved 22 December 2025), chapter 404, Section 2 table by department and object of expenditure, department 40401 Postal Services, object 263720, column FY 2026 Budget (PDF p. 446, printed p. 403)",2026-02-08-lbr-national-budget-fy2026-companion,,budgets/LBR/2026.csv#lbr-2026-404-40401-263720,Transfer to Security & Data Protection Act
