iso3,fiscal_year,doc_type,stages,status,due,held,as_of
COM,2025,appropriation-act,appropriated,held,2025-02,7,2026-09-26
COM,2026,appropriation-act,appropriated,held,2026-02,6,2026-09-26
COM,2024,budget-estimates,proposed|appropriated,held,2024-12,1,2026-09-26
COM,2025,budget-estimates,proposed|appropriated,held,2025-12,1,2026-09-26
COM,2026,budget-estimates,proposed|appropriated,not due,2026-12,0,2026-09-26
COM,2024,executive-instrument,revised|appropriated,held,2024-12,3,2026-09-26
COM,2025,executive-instrument,revised|appropriated,absent,2025-12,0,2026-09-26
COM,2026,executive-instrument,revised|appropriated,not due,2026-12,0,2026-09-26
COM,2024,implementation-report,released|actual,held,2026-03,2,2026-09-26
COM,2025,implementation-report,released|actual,not due,2027-03,0,2026-09-26
COM,2026,implementation-report,released|actual,not due,2028-03,0,2026-09-26
COM,2024,mtef,proposed,held,2025-04,2,2026-09-26
COM,2025,mtef,proposed,held,2026-04,2,2026-09-26
COM,2026,mtef,proposed,not due,2027-04,0,2026-09-26
CPV,2024,appropriation-act,appropriated,held,2024-01,6,2026-09-26
CPV,2025,appropriation-act,appropriated,held,2025-01,11,2026-09-26
CPV,2026,appropriation-act,appropriated,held,2026-01,12,2026-09-26
CPV,2024,audited-accounts,audited,held,2025-10,2,2026-09-26
CPV,2025,audited-accounts,audited,not due,2026-10,0,2026-09-26
CPV,2026,audited-accounts,audited,not due,2027-10,0,2026-09-26
CPV,2024,board-budget,appropriated,held,2024-02,4,2026-09-26
CPV,2025,board-budget,appropriated,held,2025-02,3,2026-09-26
CPV,2026,board-budget,appropriated,held,2026-02,3,2026-09-26
CPV,2024,budget-estimates,proposed|appropriated,held,2023-10,16,2026-09-26
CPV,2025,budget-estimates,proposed|appropriated,held,2024-10,6,2026-09-26
CPV,2026,budget-estimates,proposed|appropriated,held,2025-10,14,2026-09-26
CPV,2024,executive-instrument,revised|appropriated,held,2024-02,1,2026-09-26
CPV,2025,executive-instrument,revised|appropriated,held,2025-02,1,2026-09-26
CPV,2026,executive-instrument,revised|appropriated,held,2026-02,1,2026-09-26
CPV,2024,ifmis-extract,released|actual,held,2024-07,11,2026-09-26
CPV,2025,ifmis-extract,released|actual,held,2025-07,12,2026-09-26
CPV,2026,ifmis-extract,released|actual,held,2026-07,6,2026-09-26
CPV,2024,implementation-report,released|actual,held,2025-03,4,2026-09-26
CPV,2025,implementation-report,released|actual,held,2026-03,6,2026-09-26
CPV,2026,implementation-report,released|actual,held,2027-03,8,2026-09-26
CPV,2024,mtef,proposed,held,2023-10,2,2026-09-26
CPV,2025,mtef,proposed,held,2024-10,3,2026-09-26
CPV,2026,mtef,proposed,held,2025-10,3,2026-09-26
DJI,2024,appropriation-act,appropriated,held,2025-02,2,2026-09-26
DJI,2025,appropriation-act,appropriated,held,2026-02,2,2026-09-26
DJI,2026,appropriation-act,appropriated,not due,2027-02,0,2026-09-26
DJI,2024,audited-accounts,audited,held,2026-04,2,2026-09-26
DJI,2025,audited-accounts,audited,not due,2027-04,0,2026-09-26
DJI,2026,audited-accounts,audited,not due,2028-04,0,2026-09-26
DJI,2024,board-budget,appropriated,held,2024-03,2,2026-09-26
DJI,2025,board-budget,appropriated,held,2025-03,3,2026-09-26
DJI,2026,board-budget,appropriated,held,2026-03,1,2026-09-26
DJI,2024,implementation-report,released|actual,held,2026-02,1,2026-09-26
DJI,2025,implementation-report,released|actual,not due,2027-02,0,2026-09-26
DJI,2026,implementation-report,released|actual,not due,2028-02,0,2026-09-26
DZA,2024,appropriation-act,appropriated,held,2024-02,1,2026-09-26
DZA,2025,appropriation-act,appropriated,held,2025-02,1,2026-09-26
DZA,2026,appropriation-act,appropriated,held,2026-02,4,2026-09-26
DZA,2024,budget-estimates,proposed|appropriated,absent,2023-11,0,2026-09-26
DZA,2025,budget-estimates,proposed|appropriated,held,2024-11,1,2026-09-26
DZA,2026,budget-estimates,proposed|appropriated,held,2025-11,1,2026-09-26
DZA,2024,executive-instrument,revised|appropriated,held,2024-02,4,2026-09-26
DZA,2025,executive-instrument,revised|appropriated,held,2025-02,2,2026-09-26
DZA,2026,executive-instrument,revised|appropriated,absent,2026-02,0,2026-09-26
DZA,2024,implementation-report,released|actual,held,2026-01,1,2026-09-26
DZA,2025,implementation-report,released|actual,not due,2027-01,0,2026-09-26
DZA,2026,implementation-report,released|actual,not due,2028-01,0,2026-09-26
DZA,2024,mtef,proposed,held,2023-11,1,2026-09-26
DZA,2025,mtef,proposed,held,2024-11,1,2026-09-26
DZA,2026,mtef,proposed,held,2025-11,2,2026-09-26
EGY,2024,appropriation-act,appropriated,held,2024-08,2,2026-09-26
EGY,2025,appropriation-act,appropriated,held,2025-08,1,2026-09-26
EGY,2026,appropriation-act,appropriated,held,2026-08,1,2026-09-26
EGY,2024,audited-accounts,audited,held,2026-07,1,2026-09-26
EGY,2025,audited-accounts,audited,not due,2027-07,0,2026-09-26
EGY,2026,audited-accounts,audited,not due,2028-07,0,2026-09-26
EGY,2024,budget-estimates,proposed|appropriated,held,2024-10,6,2026-09-26
EGY,2025,budget-estimates,proposed|appropriated,held,2025-10,6,2026-09-26
EGY,2026,budget-estimates,proposed|appropriated,held,2026-10,5,2026-09-26
EGY,2024,implementation-report,released|actual,held,2026-01,5,2026-09-26
EGY,2025,implementation-report,released|actual,held,2027-01,3,2026-09-26
EGY,2026,implementation-report,released|actual,not due,2028-01,0,2026-09-26
EGY,2024,mtef,proposed,held,2024-03,2,2026-09-26
EGY,2025,mtef,proposed,held,2025-03,1,2026-09-26
EGY,2026,mtef,proposed,held,2026-03,3,2026-09-26
ETH,2024,appropriation-act,appropriated,held,2024-08,1,2026-09-26
ETH,2025,appropriation-act,appropriated,held,2025-08,11,2026-09-26
ETH,2026,appropriation-act,appropriated,held,2026-08,10,2026-09-26
ETH,2024,budget-estimates,proposed|appropriated,held,2024-08,18,2026-09-26
ETH,2025,budget-estimates,proposed|appropriated,held,2025-08,3,2026-09-26
ETH,2026,budget-estimates,proposed|appropriated,held,2026-08,1,2026-09-26
ETH,2024,implementation-report,released|actual,held,2025-06,4,2026-09-26
ETH,2025,implementation-report,released|actual,absent,2026-06,0,2026-09-26
ETH,2026,implementation-report,released|actual,not due,2027-06,0,2026-09-26
ETH,2024,mtef,proposed,absent,2024-04,0,2026-09-26
ETH,2025,mtef,proposed,absent,2025-04,0,2026-09-26
ETH,2026,mtef,proposed,absent,2026-04,0,2026-09-26
GAB,2024,appropriation-act,appropriated,held,2024-02,2,2026-09-26
GAB,2025,appropriation-act,appropriated,held,2025-02,1,2026-09-26
GAB,2026,appropriation-act,appropriated,held,2026-02,2,2026-09-26
GAB,2024,audited-accounts,audited,held,2025-11,1,2026-09-26
GAB,2025,audited-accounts,audited,not due,2026-11,0,2026-09-26
GAB,2026,audited-accounts,audited,not due,2027-11,0,2026-09-26
GAB,2024,budget-estimates,proposed|appropriated,absent,2023-11,0,2026-09-26
GAB,2025,budget-estimates,proposed|appropriated,absent,2024-11,0,2026-09-26
GAB,2026,budget-estimates,proposed|appropriated,absent,2025-11,0,2026-09-26
GHA,2024,appropriation-act,appropriated,held,2024-02,1,2026-09-26
GHA,2025,appropriation-act,appropriated,held,2025-02,1,2026-09-26
GHA,2026,appropriation-act,appropriated,held,2026-02,4,2026-09-26
GHA,2024,audited-accounts,audited,held,2025-07,2,2026-09-26
GHA,2025,audited-accounts,audited,absent,2026-07,0,2026-09-26
GHA,2026,audited-accounts,audited,not due,2027-07,0,2026-09-26
GHA,2024,budget-estimates,proposed|appropriated,held,2024-02,4,2026-09-26
GHA,2025,budget-estimates,proposed|appropriated,absent,2025-02,0,2026-09-26
GHA,2026,budget-estimates,proposed|appropriated,held,2026-02,11,2026-09-26
GHA,2024,implementation-report,released|actual,held,2024-08,2,2026-09-26
GHA,2025,implementation-report,released|actual,held,2025-08,1,2026-09-26
GHA,2026,implementation-report,released|actual,held,2026-08,1,2026-09-26
GIN,2024,appropriation-act,appropriated,held,2024-09,2,2026-09-26
GIN,2025,appropriation-act,appropriated,held,2025-09,3,2026-09-26
GIN,2026,appropriation-act,appropriated,held,2026-09,1,2026-09-26
GIN,2024,executive-instrument,revised|appropriated,held,2024-02,1,2026-09-26
GIN,2025,executive-instrument,revised|appropriated,held,2025-02,1,2026-09-26
GIN,2026,executive-instrument,revised|appropriated,held,2026-02,1,2026-09-26
GIN,2024,implementation-report,released|actual,held,2024-11,4,2026-09-26
GIN,2025,implementation-report,released|actual,held,2025-11,2,2026-09-26
GIN,2026,implementation-report,released|actual,held,2026-11,1,2026-09-26
GIN,2024,mtef,proposed,held,2023-08,1,2026-09-26
GIN,2025,mtef,proposed,held,2024-08,1,2026-09-26
GIN,2026,mtef,proposed,absent,2025-08,0,2026-09-26
GMB,2024,appropriation-act,appropriated,absent,2024-01,0,2026-09-26
GMB,2025,appropriation-act,appropriated,held,2025-01,2,2026-09-26
GMB,2026,appropriation-act,appropriated,absent,2026-01,0,2026-09-26
GMB,2024,audited-accounts,audited,held,2026-01,2,2026-09-26
GMB,2025,audited-accounts,audited,held,2027-01,2,2026-09-26
GMB,2026,audited-accounts,audited,not due,2028-01,0,2026-09-26
GMB,2024,board-budget,appropriated,held,2026-04,1,2026-09-26
GMB,2025,board-budget,appropriated,not due,2027-04,0,2026-09-26
GMB,2026,board-budget,appropriated,not due,2028-04,0,2026-09-26
GMB,2024,budget-estimates,proposed|appropriated,held,2024-02,2,2026-09-26
GMB,2025,budget-estimates,proposed|appropriated,held,2025-02,4,2026-09-26
GMB,2026,budget-estimates,proposed|appropriated,held,2026-02,4,2026-09-26
GMB,2024,implementation-report,released|actual,held,2024-10,13,2026-09-26
GMB,2025,implementation-report,released|actual,held,2025-10,13,2026-09-26
GMB,2026,implementation-report,released|actual,held,2026-10,4,2026-09-26
GMB,2024,mtef,proposed,absent,2023-08,0,2026-09-26
GMB,2025,mtef,proposed,held,2024-08,1,2026-09-26
GMB,2026,mtef,proposed,held,2025-08,1,2026-09-26
GNB,2024,budget-estimates,proposed|appropriated,held,2024-01,1,2026-09-26
GNB,2025,budget-estimates,proposed|appropriated,held,2025-01,1,2026-09-26
GNB,2026,budget-estimates,proposed|appropriated,held,2026-01,1,2026-09-26
GNB,2024,implementation-report,released|actual,held,2025-07,2,2026-09-26
GNB,2025,implementation-report,released|actual,held,2026-07,2,2026-09-26
GNB,2026,implementation-report,released|actual,held,2027-07,2,2026-09-26
GNB,2024,mtef,proposed,held,2024-04,1,2026-09-26
GNB,2025,mtef,proposed,absent,2025-04,0,2026-09-26
GNB,2026,mtef,proposed,absent,2026-04,0,2026-09-26
GNQ,2024,appropriation-act,appropriated,held,2024-01,1,2026-09-26
GNQ,2025,appropriation-act,appropriated,absent,2025-01,0,2026-09-26
GNQ,2026,appropriation-act,appropriated,absent,2026-01,0,2026-09-26
KEN,2024,audited-accounts,audited,held,2026-08,2,2026-09-26
KEN,2025,audited-accounts,audited,not due,2027-08,0,2026-09-26
KEN,2026,audited-accounts,audited,not due,2028-08,0,2026-09-26
KEN,2024,budget-estimates,proposed|appropriated,held,2024-07,17,2026-09-26
KEN,2025,budget-estimates,proposed|appropriated,held,2025-07,15,2026-09-26
KEN,2026,budget-estimates,proposed|appropriated,held,2026-07,14,2026-09-26
KEN,2024,implementation-report,released|actual,held,2025-06,1,2026-09-26
KEN,2025,implementation-report,released|actual,held,2026-06,2,2026-09-26
KEN,2026,implementation-report,released|actual,not due,2027-06,0,2026-09-26
LBR,2024,appropriation-act,appropriated,held,2024-03,1,2026-09-26
LBR,2025,appropriation-act,appropriated,held,2025-03,1,2026-09-26
LBR,2026,appropriation-act,appropriated,held,2026-03,1,2026-09-26
LBR,2024,audited-accounts,audited,held,2025-06,2,2026-09-26
LBR,2025,audited-accounts,audited,held,2026-06,1,2026-09-26
LBR,2026,audited-accounts,audited,not due,2027-06,0,2026-09-26
LBR,2024,budget-estimates,proposed|appropriated,held,2024-04,1,2026-09-26
LBR,2025,budget-estimates,proposed|appropriated,held,2025-04,1,2026-09-26
LBR,2026,budget-estimates,proposed|appropriated,held,2026-04,1,2026-09-26
LBR,2024,implementation-report,released|actual,held,2024-09,1,2026-09-26
LBR,2025,implementation-report,released|actual,held,2025-09,2,2026-09-26
LBR,2026,implementation-report,released|actual,held,2026-09,4,2026-09-26
LBR,2024,mtef,proposed,absent,2023-11,0,2026-09-26
LBR,2025,mtef,proposed,held,2024-11,1,2026-09-26
LBR,2026,mtef,proposed,absent,2025-11,0,2026-09-26
LBY,2024,appropriation-act,appropriated,held,2025-01,1,2026-09-26
LBY,2025,appropriation-act,appropriated,held,2026-01,1,2026-09-26
LBY,2026,appropriation-act,appropriated,not due,2027-01,0,2026-09-26
LBY,2024,audited-accounts,audited,held,2026-01,1,2026-09-26
LBY,2025,audited-accounts,audited,not due,2027-01,0,2026-09-26
LBY,2026,audited-accounts,audited,not due,2028-01,0,2026-09-26
LBY,2024,implementation-report,released|actual,held,2025-02,1,2026-09-26
LBY,2025,implementation-report,released|actual,absent,2026-02,0,2026-09-26
LBY,2026,implementation-report,released|actual,held,2027-02,1,2026-09-26
LSO,2024,appropriation-act,appropriated,held,2024-05,3,2026-09-26
LSO,2025,appropriation-act,appropriated,held,2025-05,1,2026-09-26
LSO,2026,appropriation-act,appropriated,held,2026-05,1,2026-09-26
LSO,2024,audited-accounts,audited,held,2027-05,1,2026-09-26
LSO,2025,audited-accounts,audited,not due,2028-05,0,2026-09-26
LSO,2026,audited-accounts,audited,not due,2029-05,0,2026-09-26
LSO,2024,budget-estimates,proposed|appropriated,held,2025-03,3,2026-09-26
LSO,2025,budget-estimates,proposed|appropriated,held,2026-03,2,2026-09-26
LSO,2026,budget-estimates,proposed|appropriated,held,2027-03,1,2026-09-26
LSO,2024,implementation-report,released|actual,held,2025-06,3,2026-09-26
LSO,2025,implementation-report,released|actual,held,2026-06,1,2026-09-26
LSO,2026,implementation-report,released|actual,held,2027-06,1,2026-09-26
LSO,2024,mtef,proposed,absent,2023-10,0,2026-09-26
LSO,2025,mtef,proposed,absent,2024-10,0,2026-09-26
LSO,2026,mtef,proposed,held,2025-10,1,2026-09-26
MAR,2024,appropriation-act,appropriated,held,2024-01,1,2026-09-26
MAR,2025,appropriation-act,appropriated,held,2025-01,1,2026-09-26
MAR,2026,appropriation-act,appropriated,held,2026-01,1,2026-09-26
MAR,2024,audited-accounts,audited,held,2026-08,1,2026-09-26
MAR,2025,audited-accounts,audited,not due,2027-08,0,2026-09-26
MAR,2026,audited-accounts,audited,not due,2028-08,0,2026-09-26
MAR,2024,budget-estimates,proposed|appropriated,held,2024-01,2,2026-09-26
MAR,2025,budget-estimates,proposed|appropriated,held,2025-01,4,2026-09-26
MAR,2026,budget-estimates,proposed|appropriated,held,2026-01,1,2026-09-26
MAR,2024,implementation-report,released|actual,held,2025-02,2,2026-09-26
MAR,2025,implementation-report,released|actual,held,2026-02,1,2026-09-26
MAR,2026,implementation-report,released|actual,held,2027-02,1,2026-09-26
MAR,2024,mtef,proposed,absent,2023-12,0,2026-09-26
MAR,2025,mtef,proposed,held,2024-12,1,2026-09-26
MAR,2026,mtef,proposed,held,2025-12,1,2026-09-26
MDG,2024,appropriation-act,appropriated,held,2024-08,2,2026-09-26
MDG,2025,appropriation-act,appropriated,held,2025-08,1,2026-09-26
MDG,2026,appropriation-act,appropriated,held,2026-08,3,2026-09-26
MDG,2024,audited-accounts,audited,held,2026-04,2,2026-09-26
MDG,2025,audited-accounts,audited,held,2027-04,1,2026-09-26
MDG,2026,audited-accounts,audited,not due,2028-04,0,2026-09-26
MDG,2024,board-budget,appropriated,held,2025-12,1,2026-09-26
MDG,2025,board-budget,appropriated,not due,2026-12,0,2026-09-26
MDG,2026,board-budget,appropriated,not due,2027-12,0,2026-09-26
MDG,2024,budget-estimates,proposed|appropriated,held,2024-01,7,2026-09-26
MDG,2025,budget-estimates,proposed|appropriated,held,2025-01,3,2026-09-26
MDG,2026,budget-estimates,proposed|appropriated,held,2026-01,1,2026-09-26
MDG,2024,executive-instrument,revised|appropriated,held,2024-02,1,2026-09-26
MDG,2025,executive-instrument,revised|appropriated,held,2025-02,1,2026-09-26
MDG,2026,executive-instrument,revised|appropriated,held,2026-02,1,2026-09-26
MDG,2024,implementation-report,released|actual,held,2024-10,5,2026-09-26
MDG,2025,implementation-report,released|actual,held,2025-10,3,2026-09-26
MDG,2026,implementation-report,released|actual,not due,2026-10,0,2026-09-26
MDG,2024,mtef,proposed,held,2024-01,2,2026-09-26
MDG,2025,mtef,proposed,held,2025-01,1,2026-09-26
MDG,2026,mtef,proposed,absent,2026-01,0,2026-09-26
MLI,2024,appropriation-act,appropriated,held,2024-01,2,2026-09-26
MLI,2025,appropriation-act,appropriated,held,2025-01,1,2026-09-26
MLI,2026,appropriation-act,appropriated,absent,2026-01,0,2026-09-26
MLI,2024,audited-accounts,audited,held,2026-03,1,2026-09-26
MLI,2025,audited-accounts,audited,held,2027-03,1,2026-09-26
MLI,2026,audited-accounts,audited,not due,2028-03,0,2026-09-26
MLI,2024,budget-estimates,proposed|appropriated,held,2023-11,4,2026-09-26
MLI,2025,budget-estimates,proposed|appropriated,held,2024-11,4,2026-09-26
MLI,2026,budget-estimates,proposed|appropriated,held,2025-11,3,2026-09-26
MLI,2024,executive-instrument,revised|appropriated,held,2024-01,1,2026-09-26
