place,fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_locator,programme_line
BDI,2025/26,,,,MFBEN (self - spends its own vote),,,,,,,,185765040,,,,,,revised,revised,whole,false,BIF,budget-document,"CANEVAS-RAPPORT_MFBEN_2025-2026_T3.xlsx, CODE NOMENCLATURE (Economie Numerique)",MFBEN
BDI,2025/26,,,,"Ministry of Interior, Community Development and Public Security (MIDCSP)",,,,,,,,2000000000,,,,,,revised,revised,whole,false,BIF,budget-document,CANEVAS-RAPPORT_MIDCSP_2025-2026_T3.xlsx - Extension de la digitalisation de la collecte des recettes dans les communes,"Ministry of Interior, Community Development and Public Security"
BDI,2025/26,,,,"Ministry of Interior, Community Development and Public Security (MIDCSP)",,,,,,,,2500000000,,,,,,revised,revised,whole,false,BIF,budget-document,CANEVAS-RAPPORT_MIDCSP_2025-2026_T3.xlsx - Payer les frais d'entretien du logiciel de production des documents de securite,"Ministry of Interior, Community Development and Public Security"
BDI,2025/26,,,,"Ministry of Interior, Community Development and Public Security (MIDCSP)",,,,,,,,120065000,,,,,,revised,revised,whole,false,BIF,budget-document,CANEVAS-RAPPORT_MIDCSP_2025-2026_T3.xlsx - Assurer la maintenance du logiciel de production des permis de conduire,"Ministry of Interior, Community Development and Public Security"
BDI,2025/26,,,,SETIC (Secretariat Executif des TIC),,,,,,,,1174689923,,,,,,revised,revised,whole,false,BIF,budget-document,"CANEVAS-RAPPORT_MFBEN_2025-2026_T3.xlsx, Assurer le fonctionnement du SETIC",SETIC
BDI,2026/27,,,,,,,,,,16000000000,,,,,,,,proposed,proposed,whole,false,BIF,official-statement,(reporting/statement — no vote/programme code stated),bdi-2026-cni-biometrique
BDI,2026/27,,,,,,,,,,,,11400288125,,,,,,revised,revised,whole,false,BIF,budget-document,"FSU PPM revise 2026-2027 (armp.gov.bi/archives/10856), lignes 1,2,3,6,7,8,9",bdi-2026-fsu-connectivite-institutions
BEN,2024,,,,Autorité de Protection des Données à Caractère Personnel (APDP),,,,,,,488277000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `014`, 2024 column block",Dotation pour l'Autorité de Protection des Données à Caractère Personnel
BEN,2024,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,,9159477000,,,,,,,appropriated,appropriated,partial,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `109`, 2024 column block",Médias
BEN,2024,,,,Ministère du Travail et de la Fonction Publique (M.T.F.P),,,,,,,1745017000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `044`, 2024 column block",Modernisation de l'administration publique
BEN,2024,,,,Ministère de l'Économie et des Finances (M.E.F) — compte d'affectation spéciale,,,,,,,6000000000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `108`, 2024 column block",Modernisation des régies financières
BEN,2024,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,,6656403000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `111`, 2024 column block",Numérique
BEN,2024,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,,2495650000,,,,,,,appropriated,appropriated,partial,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `100`, 2024 column block",Pilotage et soutien aux services du MND
BEN,2025,,,,Autorité de Protection des Données à Caractère Personnel (APDP),,,,,,,638277000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `014`, 2025 column block",Dotation pour l'Autorité de Protection des Données à Caractère Personnel
BEN,2025,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,,10203391000,,,,,,,appropriated,appropriated,partial,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `109`, 2025 column block",Médias
BEN,2025,,,,Ministère du Travail et de la Fonction Publique (M.T.F.P),,,,,,,1812438000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `044`, 2025 column block",Modernisation de l'administration publique
BEN,2025,,,,Ministère de l'Économie et des Finances (M.E.F) — compte d'affectation spéciale,,,,,,,6000000000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `108`, 2025 column block",Modernisation des régies financières
BEN,2025,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,,6386858000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `111`, 2025 column block",Numérique
BEN,2025,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,,2401717000,,,,,,,appropriated,appropriated,partial,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2027, budget LF 2025*, sheet `Classif Prog-Admin-Eco`, row `100`, 2025 column block",Pilotage et soutien aux services du MND
BEN,2026,,,,Autorité de Protection des Données à Caractère Personnel (APDP),,,,,,,738277000,,,184569250,,25.0,25.0,appropriated,actual,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2028, budget LF 2026*, sheet `Classif Prog-Admin-Eco`, row `014`, 2026 column block",Dotation pour l'Autorité de Protection des Données à Caractère Personnel
BEN,2026,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,,12681648973,,,234446843,,1.8,1.8,appropriated,actual,partial,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2028, budget LF 2026*, sheet `Classif Prog-Admin-Eco`, row `109`, 2026 column block",Médias
BEN,2026,,,,Ministère du Travail et de la Fonction Publique (M.T.F.P),,,,,,,1779754024,,,92244238,,5.2,5.2,appropriated,actual,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2028, budget LF 2026*, sheet `Classif Prog-Admin-Eco`, row `044`, 2026 column block",Modernisation de l'administration publique
BEN,2026,,,,Ministère de l'Économie et des Finances (M.E.F) — compte d'affectation spéciale,,,,,,,6000000000,,,957413666,,16.0,16.0,appropriated,actual,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2028, budget LF 2026*, sheet `Classif Prog-Admin-Eco`, row `108`, 2026 column block",Modernisation des régies financières
BEN,2026,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,5872151413,5872151413,,,77247968,,1.3,1.3,appropriated,actual,whole,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2028, budget LF 2026*, sheet `Classif Prog-Admin-Eco`, row `111`, 2026 column block",Numérique
BEN,2026,,,,Ministère du Numérique et de la Digitalisation (M.N.D),,,,,,,2184235167,,,439474918,,20.1,20.1,appropriated,actual,partial,false,XOF,budget-document,"*Tableaux de classifications croisées des dépenses de l'État sur la période pluriannuelle 2022-2028, budget LF 2026*, sheet `Classif Prog-Admin-Eco`, row `100`, 2026 column block",Pilotage et soutien aux services du MND
BEN,2026,,,,Ministère de l'Intérieur et de la Sécurité Publique (M.I.S.P),,,,,,,2331784417,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"*PAP VLF 2026 du MISP*, §4.1 *Ventilation des dépenses par unités administratives, activités et nature économique (en FCFA)*, programme 080, Action 4",Développement du système d'information et d'archivage
BFA,—,,,,"Ministère de la Transition digitale, des Postes et des Communications électroniques (MTDPCE)",,"Projet de couverture de 750 zones blanches, under the « Chantier zéro zone blanche »",,,,,,,,,,,,unclear,unclear,whole,false,XOF,reporting,—,"Projet de couverture de 750 zones blanches, under the « Chantier zéro zone blanche »"
BFA,—,,,,,,,,,,,,,,3000000000,,,,actual,actual,whole,false,XOF,reporting,,bfa-2025-state-network-restoration
BFA,—,,,,"Ministère de la Transition digitale, des Postes et des Communications électroniques bf-ministry-digital-transition",,,,,,,,,,,,,,unclear,unclear,whole,false,XOF,reporting,,"Ministère de la Transition digitale, des Postes et des Communications électroniques bf-ministry-digital-transition"
BFA,2024,,,,Agence nationale de sécurité des systèmes d'information (ANSSI),,,,,,,444200000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°042-2023/ALT du 15 décembre 2023, chapitre 4013000311 « ANSSI », programme 006, section 03 Primature",Agence nationale de sécurité des systèmes d'information
BFA,2024,,,,"Office National d'Identification (ONI), and the Projet IRAPOL",,,,,,,4357486000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°042-2023/ALT du 15 décembre 2023, section 09, *Prévision des dépenses par actions* and *…par programmes, actions, par chapitres et par activités*, action 01208",Documents biométriques d'identification
BFA,2024,,,,"Ministère de l'Économie, des Finances et de la Prospective",,,,,,,1450000000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°042-2023/ALT du 15 décembre 2023, section 14, programme 038, action 03805, chapitre 1803100311",Projets Informatiques
BFA,2024,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,1387136000,,,272081258,,19.6,19.6,appropriated,actual,whole,false,XOF,budget-document,"loi n°042-2023/ALT du 15 décembre 2023, *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",Developpement d'infrastructures de communications électroniques
BFA,2024,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,926460000,,,663028000,,71.6,71.6,appropriated,actual,whole,false,XOF,budget-document,"loi n°042-2023/ALT du 15 décembre 2023, *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",Transformation et écosystème numérique
BFA,2024,,,,Commission de l'Informatique et des Libertés (CIL),,,,,,,857062000,,,799459500,,93.3,93.3,appropriated,actual,whole,false,XOF,budget-document,"loi n°042-2023/ALT du 15 décembre 2023, section 59, *Prévision des dépenses globales par nature* and *…par programme*",Protection des données à caractère personnel
BFA,2025,,,,"Office National d'Identification (ONI), and the Projet IRAPOL",,,,,,,5174480000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°042-2024/ALT du 23 décembre 2024, section 13, *Prévision des dépenses par actions* and *…par programmes, actions, par chapitres et par activités*, action 01208",Documents biométriques d'identification
BFA,2025,,,,Ministère de l'Économie et des Finances,,,,,,,300000000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°042-2024/ALT du 23 décembre 2024, section 14, programme 038, action 03805, chapitre 1803100311",Projets Informatiques
BFA,2025,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,1245357000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°042-2024/ALT du 23 décembre 2024, *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",Developpement d'infrastructures de communications électroniques
BFA,2025,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,5845994000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°042-2024/ALT du 23 décembre 2024, *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",Transformation et écosystème numérique
BFA,2025,,,,Agence nationale de sécurité des systèmes d'information (ANSSI),,,,,,,498036000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°042-2024/ALT du 23 décembre 2024, section 31, programme 136, action 13604 « Sécurisation des systèmes d'information nationaux »",Agence nationale de sécurité des systèmes d'information
BFA,2025,,,,Commission de l'Informatique et des Libertés (CIL),,,,,,,498999000,,,480297496,,96.3,96.3,appropriated,actual,whole,false,XOF,budget-document,"loi n°042-2024/ALT du 23 décembre 2024, section 59, *Prévision des dépenses globales par nature* and *…par programme*",Protection des personnes à l'égard du traitement des données à caractère personnel
BFA,2026,,,,"Office National d'Identification (ONI), and the Projet IRAPOL",,,,,,,5025702000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), section 13, *Prévision des dépenses par actions* and *…par programmes, actions, par chapitres et par activités*, action 16803",Documents biométriques d'identification
BFA,2026,,,,Ministère de l'Économie et des Finances,,,,,,,500000000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), section 14, programme 038, action 03805, chapitre 1803100311",Projets Informatiques
BFA,2026,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,1187169000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",Developpement d'infrastructures de communications électroniques
BFA,2026,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,1916611000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",Transformation et écosystème numérique
BFA,2026,,,,Agence nationale de sécurité des systèmes d'information (ANSSI),,,,,,,489236000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), section 31, programme 136, action 13604 « Sécurisation des systèmes d'information nationaux »",Agence nationale de sécurité des systèmes d'information
BFA,2026,,,,Commission de l'Informatique et des Libertés (CIL),,,,,,,489799000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), section 59, *Prévision des dépenses globales par nature* and *…par programme*",Protection des personnes à l'égard du traitement des données à caractère personnel
BWA,NDP 12,,,,,,,,,,4130000000,,,,,,,,proposed,proposed,partial,false,BWP,reporting,,bwa-ndp12-burs-modernisation-proposed
BWA,NDP 12,,,,,,,,,,486000000,,,,,,,,proposed,proposed,whole,false,BWP,reporting,,bwa-ndp12-finance-ministry-ict-development-proposed
BWA,2024/25,,,,"Ministry for State President, Defence and Security (organisation 0200)",,,,,,,156890000,156890000,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 0200, project 11015",MSP Computerisation
BWA,2024/25,,,,Ministry of Finance (organisation 0300),,,,,,,48739941,35181175,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 0300, project 11061",MoF Computerisation
BWA,2024/25,,,,Ministry of Labour and Home Affairs (organisation 0400),,,,,,,56500000,22494000,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 0400, project 11081",Computerisation
BWA,2024/25,,,,Ministry of Lands and Agriculture (organisation 0500),,,,,,,33150000,31150000,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 0500, project 11116",MoA Computerisation
BWA,2024/25,,,,Ministry of Child Welfare and Basic Education (organisation 0600),,,,,,,120510000,70510000,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 0600, project 11161",MESD Computerisation
BWA,2024/25,,,,Ministry of Trade and Entrepreneurship (organisation 0700),,,,,,,8000000,8120320,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 0700, project 11212",MTI Computerisation
BWA,2024/25,,,,Ministry of Health (organisation 1100),,,,,,,33240000,16335935,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 1100, project 11335",MoH Computerisation
BWA,2024/25,,,,Administration of Justice (organisation 1200),,,,,,,4908495,2849897,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 1200, project 11382",AoJ Computerisation
BWA,2024/25,,,,Ministry of Environment and Tourism (organisation 2000),,,,,,,7709700,4453000,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 2000, project 11503",MET Computerisation
BWA,2024/25,,,,Ministry of Transport and Infrastructure (organisation 2300),,,,,,,3657150,19055750,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 2300, project 11584",Information and Communications
BWA,2024/25,,,,Ministry of Communications and Innovation (organisation 2400),,,,,,,736601447,266648447,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 2400, departments 2404 and 2406, project 11631",Information and Communications Technology
BWA,2024/25,,,,Ministry of Communications and Innovation (organisation 2400),,,,,,,983694000,511419000,,,,,,appropriated,revised,unclear,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 2400, department 2407, project 11637",Research and Development
BWA,2024/25,,,,Ministry of Communications and Innovation (organisation 2400),,,,,,,13246620,13126140,,12341893,,93.2,94.0,appropriated,actual,whole,false,BWP,budget-document,"Ministry 2400, organisation summary, column `Estimate 2024-25`, department 2404","Department of Digital Communications, Infrastructure and Business"
BWA,2024/25,,,,Ministry of Communications and Innovation (organisation 2400),,,,,,,587270280,555644290,,487118818,,82.9,87.7,appropriated,actual,whole,false,BWP,budget-document,"Ministry 2400, organisation summary, column `Estimate 2024-25`, department 2406",Department of Shared Digital Services
BWA,2024/25,,,,Ministry of Communications and Innovation (organisation 2400),,,,,,,,,,514090181,,,,actual,actual,partial,false,BWP,budget-document,"TABLE II — SUMMARY OF DEVELOPMENT FUND EXPENDITURE 2019/2020 TO 2026/2027, OLD MINISTRIES column 2024/25, organisation 2400",Ministry of Communications and Innovation
BWA,2024/25,,,,Ministry of Justice and Correctional Services (organisation 2900),,,,,,,7109454,2800000,,,,,,appropriated,revised,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 2900, project 11832",Computerisation
BWA,2024/25,,,,Ministry of Entrepreneurship (organisation 3000),,,,,,,7338240,,,,,,,appropriated,appropriated,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2024-25, organisation 3000, project 11861",MoE Computerisation
BWA,2025/26,,,,"Ministry for State President, Defence and Security (organisation 0200)",,,,,,,104080000,64074943,,41740940,,40.1,65.1,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 0200, project 12024 (TNDP code)",MSP Computerisation
BWA,2025/26,,,,Ministry of Finance (organisation 0300),,,,,,,84571040,84571040,,5154933,,6.1,6.1,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 0300, project 12041 (TNDP code)",MoF Computerisation
BWA,2025/26,,,,Ministry of Labour and Home Affairs (organisation 0400),,,,,,,18700000,12200000,,4425317,,23.7,36.3,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 0400, project 12061 (TNDP code)",Computerisation
BWA,2025/26,,,,Ministry of Lands and Agriculture (organisation 0500),,,,,,,25000000,25000000,,5100,,0.0,0.0,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 0500, project 12084 (TNDP code)",MLA Computerisation
BWA,2025/26,,,,Ministry of Child Welfare and Basic Education (organisation 0600),,,,,,,270000000,38819833,,0,,0.0,0.0,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 0600, project 12104 (TNDP code)",MCWBE Computerisation
BWA,2025/26,,,,Ministry of Trade and Entrepreneurship (organisation 0700),,,,,,,0,7000000,,190992,,,2.7,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 0700, project 12122 (TNDP code)",MTE Computerisation
BWA,2025/26,,,,Ministry of Health (organisation 1100),,,,,,,10800000,9500000,,1587158,,14.7,16.7,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 1100, project 12244 (TNDP code)",MoH Computerisation
BWA,2025/26,,,,Administration of Justice (organisation 1200),,,,,,,4760000,4760000,,166931,,3.5,3.5,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 1200, project 12263 (TNDP code)",AoJ Computerisation
BWA,2025/26,,,,Ministry of Environment and Tourism (organisation 2000),,,,,,,0,14800000,,1000000,,,6.8,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 2000, project 12403 (TNDP code)",MET Computerisation
BWA,2025/26,,,,Ministry of Transport and Infrastructure (organisation 2300),,,,,,,27597281,13597281,,3663284,,13.3,26.9,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 2300, project 12461 (TNDP code)",Information and Communications Technology
BWA,2025/26,,,,Ministry of Communications and Innovation (organisation 2400),,,,,,,369079545,338683428,,142712599,,38.7,42.1,appropriated,actual,whole,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 2400, departments 2404 and 2406, project 11631",Information and Communications Technology
BWA,2025/26,,,,Ministry of Communications and Innovation (organisation 2400),,,,,,,477403718,185786978,,42771544,,9.0,23.0,appropriated,actual,unclear,false,BWP,budget-document,"ESTIMATED DEVELOPMENT EXPENDITURE BY PROJECT 2025-26, organisation 2400, departments 2407 and 2409, project 11637",Research and Development
