iso3,indicator_id,dataset,value,unit,year,release,nature
CPV,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2017,2026-02-09,country
CPV,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2019,2026-02-09,country
CPV,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2020,2026-02-09,country
CPV,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2021,2026-02-09,country
CPV,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2022,2026-02-09,country
DJI,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,83.5714,% of secondary schools,2023,2026-02-09,country
DZA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,54.5694,% of secondary schools,2015,2026-02-09,country
DZA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,64.2896,% of secondary schools,2020,2026-02-09,country
DZA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,89.8196,% of secondary schools,2023,2026-02-09,country
DZA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,60.8723,% of secondary schools,2024,2026-02-09,country
DZA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,61.1949,% of secondary schools,2025,2026-02-09,country
EGY,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,49.0635,% of secondary schools,2016,2026-02-09,country
EGY,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,45.4886,% of secondary schools,2023,2026-02-09,country
EGY,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,44.4123,% of secondary schools,2024,2026-02-09,country
ETH,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,20.5803,% of secondary schools,2020,2026-02-09,country
ETH,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,22.9244,% of secondary schools,2021,2026-02-09,country
ETH,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,10.7688,% of secondary schools,2022,2026-02-09,country
GHA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,19.9354,% of secondary schools,2018,2026-02-09,country
GIN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,0,% of secondary schools,2016,2026-02-09,country
GMB,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,8.857,% of secondary schools,2022,2026-02-09,country
GMB,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,9.7938,% of secondary schools,2023,2026-02-09,country
GMB,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,11.2556,% of secondary schools,2024,2026-02-09,country
GMB,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,12.1559,% of secondary schools,2025,2026-02-09,country
KEN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,30.5528,% of secondary schools,2023,2026-02-09,country
MAR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,89.1295,% of secondary schools,2017,2026-02-09,country
MAR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,89.4646,% of secondary schools,2018,2026-02-09,country
MAR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,87.7974,% of secondary schools,2019,2026-02-09,country
MAR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,87.7779,% of secondary schools,2020,2026-02-09,country
MAR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,84.0052,% of secondary schools,2021,2026-02-09,country
MAR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,83.8428,% of secondary schools,2022,2026-02-09,country
MAR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,78.1244,% of secondary schools,2023,2026-02-09,country
MAR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,82.3254,% of secondary schools,2024,2026-02-09,country
MDG,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,1.3301,% of secondary schools,2017,2026-02-09,country
MDG,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,5.5804,% of secondary schools,2018,2026-02-09,country
MDG,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,5.9877,% of secondary schools,2019,2026-02-09,country
MLI,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,18.1341,% of secondary schools,2023,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,97.1591,% of secondary schools,2013,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,97.1591,% of secondary schools,2014,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,98.8764,% of secondary schools,2015,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,94.8571,% of secondary schools,2016,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,93.75,% of secondary schools,2017,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,91.0615,% of secondary schools,2018,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2020,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2021,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2023,2026-02-09,country
MUS,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2024,2026-02-09,country
NAM,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,75.6725,% of secondary schools,2020,2026-02-09,country
NAM,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,78.9779,% of secondary schools,2021,2026-02-09,country
NAM,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,81.8287,% of secondary schools,2022,2026-02-09,country
NAM,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,80.2945,% of secondary schools,2023,2026-02-09,country
NAM,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,81.25,% of secondary schools,2024,2026-02-09,country
NER,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,0,% of secondary schools,2016,2026-02-09,country
NER,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,6.6779,% of secondary schools,2019,2026-02-09,country
NER,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,8.758,% of secondary schools,2021,2026-02-09,country
NER,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,9.6233,% of secondary schools,2023,2026-02-09,country
NER,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,9.6794,% of secondary schools,2024,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,17.3288,% of secondary schools,2011,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,17.1519,% of secondary schools,2012,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,17.5031,% of secondary schools,2013,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,23.3038,% of secondary schools,2014,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,27.5882,% of secondary schools,2015,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,33.2383,% of secondary schools,2016,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,54.0671,% of secondary schools,2018,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,60.7253,% of secondary schools,2019,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,55.5915,% of secondary schools,2021,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,76.8659,% of secondary schools,2022,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,78.8368,% of secondary schools,2023,2026-02-09,country
RWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,80.7495,% of secondary schools,2024,2026-02-09,country
SEN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,46.3291,% of secondary schools,2019,2026-02-09,country
SEN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,44.0981,% of secondary schools,2020,2026-02-09,country
SEN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,64.2639,% of secondary schools,2021,2026-02-09,country
SEN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,68.2252,% of secondary schools,2022,2026-02-09,country
SEN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,67.2693,% of secondary schools,2024,2026-02-09,country
SLE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,3.0284,% of secondary schools,2017,2026-02-09,country
SLE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,4.3087,% of secondary schools,2018,2026-02-09,country
SLE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,4.211,% of secondary schools,2019,2026-02-09,country
SLE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,4.6875,% of secondary schools,2020,2026-02-09,country
SLE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,3.6661,% of secondary schools,2021,2026-02-09,country
SLE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,5.7456,% of secondary schools,2022,2026-02-09,country
SLE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,5.0837,% of secondary schools,2023,2026-02-09,country
SLE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,5.043,% of secondary schools,2024,2026-02-09,country
SWZ,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,69.3103,% of secondary schools,2016,2026-02-09,country
SWZ,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,58.7459,% of secondary schools,2019,2026-02-09,country
SWZ,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,42.7245,% of secondary schools,2022,2026-02-09,country
SWZ,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,22.561,% of secondary schools,2023,2026-02-09,country
SYC,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2016,2026-02-09,country
SYC,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,96.5517,% of secondary schools,2017,2026-02-09,country
SYC,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2018,2026-02-09,country
SYC,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2019,2026-02-09,country
SYC,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2020,2026-02-09,country
SYC,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2021,2026-02-09,country
SYC,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2022,2026-02-09,country
SYC,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2023,2026-02-09,country
SYC,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2024,2026-02-09,country
TCD,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,8.6957,% of secondary schools,2021,2026-02-09,country
TCD,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,3.5065,% of secondary schools,2023,2026-02-09,country
TCD,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,4.0457,% of secondary schools,2024,2026-02-09,country
TGO,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,6.4157,% of secondary schools,2020,2026-02-09,country
TGO,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,10.6862,% of secondary schools,2021,2026-02-09,country
TGO,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,10.4288,% of secondary schools,2022,2026-02-09,country
TGO,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,14.1534,% of secondary schools,2023,2026-02-09,country
TGO,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,18.1363,% of secondary schools,2024,2026-02-09,country
TUN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,79.9378,% of secondary schools,2012,2026-02-09,country
TUN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,82.9984,% of secondary schools,2015,2026-02-09,country
TUN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,97.7683,% of secondary schools,2017,2026-02-09,country
TUN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,97.4183,% of secondary schools,2018,2026-02-09,country
TUN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,97.8626,% of secondary schools,2020,2026-02-09,country
TUN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,98.2474,% of secondary schools,2021,2026-02-09,country
TUN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,96.1329,% of secondary schools,2022,2026-02-09,country
TUN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,99.4652,% of secondary schools,2023,2026-02-09,country
ZMB,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,63.1241,% of secondary schools,2024,2026-02-09,country
ZWE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,30.4636,% of secondary schools,2015,2026-02-09,country
ZWE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,33.982,% of secondary schools,2016,2026-02-09,country
ZWE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,36.7138,% of secondary schools,2017,2026-02-09,country
ZWE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,39.819,% of secondary schools,2018,2026-02-09,country
ZWE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,43.2634,% of secondary schools,2019,2026-02-09,country
ZWE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,39.5973,% of secondary schools,2020,2026-02-09,country
ZWE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,49.5589,% of secondary schools,2023,2026-02-09,country
ZWE,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,49.1808,% of secondary schools,2024,2026-02-09,country
AGO,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,12.0105,% of tertiary graduates,2015,2026-02-09,country
BDI,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,11.9167,% of tertiary graduates,2010,2026-02-09,country
BDI,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,14.9006,% of tertiary graduates,2015,2026-02-09,country
BDI,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,24.2895,% of tertiary graduates,2016,2026-02-09,country
BDI,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,20.6328,% of tertiary graduates,2017,2026-02-09,country
BDI,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,19.6725,% of tertiary graduates,2018,2026-02-09,country
BDI,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,9.7526,% of tertiary graduates,2025,2026-02-09,country
BEN,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,13.2412,% of tertiary graduates,2011,2026-02-09,country
BEN,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,14.2464,% of tertiary graduates,2014,2026-02-09,country
BEN,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,20.7098,% of tertiary graduates,2015,2026-02-09,country
BEN,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,20.9101,% of tertiary graduates,2018,2026-02-09,country
BEN,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,23.9608,% of tertiary graduates,2019,2026-02-09,country
BEN,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,19.6575,% of tertiary graduates,2020,2026-02-09,country
BEN,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,21.7569,% of tertiary graduates,2021,2026-02-09,country
BEN,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,21.763,% of tertiary graduates,2022,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,23.334,% of tertiary graduates,2010,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,22.8318,% of tertiary graduates,2011,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,20.0412,% of tertiary graduates,2012,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,15.9279,% of tertiary graduates,2014,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,15.526,% of tertiary graduates,2015,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,14.5944,% of tertiary graduates,2016,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,15.4215,% of tertiary graduates,2017,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,19.6786,% of tertiary graduates,2018,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,20.2646,% of tertiary graduates,2019,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,20.3458,% of tertiary graduates,2020,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,20.6757,% of tertiary graduates,2021,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,25.3375,% of tertiary graduates,2022,2026-02-09,country
BFA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,61.4018,% of tertiary graduates,2024,2026-02-09,suspect
BWA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,18.5081,% of tertiary graduates,2020,2026-02-09,country
BWA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,19.7384,% of tertiary graduates,2021,2026-02-09,country
BWA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,19.0913,% of tertiary graduates,2022,2026-02-09,country
BWA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,18.1385,% of tertiary graduates,2023,2026-02-09,country
BWA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,10.9365,% of tertiary graduates,2024,2026-02-09,country
CMR,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,21.3356,% of tertiary graduates,2010,2026-02-09,country
CMR,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,16.6644,% of tertiary graduates,2015,2026-02-09,country
CMR,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,30.4629,% of tertiary graduates,2019,2026-02-09,country
CMR,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,32.7336,% of tertiary graduates,2020,2026-02-09,country
CMR,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,37.8958,% of tertiary graduates,2021,2026-02-09,country
CMR,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,31.6965,% of tertiary graduates,2022,2026-02-09,country
CMR,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,31.0328,% of tertiary graduates,2023,2026-02-09,country
CMR,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,27.6901,% of tertiary graduates,2024,2026-02-09,country
COD,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,15.4623,% of tertiary graduates,2016,2026-02-09,country
COG,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,15.1306,% of tertiary graduates,2017,2026-02-09,country
CPV,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,11.4244,% of tertiary graduates,2016,2026-02-09,country
CPV,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,16.4166,% of tertiary graduates,2017,2026-02-09,country
CPV,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,16.1268,% of tertiary graduates,2018,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,28.6289,% of tertiary graduates,2010,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,25.6277,% of tertiary graduates,2011,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,31.2194,% of tertiary graduates,2015,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,31.0693,% of tertiary graduates,2016,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,34.235,% of tertiary graduates,2018,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,32.4255,% of tertiary graduates,2019,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,29.5833,% of tertiary graduates,2020,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,30.13,% of tertiary graduates,2021,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,29.8904,% of tertiary graduates,2022,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,31.1486,% of tertiary graduates,2023,2026-02-09,country
DZA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,30.8965,% of tertiary graduates,2024,2026-02-09,country
EGY,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,11.2412,% of tertiary graduates,2016,2026-02-09,country
EGY,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,16.8792,% of tertiary graduates,2022,2026-02-09,country
EGY,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,16.8792,% of tertiary graduates,2023,2026-02-09,country
EGY,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,14.0501,% of tertiary graduates,2024,2026-02-09,country
EGY,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,14.0501,% of tertiary graduates,2025,2026-02-09,country
ERI,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,29.0485,% of tertiary graduates,2016,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,14.2355,% of tertiary graduates,2015,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,12.2364,% of tertiary graduates,2016,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,13.3885,% of tertiary graduates,2017,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,16.3678,% of tertiary graduates,2018,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,16.4117,% of tertiary graduates,2019,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,15.2165,% of tertiary graduates,2020,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,16.7215,% of tertiary graduates,2021,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,14.2763,% of tertiary graduates,2022,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,16.5773,% of tertiary graduates,2023,2026-02-09,country
GHA,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,18.7113,% of tertiary graduates,2024,2026-02-09,country
GMB,capacity.training--dt-related-university-facilities-and-qualifications,uis-stem-graduates,54.1365,% of tertiary graduates,2011,2026-02-09,country
