slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2026-08-03-il-ministro-bernini-a-gibuti-e-il-progetto-med-or-sull-underwater,Il ministro Bernini a Gibuti e il progetto promosso da Med-Or sull'Underwater,Fondazione Med-Or,,2026-08-03,day,DJI,infra.connect; infra.cybersec; finance.mou; geopol.eu,med-or-foundation; italy-ministry-of-foreign-affairs-and-international-cooperation; ministry-of-economy-and-finance-djibouti,sovereignty,full,False,,276,2026-08-08,https://www.med-or.org/news/il-ministro-bernini-a-gibuti-e-il-progetto-promosso-da-med-or-sullunderwater
2026-08-03-djibouti-sgg-pnud-dematerialisation-archives-etat,Djibouti entre dans l’ère des archives numériques : Le SGG et le PNUD unissent leurs forces pour dématérialiser la mémoire de l’État,La Nation,,2026-08-03,day,DJI,dpi.govtech; data.open; gov.policy,secretariat-general-du-gouvernement-djibouti; undp; ansie-djibouti,,full,False,,1070,2026-08-04,https://www.lanation.dj/djibouti-entre-dans-lere-des-archives-numeriques-le-sgg-et-le-pnud-unissent-leurs-forces-pour-dematerialiser-la-memoire-de-letat/
2026-07-30-djibouti-mcpt-cooperation-japon-onu-infrastructures-numeriques,MCPT : Un ballet diplomatique pour renforcer la coopération avec ses partenaires internationaux,La Nation,,2026-07-30,day,DJI,infra.connect; gov.regional; capacity.training,mcpt-djibouti; japan; united-nations,,full,False,,770,2026-08-04,https://www.lanation.dj/mcpt-un-ballet-diplomatique-pour-renforcer-la-cooperation-avec-ses-partenaires-internationaux/
2026-07-30-adi-ministre-helem-japon-onu-technologies-numeriques,Le ministre Helem reçoit l'ambassadeur du Japon et le coordinateur résident de l'ONU,Agence Djiboutienne d'Information (ADI),,2026-07-30,day,DJI,gov.policy; infra.connect; capacity.training,ministry-of-communication-djibouti; japan,,full,False,,464,2026-07-30,https://www.adi.dj/article/138794
2026-07-23-lanation-partenariat-linkwise-pole-innovation,Un partenariat stratégique pour faire de Djibouti un pôle régional de l'innovation,La Nation,,2026-07-23,day,DJI,finance.mou; infra.store; tech.ai; infra.energy; geopol.china,linkwise-group; ministere-investissements-djibouti; vision-djibouti-2035,sovereignty,full,False,,894,2026-07-30,https://www.lanation.dj/un-partenariat-strategique-pour-faire-de-djibouti-un-pole-regional-de-linnovation/
2026-07-23-lanation-djibouti-linkwise-interview-mariam-hamadou-ali,"« Ce projet jettera les bases solides de la compétitivité nationale pour les 30 prochaines années » — Mariam Hamadou Ali, ministre déléguée chargée des Investissements et du Développement du Secteur privé",La Nation (Djibouti),,2026-07-23,day,DJI,finance.mou; infra.store; tech.ai; infra.energy; geopol.china,linkwise-group; shanghai-nenghui-technology; ministere-investissements-djibouti; vision-djibouti-2035; djibouti-telecom; nvidia,sovereignty,full,False,,2005,2026-07-31,https://www.lanation.dj/ce-projet-jettera-les-bases-solides-de-la-competitivite-nationale-pour-les-30-prochaines-annees-mariam-hamadou-ali-ministre-deleguee-chargee-des-investissements-et-du-developpement-du-s/
2026-07-23-lanation-dgpf-administration-modernisee-interconnectee,"« Notre vision est de faire de la Direction générale de la Population et de la Famille une administration entièrement modernisée, interconnectée et proche des citoyens » Abdi Abdillahi Obsieh, Directeur général de la Population et de la Famille",La Nation,,2026-07-23,day,DJI,dpi.id; dpi.registry; dpi.exchange,dgpf-djibouti; mobile-id-djibouti,,full,False,,1378,2026-07-30,https://www.lanation.dj/notre-vision-est-de-faire-de-la-direction-generale-de-la-population-et-de-la-famille-une-administration-entierement-modernisee-interconnectee-et-proche-des-citoyens-abdi-abdillahi-obsie/
2026-07-23-lanation-carte-nationale-identite-biometrique,CARTE NATIONALE D'IDENTITÉ BIOMÉTRIQUE : Dans les coulisses de la nouvelle identité nationale,La Nation,,2026-07-23,day,DJI,dpi.id; dpi.registry; gov.protect,dgpf-djibouti; mobile-id-djibouti,,full,False,,2464,2026-07-30,https://www.lanation.dj/carte-nationale-didentite-biometrique-dans-les-coulisses-de-la-nouvelle-identite-nationale/
2026-07-22-djibouti-mazu-2-0-alerte-meteo-ia,Djibouti déploie une nouvelle version de son système d'alerte météo fondé sur l'IA,wearetech.africa,,2026-07-22,day,DJI,tech.ai; data.satellite; geopol.china,agence-meteorologique-nationale-djibouti; administration-meteorologique-chinoise,,full,False,,459,2026-07-23,https://www.wearetech.africa/fr/fils/actualites/tech/djibouti-deploie-une-nouvelle-version-de-son-systeme-d-alerte-meteo-fonde-sur-l-ia
2026-07-19-linkwise-group-dji-2026-record,"LinkWise Group US$1.35 billion Djibouti integrated investment (100 MW AI compute centre, renewables, digital industrial park)",La Nation,,2026-07-19,day,DJI,finance.mou; infra.store; tech.ai; infra.energy; geopol.china,linkwise-group; government-of-djibouti; ministere-investissements-djibouti; vision-djibouti-2035,sovereignty,excerpt,True,,732,2026-07-31,https://www.lanation.dj/un-partenariat-strategique-pour-faire-de-djibouti-un-pole-regional-de-linnovation/
2026-07-15-djibouti-japan-digital-cooperation-techreviewafrica,"Djibouti, Japan hold talks to deepen cooperation in digital economy and innovation",Tech Review Africa,,2026-07-15,day,DJI,gov.regional; dpi.govtech; capacity.training,mdeni-djibouti; japan,,full,False,,227,2026-07-18,https://techreviewafrica.com/news/6312/djibouti-japan-hold-talks-to-deepen-cooperation-in-digital-economy-and-innovation
"2026-07-13 Djibouti Seeks ITU, Smart Africa Support for Telecoms and AI Development","Djibouti Seeks ITU, Smart Africa Support for Telecoms and AI Development",We Are Tech Africa,Samira Njoya,2026-07-13,day,DJI; XEA,tech.ai; gov.policy; infra.connect; gov.regional; gov.standards,itu; smart-africa; eardip; vision-djibouti-2035,sovereignty,full,False,,566,2026-07-14,https://www.wearetech.africa/en/fils-uk/news/tech/djibouti-seeks-itu-smart-africa-support-for-telecoms-and-ai-development
2026-07-10-helem-geneva-wsis-bilateral-meetings-adi,Le ministre Helem achève sa mission à Genève sur une série de rencontres avec les leaders du numérique,Agence Djiboutienne d'Information (ADI),,2026-07-10,day,DJI; XEA,gov.regional; gov.policy; tech.ai; infra.connect; geopol.china; include.divides,itu; smart-africa; eardip; djibouti-digital-foundation-dfn,sovereignty,full,False,,556,2026-07-18,https://www.adi.dj/article/138749
2026-07-09-geneva-wsis-djibouti-digital-hub-vision-lanation,Genève : Djibouti affiche sa vision d'un numérique inclusif et d'un hub technologique régional,La Nation (Djibouti),,2026-07-09,day,DJI; XEA,gov.policy; tech.ai; infra.connect; include.divides; gov.regional,itu; eardip; djibouti-digital-foundation-dfn; vision-djibouti-2035,sovereignty,full,False,,611,2026-07-18,https://www.lanation.dj/geneve-djibouti-affiche-sa-vision-dun-numerique-inclusif-et-dun-hub-technologique-regional/
2026-07-09-anc-dj-cert-igad-cyber-exercise-lanation,L'ANC distinguée lors de l'exercice régional de cybersécurité,La Nation (Djibouti),,2026-07-09,day,DJI; ETH; XEA,infra.cybersec; gov.regional; capacity.training; infra.capacity,national-cybersecurity-authority-djibouti; dj-cert; igad,sovereignty,full,False,,577,2026-07-18,https://www.lanation.dj/lanc-distinguee-lors-de-lexercice-regional-de-cybersecurite/
2026-07-04-limo-ministry-platform-techreviewafrica,Djibouti unveils LIMO platform to accelerate digital economy and innovation,Tech Review Africa,,2026-07-04,day,DJI,tech.innovate; dpi.govtech; gov.policy,limo-platform-djibouti; mdeni-djibouti,,full,False,,267,2026-07-18,https://techreviewafrica.com/news/6169/djibouti-unveils-limo-platform-to-accelerate-digital-economy-and-innovation
2026-06-30-conseil-ministres-pnd-adeeg-2025-2030-adoption-adi,Le chef de l'Etat préside les travaux de la 7ème séance du Conseil des ministres (adoption du PND-ADEEG 2025-2030),Agence Djiboutienne d'Information (ADI),,2026-06-30,day,DJI,gov.policy; gov.legislate,pnd-adeeg-2025-2030; vision-djibouti-2035; ismail-omar-guelleh,,excerpt,False,,598,2026-07-18,https://www.adi.dj/article/138724
2026-06-22-djibouti-china-industrial-ai-roadmap-beijing-adi,"A Pékin, Djibouti déroule sa feuille de route pour une nouvelle ère industrielle avec la Chine",Agence Djiboutienne d'Information (ADI),,2026-06-22,day,DJI,geopol.china; tech.ai; tech.industry; finance.new,china-eximbank; ilyas-moussa-dawaleh,sovereignty,full,False,,391,2026-07-18,https://www.adi.dj/article/138698
2026-06-15-limo-digital-commerce-wearetech,"Limo Targets Digital Commerce Growth in Djibouti With Marketplace, Logistics and AI",We Are Tech Africa,,2026-06-15,day,DJI,tech.innovate; dpi.pay; tech.ai,limo-djibouti-startup,,full,False,,359,2026-07-18,https://www.wearetech.africa/en/fils-uk/solutions/limo-targets-digital-commerce-growth-in-djibouti-with-marketplace-logistics-and-ai
2026-05-22-safia-gadileh-minister-appointment-techreviewafrica,Djibouti appoints Safia Ali Mohamed Gadileh as Minister Delegate for Digital Economy and Innovation,Tech Review Africa,,2026-05-22,day,DJI,gov.policy; dpi.govtech,mdeni-djibouti,,full,False,,258,2026-07-18,https://techreviewafrica.com/news/5551/djibouti-appoints-safia-ali-mohamed-gadileh-as-minister-delegate-for-digital-economy-and-innovation
2026-05-21 Africa Data Center Investment 2026 The $4.5B Race and the Power Problem,Africa Data Center Investment 2026: The $4.5B Race and the Power Problem,TechMoonshot,Bolu Babalola,2026-05-21,day,ZAF; KEN; NGA; MAR; DJI; ETH; GHA; TZA; EGY; XAF,infra.store; infra.energy; tech.ai; gov.protect; gov.legislate; infra.connect,microsoft; google; amazon-web-services; cassava-technologies; g42; africa-data-centres; nvidia; microsoft-g42-kenya-datacenter,sovereignty; colonialism,full,False,,2082,2026-07-11,https://techmoonshot.com/2026/05/21/africas-data-center-boom/
2026-05-16-digital-houses-e-skills-wearetech,"Djibouti Seeks to Narrow Digital Divide With ""Digital Houses"" Initiative",We Are Tech Africa,,2026-05-16,day,DJI,include.divides; capacity.training; digital.rural; gov.policy,vision-djibouti-2035,,full,False,,504,2026-07-18,https://www.wearetech.africa/en/fils-uk/news/public-management/djibouti-seeks-to-narrow-digital-divide-with-digital-houses-initiative
2026-05-12-djibouti-economic-monitor-spring-2026,"Djibouti Economic Monitor, Spring 2026: Labor Market Structure and the School-to-Work Transition",World Bank Group (Middle East and North Africa Region),,2026-05-12,day,DJI,data.statistics,world-bank; instad-djibouti,,excerpt,False,,9038,2026-08-26,https://documents1.worldbank.org/curated/en/099209305122650698/pdf/IDU-3d483253-60ba-4a4c-b634-fc8f02408c05.pdf
2026-04-29-dpcs-port-digitalisation-imo-worldbank-best-practice-lanation,Djibouti s'impose comme référence mondiale de la digitalisation portuaire : Le modèle DPCS distingué à Dar es Salam,La Nation (Djibouti),,2026-04-29,day,DJI; TZA; KEN; MUS; XEA,dpi.govtech; dpi.exchange; gov.standards; gov.regional; tech.industry,djibouti-port-community-systems; world-bank; international-maritime-organization; kentrade,sovereignty,excerpt,False,,667,2026-07-18,https://www.lanation.dj/djibouti-simpose-comme-reference-mondiale-de-la-digitalisation-portuaire-le-modele-dpcs-distingue-a-dar-es-salam/
2026-04-06-ecole-42-djibouti-techreviewafrica,Djibouti launches École 42 Project to promote technological innovation,Tech Review Africa,,2026-04-06,day,DJI,capacity.training; tech.innovate; geopol.eu,ecole-42-djibouti; mdeni-djibouti; djibouti-code-campus; expertise-france; european-union,,full,False,,256,2026-07-18,https://techreviewafrica.com/public/news/4771/djibouti-launches-ecole-42-project-to-promote-technological-innovation
2026-04-01 Wingu Africa debuts cloud exchange platform in Ethiopia,Wingu Africa debuts cloud exchange platform in Ethiopia,Connecting Africa,Matshepo Sehloho,2026-04-01,month,ETH; TZA; DJI,infra.store; gov.protect; dpi.exchange,wingu-africa; amazon-web-services; microsoft,sovereignty,full,False,,340,2026-07-11,https://www.connectingafrica.com/cloud-networking/wingu-africa-debuts-cloud-exchange-platform-in-ethiopia
2026-02-10-mobile-id-launch-wearetech,Djibouti Officially Launches Mobile ID Digital Identity Platform,We Are Tech Africa,,2026-02-10,day,DJI,dpi.id; gov.protect; dpi.govtech; dpi.mis,mobile-id-djibouti; vision-djibouti-2035,sovereignty,full,False,,413,2026-07-18,https://www.wearetech.africa/en/fils-uk/news/tech/djibouti-officially-launches-mobile-id-digital-identity-platform
2026-02-10-mobile-id-biometric-launch-biometricupdate,Djibouti unveils biometric mobile ID to enhance access to public services,Biometric Update,,2026-02-10,day,DJI,dpi.id; gov.protect; dpi.govtech; infra.cybersec,mobile-id-djibouti; vision-djibouti-2035; djibouti-digital-code,sovereignty,full,False,,526,2026-07-18,https://www.biometricupdate.com/202602/djibouti-unveils-biometric-mobile-id-to-enhance-access-to-public-services
2026-02-10-horizon-fiber-binding-agreement-telecomreviewafrica,"Ethio telecom, Djibouti Telecom, Sudatel Seal Binding Deal on Cross-Border Fiber Network",Telecom Review Africa,,2026-02-10,day,DJI; ETH; SDN; XEA,infra.connect; gov.regional; finance.mou; infra.store,djibouti-telecom; ethio-telecom; sudatel; horizon-fiber,sovereignty,full,False,,262,2026-07-18,https://www.telecomreviewafrica.com/articles/reports-and-coverage/28249-ethio-telecom-djibouti-telecom-sudatel-seal-binding-deal-on-cross-border-fiber-network/
2026-02-09-mobile-id-national-digital-identity-forum-lanation,"Identité numérique et Mobile ID, une avancée stratégique vers l'administration de demain",La Nation (Djibouti),,2026-02-09,day,DJI; SOM; BEN,dpi.id; gov.protect; dpi.govtech; gov.policy; infra.cybersec; include.access,mobile-id-djibouti; national-cybersecurity-authority-djibouti; ansie-djibouti; to7-network; vision-djibouti-2035,sovereignty,excerpt,False,,813,2026-07-18,https://www.lanation.dj/identite-numerique-et-mobile-id-une-avancee-strategique-vers-ladministration-de-demain/
2026-02-06-horizon-fiber-corridor-deal-itweb,East African telcos seal cross-border fibre corridor deal,ITWeb Africa,,2026-02-06,day,DJI; ETH; SDN; XEA,infra.connect; gov.regional; finance.mou; tech.ai,djibouti-telecom; ethio-telecom; sudatel; horizon-fiber,sovereignty,full,False,,362,2026-07-18,https://itweb.africa/article/east-african-telcos-seal-cross-border-fibre-corridor-deal/xA9PO7NE16Yvo4J8
2026-02-05-horizon-fiber-djibouti-ethio-sudatel-lanation,"Djibouti Telecom, Ethio Telecom et Sudatel Telecom Group signent un accord stratégique pour l'Initiative Horizon Fiber",La Nation (Djibouti),,2026-02-05,day,DJI; ETH; SDN; XEA,infra.connect; gov.regional; finance.mou; dpi.exchange,djibouti-telecom; ethio-telecom; sudatel-telecom-group; horizon-fiber,sovereignty,full,False,,923,2026-07-18,https://www.lanation.dj/djibouti-telecom-ethio-telecomet-sudatel-telecom-group-signent-un-accord-strategique-pour-linitiative-horizon-fiber/
2026-02-05-horizon-fiber-binding-agreement-connectingafrica,East African telcos ink cross-border fiber network deal,Connecting Africa,,2026-02-05,day,DJI; ETH; SDN; XEA,infra.connect; gov.regional; finance.mou; dpi.exchange,djibouti-telecom; ethio-telecom; sudatel; horizon-fiber,sovereignty,full,False,,448,2026-07-18,https://www.connectingafrica.com/partnerships/east-african-telcos-ink-cross-border-fiber-network-deal
2026-02-04-horizon-fiber-tripartite-deal-techafricanews,"Ethio telecom, Djibouti Telecom, and Sudatel seal Horizon Fiber cross-border connectivity deal",TechAfrica News,,2026-02-04,day,DJI; ETH; SDN; XEA,infra.connect; gov.regional; finance.mou,djibouti-telecom; ethio-telecom; sudatel; horizon-fiber,sovereignty,full,False,,543,2026-07-18,https://techafricanews.com/2026/02/04/ethio-telecom-djibouti-telecom-and-sudatel-seal-horizon-fiber-cross-border-connectivity-deal/
2026-02-04 Sudatel-Djibouti Telecom-Ethio telecom launch Horizon Fiber cross-border initiative (SUNA),اتفاقية استراتيجية بين مجموعة سوداتل وجيبوتي للاتصالات والاتصالات الإثيوبية لتدشين مبادرة هورايزن فايبر (Sudatel–Djibouti Telecom–Ethio telecom launch Horizon Fiber cross-border initiative),SUNA (Sudan News Agency) — Sudanese state news agency,,2026-02-04,day,SDN; DJI; ETH; XEA,infra.connect; gov.regional; finance.mou,sudatel; djibouti-telecom; ethio-telecom; horizon-fiber,sovereignty,full,False,,263,2026-07-18,https://suna.sd/posts/atfaky-astratygy-byn-mgmoaa-sodatl-ogyboty-llatsalat-oalatsalat-alathyoby-ltdshyn-mbadr-horayzn-faybr
2026-01-29-national-ai-strategy-wearetech,Djibouti prépare sa Stratégie nationale d'intelligence artificielle,We Are Tech Africa,,2026-01-29,day,DJI,tech.ai; gov.policy; gov.protect,vision-djibouti-2035,sovereignty,full,False,,363,2026-07-18,https://www.wearetech.africa/fr/fils/actualites/tech/djibouti-prepare-sa-strategie-nationale-d-intelligence-artificielle
2026-01-29 Press release Paradigm Initiative applauds countries with data protection laws,Press release: Paradigm Initiative applauds countries with data protection laws,Paradigm Initiative,Paradigm Initiative,2026-01-29,day,XAF; DJI; GMB; BDI; BWA; DZA; NGA,gov.protect; gov.legislate,paradigm-initiative; nigeria-data-protection-act-2023; ripoti,,full,False,,499,2026-07-14,https://paradigmhq.org/press-release-paradigm-initiative-applauds-countries-with-data-protection-laws/
2026-01-29 Djibouti develops national AI strategy with UN support,Djibouti develops national AI strategy with UN support,TechAfrica News,,2026-01-29,day,DJI,tech.ai; gov.policy,vision-djibouti-2035; itu,sovereignty,full,False,,136,2026-07-15,https://techafricanews.com/2026/01/29/djibouti-develops-national-ai-strategy-with-un-support
2026-01-27-djibouti-online-company-creation-platform-lanation,Djibouti lance sa plateforme de création en ligne des entreprises,La Nation (Djibouti),,2026-01-27,day,DJI,dpi.govtech; dpi.registry; gov.policy; tech.innovate; include.access,anpi-djibouti; guichet-unique-djibouti; abdoulkader-kamil-mohamed,,excerpt,False,,779,2026-07-18,https://www.lanation.dj/djibouti-lance-sa-plateforme-de-creation-en-ligne-des-entreprises/
2026-01-22-djibouti-telecom-monopoly-profile-lanation,Du hub régional au catalyseur continental ; la nouvelle ère de Djibouti Télécom,La Nation (Djibouti),,2026-01-22,day,DJI; ETH; SOM; XEA,infra.connect; tech.industry; gov.legislate; infra.store,djibouti-telecom,sovereignty,excerpt,False,,690,2026-07-18,https://www.lanation.dj/du-hub-regional-au-catalyseur-continental-la-nouvelle-ere-de-djibouti-telecom/
"2026-01-11 The Year of the Teeth Data Protection in Africa Roundup, 2025, Projections for 2026","The Year of the Teeth: Data Protection in Africa Roundup, 2025, Projections for 2026",Digital Policy Alert (with Tech Hive Advisory),Maria Buza,2026-01-11,day,XAF; KEN; NGA; ZAF; GHA; DZA; GMB; BWA; DJI; UGA; SDN,gov.protect; gov.legislate; gov.policy; tech.ai; gov.regional,digital-policy-alert; tech-hive-advisory; ndpc; odpc-kenya; us-kenya-health-framework; african-union,sovereignty; colonialism,full,False,,7864,2026-07-13,https://digitalpolicyalert.org/blog/data-protection-in-africa-roundup
2026-01-08-djibouti-loi-179-an-25-startup-act,Loi n° 179/AN/25/9ème L portant Startup Act Djibouti,"Journal Officiel de la République de Djibouti (eJO), Édition n° 23 du 15/12/2025",,2026-01-08,day,DJI,tech.innovate; finance.new; gov.legislate,startup-act-djibouti; ministere-economie-numerique-innovation-djibouti,sovereignty,full,False,,5014,2026-07-20,https://www.journalofficiel.dj/texte-juridique/loi-n179-an-25-9eme-l-portant-startup-act-djibouti/
"2026-01-07 Why Ethiopia, Somalia and Djibouti are starting to matter in digital Africa","Why Ethiopia, Somalia and Djibouti are starting to matter in digital Africa",TechCabal,Kenn Abuya,2026-01-07,day,ETH; SOM; DJI; XEA,infra.connect; dpi.pay; dpi.id; tech.industry; include.access; finance.new,safaricom; starlink; huawei; gsma; world-bank; fayda-ethiopia-national-id; wingu-africa; ethio-telecom; telebirr; central-bank-of-somalia,sovereignty,full,False,,1242,2026-07-11,https://techcabal.com/2026/01/07/how-ethiopia-somalia-and-djibouti-building-africas-digital-powerhouses/
2025-12-31-djibouti-loi-de-finances-203-an-25-budget-initial-2026,Loi de finances n° 203/AN/25/9ème L portant Budget initial de l'Etat pour l'exercice 2026,Journal Officiel de la République de Djibouti,,2025-12-31,day,DJI,dpi.govtech; gov.legislate; finance.budget,direction-generale-des-douanes-djibouti; ministere-du-budget-djibouti; assemblee-nationale-djibouti,,full,False,,6133,2026-08-10,https://www.journalofficiel.dj/texte-juridique/loi-de-finances-n203-an-25-9eme-l-portant-budget-initial-de-letat-pour-lexercice-2026/
2025-12-30-djibouti-conseil-des-ministres-30-decembre-2025,"Conseil des ministres, 21e séance du 30 décembre 2025 — arrêtés approuvant les budgets prévisionnels 2026 de l'ANSIE et de l'ARMD",Présidence de la République de Djibouti,,2025-12-30,day,DJI,finance.budget; infra.cybersec; dpi.govtech; data.statistics,ansie-djibouti; national-cybersecurity-authority-djibouti; armd-djibouti,,full,False,,6432,2026-08-10,https://www.presidence.dj/conseil-des-ministres/2025-12-30
2025-12-20-digital-transformation-core-pillar-techreviewafrica,Djibouti positions digital transformation as a core pillar of national development,Tech Review Africa,,2025-12-20,day,DJI,gov.policy; data.open; tech.ai,vision-djibouti-2035,sovereignty,full,False,,274,2026-07-18,https://techreviewafrica.com/news/3512/djibouti-positions-digital-transformation-as-a-core-pillar-of-national-development
2025-12-18-g2b-platform-techafricanews,Djibouti Launches G2B Digital Platform to Boost SMEs and Entrepreneurship,TechAfrica News,,2025-12-18,day,DJI,dpi.govtech; dpi.pay; gov.policy; geopol.eu,vision-djibouti-2035,,full,False,,288,2026-07-18,https://techafricanews.com/2025/12/18/djibouti-launches-g2b-digital-platform-to-boost-smes-and-entrepreneurship/
2025-12-18 Djibouti begins one-stop G2B digital platform for businesses,Djibouti begins one-stop G2B digital platform for businesses,Ecofin Agency,,2025-12-18,day,DJI,dpi.govtech; dpi.pay; include.access,vision-djibouti-2035; djibouti-digital-code,sovereignty,full,False,,117,2026-07-15,https://www.ecofinagency.com/news-digital/1812-51503-djibouti-begins-work-on-one-stop-digital-platform-to-modernize-relationship-with-businesses
2025-12-15-federation-nationale-entreprises-numerique-wearetech,Djibouti : vers la création d'une fédération nationale des entreprises du numérique,We Are Tech Africa,,2025-12-15,day,DJI,tech.industry; tech.innovate; gov.regional,vision-djibouti-2035,,full,False,,418,2026-07-18,https://www.wearetech.africa/fr/fils/actualites/tech/djibouti-vers-la-creation-d-une-federation-nationale-des-entreprises-du-numerique
"2025-12-15 Loi n 195-AN-25 portant creation de l'Autorite Nationale de Cybersecurite (Djibouti, JO)",Loi n° 195/AN/25/9ème L portant création de l'Autorité Nationale de Cybersécurité (ANC),Journal Officiel de la République de Djibouti,Journal Officiel de Djibouti,2025-12-15,day,DJI,infra.cybersec; gov.legislate; gov.policy,national-cybersecurity-authority-djibouti,sovereignty,full,False,,266,2026-07-16,https://www.journalofficiel.dj/texte-juridique/loi-n195-an-25-9eme-l-portant-creation-de-lautorite-nationale-de-cybersecurite/
2025-12-09-anc-cybersecurity-authority-wearetech,Djibouti Moves Toward Launch of National Cybersecurity Authority,We Are Tech Africa,,2025-12-09,day,DJI,infra.cybersec; gov.legislate; gov.regional,national-cybersecurity-authority-djibouti; malabo-convention; vision-djibouti-2035,sovereignty,full,False,,455,2026-07-18,https://www.wearetech.africa/en/fils-uk/news/tech/djibouti-moves-toward-launch-of-national-cybersecurity-authority
"2025-12-09 Djibouti Launches National Cyber Security Authority (ANC operational, DG named)",Djibouti Launches National Cyber Security Authority to Strengthen Digital Defenses,TechAfrica News,Jennifer Onyeagoro,2025-12-09,day,DJI,infra.cybersec; gov.policy,national-cybersecurity-authority-djibouti,sovereignty,full,False,,135,2026-07-16,https://techafricanews.com/2025/12/09/djibouti-launches-national-cyber-security-authority-to-strengthen-digital-defenses/
2025-11-14-startup-act-djibouti-wearetech,Djibouti Pushes Startup Act to Strengthen Its Digital Economy,We Are Tech Africa,,2025-11-14,day,DJI,tech.innovate; gov.legislate; gov.policy; finance.new,vision-djibouti-2035,,full,False,,314,2026-07-18,https://www.wearetech.africa/en/fils-uk/news/tech/djibouti-pushes-startup-act-to-strengthen-its-digital-economy
